year, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, IPSL-CM6A-LR, INM-CM4-8, CanESM5, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, -8.016550242750000166e+00, 3.064350163499999891e+00, 1.229927651999999982e+00, 1.202852887312499952e+00, 1.600588614937499932e+00, 4.289455271249999480e-01, 2.729895608249999661e+00, 7.866199898999999718e+00, 2.507511620249999851e+00, -6.534855427499999259e-01, 2.317598625374999610e+00, 2.317269468374999697e+00, 1.200622208062499974e+00, 1.067500868062499997e+00, 1.934529478312499773e+00, 1.852002722812499946e-01
2.016000000000000000e+03, -5.622603207749999221e+00, 3.931687974374999506e+00, -1.816183862999999787e+00, 4.379219538749999918e-01, 6.542712942187499658e-01, 2.841619525874999663e+00, 1.619075855812499798e+00, 6.560028546749999911e+00, 1.550001421687499992e+00, -9.613387428749998742e-01, 3.218107873499999716e+00, 3.228129977343749957e-01, -2.980859342624999631e+00, 1.139832749249999999e+00, 8.405360912812499530e-01, 7.160973758437499948e-01
2.017000000000000000e+03, -2.579491308374999736e+00, 3.092231683124999631e+00, 4.703752079999999891e-01, 1.067626642499999834e+00, 1.411601620499999932e+00, 3.169655765999999542e+00, 1.347656467499999955e-01, 7.529623562249999402e+00, 3.243650308874999943e+00, 3.992273065124999576e+00, 1.920179612812499936e+00, 1.420764183562499783e+00, -3.628415870999999626e+00, 2.150530259624999996e+00, 6.928999377187499142e-01, 1.092994767562500025e+00
2.018000000000000000e+03, -4.716529087499999662e+00, 3.252186217124999779e+00, 1.791126539999999823e+00, 2.576460649499999978e+00, 2.144143480499999921e+00, 2.715025891499999844e+00, 1.884212065687499882e+00, 5.383522878750000018e+00, 4.289876572499999874e-01, 6.481502921249999716e-01, 2.305846045125000021e+00, 3.192818896406249829e-01, 1.982865419999999823e-01, 1.463809468499999822e+00, 9.189151852499999329e-01, 6.603231265312499154e-01
2.019000000000000000e+03, -5.952062756249999254e+00, 3.942597952124999861e+00, 1.500298221937499843e+00, 6.886351864687499935e-01, 7.576543709999999932e-01, 4.794928076249999616e-01, 2.358519541874999792e+00, 4.378947047999999675e+00, -1.758937769437499909e+00, -6.720523011562499205e-01, 1.673235240187499917e+00, 3.630383976093749521e-01, 2.568276811124999615e+00, 2.690352667124999986e+00, 7.170358182187499541e-01, 1.207004059687499797e+00
2.020000000000000000e+03, -2.260612087874999787e+00, 5.204029328999999926e+00, 1.435265816062499811e+00, 2.383965151875000021e+00, 8.539629128437499217e-01, 1.516465349437499777e+00, 2.319654378374999659e+00, 6.794539112249999846e+00, 2.086087921874999918e+00, -1.037262525187499840e+00, 3.116551359374999830e+00, 1.179291676499999886e+00, 4.043812004999999821e-01, 2.764258514999999861e+00, 1.213199898187499848e+00, 1.815644301749999912e+00
2.021000000000000000e+03, 8.516958162890624073e-02, 3.343111403624999589e+00, -7.207230664687499511e-01, 4.354193258999999649e+00, 1.013379794999999861e+00, 1.472584360499999967e+00, 1.111884461999999907e+00, 6.163812213749999103e+00, 4.463205819749999748e+00, 3.364458503906249676e-01, 1.844339228437499756e+00, 2.752709686874999839e+00, -1.220258172374999894e+00, 2.265825136499999726e+00, -2.008315495546874885e-01, 1.903405910062499817e+00
2.022000000000000000e+03, -3.527944885124999708e+00, 3.944156520374999531e+00, 8.874742859999998901e-01, 2.752153864874999911e+00, 2.131172083124999617e+00, 2.502767669624999858e+00, 3.096804649499999673e+00, 4.363216496999999805e+00, 2.372335266374999918e+00, 2.543563427624999651e+00, 1.663768034437499876e+00, 2.073188465999999952e+00, 1.788542066249999840e-01, 2.405474674874999774e+00, 8.586822259687498793e-01, 1.236626218687499890e+00
2.023000000000000000e+03, -1.533973496062499775e+00, 3.780084320999999914e+00, 7.794371854687499601e-01, 2.466417009374999747e+00, -3.956870271093749780e-01, 8.093489582812499750e-01, 2.902895944874999579e+00, 4.025886499124999851e+00, 5.964978349687499737e-01, 1.825417628437499884e+00, 2.082423586500000035e+00, 2.153251717874999915e+00, 3.828300154874999528e+00, 2.433427150500000025e+00, 1.787450624999999960e+00, 7.168668049687499932e-01
2.024000000000000000e+03, -1.725032381062499898e+00, 3.016671919874999830e+00, 6.801093179999999627e-01, 1.387914758437499785e+00, -2.173146006374999661e+00, 1.702922195812499817e+00, 1.412566301812499869e+00, 7.081327496249999243e+00, 3.119320614374999856e+00, -7.642839680859374318e-02, 3.539352540374999911e+00, 1.242110033437499927e+00, 8.698337744062499821e-01, 2.185139294999999926e+00, 1.468545904687499792e+00, 7.387081334999999749e-01
2.025000000000000000e+03, -3.637889790468749607e-01, 5.234053571999999654e+00, 1.530135219937499791e+00, 1.740383021812499820e+00, 2.902350470624999623e+00, 3.408906832874999626e+00, -6.250032992812499799e-01, 5.883155117999999462e+00, 3.965866838999999811e+00, -3.941668317656249476e-01, 3.309137276624999568e+00, -1.534819055062499826e+00, -3.060175585499999684e+00, 3.015190466999999597e+00, 2.345004394874999676e+00, 9.034218317812499066e-01
2.026000000000000000e+03, -2.310969166874999647e+00, 2.029361186812499884e+00, 2.795687341874999898e+00, 3.781673686124999545e+00, 2.313212657624999835e+00, 3.585355187624999829e+00, 2.613635434124999879e+00, 7.950743972999999798e+00, 3.735691487999999616e+00, -1.007350444406249990e+00, 2.214497093624999913e+00, 3.091029681093749870e-01, 2.726039100374999968e+00, 3.156519790124999947e+00, 1.709813427749999892e+00, 2.784976435124999927e+00
2.027000000000000000e+03, -3.146782803749999524e-01, 6.337395227249999152e+00, -4.803984128320312047e-02, 3.176430092999999566e+00, 5.795816042812499402e-01, 3.889915093124999501e+00, 2.026544258249999952e+00, 3.847250827124999883e+00, 2.251478227499999762e-01, 3.093280255124999822e+00, 1.666026800437499844e+00, 2.664787072500000020e-01, 2.254920086249999844e+00, 2.978048203874999800e+00, 1.130540839312499823e+00, 1.133120878312499968e+00
2.028000000000000000e+03, -1.075458056835937454e-01, 6.131788883999999662e+00, 1.981086222937499919e+00, 5.858661377812499627e-01, -1.181493529875000004e+00, 1.031977473468749906e+00, 1.192468181062499966e+00, 3.344574378374999934e+00, -1.108855158187499912e+00, 2.525338822499999747e+00, 3.813439307624999497e+00, 6.241647696679687024e-02, -3.224932645781249940e-01, 3.252366070874999959e+00, 1.751872103999999819e+00, 2.243606792624999624e+00
2.029000000000000000e+03, -1.852425009562499891e+00, 5.707984956749999839e+00, -4.544534699999999705e-01, 1.246302104062499971e+00, -6.563818656562498965e-01, 2.505794632874999817e+00, 8.602968445312498824e-01, 4.659476521499999357e+00, 3.680155360124999664e+00, -5.401342566562499226e-01, 4.101529537124999791e+00, 2.122567682624999730e+00, -4.999179110624999423e-01, 3.571708969124999911e+00, 2.538744332624999878e+00, 2.194727717249999710e+00
2.030000000000000000e+03, 3.826207137656249535e-01, 5.378470220249999656e+00, 2.799885079124999621e+00, 4.995981409499999693e+00, 2.633464186874999946e+00, 5.084179224749999726e+00, 2.350164719249999923e+00, 4.592969561249999444e+00, 4.602307173749999869e+00, 7.034661607499999025e-01, 1.732128966562499928e+00, 2.669083606124999619e+00, 8.424435265312499865e-01, 3.790936646999999660e+00, 2.242876537124999903e+00, 1.700031231562499912e+00
2.031000000000000000e+03, 1.400155407562499787e+00, 5.684372376749999844e+00, -1.747614128062499939e+00, 3.622169771999999899e+00, 2.306412953999999793e+00, 5.545000010249999889e+00, 3.588487106624999701e+00, 4.678224180750000016e+00, 2.734812760499999662e+00, -6.510605352187499584e-01, 2.202521051249999751e+00, -1.354483765124999906e+00, 2.945474965124999844e+00, 2.925688342499999983e+00, 1.689994160437499948e+00, 2.177663045624999683e+00
2.032000000000000000e+03, -1.464960162937499977e+00, 5.285417831999999372e+00, 2.538546247124999766e+00, 2.148257203874999632e+00, 1.240553312999999935e+00, 1.682626316062499905e+00, 1.982938223812499956e+00, 3.934456736624999618e+00, 2.214268211249999840e+00, 2.879633463749999844e-01, 2.547314240625000004e+00, 6.682203075937499515e-01, -7.569541732499999176e-01, 2.779340360625000006e+00, 2.034343874812500008e+00, 1.974567879562499906e+00
2.033000000000000000e+03, -1.594935047812499951e+00, 4.477745393999999379e+00, 4.198744430999999722e+00, 7.017796622812499940e-01, 1.491928739999999864e+00, 1.885297347562499892e+00, 2.184666994124999650e+00, 5.391785803499999474e+00, 4.473651626999999742e+00, 1.864989149062499907e+00, 3.281433146999999551e+00, 3.161483999999999739e+00, -9.178781312812499538e-01, 3.375651874499999927e+00, 1.782728478562499941e+00, 2.649361287374999652e+00
2.034000000000000000e+03, 1.902015985499999839e+00, 4.522696019999999706e+00, 1.765073246062499823e+00, 2.948082105374999706e+00, 4.614569257499999688e-01, 6.355787613749999565e+00, 4.510078170749999948e+00, 3.230823533624999744e+00, 2.475448131374999861e+00, 1.110651478312499885e+00, 1.624439932312499835e+00, -2.581631352421874803e-01, -4.846237209843749505e-01, 4.364992860749999259e+00, 1.049395015687499821e+00, 2.954273509124999642e+00
2.035000000000000000e+03, 2.199222551953124716e-01, 5.365935152999999680e+00, -8.142135556640624217e-02, 2.606140213874999834e+00, 2.258181352124999819e+00, 5.495385012749999909e+00, 1.392616948499999951e+00, 4.625543785499999672e+00, 2.039188839187499713e+00, 3.204961057124999790e+00, 5.154167463749999456e+00, 1.310645891812499908e+00, 1.463578491937499892e+00, 4.133283578999999541e+00, 1.642486161937499967e+00, 2.749423537124999761e+00
2.036000000000000000e+03, -1.586087475187499818e+00, 5.716788428249999221e+00, 7.351731449999999723e-01, 2.016612512437499838e+00, 6.904756077187499397e-01, 2.858271272999999724e+00, 1.414768401562499944e+00, 7.360200344249999027e+00, -1.915117222499999883e-01, -4.486534637343749798e-01, 6.306265745999999339e+00, 1.843951680562499806e+00, 1.589443195078124871e-01, 3.596570423999999822e+00, 3.233266834499999742e+00, 2.060019845437500052e+00
2.037000000000000000e+03, 1.193071799812500000e+00, 6.391951521749999365e+00, 2.266426537874999703e+00, 1.727561420437499828e+00, -2.022003074249999699e+00, 2.774294846999999731e+00, 3.145398668999999536e+00, 6.783411831749999621e+00, 2.462939426249999841e-01, -1.306347541171875015e-01, 3.017527333874999940e+00, 2.202094576124999925e+00, 8.573806268437499378e-01, 2.859524828999999713e+00, 3.103354282499999783e+00, 1.566091187437499865e+00
2.038000000000000000e+03, 6.167087153437499358e-01, 4.206396838499999902e+00, 1.518465668062499940e+00, 1.890822306937499864e+00, 1.915329566953124785e-01, 4.611695046749999527e+00, 1.934781519937499805e+00, 6.650979848999999611e+00, 2.377334215124999872e+00, 3.863243767499999759e-01, 3.973261784624999571e+00, 3.717977679843749717e-01, 8.861234118749998778e-01, 3.272068186874999896e+00, 2.418335942624999735e+00, 2.536326408374999897e+00
2.039000000000000000e+03, -1.274622540749999811e+00, 3.311549287874999692e+00, 5.156142467343749480e-01, 2.226847133249999722e+00, 2.213168639624999656e+00, 5.337376348499999423e+00, 2.094116790374999759e+00, 5.601924953999999346e+00, 4.879559366999999703e+00, 2.494588512375000011e+00, 2.348224516124999717e+00, 1.394676520312500001e+00, 2.715209440874999824e+00, 3.927529657124999574e+00, 2.419453992374999807e+00, 3.299117205374999529e+00
