year, ACCESS-ESM1-5, NorESM2-MM, EC-Earth3-Veg, CanESM5, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, NorESM2-LM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR
2.015000000000000000e+03, 5.090158261043200127e+01, 3.538589581312000121e+01, 5.422421377023999867e+01, 1.124480906690560005e+02, 1.933888381255679860e+02, 3.054613959802879890e+02, 3.509056018841599922e+01, 1.087812791173119962e+02, 5.030242628403200200e+01, 3.303031806361600076e+01, 1.273823441715200033e+01, 2.883996383969279691e+02, 2.761647361884159864e+02
2.016000000000000000e+03, 5.140092289023999683e+01, 3.526456298700799863e+01, 5.368155891302399851e+01, 1.125740204523520021e+02, 1.940036895375359904e+02, 3.057932828671999914e+02, 3.509323615436800026e+01, 1.092001139261439988e+02, 5.125455006924799761e+01, 3.353918989926400229e+01, 1.168667731558399936e+01, 2.889733856296959971e+02, 2.762964708884479705e+02
2.017000000000000000e+03, 5.116014048051199836e+01, 3.517147670118399816e+01, 5.320546766028800079e+01, 1.133954245591040007e+02, 1.933439255183359933e+02, 3.069614468628479926e+02, 3.501523468287999918e+01, 1.091825565695999956e+02, 4.807585483980800234e+01, 3.351028275609599660e+01, 1.180452152934399912e+01, 2.891452849848320170e+02, 2.764653167902719701e+02
2.018000000000000000e+03, 5.120911736832000116e+01, 3.496492820070400143e+01, 5.286373254758400009e+01, 1.147358486200320016e+02, 1.920324840980480019e+02, 3.077150794055680194e+02, 3.549545522790399588e+01, 1.093625173770239911e+02, 4.888510385356799759e+01, 3.345812868300799892e+01, 1.231281245388800016e+01, 2.899152920903679842e+02, 2.767123445186559820e+02
2.019000000000000000e+03, 5.117455630335999928e+01, 3.487229699686400153e+01, 5.310267785215999936e+01, 1.155712868679679985e+02, 1.919289351208959999e+02, 3.081531325153279681e+02, 3.540659889766399715e+01, 1.098274811412480005e+02, 5.079159957094400113e+01, 3.342365150412799579e+01, 1.317474612019199931e+01, 2.905270900490239683e+02, 2.773057882030079782e+02
2.020000000000000000e+03, 5.127580260761600073e+01, 3.514341261311999887e+01, 5.366038606643199671e+01, 1.138153666641919983e+02, 1.927875762585599944e+02, 3.081407173754880091e+02, 3.551208564326400108e+01, 1.104643526492159964e+02, 5.142845849599999752e+01, 3.349247164415999833e+01, 1.190661088870399986e+01, 2.913332688322560102e+02, 2.776994991308799854e+02
2.021000000000000000e+03, 5.120163053567999611e+01, 3.561413305958399889e+01, 5.345882039910399897e+01, 1.136763506524159908e+02, 1.929128852848639895e+02, 3.081381336842239875e+02, 3.565436062924799643e+01, 1.108088560025599918e+02, 4.994464376422399710e+01, 3.386817642495999792e+01, 1.181192867020799930e+01, 2.920401264967679822e+02, 2.780560653025279976e+02
2.022000000000000000e+03, 5.132763162214399699e+01, 3.607346806783999682e+01, 5.360456826880000136e+01, 1.147443798343680044e+02, 1.928584767733759975e+02, 3.081871567093759836e+02, 3.569404293939199846e+01, 1.111841791016960030e+02, 4.950267317452799887e+01, 3.334123552767999854e+01, 1.277134949580799983e+01, 2.926787008921600091e+02, 2.788596603944960179e+02
2.023000000000000000e+03, 5.137822331699199907e+01, 3.635591249920000223e+01, 5.423809272217599897e+01, 1.150412275056639970e+02, 1.928203924930560049e+02, 3.080852854538239853e+02, 3.580796023603200240e+01, 1.117441102970879996e+02, 4.967684584243200163e+01, 3.330481009459199981e+01, 1.212261754470399922e+01, 2.922540695551999761e+02, 2.793527092183039713e+02
2.024000000000000000e+03, 5.091564191743999856e+01, 3.629540966399999746e+01, 5.460134880870399599e+01, 1.143801716408320033e+02, 1.943446361210880013e+02, 3.079441219583999896e+02, 3.577407445401600228e+01, 1.125274301235199914e+02, 5.062708219084800021e+01, 3.342645329919999853e+01, 1.236522342809599984e+01, 2.926396099788800029e+02, 2.795927072931839916e+02
