year, MIROC-ES2L, CanESM5, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, CESM2-WACCM, INM-CM5-0, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, INM-CM4-8
2.015000000000000000e+03, 5.535422302126079330e+02, 5.310685789552640017e+02, 4.842316250480640178e+02, 3.759905974517760114e+02, 3.435521858600960172e+02, 6.718585799966720060e+02, 3.690748947988479927e+02, 5.188222850170880065e+02, 4.836191895551999664e+02, 4.211936182927360051e+02, 4.965040243343360089e+02, 6.624462933852159949e+02, 4.287506803589120068e+02, 3.434949419991040145e+02, 5.587705475891200422e+02, 6.564334733885440301e+02
2.016000000000000000e+03, 5.542321428889599702e+02, 5.338578246696960150e+02, 4.849666013265920128e+02, 3.765721293127679701e+02, 3.429614265303039815e+02, 6.696057354321919775e+02, 3.698786576629759679e+02, 5.202155992514559557e+02, 4.829111910400000056e+02, 4.172434563399679632e+02, 4.970212994580479631e+02, 6.633180375285760420e+02, 4.298021084856320044e+02, 3.438788718100479969e+02, 5.592892655534079722e+02, 6.592538576158719934e+02
2.017000000000000000e+03, 5.556605886136319441e+02, 5.359448432312319710e+02, 4.849781776056319700e+02, 3.766808456724480152e+02, 3.414633553592319686e+02, 6.710419993395199754e+02, 3.702983229440000059e+02, 5.219741870325759692e+02, 4.832577412136959651e+02, 4.219494318735360139e+02, 4.990793940991999875e+02, 6.648277856419839509e+02, 4.325977295421440090e+02, 3.440262093209599925e+02, 5.595137447034879870e+02, 6.620588739133439731e+02
2.018000000000000000e+03, 5.574308197826560445e+02, 5.374150306693120456e+02, 4.855538709954560090e+02, 3.780774146867199761e+02, 3.411690158817280007e+02, 6.728587033968640299e+02, 3.712629122007039655e+02, 5.219672748195839631e+02, 4.839358427299840173e+02, 4.242530107391999650e+02, 4.999143290306560061e+02, 6.668864171540479902e+02, 4.334842040811519723e+02, 3.441273423790079846e+02, 5.598058024796159771e+02, 6.644260719820799750e+02
2.019000000000000000e+03, 5.577036844236799880e+02, 5.356145334026240334e+02, 4.858178437120000126e+02, 3.783926921297920103e+02, 3.425636051845119709e+02, 6.738231248814080345e+02, 3.728989927505920150e+02, 5.221630649303040173e+02, 4.844081549148160093e+02, 4.218262871080959826e+02, 5.013206959390719817e+02, 6.690063190589439728e+02, 4.299435739709439872e+02, 3.459361611448319991e+02, 5.597459413729279731e+02, 6.661401665863679682e+02
2.020000000000000000e+03, 5.580982509895679868e+02, 5.381936277094399657e+02, 4.865926491013119630e+02, 3.789402333511679899e+02, 3.430900742225919657e+02, 6.741471264767999401e+02, 3.736680938864639643e+02, 5.230074622115839702e+02, 4.854388464025599887e+02, 4.191207597015039710e+02, 5.036854109798400145e+02, 6.701875692830719800e+02, 4.288385594163199812e+02, 3.471361347420159973e+02, 5.602412047892479450e+02, 6.685902441021439699e+02
2.021000000000000000e+03, 5.593888886620160292e+02, 5.425469797171199389e+02, 4.865363447644160146e+02, 3.814521852395519659e+02, 3.435944644444160190e+02, 6.747194308689919353e+02, 3.741969117347840097e+02, 5.246012306227199815e+02, 4.865992257699840025e+02, 4.189127557775360060e+02, 5.058177615790079926e+02, 6.726301306060800016e+02, 4.315998878433280197e+02, 3.472670976901119957e+02, 5.610779852144639790e+02, 6.713125822791679411e+02
2.022000000000000000e+03, 5.606016464977919895e+02, 5.454620881059839803e+02, 4.862268051292160180e+02, 3.828745911664639721e+02, 3.434046470225919734e+02, 6.762331384053759393e+02, 3.759053020856320018e+02, 5.235880209940479517e+02, 4.870925094748159836e+02, 4.204831703039999979e+02, 5.079371937218559765e+02, 6.741861838356479666e+02, 4.311771691089920182e+02, 3.466168799068159956e+02, 5.620386486026239936e+02, 6.735986457313280198e+02
2.023000000000000000e+03, 5.618414492057600000e+02, 5.466896098918399503e+02, 4.875798204907520130e+02, 3.842980037263359918e+02, 3.451230365941759715e+02, 6.767655801323519427e+02, 3.775137002291199906e+02, 5.256404784906239911e+02, 4.868341739028479651e+02, 4.232712080588800063e+02, 5.100306882887679762e+02, 6.766670643200000086e+02, 4.299658541137919769e+02, 3.476688449044480080e+02, 5.624264036188160389e+02, 6.745857500119039969e+02
2.024000000000000000e+03, 5.628158699110399539e+02, 5.498682883440640126e+02, 4.889570621521920089e+02, 3.853148372336639795e+02, 3.462156695633919981e+02, 6.753058952314879662e+02, 3.783542387507200147e+02, 5.278253082214399683e+02, 4.869989597183999877e+02, 4.231541702000640157e+02, 5.115618441297920072e+02, 6.778787148595199596e+02, 4.297747280691199876e+02, 3.483406381875199713e+02, 5.628691207946239956e+02, 6.774429770055679683e+02
