year, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 1.335817771417599964e+01, 8.146465062912000121e+00, 1.824467084902400060e+01, 5.595861614591999711e+00, 1.274213721702400015e+01, 1.083577991167999910e+00, 2.931518865407999996e+00, 1.074437619712000025e+00, 8.413760061439999882e-01
2.016000000000000000e+03, 1.540979425279999937e+01, 8.010627284991999275e+00, 1.837801825894399954e+01, 5.678980136959999925e+00, 1.272390772326400032e+01, 1.082765279231999944e+00, 2.973310910463999868e+00, 1.002190143488000063e+00, 8.786484264959999457e-01
2.017000000000000000e+03, 1.538327576576000055e+01, 7.934919049215999998e+00, 1.848142882406400034e+01, 5.752596463616000300e+00, 1.271306859315200022e+01, 1.090114879488000010e+00, 3.013149458431999772e+00, 9.992945008639999571e-01, 9.173497937919999901e-01
2.018000000000000000e+03, 1.546139258060799904e+01, 7.844016947200000089e+00, 1.856439844863999866e+01, 5.821269803007999677e+00, 1.272900380262399977e+01, 1.099800117248000086e+00, 3.044174200831999855e+00, 1.022527995903999898e+00, 9.625854279679999514e-01
2.019000000000000000e+03, 1.559670397337600001e+01, 7.760622125055999909e+00, 1.863976799436800036e+01, 5.883257421824000133e+00, 1.271535553740799962e+01, 1.112535334911999962e+00, 3.069758406655999750e+00, 1.067212931071999993e+00, 9.899687936000000077e-01
2.020000000000000000e+03, 1.572965921587199922e+01, 7.694987558911999592e+00, 1.859964318515200077e+01, 5.936334766079999881e+00, 1.272446661427199999e+01, 1.128863367167999954e+00, 3.094143565823999964e+00, 1.140772700159999875e+00, 1.032601731071999929e+00
2.021000000000000000e+03, 1.585145446399999969e+01, 7.628071108608000195e+00, 1.860547955916799978e+01, 5.979905196031999992e+00, 1.283290510131199902e+01, 1.131212177407999953e+00, 3.101706944511999797e+00, 1.212553232384000035e+00, 1.022008229887999997e+00
2.022000000000000000e+03, 1.594895944908799912e+01, 7.567786901504000241e+00, 1.878873708953599930e+01, 6.018304573440000027e+00, 1.292583934361599951e+01, 1.137248436224000070e+00, 3.108320313344000052e+00, 1.300598489088000020e+00, 1.016995053567999907e+00
2.023000000000000000e+03, 1.605529763839999902e+01, 7.495302512639999470e+00, 1.896241692671999957e+01, 6.047361662975999863e+00, 1.292354925363200024e+01, 1.147799470080000050e+00, 3.117201752064000075e+00, 1.399041818623999900e+00, 1.008393453567999920e+00
2.024000000000000000e+03, 1.616661236940799995e+01, 7.441965645824000219e+00, 1.908784549068800018e+01, 6.065744248831999919e+00, 1.292973585203199960e+01, 1.162736959487999933e+00, 3.130341982207999862e+00, 1.502403493887999986e+00, 1.008059285504000036e+00
