year, MPI-ESM1-2-LR, GFDL-ESM4, INM-CM4-8, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, NorESM2-LM, IPSL-CM6A-LR, CanESM5, TaiESM1, CMCC-CM2-SR5, UKESM1-0-LL, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, INM-CM5-0
2.015000000000000000e+03, 1.516362044400000002e+02, 1.116548084519999975e+02, 1.657246916879999787e+02, 1.260960968159999851e+02, 1.176695435879999962e+02, 1.123589127239999925e+02, 1.157388465959999877e+02, 1.274087828159999845e+02, 1.539227694239999948e+02, 1.237247157599999952e+02, 1.080964754279999909e+02, 1.400618617199999960e+02, 1.213090187399999849e+02, 1.416260157839999749e+02, 1.126720809719999892e+02, 1.648404537839999762e+02
2.016000000000000000e+03, 1.526459871599999758e+02, 1.077023779199999893e+02, 1.651176236879999806e+02, 1.256535127079999938e+02, 1.165430855519999938e+02, 1.152129680279999917e+02, 1.151764729919999866e+02, 1.266115842719999875e+02, 1.541483464319999825e+02, 1.234276860599999850e+02, 1.078683755399999882e+02, 1.363386742559999902e+02, 1.227829325399999902e+02, 1.424059168320000026e+02, 1.127987610839999917e+02, 1.634573636639999847e+02
2.017000000000000000e+03, 1.528185521519999952e+02, 1.063613725919999951e+02, 1.684862519039999995e+02, 1.267248063959999911e+02, 1.175219235719999915e+02, 1.160749257479999841e+02, 1.162219229279999979e+02, 1.265393904839999948e+02, 1.554607013039999970e+02, 1.272267176039999867e+02, 1.141097362559999908e+02, 1.383141208319999862e+02, 1.231558457399999895e+02, 1.476677930399999923e+02, 1.143219025799999855e+02, 1.642045303439999770e+02
2.018000000000000000e+03, 1.548867303359999994e+02, 1.085357719079999868e+02, 1.657827179279999825e+02, 1.278171424799999869e+02, 1.172190281759999948e+02, 1.135483244999999926e+02, 1.169626641479999876e+02, 1.291776134039999988e+02, 1.526771447280000018e+02, 1.271783886839999838e+02, 1.118701441439999940e+02, 1.347327822959999821e+02, 1.249301162879999936e+02, 1.454649245999999891e+02, 1.156704923159999936e+02, 1.658991646079999782e+02
2.019000000000000000e+03, 1.529473294080000016e+02, 1.120427485559999923e+02, 1.645929277199999774e+02, 1.249872595199999950e+02, 1.183903698239999898e+02, 1.129799590559999842e+02, 1.160843707799999862e+02, 1.302490332360000025e+02, 1.522688323679999769e+02, 1.262161307159999950e+02, 1.095239524679999903e+02, 1.385221007520000001e+02, 1.232843391719999886e+02, 1.452932741519999809e+02, 1.170016268759999889e+02, 1.664924040719999994e+02
2.020000000000000000e+03, 1.570578104880000012e+02, 1.108077041879999882e+02, 1.694459869919999733e+02, 1.270428390719999925e+02, 1.199448659879999894e+02, 1.143981250919999866e+02, 1.161906786359999870e+02, 1.300513971239999762e+02, 1.592618615279999972e+02, 1.287462876479999920e+02, 1.082463029639999945e+02, 1.406200804559999824e+02, 1.224352796759999933e+02, 1.436528345039999977e+02, 1.177519865759999931e+02, 1.670794151759999977e+02
2.021000000000000000e+03, 1.629637464239999929e+02, 1.095710672519999918e+02, 1.686655498319999822e+02, 1.274327895959999921e+02, 1.185413405399999931e+02, 1.149986651399999857e+02, 1.158363637919999860e+02, 1.289991432959999997e+02, 1.606935801599999820e+02, 1.314642099239999880e+02, 1.099269510119999893e+02, 1.447981904879999888e+02, 1.237766555519999940e+02, 1.450247293439999794e+02, 1.191767278679999862e+02, 1.655318805839999925e+02
2.022000000000000000e+03, 1.602035264879999943e+02, 1.095386876639999940e+02, 1.671672429359999796e+02, 1.289920398120000016e+02, 1.187571256199999965e+02, 1.111897470599999878e+02, 1.182133267199999977e+02, 1.317271255559999759e+02, 1.594417428719999918e+02, 1.314261144359999776e+02, 1.133890519319999868e+02, 1.432522957679999820e+02, 1.256634544319999947e+02, 1.445462493839999922e+02, 1.185740118359999968e+02, 1.693227916079999886e+02
2.023000000000000000e+03, 1.612434733919999985e+02, 1.153296354599999916e+02, 1.663376411519999749e+02, 1.283941960919999872e+02, 1.204172437319999887e+02, 1.154982978719999949e+02, 1.203912265319999904e+02, 1.330445656079999992e+02, 1.599206170319999956e+02, 1.324920706559999815e+02, 1.140420678839999908e+02, 1.425904181999999878e+02, 1.228043612519999925e+02, 1.439525368799999967e+02, 1.184294665799999962e+02, 1.688340466800000002e+02
2.024000000000000000e+03, 1.611088304399999913e+02, 1.143217843199999919e+02, 1.708001270639999802e+02, 1.292783236199999806e+02, 1.203163916039999890e+02, 1.177301557799999898e+02, 1.191421959479999941e+02, 1.298567963520000035e+02, 1.629257455439999944e+02, 1.315032987959999957e+02, 1.134552617639999852e+02, 1.412188387199999795e+02, 1.195454073599999845e+02, 1.451290188959999909e+02, 1.178521527959999844e+02, 1.679783803919999912e+02
2.025000000000000000e+03, 1.629519519599999740e+02, 1.080580330439999983e+02, 1.700933579999999949e+02, 1.298081678399999817e+02, 1.212621641279999949e+02, 1.193088006359999866e+02, 1.215307168199999950e+02, 1.266369707519999963e+02, 1.641506353199999921e+02, 1.335488893200000007e+02, 1.108600539479999867e+02, 1.406910522239999750e+02, 1.253020834079999872e+02, 1.478787531119999983e+02, 1.184668052039999964e+02, 1.706970989519999762e+02
2.026000000000000000e+03, 1.679436592559999895e+02, 1.143811666079999867e+02, 1.754375116319999961e+02, 1.303584946919999936e+02, 1.231543477799999948e+02, 1.164190623479999971e+02, 1.204944596279999871e+02, 1.323477461519999849e+02, 1.637668421999999850e+02, 1.324156746959999964e+02, 1.095760499399999901e+02, 1.423769510159999925e+02, 1.265613158879999958e+02, 1.450529382959999793e+02, 1.217258063999999962e+02, 1.682859509999999830e+02
2.027000000000000000e+03, 1.657233356399999877e+02, 1.151747700479999850e+02, 1.721795747759999813e+02, 1.326846452399999805e+02, 1.230873810839999862e+02, 1.151003766239999919e+02, 1.202984003159999844e+02, 1.334135998799999925e+02, 1.614971489759999770e+02, 1.329750602639999784e+02, 1.152792172799999975e+02, 1.425263055119999933e+02, 1.246301379719999858e+02, 1.450102700879999986e+02, 1.188671862599999969e+02, 1.724735218319999888e+02
2.028000000000000000e+03, 1.635159102479999831e+02, 1.127620137599999879e+02, 1.694818434239999760e+02, 1.314755944199999931e+02, 1.256832590399999958e+02, 1.207573673759999906e+02, 1.226254023359999934e+02, 1.320471844199999794e+02, 1.623653665919999867e+02, 1.347206094000000007e+02, 1.150692900119999962e+02, 1.418067485999999917e+02, 1.218612771719999870e+02, 1.452719242799999790e+02, 1.209243426119999896e+02, 1.743972178319999955e+02
2.029000000000000000e+03, 1.644615645119999954e+02, 1.122497745119999877e+02, 1.715294128319999913e+02, 1.309299270119999790e+02, 1.254212973719999837e+02, 1.186189190999999852e+02, 1.234887082199999924e+02, 1.324873402559999818e+02, 1.661708630159999984e+02, 1.334732975279999891e+02, 1.139769933479999935e+02, 1.476123685199999898e+02, 1.212532315559999887e+02, 1.456909431119999851e+02, 1.220610340799999847e+02, 1.741676672879999899e+02
