year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, NorESM2-LM, TaiESM1, CNRM-ESM2-1
2.032000000000000000e+03, 1.309587202375679908e+03, 1.789012792573951856e+03, 1.466474304634879900e+03, 1.882565233344511853e+03, 5.614151401471999634e+02, 8.689293291683840152e+02, 2.897922345664511795e+03, 1.207830837198848030e+03, 7.244523335843839504e+02, 1.358921344221183972e+03, 2.455998933499904069e+03, 5.142476750847999938e+02, 1.602062664073215956e+03
2.033000000000000000e+03, 1.309555392774143911e+03, 1.790370002239488031e+03, 1.466998827515903940e+03, 1.883099419901951933e+03, 5.619235904552959937e+02, 8.692362180034559742e+02, 2.898274264547328130e+03, 1.207863049453568010e+03, 7.254656103219199395e+02, 1.358911412109311868e+03, 2.456561037344768010e+03, 5.148210867732479983e+02, 1.603151975153663898e+03
2.034000000000000000e+03, 1.309910398664703962e+03, 1.791416363646975924e+03, 1.467519592300543991e+03, 1.883536432824319945e+03, 5.625004918046720377e+02, 8.695870631444479386e+02, 2.898423783096319767e+03, 1.208296572715007869e+03, 7.261014668083199695e+02, 1.358873831145471968e+03, 2.457065159131136170e+03, 5.147463274987519526e+02, 1.604230414598144080e+03
2.035000000000000000e+03, 1.310201919569919937e+03, 1.791046325370879913e+03, 1.468187862368255992e+03, 1.883971298263039898e+03, 5.631428914053119570e+02, 8.698481166254080108e+02, 2.898243126034431953e+03, 1.209432188911615867e+03, 7.267582612602880090e+02, 1.358771288801279979e+03, 2.457451706187775926e+03, 5.145609392619519440e+02, 1.604984584011775951e+03
2.036000000000000000e+03, 1.310227689373695966e+03, 1.791748552523775970e+03, 1.468861366927359995e+03, 1.884560782524416027e+03, 5.636699644231680395e+02, 8.701990959841280073e+02, 2.898331978170368075e+03, 1.210157501513727993e+03, 7.277061739642880411e+02, 1.358492115927040004e+03, 2.457844158824447732e+03, 5.147352209817599942e+02, 1.606033763991551950e+03
2.037000000000000000e+03, 1.310173196976127883e+03, 1.792816388767744002e+03, 1.469494740385792056e+03, 1.885237239873536055e+03, 5.642234783334399708e+02, 8.703100940451839733e+02, 2.899063196352512023e+03, 1.210418286559232001e+03, 7.284889317539839340e+02, 1.358216432713727954e+03, 2.458248959492095764e+03, 5.151433099837439613e+02, 1.607708801236992031e+03
2.038000000000000000e+03, 1.310072802115583954e+03, 1.793443588210687949e+03, 1.470079392808959938e+03, 1.885765655068672004e+03, 5.647210234511360341e+02, 8.701764802969599941e+02, 2.899764081328127759e+03, 1.210962673664000022e+03, 7.292029700669439762e+02, 1.358027991023615868e+03, 2.458782609178624170e+03, 5.149265483530240317e+02, 1.609183585632255927e+03
2.039000000000000000e+03, 1.310121120497663924e+03, 1.793583040430080018e+03, 1.470603647254527914e+03, 1.886134351167487921e+03, 5.651120668016640138e+02, 8.703098927185919820e+02, 2.899960039211007825e+03, 1.211732680769536046e+03, 7.296687055831039288e+02, 1.357888404586495881e+03, 2.459397057937408135e+03, 5.153765132861440179e+02, 1.610442682138623923e+03
2.040000000000000000e+03, 1.309967038545919877e+03, 1.793975224631295987e+03, 1.471174341033983865e+03, 1.886584383209471980e+03, 5.655781378621439899e+02, 8.706746965032959906e+02, 2.899895346266112028e+03, 1.212669654728704018e+03, 7.298999627284480312e+02, 1.357887330844672078e+03, 2.460071099367423813e+03, 5.155332124835839522e+02, 1.611559239417855906e+03
2.041000000000000000e+03, 1.310043945304063982e+03, 1.795050845503488063e+03, 1.471886366081023880e+03, 1.887049716072448064e+03, 5.660972920340479959e+02, 8.711254667427839422e+02, 2.899896688443392122e+03, 1.213796412555263942e+03, 7.312027471052799683e+02, 1.358199252844543935e+03, 2.460718028816384049e+03, 5.152104524021759744e+02, 1.612761427607551923e+03
