year, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, INM-CM4-8, CESM2-WACCM, INM-CM5-0, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-MM
2.015000000000000000e+03, 2.876338195800781250e+02, 2.871833496093750000e+02, 2.882972717285156250e+02, 2.873479309082031250e+02, 2.882709655761718750e+02, 2.873386840820312500e+02, 2.876272888183593750e+02, 2.887539672851562500e+02, 2.881834716796875000e+02, 2.883930053710937500e+02, 2.882827758789062500e+02, 2.872819824218750000e+02, 2.892255554199218750e+02, 2.886073608398437500e+02, 2.875907592773437500e+02, 2.880711975097656250e+02
2.016000000000000000e+03, 2.877544860839843750e+02, 2.873466491699218750e+02, 2.882119445800781250e+02, 2.873798217773437500e+02, 2.883628845214843750e+02, 2.872557983398437500e+02, 2.876135559082031250e+02, 2.887808837890625000e+02, 2.881113586425781250e+02, 2.884133605957031250e+02, 2.884823913574218750e+02, 2.874648132324218750e+02, 2.888304443359375000e+02, 2.886180114746093750e+02, 2.878252258300781250e+02, 2.878299255371093750e+02
2.017000000000000000e+03, 2.877991333007812500e+02, 2.876874084472656250e+02, 2.881545715332031250e+02, 2.875052795410156250e+02, 2.882970886230468750e+02, 2.873334960937500000e+02, 2.877675781250000000e+02, 2.886844482421875000e+02, 2.878258056640625000e+02, 2.885463562011718750e+02, 2.886123657226562500e+02, 2.876034240722656250e+02, 2.889264526367187500e+02, 2.884884948730468750e+02, 2.877960510253906250e+02, 2.878251037597656250e+02
2.018000000000000000e+03, 2.877544860839843750e+02, 2.875116271972656250e+02, 2.885260620117187500e+02, 2.875453796386718750e+02, 2.883058166503906250e+02, 2.874557800292968750e+02, 2.878496398925781250e+02, 2.887369079589843750e+02, 2.878913879394531250e+02, 2.886676940917968750e+02, 2.883632507324218750e+02, 2.876164245605468750e+02, 2.891341552734375000e+02, 2.883921203613281250e+02, 2.876557922363281250e+02, 2.879732971191406250e+02
2.019000000000000000e+03, 2.879649047851562500e+02, 2.874005432128906250e+02, 2.886445617675781250e+02, 2.875554199218750000e+02, 2.882282714843750000e+02, 2.875075988769531250e+02, 2.878817443847656250e+02, 2.887505187988281250e+02, 2.882594299316406250e+02, 2.885983581542968750e+02, 2.883341979980468750e+02, 2.873941345214843750e+02, 2.891857910156250000e+02, 2.884696350097656250e+02, 2.878237609863281250e+02, 2.879171447753906250e+02
2.020000000000000000e+03, 2.877521667480468750e+02, 2.874169616699218750e+02, 2.885729980468750000e+02, 2.874963378906250000e+02, 2.880868530273437500e+02, 2.873873291015625000e+02, 2.878517761230468750e+02, 2.887319030761718750e+02, 2.882375183105468750e+02, 2.885821838378906250e+02, 2.883810729980468750e+02, 2.874964294433593750e+02, 2.892224426269531250e+02, 2.887333068847656250e+02, 2.878363647460937500e+02, 2.876459655761718750e+02
2.021000000000000000e+03, 2.878458557128906250e+02, 2.875928955078125000e+02, 2.884218139648437500e+02, 2.875424804687500000e+02, 2.882242431640625000e+02, 2.874132995605468750e+02, 2.878003845214843750e+02, 2.888582153320312500e+02, 2.880013122558593750e+02, 2.886831665039062500e+02, 2.885902404785156250e+02, 2.877036437988281250e+02, 2.892893676757812500e+02, 2.888425598144531250e+02, 2.877057189941406250e+02, 2.876597290039062500e+02
2.022000000000000000e+03, 2.879656372070312500e+02, 2.872964172363281250e+02, 2.886865844726562500e+02, 2.875678405761718750e+02, 2.882719421386718750e+02, 2.875939025878906250e+02, 2.879018249511718750e+02, 2.887804565429687500e+02, 2.880359802246093750e+02, 2.885773010253906250e+02, 2.885398254394531250e+02, 2.876939392089843750e+02, 2.892794494628906250e+02, 2.887593688964843750e+02, 2.876882629394531250e+02, 2.877077636718750000e+02
2.023000000000000000e+03, 2.879906921386718750e+02, 2.873753967285156250e+02, 2.889005737304687500e+02, 2.875579528808593750e+02, 2.883587036132812500e+02, 2.874930114746093750e+02, 2.878878479003906250e+02, 2.889554748535156250e+02, 2.881040344238281250e+02, 2.882825317382812500e+02, 2.885258789062500000e+02, 2.874564208984375000e+02, 2.894448547363281250e+02, 2.884544982910156250e+02, 2.877364196777343750e+02, 2.878469543457031250e+02
2.024000000000000000e+03, 2.878475341796875000e+02, 2.874560241699218750e+02, 2.887413635253906250e+02, 2.875915222167968750e+02, 2.885426940917968750e+02, 2.875036621093750000e+02, 2.881894836425781250e+02, 2.891423034667968750e+02, 2.881660461425781250e+02, 2.880877075195312500e+02, 2.885609436035156250e+02, 2.876011047363281250e+02, 2.894291992187500000e+02, 2.884732055664062500e+02, 2.880308837890625000e+02, 2.878465270996093750e+02
