year, CanESM5, NorESM2-MM, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR, CMCC-CM2-SR5, UKESM1-0-LL, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L
2.015000000000000000e+03, 8.141493805199999656e+01, 4.079181205799999788e+01, 4.236097246199999944e+01, 4.448152799999999729e+01, 4.620845906999999642e+01, 4.510044170999999835e+01, 4.386498737399999470e+01, 4.086175102199999998e+01, 6.655993678800000168e+01, 4.211420326199999664e+01, 6.535034591400000181e+01, 4.512682157399999738e+01, 4.899157414199999749e+01, 6.162344508599999671e+01
2.016000000000000000e+03, 8.182326617999999030e+01, 4.051598243399999433e+01, 4.248834636599999470e+01, 4.538066666399999605e+01, 4.643974409399999814e+01, 4.352189934599999788e+01, 4.504421302199999388e+01, 4.104042611399999885e+01, 6.671323328399999752e+01, 4.385255430599999471e+01, 6.542832655799999486e+01, 4.580025708599999490e+01, 4.999590901799999898e+01, 5.962555670399999741e+01
2.017000000000000000e+03, 8.171192833199999939e+01, 4.031892185399999562e+01, 4.225327702199999891e+01, 4.599250054199999482e+01, 4.747464129599999438e+01, 4.286304923399999467e+01, 4.517700717599999649e+01, 4.170973040999999881e+01, 6.649353773999999362e+01, 4.285227180599999741e+01, 6.540860078999999416e+01, 4.554781928999999963e+01, 4.948843564799999939e+01, 5.996765923199999548e+01
2.018000000000000000e+03, 8.128690189199998883e+01, 4.142563835400000016e+01, 4.205581829999999854e+01, 4.527362165399999583e+01, 4.731156863999999729e+01, 4.281530767199999588e+01, 4.468167516599999800e+01, 4.172566003199999329e+01, 6.686774391599999490e+01, 4.254312439799999623e+01, 6.447768172199999981e+01, 4.481094122999999740e+01, 4.973451499799999453e+01, 6.078004235999999594e+01
2.019000000000000000e+03, 8.378964615599998922e+01, 4.174475902199999666e+01, 4.233843210599999907e+01, 4.498658886599999818e+01, 4.723314254999999662e+01, 4.398229735199999624e+01, 4.507134580799999668e+01, 4.197221242199999836e+01, 6.681798010800000043e+01, 4.278601861199999945e+01, 6.645440156399999410e+01, 4.425751596599999971e+01, 4.999892858999999845e+01, 6.091490606399999308e+01
2.020000000000000000e+03, 8.540078097599999296e+01, 4.134186296999999399e+01, 4.262924527199999858e+01, 4.477778900999999934e+01, 4.738145241599999480e+01, 4.350758988599999810e+01, 4.514384707199999980e+01, 4.133257561799999991e+01, 6.785880213599999422e+01, 4.309322655599999763e+01, 6.641480811599998901e+01, 4.497792434999999500e+01, 4.954685214599999910e+01, 6.135007526999999783e+01
2.021000000000000000e+03, 8.392214465999998652e+01, 4.142221669799999972e+01, 4.266084828599999668e+01, 4.613333637599999548e+01, 4.764008309399999774e+01, 4.227051144599999333e+01, 4.475444054399999771e+01, 4.138531169399999499e+01, 6.850526648399998919e+01, 4.295207536199999510e+01, 6.695870950799999832e+01, 4.593842812799999820e+01, 5.001788960999999745e+01, 6.155871350399999642e+01
2.022000000000000000e+03, 8.429616950399999098e+01, 4.109265761399999661e+01, 4.251008255400000024e+01, 4.553626528799999562e+01, 4.747374251999999473e+01, 4.410701828999999918e+01, 4.529949694199999755e+01, 4.240511103599999387e+01, 6.835118158799998866e+01, 4.332794900399999705e+01, 6.682733841599998925e+01, 4.498788184199999307e+01, 4.996196445599999691e+01, 6.160275746999999313e+01
2.023000000000000000e+03, 8.624190128399999367e+01, 4.159693007999999992e+01, 4.254370781399999402e+01, 4.539907186199999956e+01, 4.806564564599999301e+01, 4.375072850399999425e+01, 4.562417188799999934e+01, 4.268828460599999630e+01, 6.912335631599999886e+01, 4.251374072999999498e+01, 6.597140407199999856e+01, 4.509538806599999816e+01, 5.044536797399999273e+01, 6.242242147199999636e+01
2.024000000000000000e+03, 8.625961663199998952e+01, 4.158476900999999515e+01, 4.319325874799999809e+01, 4.526315170199999471e+01, 4.767763458599999637e+01, 4.323622260599999834e+01, 4.535783854199999610e+01, 4.224452578199999664e+01, 6.949164949199999342e+01, 4.321527087599999817e+01, 6.623942065199999263e+01, 4.617818056799999482e+01, 5.056202752199999395e+01, 6.216072391799999508e+01
2.025000000000000000e+03, 8.635840315199999395e+01, 4.155164832599999869e+01, 4.292402408999999608e+01, 4.603645384199999313e+01, 4.787438768999999894e+01, 4.333677514199999337e+01, 4.570618519800000001e+01, 4.228923200399999871e+01, 7.001281342800000118e+01, 4.378577682599999576e+01, 6.793639646399999776e+01, 4.611763538999999668e+01, 4.948930682999999675e+01, 6.128016784199999734e+01
2.026000000000000000e+03, 8.637280721999999855e+01, 4.214001153599999583e+01, 4.331974570199999874e+01, 4.464099372599999782e+01, 4.815255491999999293e+01, 4.374139778999999351e+01, 4.576159394999999819e+01, 4.256180553599999428e+01, 7.082712025200000028e+01, 4.375288477799999498e+01, 6.751979801999999609e+01, 4.547966210999999959e+01, 4.987156256999999471e+01, 6.137708191199999419e+01
2.027000000000000000e+03, 8.702515303199999153e+01, 4.188231905399999988e+01, 4.368397073399999897e+01, 4.650407753399999677e+01, 4.867965944999999550e+01, 4.363551172799999733e+01, 4.583970073799999767e+01, 4.287768193799999494e+01, 6.933795879599999523e+01, 4.438968334199999788e+01, 6.777324496800000020e+01, 4.542664220999999714e+01, 5.043784269599999703e+01, 6.230083836599999358e+01
2.028000000000000000e+03, 8.908949170799999706e+01, 4.234320192599999899e+01, 4.428845278199999314e+01, 4.538297273399999909e+01, 4.884648883199999858e+01, 4.293184501799999708e+01, 4.679420479199999505e+01, 4.349038699799999819e+01, 6.993467510399999298e+01, 4.265071734599999331e+01, 6.763159313999999256e+01, 4.627077026399999937e+01, 5.074868910599999339e+01, 6.374172608999999312e+01
