year, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, CESM2-WACCM, ACCESS-ESM1-5, INM-CM5-0, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5
2.015000000000000000e+03, 2.967170777264982462e+00, 3.040308959316462278e+00, 3.125445416662842035e+00, 3.108909283764660358e+00, 3.213696170132607222e+00, 2.929957013111561537e+00, 2.932379802223294973e+00, 3.258459619246423244e+00, 3.033281362149864435e+00, 2.938273956533521414e+00, 2.865128230769187212e+00, 3.109394595958292484e+00, 2.876724803354591131e+00, 3.021064947824925184e+00, 2.827264135703444481e+00, 2.905428002122789621e+00
2.016000000000000000e+03, 2.973021240904927254e+00, 3.045086644124239683e+00, 3.120577521622180939e+00, 3.108924999833106995e+00, 3.172398428432643414e+00, 2.936753898393362761e+00, 2.957093634176999331e+00, 3.244888794142752886e+00, 3.027357032988220453e+00, 2.946845500264316797e+00, 2.842485776636749506e+00, 3.115183452609926462e+00, 2.862955641467124224e+00, 3.017432650085538626e+00, 2.848769375123083591e+00, 2.905272727366536856e+00
2.017000000000000000e+03, 2.983022318221628666e+00, 3.058692987542599440e+00, 3.092290798667818308e+00, 3.111721517052501440e+00, 3.172147599980235100e+00, 2.982289006467908621e+00, 2.938420115970075130e+00, 3.245709172915667295e+00, 3.027436241973191500e+00, 2.956823632121086121e+00, 2.869851223658770323e+00, 3.086255199741572142e+00, 2.847608586307615042e+00, 3.068832051940262318e+00, 2.841066301334649324e+00, 2.891350805293768644e+00
2.018000000000000000e+03, 2.965592883992940187e+00, 3.042760980315506458e+00, 3.105203434824943542e+00, 3.124246280640363693e+00, 3.204490954522043467e+00, 2.930191496852785349e+00, 2.943254064302891493e+00, 3.236891201231628656e+00, 3.045721258968114853e+00, 2.951521344948559999e+00, 2.872146083973348141e+00, 3.075779182836413383e+00, 2.867655374575406313e+00, 3.060018795076757669e+00, 2.835421718191355467e+00, 2.884698193520307541e+00
2.019000000000000000e+03, 2.976205630693584681e+00, 3.041476663202047348e+00, 3.102261386811733246e+00, 3.128291910979896784e+00, 3.190120495855808258e+00, 2.932653576135635376e+00, 2.931025391444563866e+00, 3.229080943856388330e+00, 3.050515288487076759e+00, 2.939804387278854847e+00, 2.873875794466584921e+00, 3.110571415163576603e+00, 2.889718220103532076e+00, 3.037799103185534477e+00, 2.848261431790888309e+00, 2.903194434475153685e+00
2.020000000000000000e+03, 2.957964933011680841e+00, 3.061253763735294342e+00, 3.127355547621846199e+00, 3.134766616858541965e+00, 3.198009647894650698e+00, 2.947059867437928915e+00, 2.918982796836644411e+00, 3.231705841608345509e+00, 3.048992087133228779e+00, 2.943828643765300512e+00, 2.850056521128863096e+00, 3.125702531542629004e+00, 2.845747175160795450e+00, 3.022876696195453405e+00, 2.858363406267017126e+00, 2.933469554409384727e+00
2.021000000000000000e+03, 2.972561703063547611e+00, 3.053262142930179834e+00, 3.132401977200061083e+00, 3.132860572077333927e+00, 3.203947178553789854e+00, 2.950382872950285673e+00, 2.927691384684294462e+00, 3.243909368757158518e+00, 3.035150945652276278e+00, 2.948105928953737020e+00, 2.866674691904336214e+00, 3.095529880374670029e+00, 2.842903824057430029e+00, 3.055441018659621477e+00, 2.843554469291120768e+00, 2.910877706017345190e+00
2.022000000000000000e+03, 2.969145029783248901e+00, 3.048998373560607433e+00, 3.124456561636179686e+00, 3.109277039766311646e+00, 3.203703265171498060e+00, 2.950288262218236923e+00, 2.934223925694823265e+00, 3.233780676964670420e+00, 3.062180068809539080e+00, 2.945380448363721371e+00, 2.894693927373737097e+00, 3.092412755358964205e+00, 2.824329317081719637e+00, 3.028735646512359381e+00, 2.842956001404672861e+00, 2.915887359995394945e+00
2.023000000000000000e+03, 2.976732747629284859e+00, 3.050180221907794476e+00, 3.104798274580389261e+00, 3.107424115296453238e+00, 3.212534124031662941e+00, 2.944119705352932215e+00, 2.931089827325195074e+00, 3.235001186840236187e+00, 3.064180410001426935e+00, 2.938554645515978336e+00, 2.852505398914217949e+00, 3.094875148963183165e+00, 2.847803465556353331e+00, 3.024390467908233404e+00, 2.834444807376712561e+00, 2.935227239504456520e+00
2.024000000000000000e+03, 2.962318912614136934e+00, 3.060168412048369646e+00, 3.093251993414014578e+00, 3.145208372734487057e+00, 3.206289501395076513e+00, 2.946249546948820353e+00, 2.967414376325905323e+00, 3.253436763770878315e+00, 3.049887588713318110e+00, 2.947884646710008383e+00, 2.830050594639033079e+00, 3.098711126949638128e+00, 2.849967882502824068e+00, 3.022742795292288065e+00, 2.857354434672743082e+00, 2.926865976769477129e+00
