year, MIROC-ES2L, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, UKESM1-0-LL, CanESM5, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1
2.025000000000000000e+03, 7.083205563599999266e+01, 8.197795814399999870e+01, 7.810490372399999615e+01, 5.449015956599999555e+01, 6.173033241599999599e+01, 5.051018627999999921e+01, 5.303420157599999385e+01, 4.667788031399999937e+01, 4.622955665399999958e+01, 4.944202648199999572e+01, 5.080540660199999792e+01, 7.025605059599999436e+01, 9.042694923599999868e+01, 5.436522970199999349e+01, 8.211112678799999287e+01, 5.289585314399999305e+01
2.026000000000000000e+03, 7.111148036399998773e+01, 8.032743485999999677e+01, 8.087187236399999790e+01, 5.839459230599999273e+01, 6.110709827399999483e+01, 4.981227883199999695e+01, 5.279312462399999362e+01, 4.716249796799999672e+01, 4.494346338599999768e+01, 5.103669950999999827e+01, 5.134519648799999914e+01, 7.156830297599999824e+01, 9.019955890799998599e+01, 5.794976519999999454e+01, 8.466746648399998776e+01, 5.170538885399999884e+01
2.027000000000000000e+03, 7.234712391600000103e+01, 8.289455986799998755e+01, 7.884403660799999614e+01, 5.875320392999999797e+01, 6.042931867799999424e+01, 4.987168871399999404e+01, 5.161134061799999273e+01, 5.066976238199999472e+01, 4.654228339799999503e+01, 4.925546344799999332e+01, 5.149554042599999804e+01, 7.176129541199999551e+01, 8.734113586799999496e+01, 5.822037561599999833e+01, 8.221382377199999780e+01, 5.088332417399999485e+01
2.028000000000000000e+03, 7.093338868799999375e+01, 8.369241278399999828e+01, 7.712957408399999792e+01, 5.732516318399999733e+01, 6.114970340999999365e+01, 5.102224025399999618e+01, 5.015524465799999376e+01, 4.916746223999999899e+01, 4.602852253799999716e+01, 5.053090148999999798e+01, 5.248251473399999867e+01, 7.136386297199999262e+01, 8.807147809199999244e+01, 5.751471425399999760e+01, 8.112062044799999683e+01, 5.433057952199999363e+01
2.029000000000000000e+03, 7.120372316399999590e+01, 8.352370306799998900e+01, 7.880415145199999927e+01, 5.671442518199999228e+01, 6.088070132999999373e+01, 5.161329584999999298e+01, 5.042579594399999365e+01, 4.708278678599999978e+01, 4.542861715199999395e+01, 5.106388354199999924e+01, 5.265890346599999816e+01, 7.470522831599998881e+01, 9.192163737599999251e+01, 5.742282623399999864e+01, 8.259633179999998731e+01, 5.301327743999999598e+01
2.030000000000000000e+03, 7.278955822799998998e+01, 8.401605886799998757e+01, 8.237652587999998843e+01, 5.717981375999999472e+01, 6.204328385399999490e+01, 5.145536356199999517e+01, 5.345212058999999272e+01, 4.787313019199999786e+01, 4.766562725399999323e+01, 5.098099116599999547e+01, 5.243761929599999405e+01, 7.448585601599999961e+01, 9.292081611599999746e+01, 5.812059571199999652e+01, 8.301152689199999202e+01, 5.171946967799999584e+01
2.031000000000000000e+03, 7.395378062399998953e+01, 8.501086987199998646e+01, 8.053331763599999249e+01, 6.005017711799999347e+01, 5.954169853799999856e+01, 5.070008030399999654e+01, 5.331281030999999615e+01, 4.697665237799999716e+01, 4.773769489799999377e+01, 5.119074498599999856e+01, 5.202662637599999584e+01, 7.102197331200000008e+01, 9.071474677199999803e+01, 5.971945514399999411e+01, 8.292876854399999331e+01, 5.157244490399999393e+01
2.032000000000000000e+03, 7.256710328399999810e+01, 8.497798570799999140e+01, 7.992100677599999869e+01, 5.723481254399999330e+01, 6.471176162399999043e+01, 5.135883974999999424e+01, 5.308013770199999470e+01, 4.842608241599999275e+01, 4.561158508199999773e+01, 5.184300801599999886e+01, 5.246633676599999774e+01, 7.405206256799999665e+01, 9.173479445999998916e+01, 5.888332146599999817e+01, 8.239036229999999250e+01, 5.241934418399999629e+01
2.033000000000000000e+03, 7.167737811599999986e+01, 8.415431269199999065e+01, 7.857363117599999214e+01, 5.674805044199999315e+01, 6.256683664199999839e+01, 5.049410291999999600e+01, 5.310508267799999516e+01, 4.987877248799999563e+01, 4.631238201599999371e+01, 5.233083839999999753e+01, 5.335585300799999686e+01, 7.577800419599999771e+01, 9.436338313199999561e+01, 5.902076323799999358e+01, 8.434617771599999969e+01, 5.263423048799999293e+01
2.034000000000000000e+03, 7.475141278799999611e+01, 8.446493440799999064e+01, 8.103240637199999696e+01, 5.736795753599999870e+01, 6.269468752799999578e+01, 5.091826211999999430e+01, 5.246874532799999713e+01, 4.932400300199999776e+01, 4.888063837799999334e+01, 5.207150604599999610e+01, 5.377392575999999735e+01, 7.230409304399999826e+01, 9.241129684799999211e+01, 6.235361386199999600e+01, 8.289453621599999167e+01, 5.205847379399999397e+01
2.035000000000000000e+03, 7.462635677999999473e+01, 8.517022916399999133e+01, 8.038707731999998884e+01, 5.938177948199999889e+01, 6.009369285599999699e+01, 5.134732910999999689e+01, 5.372720911799999755e+01, 5.086886097599999346e+01, 4.721261261399999398e+01, 5.255592659999999938e+01, 5.455089001799999693e+01, 7.596969577199999435e+01, 9.160940732399998865e+01, 5.985719256599999483e+01, 8.429215654799999413e+01, 5.554212956999999307e+01
2.036000000000000000e+03, 7.414931170799999904e+01, 8.648450773199999730e+01, 7.897419356399998946e+01, 5.845990730399999791e+01, 6.316091180999999466e+01, 5.285424139199999871e+01, 5.298007397399999263e+01, 4.834922918399999503e+01, 4.648166332199999573e+01, 5.188526625599999420e+01, 5.375064824999999757e+01, 7.551122540400000105e+01, 9.116228991599999176e+01, 5.890530205799999663e+01, 8.749863453599999730e+01, 5.736746478599999222e+01
2.037000000000000000e+03, 7.418665821599999788e+01, 8.786113297199999295e+01, 7.963186107599999275e+01, 5.914926849599999770e+01, 6.355113038999999731e+01, 5.333110907399999689e+01, 5.086580198399999375e+01, 4.879378823399999732e+01, 4.855247476199999568e+01, 5.147799064199999464e+01, 5.298180451199999652e+01, 7.513859602799999493e+01, 9.268300313999999673e+01, 6.119612834399999457e+01, 8.651059588799999744e+01, 5.404723644599999233e+01
2.038000000000000000e+03, 7.512765303599999811e+01, 8.591175878399999988e+01, 7.914660875999999234e+01, 6.021615896999999507e+01, 6.396228098999999645e+01, 5.256889972199999761e+01, 5.187831256799999835e+01, 4.945606000199999386e+01, 4.756385269799999804e+01, 5.244841643399999498e+01, 5.428379586599999840e+01, 7.583677153200000021e+01, 9.431653640399999006e+01, 6.090199207199999876e+01, 8.689511433599999179e+01, 5.430537437399999590e+01
