year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.860000000000000000e+03, 1.597847018020315479e+00, 1.030894405758434829e+01, 1.094190011548666686e+00, 9.878707318999170539e+00, 3.932293295337959016e+00, 1.368495150498558743e+00, 1.234676207242386026e+00, 7.216945694627811214e+00, 6.611777062764705448e-01, 1.707825847202389280e+00, 2.606846882531204113e+00, 1.266670909275156465e+00, 7.591243508740630475e+00
1.861000000000000000e+03, 1.551503274536741639e+00, 1.040991412325685062e+01, 1.131611108306635805e+00, 9.946906761331767655e+00, 3.937490672309687412e+00, 1.351643905638926668e+00, 1.236795499579930846e+00, 7.212237605041544874e+00, 6.813408336092980910e-01, 1.717235800479427477e+00, 2.560522195432702208e+00, 1.233074407365398750e+00, 7.588007927026843014e+00
1.862000000000000000e+03, 1.654431647809066597e+00, 1.037244210442280945e+01, 1.105633826944478759e+00, 9.908304555826052962e+00, 3.946557390531444387e+00, 1.361711162341622261e+00, 1.238905710461237986e+00, 7.287947376187172921e+00, 4.644246597830889445e-01, 1.641456422905836821e+00, 2.594541007989108916e+00, 1.260351841976087073e+00, 7.564785497717668505e+00
1.863000000000000000e+03, 1.673326824521653045e+00, 1.028809362192730426e+01, 1.172464634105987002e+00, 9.917338955067329209e+00, 3.953768267098966671e+00, 1.354300250358747570e+00, 1.237085940771642578e+00, 7.225630247393358907e+00, 5.149787977728823574e-01, 1.499330742909304570e+00, 2.603243218789042857e+00, 1.273822453800660170e+00, 7.483695191735568741e+00
1.864000000000000000e+03, 1.711486902083734885e+00, 1.028947216171691537e+01, 1.158266070846387219e+00, 1.001969279332587526e+01, 3.970031955805778168e+00, 1.377035944706823889e+00, 1.202975651330668638e+00, 7.237205155732016060e+00, 5.905865134776527858e-01, 1.651364620038560993e+00, 2.521212535065468607e+00, 1.303710358993881879e+00, 7.465476304364861981e+00
1.865000000000000000e+03, 1.722109611109850835e+00, 1.029385714094522619e+01, 1.081831570921485186e+00, 1.007763036783843269e+01, 3.963668847209998791e+00, 1.365999758482844495e+00, 1.192790792564570213e+00, 7.201968685651184643e+00, 6.062848593828387145e-01, 1.743334786840026851e+00, 2.502316623857028244e+00, 1.308548590497368380e+00, 7.447092060518323287e+00
1.866000000000000000e+03, 1.722580454681202466e+00, 1.019856946156400568e+01, 1.100546829405340654e+00, 1.002239892717950553e+01, 3.939955036544809275e+00, 1.381039290920400786e+00, 1.189993431029232163e+00, 7.238515347311542669e+00, 5.781538247860793511e-01, 1.568346655309855286e+00, 2.572170539979952597e+00, 1.309899345928347669e+00, 7.422855164444487563e+00
1.867000000000000000e+03, 1.680797253447696482e+00, 1.025484342400796223e+01, 1.142557195065364128e+00, 9.945882405433311035e+00, 3.928159143038643553e+00, 1.342418610942431201e+00, 1.195602057873747626e+00, 7.198616726751343897e+00, 4.664268779285505317e-01, 1.689761097516708999e+00, 2.636956760792295018e+00, 1.255637253560664801e+00, 7.443125612713551220e+00
1.868000000000000000e+03, 1.686894657695699129e+00, 1.028245041465278575e+01, 1.140054676270901401e+00, 9.877181867088181022e+00, 3.914988998157205913e+00, 1.315911843273740667e+00, 1.180931239228866225e+00, 7.217525251187288937e+00, 4.841324950545515260e-01, 1.892382888689685405e+00, 2.555456813301534513e+00, 1.282321426465172332e+00, 7.451223927800994851e+00
1.869000000000000000e+03, 1.717025098708945929e+00, 1.019815206699961152e+01, 1.127246313339856032e+00, 9.838935561653839201e+00, 3.932806987584880343e+00, 1.311749843024755613e+00, 1.167670365257091225e+00, 7.252303680477320214e+00, 4.323121425433146814e-01, 1.781118512312012570e+00, 2.526509559942639260e+00, 1.267127675986738256e+00, 7.423286387403262410e+00
