year, MPI-ESM1-2-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, NorESM2-MM, INM-CM4-8, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5
1.882000000000000000e+03, 4.646329352464011464e+00, 3.191119988421633913e+00, 2.604590356182370670e+00, 3.905905010301993663e+00, 3.713569953335228657e+00, 3.784680686087912527e+00, 5.270613148741112752e+00, 3.714161168961024551e+00, 2.425836018563882313e+00, 5.062821371620413125e+00, 3.207705915708619848e+00, 4.293885190248523109e+00, 3.273821735084041507e+00, 2.862407794638145653e+00, 4.354903908492083531e+00, 2.223575320287502599e+00
1.883000000000000000e+03, 4.367778585050700713e+00, 3.042252932613106697e+00, 2.787324908787775612e+00, 3.692567347680265843e+00, 3.979161357461160620e+00, 3.931107206163356960e+00, 5.368160507839028206e+00, 4.284010599882489778e+00, 2.433451974988467992e+00, 5.058626970704128034e+00, 3.455290187014439685e+00, 4.235851153240567157e+00, 3.414249659953802585e+00, 2.709820186524908525e+00, 4.191619210286900987e+00, 2.306614023174757833e+00
1.884000000000000000e+03, 4.127884014382225963e+00, 3.104158284960151448e+00, 2.730618796137205706e+00, 3.639940826259351336e+00, 4.171793166788439144e+00, 3.796034225231725401e+00, 5.516602926685770569e+00, 3.612043272633387314e+00, 2.250368995591985222e+00, 5.172923948447821552e+00, 2.982895851668409648e+00, 4.474638109276028786e+00, 3.460592174011632327e+00, 2.779992313011090843e+00, 4.193922841136410007e+00, 2.444036686543475501e+00
1.885000000000000000e+03, 4.270577105777125126e+00, 3.063357200811871461e+00, 2.747036657048385955e+00, 3.831367963284161515e+00, 4.072825218981487971e+00, 3.809199328595136880e+00, 5.166990572397551773e+00, 3.916456500381073180e+00, 2.253232065237011916e+00, 4.976975852302619074e+00, 2.900849074935722527e+00, 4.700832905871646261e+00, 3.429832226255818739e+00, 2.867189837310280875e+00, 4.202155719790261479e+00, 2.412423274142429186e+00
1.886000000000000000e+03, 4.323191156611429165e+00, 3.083447122379424421e+00, 2.595389333690614198e+00, 3.922160594502610564e+00, 3.966248452654339562e+00, 3.704449566331907473e+00, 5.317768908282522133e+00, 4.176674512409609186e+00, 2.317480110847781383e+00, 5.278131111305665257e+00, 3.317697108449008336e+00, 4.831858439044830256e+00, 3.423603265303708731e+00, 2.794455271542563235e+00, 4.527356628896029633e+00, 2.232277521897689798e+00
1.887000000000000000e+03, 4.394687109927335023e+00, 3.166946083523956013e+00, 2.693412053805816164e+00, 3.895433903941123877e+00, 3.932781455746799715e+00, 3.567271597794543059e+00, 5.354291200844207843e+00, 3.520780128959686284e+00, 2.518524700358346635e+00, 5.308770392802023785e+00, 3.298392301147896610e+00, 4.599045237834436861e+00, 3.462368081868708813e+00, 2.876781474969931196e+00, 4.572676493045364943e+00, 2.286206334172518950e+00
1.888000000000000000e+03, 4.226758299182897360e+00, 3.072228811409527527e+00, 2.623725309766514080e+00, 3.828246118610205251e+00, 4.051295557090470290e+00, 3.535389586439309895e+00, 5.082918783093560933e+00, 3.733628757872736514e+00, 2.500330255662345014e+00, 5.254509357588175611e+00, 3.224720268478049157e+00, 4.178288212980072025e+00, 3.778574871987704142e+00, 2.765564892658427976e+00, 4.165397307717133124e+00, 2.300644379982335952e+00
1.889000000000000000e+03, 3.886541960308372179e+00, 3.029369987298779598e+00, 2.771454158017418568e+00, 3.857685235745848207e+00, 3.754171264502007777e+00, 3.658038887591187116e+00, 5.232200252060933643e+00, 4.103173033935894942e+00, 2.395347313745751716e+00, 5.170233052793252959e+00, 3.027167980076253428e+00, 4.368645529032101571e+00, 3.642662449594962659e+00, 2.671192918224611024e+00, 4.226538119220173861e+00, 2.089170110052657403e+00
1.890000000000000000e+03, 4.074561794314345065e+00, 3.024870289006321933e+00, 2.456536873195261705e+00, 3.750176049357297980e+00, 3.826020261706894132e+00, 3.839761913822860251e+00, 5.301613939452670898e+00, 3.847644643040128098e+00, 2.298178149675421000e+00, 5.050500265598739880e+00, 3.293041699983731085e+00, 4.651944360037707504e+00, 3.481803865585128666e+00, 2.847970609388468244e+00, 4.218769313715913682e+00, 2.241695474277101585e+00
1.891000000000000000e+03, 4.285828543288660697e+00, 2.892929644242385745e+00, 2.597796193074626725e+00, 3.962318830221237320e+00, 3.954951798828002296e+00, 3.646194129627033931e+00, 5.255448697825937820e+00, 3.851902510688669956e+00, 2.451961217853035890e+00, 5.246291532386893941e+00, 3.358530994438946760e+00, 4.117327778175638997e+00, 3.605969419173924440e+00, 2.916422325887916944e+00, 4.513692351842792050e+00, 2.443260131228917498e+00
1.892000000000000000e+03, 4.510682049132586968e+00, 3.210341729177800474e+00, 2.848557295134847234e+00, 3.821962397848643445e+00, 3.893703474953101651e+00, 3.667687630162561163e+00, 5.297842523573778273e+00, 4.120211115090374854e+00, 2.313772386557255256e+00, 4.985120797120892178e+00, 3.118323138090168367e+00, 4.307883083384835388e+00, 3.691578392443547241e+00, 2.856800180942845380e+00, 4.479143044673315366e+00, 2.505228267665299491e+00
1.893000000000000000e+03, 4.303445398186011239e+00, 3.155962463176937405e+00, 2.442420334267885629e+00, 3.869381469092799897e+00, 3.900572307362401236e+00, 3.791047700033527867e+00, 5.127182029930835938e+00, 4.067561535948175155e+00, 2.463151721010009787e+00, 5.037955004903941436e+00, 2.976425856518483570e+00, 4.870485450303710273e+00, 3.505335486028042347e+00, 2.725636960595585467e+00, 4.225591611536218650e+00, 2.234921200149385889e+00
1.894000000000000000e+03, 4.233390924457837379e+00, 2.966407183311568385e+00, 2.673864705092805938e+00, 3.854079856991799335e+00, 3.999262174713781093e+00, 3.756033320185602431e+00, 5.180819627980811859e+00, 3.709083266983842275e+00, 2.326226841940583601e+00, 5.301407002599391127e+00, 3.017717048817895709e+00, 4.685220129913723497e+00, 3.441547633455703803e+00, 2.802009454321012338e+00, 4.315424670660504169e+00, 2.415919097553859363e+00
1.895000000000000000e+03, 4.389915385952721572e+00, 2.953596969727642740e+00, 2.735753653118857542e+00, 3.590445664454949171e+00, 3.895572750682317231e+00, 3.773981241904265538e+00, 5.282972697390526662e+00, 3.752243503654311585e+00, 2.285921175968225860e+00, 5.208879688248799766e+00, 3.456246581190344891e+00, 4.672663788773352422e+00, 3.504844673159629664e+00, 2.788664731567611188e+00, 4.304755956587690946e+00, 2.345344685366447024e+00
1.896000000000000000e+03, 4.023343167429254130e+00, 3.192248628435964353e+00, 2.642586441095030825e+00, 3.835377717840122269e+00, 3.410956819821430397e+00, 3.615626320303799268e+00, 5.233546663749742756e+00, 4.326651502250132175e+00, 2.541527170611054043e+00, 5.208144946454986268e+00, 3.244944950096930292e+00, 4.522466967916813019e+00, 3.533831427750338872e+00, 2.768435674329679852e+00, 4.158695128981872102e+00, 2.274258252165438421e+00
1.897000000000000000e+03, 4.290946806823841442e+00, 3.079421363427887748e+00, 2.721903328143082668e+00, 3.669122470310335782e+00, 3.929342182378953385e+00, 3.694029002624840796e+00, 5.124922960606832945e+00, 3.938933147500077947e+00, 2.447295841598431831e+00, 5.047553679549248606e+00, 3.011749058659706435e+00, 4.635634363675697145e+00, 3.595546764888954971e+00, 2.858125158644096331e+00, 4.549670555551403872e+00, 2.273342836492799446e+00
1.898000000000000000e+03, 4.304835106929978394e+00, 3.262239213305329066e+00, 2.782624183385311145e+00, 3.884974427369520367e+00, 3.962255180504488106e+00, 3.607871581752628121e+00, 5.205119451392122620e+00, 3.615256182491526360e+00, 2.488636921109701472e+00, 5.156788323054695589e+00, 3.173967691711775618e+00, 4.620346410493665346e+00, 3.327269481479319335e+00, 2.744314573324479589e+00, 4.547923472942400736e+00, 2.100932859572784306e+00
1.899000000000000000e+03, 4.446536204399643033e+00, 3.048165345985443864e+00, 2.760962715345549157e+00, 3.817300477775745993e+00, 3.976914471590888400e+00, 3.717672959299253233e+00, 5.221419947307030185e+00, 4.002186864960043167e+00, 2.270850949063276669e+00, 5.178324280465751883e+00, 3.243776899417446735e+00, 4.560143786157437873e+00, 3.437690153748396593e+00, 2.755582908828638100e+00, 4.138152635853914241e+00, 2.065305465295460774e+00
1.900000000000000000e+03, 4.648075079630760165e+00, 3.125865642323865323e+00, 2.576758309457017670e+00, 3.942444745771262582e+00, 4.025991602990045770e+00, 3.631315198038064018e+00, 5.346408854273719591e+00, 4.000510898776155955e+00, 2.287396080300768464e+00, 5.206055870464846080e+00, 3.178644675322627400e+00, 4.729433579503505847e+00, 3.494102936885231436e+00, 2.809541850690356224e+00, 4.086181441014863580e+00, 2.176821264596698224e+00
1.901000000000000000e+03, 4.563590062671520897e+00, 3.121724407274510948e+00, 2.395745372052213717e+00, 3.979544135090399948e+00, 4.125946988113487812e+00, 3.658204327989250881e+00, 5.266302266294757395e+00, 3.869977925857394752e+00, 2.528619481408231451e+00, 5.061890592591621996e+00, 3.077328458405318656e+00, 4.679376432867686120e+00, 3.634343972709564774e+00, 2.828449791340162278e+00, 4.391650457389236983e+00, 2.218665221125108111e+00
1.902000000000000000e+03, 4.279293480481864975e+00, 3.085867351277999049e+00, 2.633688989161849570e+00, 3.806992145829723118e+00, 3.782754966182929390e+00, 3.821069273595613325e+00, 5.329789971339725874e+00, 4.185545668751315951e+00, 2.427345605021816510e+00, 5.038515066103237849e+00, 3.405055580478206334e+00, 4.813202554668024824e+00, 3.592116245336993696e+00, 2.704646092112402478e+00, 4.689087295954990964e+00, 2.513500881614488147e+00
1.903000000000000000e+03, 4.157172837928174047e+00, 2.918620248504487869e+00, 2.549830297864915440e+00, 3.862785023926048833e+00, 3.978071745629808920e+00, 3.535817366823727603e+00, 5.469187074299799001e+00, 3.561814872445541180e+00, 2.283485309647789396e+00, 5.208936097080814065e+00, 3.292254367382062785e+00, 4.580758313022888828e+00, 3.485115218307663909e+00, 2.834963034264356807e+00, 4.445079236363770114e+00, 2.401547953017238779e+00
1.904000000000000000e+03, 4.040658176795013823e+00, 3.006924694017848232e+00, 2.742482636729203005e+00, 3.830959875733395137e+00, 4.015277566927998976e+00, 3.656424520271136291e+00, 5.271990836426102334e+00, 3.671578549237245692e+00, 2.189501052056731734e+00, 5.172600780491217520e+00, 3.219376953725777479e+00, 4.981652355002279542e+00, 3.426850325929065466e+00, 2.814620899207000093e+00, 3.972295624847012263e+00, 2.381118161494282681e+00
1.905000000000000000e+03, 3.967015442429540517e+00, 2.913129258397187282e+00, 2.880942427088328817e+00, 3.928887439048944330e+00, 3.805054557185606701e+00, 3.803153373529991388e+00, 5.203977135362564788e+00, 4.036350616858263685e+00, 2.521902823904563107e+00, 5.200095787501672007e+00, 3.276342343893373865e+00, 4.779305971935083441e+00, 3.635591323474259617e+00, 2.818529391343405521e+00, 4.145065575806864189e+00, 2.465479760468350268e+00
1.906000000000000000e+03, 4.261907388236598315e+00, 3.145470182239341383e+00, 2.711162881923740109e+00, 3.868578402102059055e+00, 3.728351652634708024e+00, 3.745638921850820147e+00, 5.239413639471154127e+00, 4.003120347683831071e+00, 2.331015192899555721e+00, 5.108108620509232978e+00, 3.200435631321001839e+00, 4.666424303061071477e+00, 3.250390973854957011e+00, 2.815875922273786358e+00, 4.485337762005390694e+00, 2.263904486153186735e+00
1.907000000000000000e+03, 4.548958124217636012e+00, 3.171253184180299112e+00, 2.625721125581015336e+00, 3.940014643309380116e+00, 3.917251237652399354e+00, 3.764769424116103824e+00, 5.375645331522927783e+00, 3.710785365749538656e+00, 2.524233748686272261e+00, 4.873591640883211618e+00, 3.255202437171654584e+00, 4.408619369319562331e+00, 3.505345939228708296e+00, 2.807509981233946572e+00, 4.354554463997696523e+00, 2.408099839621768545e+00
1.908000000000000000e+03, 4.390670138639266362e+00, 3.135832933256124111e+00, 2.735574941801875326e+00, 3.877918456750762743e+00, 3.907681270444359090e+00, 3.719825523042258553e+00, 5.124090040615128849e+00, 3.980196503987952550e+00, 2.385013571804450727e+00, 5.110879370164144397e+00, 3.428109162565193824e+00, 4.241824788493428144e+00, 3.745328752914990567e+00, 2.769188284648000931e+00, 4.360900794857712981e+00, 2.232317509438049186e+00
1.909000000000000000e+03, 4.315717557066866661e+00, 2.944580095180437507e+00, 2.529917907193806048e+00, 3.854581053241124877e+00, 3.999202609467908065e+00, 3.835908495188918188e+00, 5.425949283980148863e+00, 4.003032544150187277e+00, 2.406500043621817575e+00, 5.189097824835111616e+00, 2.826616021503463472e+00, 4.554399341564839609e+00, 3.594760249482352954e+00, 2.723990452052927669e+00, 4.298281551172965287e+00, 2.465038022417104013e+00
