year, NorESM2-MM, NorESM2-MM, NorESM2-LM, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, CNRM-ESM2-1, TaiESM1, GFDL-ESM4, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg
1.850000000000000000e+03, 1.669959986301363890e-10, 1.669959986301363890e-10, 3.441174506042230333e-10, 6.568052196353666220e-10, 5.031415075581034683e-10, 8.864311505037760125e-10, 5.031415075581034683e-10, 6.568052196353666220e-10, 8.892233047628399721e-10, 2.704971019592490414e-10, 8.016666016244050192e-10, 1.829103693655027940e-09
1.851000000000000000e+03, 3.487322600768502809e-10, 3.487322600768502809e-10, 4.829251497882654525e-10, 6.788635447949616169e-10, 2.844693257346407564e-10, 2.564899132133237853e-10, 2.844693257346407564e-10, 6.788635447949616169e-10, 2.595155767280235044e-10, 2.716223067504927639e-10, 9.193682257272719321e-10, 1.773109628996497669e-09
1.852000000000000000e+03, 4.793724890415610213e-10, 4.793724890415610213e-10, 3.496376613303558332e-10, 7.285946348516051760e-10, 2.306004034352485997e-10, 2.067782219338966092e-09, 2.306004034352485997e-10, 7.285946348516051760e-10, 2.071125067898606200e-09, 6.493381375195212858e-11, 9.394161366967535046e-10, 2.588473950393845375e-09
1.853000000000000000e+03, 2.944578177742765286e-10, 2.944578177742765286e-10, 4.562445891057932457e-10, 1.776286075697141270e-09, 3.058171768766079195e-10, 9.769176185312356873e-10, 3.058171768766079195e-10, 1.776286075697141270e-09, 9.805647678500284689e-10, 3.885253718976729426e-10, 8.936752670255976708e-10, 2.956063659605300425e-09
1.854000000000000000e+03, 9.172850139174187568e-10, 9.172850139174187568e-10, 5.822773529428206183e-10, 8.260570823475565271e-10, 2.471248453570821290e-10, 5.575211114722946738e-10, 2.471248453570821290e-10, 8.260570823475565271e-10, 5.612868200664881904e-10, 4.916494488348231357e-10, 7.912220442309399862e-10, 7.527900302916892909e-10
1.855000000000000000e+03, 5.532172836977327328e-10, 5.532172836977327328e-10, 3.383836209153578797e-10, 3.334676700829578909e-10, 1.818266780443920327e-10, 3.807099054499348256e-10, 1.818266780443920327e-10, 3.334676700829578909e-10, 3.845194205506332816e-10, 6.854275096046472190e-10, 8.415346114713549072e-10, 2.242442002674006272e-09
1.856000000000000000e+03, 1.577286249545424790e-10, 1.577286249545424790e-10, 4.787580825497596680e-10, 5.699906685969261119e-10, 5.936479915021468120e-10, 6.212383026378074152e-10, 5.936479915021468120e-10, 5.699906685969261119e-10, 6.251542939603551119e-10, 7.040124933117202142e-10, 9.036866903163670627e-10, 1.658093850471873242e-09
1.857000000000000000e+03, 3.119777767635492791e-10, 3.119777767635492791e-10, 6.179658705082580191e-10, 9.256360877261664972e-10, 3.043774331913085206e-10, 1.353739345571101624e-09, 3.043774331913085206e-10, 9.256360877261664972e-10, 1.357831793450866993e-09, 7.262015319987619329e-10, 8.393120702919252607e-10, 1.237235161119048301e-09
1.858000000000000000e+03, 3.305755878234830402e-10, 3.305755878234830402e-10, 5.142292089037020564e-10, 5.490625935352706999e-10, 2.176498806797109575e-10, 6.335782557348007509e-10, 2.176498806797109575e-10, 5.490625935352706999e-10, 6.378159525127637980e-10, 4.420010164253674361e-10, 8.733879881572273597e-10, 2.020831019059110109e-09
1.859000000000000000e+03, 2.722172560558810495e-10, 2.722172560558810495e-10, 2.899450009202626008e-10, 2.864330777508131777e-10, 6.339072901852000113e-10, 7.212094122549992905e-10, 6.339072901852000113e-10, 2.864330777508131777e-10, 7.254238304582211092e-10, 3.081042096465633421e-10, 9.497245461272757266e-10, 2.314244952421814837e-09
1.860000000000000000e+03, 3.741826106578338272e-10, 3.741826106578338272e-10, 1.930330817321133581e-10, 1.717685530257080943e-09, 2.466225006671210535e-10, 4.843764676412593571e-10, 2.466225006671210535e-10, 1.717685530257080943e-09, 4.886633847678915997e-10, 3.065266350946479990e-10, 1.002858908459833222e-09, 1.403352029992039694e-09
1.861000000000000000e+03, 1.908499116787139444e-10, 1.908499116787139444e-10, 3.920285190691645199e-10, 1.164462584982987961e-09, 3.509581025028274283e-10, 1.107265288171912598e-09, 3.509581025028274283e-10, 1.164462584982987961e-09, 1.111606577146357701e-09, 1.372759958630074187e-10, 9.901917604189699298e-10, 2.741080998195303783e-09
1.862000000000000000e+03, 3.461695733745987030e-10, 3.461695733745987030e-10, 1.890518049975842553e-10, 5.090607322166877489e-10, 4.858339259846579925e-10, 8.770116158469284246e-10, 4.858339259846579925e-10, 5.090607322166877489e-10, 8.813876132060120504e-10, 2.003625421654695980e-10, 7.455969976002041468e-10, 9.416738638580861265e-10
1.863000000000000000e+03, 3.679516840451468161e-10, 3.679516840451468161e-10, 1.208364060432038961e-09, 7.697344721394071630e-10, 5.198198562859236533e-10, 5.291610084831154814e-10, 5.198198562859236533e-10, 7.697344721394071630e-10, 5.335215571247022566e-10, 2.761240958769685271e-10, 9.947387911747182792e-10, 1.191880475398995500e-09
1.864000000000000000e+03, 5.452675332701694007e-10, 5.452675332701694007e-10, 8.581694139667621048e-10, 7.772169355207135305e-10, 2.768823500588427893e-10, 7.548982062698386819e-10, 2.768823500588427893e-10, 7.772169355207135305e-10, 7.593718498257090178e-10, 3.738160078520433193e-10, 8.917120085067729115e-10, 8.726531018331965737e-10
1.865000000000000000e+03, 6.588330412283009497e-10, 6.588330412283009497e-10, 2.416339960302572617e-10, 1.034992106968282398e-09, 1.938211446041663319e-10, 8.802284216925412581e-10, 1.938211446041663319e-10, 1.034992106968282398e-09, 8.847915764826245584e-10, 5.650659815273813232e-10, 8.285230534049219934e-10, 1.520487807319410335e-09
1.866000000000000000e+03, 8.670710401081359420e-10, 8.670710401081359420e-10, 3.650754892331828040e-10, 9.996611190916786197e-10, 4.449536578472132565e-10, 1.212828342254566876e-09, 4.449536578472132565e-10, 9.996611190916786197e-10, 1.217486348334741886e-09, 6.782886231921147954e-10, 9.117368410609617916e-10, 1.153570179177421773e-09
1.867000000000000000e+03, 5.271525911143178984e-10, 5.271525911143178984e-10, 4.761651512936659400e-10, 5.791557223836052602e-10, 2.595101453015853891e-10, 8.001914638378013300e-10, 2.595101453015853891e-10, 5.791557223836052602e-10, 8.049344318977272909e-10, 7.633737176635720582e-10, 1.093646085918757856e-09, 1.732608293958860675e-09
1.868000000000000000e+03, 4.064645503412960786e-10, 4.064645503412960786e-10, 8.766054094122300242e-10, 3.942949100179364230e-10, 3.452591833147283213e-10, 5.572530520273051729e-10, 3.452591833147283213e-10, 3.942949100179364230e-10, 5.619208845174636439e-10, 9.129798252573677670e-10, 9.711402110128488732e-10, 1.681539103583596934e-09
1.869000000000000000e+03, 1.594949940602286592e-10, 1.594949940602286592e-10, 6.296998039176856262e-10, 3.136481303439339345e-10, 4.033964748112279089e-10, 5.570693381591579131e-10, 4.033964748112279089e-10, 3.136481303439339345e-10, 5.615710619999735415e-10, 4.714389097662580751e-10, 8.275986599798299689e-10, 1.687321812740979715e-09
1.870000000000000000e+03, 1.991704875111939210e-10, 1.991704875111939210e-10, 2.068193501171783951e-10, 7.203987747366940764e-10, 3.156695416250132446e-10, 6.788534554286919080e-10, 3.156695416250132446e-10, 7.203987747366940764e-10, 6.833633489690521688e-10, 4.810721518842493348e-10, 1.007821631856644897e-09, 1.051332326791896178e-09
1.871000000000000000e+03, 1.482244500533923919e-10, 1.482244500533923919e-10, 6.317879398444365592e-10, 4.956148920280650636e-10, 2.717497306009420148e-10, 5.861597191790141059e-10, 2.717497306009420148e-10, 4.956148920280650636e-10, 5.908053937329685887e-10, 3.283569474963557941e-10, 8.945784968019896404e-10, 1.168104781730990743e-09
1.872000000000000000e+03, 4.677577801585700906e-10, 4.677577801585700906e-10, 7.550575090157568645e-10, 7.975308868025369299e-10, 5.351457831461197074e-10, 7.615228564148717302e-10, 5.351457831461197074e-10, 7.975308868025369299e-10, 7.662213688037833754e-10, 2.450797147718834576e-10, 9.436790527962694811e-10, 1.054044386943934827e-09
1.873000000000000000e+03, 3.412855240611805459e-10, 3.412855240611805459e-10, 2.589204540571394522e-10, 8.250532161643399583e-10, 5.478931521183353386e-10, 7.443378950172908325e-10, 5.478931521183353386e-10, 8.250532161643399583e-10, 7.490217777989000315e-10, 8.843287748233356326e-10, 9.098445573727407633e-10, 2.331795343644025566e-09
1.874000000000000000e+03, 6.322194844225854317e-10, 6.322194844225854317e-10, 2.335742502951281797e-10, 4.341655242989585696e-10, 1.721700861223444034e-10, 8.992302241770474955e-10, 1.721700861223444034e-10, 4.341655242989585696e-10, 9.040358033643468494e-10, 4.023595412468648746e-10, 7.880966746341542204e-10, 1.927777234553694208e-09
1.875000000000000000e+03, 5.699606532452439533e-10, 5.699606532452439533e-10, 3.365866581541447913e-10, 7.691132456803051044e-10, 2.014829723922730558e-10, 7.510470434343620388e-10, 2.014829723922730558e-10, 7.691132456803051044e-10, 7.559610222825060913e-10, 2.701937349756001014e-10, 8.685246337504970362e-10, 1.685208464727056559e-09
1.876000000000000000e+03, 3.939767053012269939e-10, 3.939767053012269939e-10, 5.430181332826062861e-10, 1.050236756335595186e-09, 4.336556914756034218e-10, 4.888239878681450063e-10, 4.336556914756034218e-10, 1.050236756335595186e-09, 4.937767252799645673e-10, 5.998937303150976558e-10, 9.299307965302149999e-10, 1.126255724471909780e-09
1.877000000000000000e+03, 7.101680816346065673e-10, 7.101680816346065673e-10, 8.257681369462828773e-10, 9.265730070401037546e-10, 4.153327634831565326e-10, 5.794609465635916505e-10, 4.153327634831565326e-10, 9.265730070401037546e-10, 5.844170879487851211e-10, 5.781539167309153237e-10, 1.001028945984517769e-09, 1.093017136801831576e-09
1.878000000000000000e+03, 3.918710272954754980e-10, 3.918710272954754980e-10, 6.453726578798941889e-10, 8.940882297754214307e-10, 2.987497038712878657e-10, 3.927932083764251188e-10, 2.987497038712878657e-10, 8.940882297754214307e-10, 3.978031898641035879e-10, 1.041774838715820983e-09, 8.833333575373181541e-10, 1.931836977146734371e-09
1.879000000000000000e+03, 5.198856250070880092e-10, 5.198856250070880092e-10, 7.260279637324341750e-10, 1.041785514752347868e-09, 1.968006900939670770e-10, 1.353359144552519261e-09, 1.968006900939670770e-10, 1.041785514752347868e-09, 1.358569753153316220e-09, 8.247505762904572261e-10, 8.881316936946594819e-10, 1.409744094232978244e-09
1.880000000000000000e+03, 4.172104196605489192e-10, 4.172104196605489192e-10, 5.457527374514375149e-10, 4.042555299228386277e-10, 5.910021458133815520e-10, 6.223037783361861654e-10, 5.910021458133815520e-10, 4.042555299228386277e-10, 6.275285147091011602e-10, 3.290389804679742662e-10, 9.345207857898206661e-10, 1.723404656335490564e-09
1.881000000000000000e+03, 1.015259462255041113e-09, 1.015259462255041113e-09, 6.708691544131833289e-10, 1.253182115011909147e-09, 2.943042707564842810e-10, 4.806906259538053321e-10, 2.943042707564842810e-10, 1.253182115011909147e-09, 4.857985567606106020e-10, 3.790130015471346730e-10, 7.907098498522915016e-10, 1.937063369260892458e-09
1.882000000000000000e+03, 5.245026260741635164e-10, 5.245026260741635164e-10, 3.900154610462547488e-10, 7.728388527165999288e-10, 4.980390721107414417e-10, 6.492993639787124464e-10, 4.980390721107414417e-10, 7.728388527165999288e-10, 6.545185867284798483e-10, 1.362503022188771611e-09, 7.854180193518008328e-10, 2.059829338254892374e-09
1.883000000000000000e+03, 4.149724927112243988e-10, 4.149724927112243988e-10, 7.244826914499823221e-10, 4.168364763280721739e-10, 1.864034827511467951e-10, 1.048354287709495201e-09, 1.864034827511467951e-10, 4.168364763280721739e-10, 1.053709036330522927e-09, 9.043321700131513112e-10, 1.091633170112867492e-09, 1.242321653364374558e-09
1.884000000000000000e+03, 5.388904101946585045e-10, 5.388904101946585045e-10, 5.640368551349251506e-10, 1.949428951397087825e-09, 2.326882490828603271e-10, 9.544144071452665456e-10, 2.326882490828603271e-10, 1.949428951397087825e-09, 9.598788556757860518e-10, 8.453656845441496125e-10, 9.353318869929212209e-10, 1.526204219447244563e-09
1.885000000000000000e+03, 4.998345115852588153e-10, 4.998345115852588153e-10, 6.292300746982834217e-10, 5.622052238440540678e-10, 2.952579578222905276e-10, 7.294330202182023294e-10, 2.952579578222905276e-10, 5.622052238440540678e-10, 7.350461673313318746e-10, 8.382546504378963975e-10, 8.204902232847006854e-10, 1.157501474203092791e-09
1.886000000000000000e+03, 5.866508693166621503e-10, 5.866508693166621503e-10, 6.489390921082543704e-10, 2.079397339410732264e-10, 4.434062561520357778e-10, 6.406209346113033166e-10, 4.434062561520357778e-10, 2.079397339410732264e-10, 6.461494653778345786e-10, 1.200915600984173567e-09, 7.612322802332742278e-10, 1.362903584595055865e-09
1.887000000000000000e+03, 7.899043277305721766e-10, 7.899043277305721766e-10, 4.295897882594760829e-10, 1.478463763248082335e-09, 3.977940890179239235e-10, 3.510035573189772145e-10, 3.977940890179239235e-10, 1.478463763248082335e-09, 3.565242919453724201e-10, 7.814989003786677757e-10, 7.940240446046536183e-10, 1.882962235771473316e-09
1.888000000000000000e+03, 9.882709405845904491e-10, 9.882709405845904491e-10, 5.701184919378407633e-10, 7.482847892902741351e-10, 2.371014337368242434e-10, 1.248166196721344191e-09, 2.371014337368242434e-10, 7.482847892902741351e-10, 1.253829100005095354e-09, 3.334069776442371043e-10, 1.021110035846490992e-09, 9.498022703493077721e-10
1.889000000000000000e+03, 7.834491566151732106e-10, 7.834491566151732106e-10, 5.366758721025917444e-10, 5.000332090294944320e-10, 2.020112370196513481e-10, 5.773203557456594375e-10, 2.020112370196513481e-10, 5.000332090294944320e-10, 5.830878913755348835e-10, 4.942369153997987759e-10, 8.563858322710850778e-10, 2.451522698234323695e-09
