year, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, TaiESM1, INM-CM4-8
1.865000000000000000e+03, 6.768295556395784729e+00, 6.639021435105777691e+00, 6.243484151183107400e+00, 7.742752338287148817e+00, 6.554180211670545653e+00, 7.615969919524843590e+00, 7.981089943945406162e+00, 6.236172024759301102e+00, 8.755476513066348332e+00, 6.589326716301634690e+00, 9.377127957127989077e+00, 7.500767259596035963e+00, 6.836403755753946321e+00, 7.470382840830410487e+00, 6.805563453469134494e+00, 8.390517174657478705e+00
1.866000000000000000e+03, 6.510315560942008695e+00, 6.819964281815765972e+00, 6.014485650161297770e+00, 7.640665717338836593e+00, 6.640164421179587606e+00, 7.633220883176598193e+00, 6.991143417927744075e+00, 6.246292720584011526e+00, 9.207611856068169232e+00, 6.370039264310710436e+00, 9.864186085981648588e+00, 6.942014399329567098e+00, 6.694059767824400708e+00, 7.771416083707435973e+00, 7.066782444555859577e+00, 8.573037400980156875e+00
1.867000000000000000e+03, 8.344086427723789612e+00, 6.541899945924327220e+00, 5.626201291352129097e+00, 7.503148111989542457e+00, 6.633467410837584843e+00, 7.615389500942140621e+00, 7.231055215970693340e+00, 6.364196401282203652e+00, 8.834537867121586174e+00, 6.441313529064540688e+00, 9.417098393594711681e+00, 6.726534530826151936e+00, 6.896930039484310271e+00, 8.008370827570258754e+00, 7.615636899390200831e+00, 8.686430834467470774e+00
1.868000000000000000e+03, 8.007718120010522966e+00, 6.711123177827148290e+00, 5.817098980154389309e+00, 7.231384811518792866e+00, 6.642456782921574820e+00, 7.875833348497707220e+00, 7.332905517664415562e+00, 6.171039725902142337e+00, 8.576819516749758066e+00, 6.965903616432440160e+00, 9.302503392584352326e+00, 6.058785883234863334e+00, 6.864863116954345479e+00, 7.796973038667028177e+00, 7.531691315219784855e+00, 8.427979764244797778e+00
1.869000000000000000e+03, 7.570660759268742268e+00, 6.937547714857545955e+00, 5.980413269908848584e+00, 7.870018319688690589e+00, 6.991105723704526653e+00, 7.031634681463890146e+00, 7.902326631316568317e+00, 6.367275894338343178e+00, 8.814170811475545264e+00, 7.335178145943061168e+00, 8.912327643301759750e+00, 7.943848041610592325e+00, 6.461470072413844079e+00, 7.821123439192883886e+00, 7.599904465539930598e+00, 8.170310001128623156e+00
1.870000000000000000e+03, 8.000802637373510606e+00, 7.123891350578644754e+00, 5.760976609990542840e+00, 7.447902492271210484e+00, 6.786308351313318887e+00, 8.249982334955685559e+00, 7.770486959541496041e+00, 6.088521924985115241e+00, 9.127565644785285315e+00, 7.174563291731527848e+00, 9.609340305831844731e+00, 6.812954853587450899e+00, 6.807019709860257173e+00, 7.770815786081556986e+00, 6.906364269681096957e+00, 8.785270490220632666e+00
1.871000000000000000e+03, 8.060958372447004194e+00, 7.018185928224301762e+00, 5.878472635688635428e+00, 7.608904252150822778e+00, 6.661981490160473030e+00, 7.963152744114675663e+00, 8.545127637479051685e+00, 6.060341352683289884e+00, 8.887414261796005022e+00, 6.731835246632746461e+00, 9.440028225974536724e+00, 5.958560099215153727e+00, 6.660504913061783938e+00, 7.923565839594058247e+00, 7.431198343602682499e+00, 8.295237403898987338e+00
1.872000000000000000e+03, 7.876251116416529641e+00, 6.783765866433722813e+00, 5.831991471051737541e+00, 7.781890478992472104e+00, 5.734630584345072002e+00, 7.607439665339465584e+00, 8.041293020701653305e+00, 6.450664181920175544e+00, 8.909953723604463249e+00, 7.155626782395780872e+00, 9.931303349051121998e+00, 6.969151878278966095e+00, 6.632954442859925415e+00, 7.512980513410150607e+00, 6.775117017000531483e+00, 8.633542700122449176e+00
1.873000000000000000e+03, 7.322601542045955370e+00, 6.269728063930725348e+00, 5.238000258581759105e+00, 7.676388208781825817e+00, 6.687480361230778492e+00, 7.378498424995567184e+00, 8.281322597404063401e+00, 6.516173834488411920e+00, 9.027263354469543088e+00, 7.045530736354150392e+00, 9.737072874002199896e+00, 7.210877168313893470e+00, 5.993762233030190067e+00, 7.909538122564555351e+00, 7.137877334917460459e+00, 8.263857567726935471e+00
1.874000000000000000e+03, 7.546000369738016467e+00, 6.441421211268415270e+00, 5.923327907353034938e+00, 7.348284651874875451e+00, 6.482715606701945354e+00, 8.008090247229157299e+00, 8.021236714855428218e+00, 6.446528419775908070e+00, 8.733704929839207765e+00, 6.636623503290915771e+00, 9.687455261571432885e+00, 7.462545319506374675e+00, 7.000026987391358979e+00, 7.417018380122962995e+00, 7.460774917278352625e+00, 8.736120612067573177e+00
