year, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, IPSL-CM6A-LR, EC-Earth3-Veg, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2
1.850000000000000000e+03, 6.392892607368033590e-10, 4.424067762290253483e-11, 3.491167075766332638e-11, 5.568427025123392398e-11, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.082198001821603216e-10, 7.325298143731183647e-14, 2.985488831451445809e-13, 7.003353276934247634e-11
1.851000000000000000e+03, 1.079052105698121288e-09, 1.513322070240125589e-10, 1.083861786084669538e-10, 1.228908085285966934e-10, 1.669310525639429700e-09, 1.268540885659309589e-11, 1.201117670686605710e-10, 1.451705198446652943e-13, 1.021088256521403904e-10, 7.731490825987495039e-11
1.852000000000000000e+03, 1.184709690461328555e-09, 1.696896572254757995e-10, 1.245282511455614673e-10, 1.250480752478976067e-10, 1.699700832770788709e-09, 1.365200623035150147e-11, 1.310538362431882504e-10, 1.633716074799118084e-13, 1.121682501012829507e-10, 8.488550822474123266e-11
1.853000000000000000e+03, 1.241434550928885908e-09, 1.911001992802609243e-10, 1.320969017587210537e-10, 1.272161331102482719e-10, 1.711429767371107271e-09, 1.459584978933741101e-11, 1.384505145822052033e-10, 1.649109951688309809e-13, 1.205694942657468764e-10, 8.993611731983586171e-11
1.854000000000000000e+03, 1.288168857848484612e-09, 1.872011007171421187e-10, 1.312917677916015181e-10, 1.288877009061567129e-10, 1.725533760624359168e-09, 1.523984696230381501e-11, 1.440309084363781756e-10, 1.686354225793405647e-13, 1.264778490501517066e-10, 9.426807581900839917e-11
1.855000000000000000e+03, 1.335409126278459928e-09, 1.835212022385910315e-10, 1.393942605821970119e-10, 1.305393642331488596e-10, 1.763700810216937535e-09, 1.618249902743984354e-11, 1.503998761382923442e-10, 1.845840448128885341e-13, 1.316241190029438451e-10, 9.807098003695801680e-11
1.856000000000000000e+03, 1.367552757516311203e-09, 2.116186534363390718e-10, 1.490664159523643303e-10, 1.290250807650453343e-10, 1.777264564136086871e-09, 1.714227844599931537e-11, 1.547955078203167411e-10, 1.808035962136192476e-13, 1.353486242185475127e-10, 1.011480083961986349e-10
1.857000000000000000e+03, 1.388041167617338027e-09, 2.150725434415761929e-10, 1.474476763311432191e-10, 1.300245207757539721e-10, 1.800638774726753417e-09, 1.729756997437022289e-11, 1.579145732320105107e-10, 1.683418562984125365e-13, 1.383210769671779531e-10, 1.034981697660591652e-10
1.858000000000000000e+03, 1.401229463102855397e-09, 2.091627458054800521e-10, 1.498596511754385444e-10, 1.282599703171648804e-10, 1.831909137747250147e-09, 1.816808946163721395e-11, 1.603625770411049672e-10, 1.703623865537494878e-13, 1.408042706915125915e-10, 1.060425603476619896e-10
1.859000000000000000e+03, 1.425710762403679436e-09, 2.154657755230767116e-10, 1.568176290262883968e-10, 1.287207334203884633e-10, 1.838907997627581891e-09, 1.944393294588459552e-11, 1.637107884578981957e-10, 1.787121182099581574e-13, 1.434548128983605046e-10, 1.078827498938610864e-10
1.860000000000000000e+03, 1.435052008953597068e-09, 2.165565879610838610e-10, 1.579004179739554311e-10, 1.297876134403649377e-10, 1.845260684367790145e-09, 1.940198052618121794e-11, 1.598926813348098249e-10, 1.858680435257776359e-13, 1.455338568100360957e-10, 1.061698720109141932e-10
1.861000000000000000e+03, 1.437469769508210116e-09, 2.199563150543713906e-10, 1.657408533817125320e-10, 1.250580682119201333e-10, 1.838941791133993247e-09, 1.970514869996285438e-11, 1.594528262405243140e-10, 1.898668258867468685e-13, 1.418217789107380166e-10, 1.071802946487755131e-10
1.862000000000000000e+03, 1.436613936764498792e-09, 2.195834440891757087e-10, 1.700928056977071378e-10, 1.249759979402193933e-10, 1.833490385166695714e-09, 1.986327500282594634e-11, 1.611279510215674453e-10, 1.790808240401049901e-13, 1.432043208374978229e-10, 1.075584320756088067e-10
1.863000000000000000e+03, 1.442468549059806908e-09, 2.229624618717633378e-10, 1.585013815363732332e-10, 1.249756904365341487e-10, 1.835130437475272661e-09, 2.019674604183693833e-11, 1.624956849386615508e-10, 1.771239734508612874e-13, 1.442065043964463000e-10, 1.083328317827829872e-10
1.864000000000000000e+03, 1.449528289329657268e-09, 2.206268049836611172e-10, 1.514511895984236712e-10, 1.244356797524897242e-10, 1.812291573753199803e-09, 2.030770392114808226e-11, 1.626747132212964748e-10, 1.763140571060958124e-13, 1.451491111016870138e-10, 1.088900694104035988e-10
1.865000000000000000e+03, 1.452853723388703402e-09, 2.142734685078040187e-10, 1.527852671589145381e-10, 1.242470504987946662e-10, 1.842632372254068499e-09, 2.052213424621586190e-11, 1.629145947808666266e-10, 1.794368726230096006e-13, 1.457974320994262508e-10, 1.100250752679590597e-10
