year, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L
1.865000000000000000e+03, 2.596075228409362376e-02, 1.458462637640108861e-01, 6.620817156120785765e-03, 7.040435884296695167e-03, 4.900216845690149453e-02, 1.006720894422881039e-04, 3.527749414004646700e-01, 3.224861764436289663e-02, 3.802015340746292549e-01
1.866000000000000000e+03, 2.534218757445888537e-02, 1.513917801377772099e-01, 6.914384824310336984e-03, 6.960770166707811422e-03, 4.907385432365769795e-02, 1.057277880620448464e-04, 3.559920280013482707e-01, 3.279092639925533514e-02, 3.834588386294129903e-01
1.867000000000000000e+03, 2.477994461192793013e-02, 1.578878241660690851e-01, 7.175667314243481219e-03, 6.918091153496156234e-03, 4.995023272038611600e-02, 1.085691471405382080e-04, 3.586332624775854239e-01, 3.332671586332583424e-02, 3.875590037977590385e-01
1.868000000000000000e+03, 2.448237250566363474e-02, 1.633396680620147479e-01, 7.431046255574743839e-03, 6.916092433098023143e-03, 4.973199274192346281e-02, 1.103973799393352900e-04, 3.592117280996162676e-01, 3.386011103392010113e-02, 3.906753305365157636e-01
1.869000000000000000e+03, 2.435921788946928887e-02, 1.690064576650888994e-01, 7.721085105649579290e-03, 6.938132314432080699e-03, 5.103097578933287609e-02, 1.136815921226220637e-04, 3.605811778830600445e-01, 3.438012878183249743e-02, 3.947192443098041514e-01
1.870000000000000000e+03, 2.435107409765101955e-02, 1.759717962564986971e-01, 8.158678003286378919e-03, 6.987789221095002876e-03, 5.141404100691387286e-02, 1.240893698278528823e-04, 3.631273743646246666e-01, 3.492095796166637400e-02, 4.008921878076651124e-01
1.871000000000000000e+03, 2.442418524501238294e-02, 1.831180532081301826e-01, 8.670204752853119187e-03, 7.384703649666510966e-03, 5.275025320752930319e-02, 1.356954970756017026e-04, 3.644301705636433519e-01, 3.547767148838932433e-02, 4.066247476412218065e-01
1.872000000000000000e+03, 2.449653400342319959e-02, 1.885948358722483176e-01, 9.153876859059951673e-03, 7.521173904990197286e-03, 5.536658328045162419e-02, 1.351841790560397692e-04, 3.656929665591212020e-01, 3.601920230854614713e-02, 4.112173877852836612e-01
1.873000000000000000e+03, 2.460881724412900332e-02, 1.939021655170871661e-01, 9.608876821668570559e-03, 7.575181308851629443e-03, 5.520852014554306769e-02, 1.318013152971479762e-04, 3.671584902174897524e-01, 3.655857291869061415e-02, 4.176340194106504811e-01
1.874000000000000000e+03, 2.474171187166435831e-02, 1.987344080559340642e-01, 1.002715385921864807e-02, 7.746766477726746598e-03, 5.659010938955546383e-02, 1.362701704677684764e-04, 3.681606739674302409e-01, 3.708431346608175722e-02, 4.219726837585637824e-01
1.875000000000000000e+03, 2.491028504254311216e-02, 2.041725203007313527e-01, 1.043897603851162877e-02, 7.839208290058890388e-03, 5.752145222889715193e-02, 1.398128052806381339e-04, 3.699875799354347405e-01, 3.760459079320725706e-02, 4.273799609845522207e-01
1.876000000000000000e+03, 2.506149844337764165e-02, 2.092079475597676541e-01, 1.113864653720138091e-02, 7.858843200736979895e-03, 5.826776989394104322e-02, 1.436106426524192791e-04, 3.709318419550669543e-01, 3.812587374789041389e-02, 4.312458923425819268e-01
1.877000000000000000e+03, 2.521990696811282281e-02, 2.150433536756556907e-01, 1.200271532621236328e-02, 7.895448277663646638e-03, 5.900341223988887079e-02, 1.461996595749592257e-04, 3.713927748716371879e-01, 3.864958311959330178e-02, 4.353311847285992742e-01
1.878000000000000000e+03, 2.539819579858181714e-02, 2.204384133841544025e-01, 1.277617727621974814e-02, 7.862650922231565961e-03, 5.881887857983689183e-02, 1.460156619137662197e-04, 3.716351731911328726e-01, 3.917781979762847283e-02, 4.395953694136714995e-01
1.879000000000000000e+03, 2.561406716389907565e-02, 2.255147795240129427e-01, 1.344238824418355835e-02, 7.911961010206866943e-03, 5.857683417024723421e-02, 1.468252015543449688e-04, 3.718415012091066396e-01, 3.970957893821823459e-02, 4.416250994173077093e-01
1.880000000000000000e+03, 2.584437007156658098e-02, 2.305858384657455129e-01, 1.403887871178166949e-02, 7.932739985605881047e-03, 6.070699025869778082e-02, 1.556876320020695497e-04, 3.738355633213005236e-01, 4.061049215702200454e-02, 4.485026065265990125e-01
1.881000000000000000e+03, 2.606756914584793666e-02, 2.384572283304563223e-01, 1.532960538344496811e-02, 8.574840669457113249e-03, 6.294499666067668309e-02, 1.734906122845383315e-04, 3.764043306773029451e-01, 4.176060908302441088e-02, 4.590635107730082209e-01
1.882000000000000000e+03, 2.597086044828951154e-02, 2.466839142075715474e-01, 1.651058516115004593e-02, 8.981245019431356377e-03, 6.430384025464799813e-02, 1.809403830653582548e-04, 3.795500973819134205e-01, 4.274818809203309589e-02, 4.671667486714246031e-01
1.883000000000000000e+03, 2.585609332394601598e-02, 2.532830794748218151e-01, 1.755226640872820099e-02, 9.348830805098814686e-03, 6.518635468715265613e-02, 1.770879719110087121e-04, 3.823628215072054637e-01, 4.362757501125665710e-02, 4.748045882557959674e-01
1.884000000000000000e+03, 2.582929577421362241e-02, 2.602079486116865015e-01, 1.854668628421540788e-02, 9.674171813544480553e-03, 6.719964389166609153e-02, 1.832808696440410448e-04, 3.831015913049287125e-01, 4.444335122239224944e-02, 4.805432844436844930e-01
1.885000000000000000e+03, 2.583895269377642356e-02, 2.663903021338113741e-01, 1.947864473816236786e-02, 9.952906987451602336e-03, 6.805593073149844574e-02, 1.895767575836962177e-04, 3.831455681695247195e-01, 4.520521494788164868e-02, 4.872523126908155366e-01
1.886000000000000000e+03, 2.593518369452074354e-02, 2.756972138336773459e-01, 2.031698680067740501e-02, 1.017609107347691028e-02, 6.939869683693905555e-02, 2.015782628040099723e-04, 3.841151463212759687e-01, 4.589355581409500923e-02, 4.925024281454055131e-01
1.887000000000000000e+03, 2.601970338612116795e-02, 2.815016348714117211e-01, 2.103790307466608250e-02, 1.034915693619540764e-02, 7.016380233881948369e-02, 2.101124222101095223e-04, 3.864218234580807376e-01, 4.653540683626559982e-02, 4.975500389271387269e-01
1.888000000000000000e+03, 2.607535660796297255e-02, 2.874659572514060013e-01, 2.167137794919604676e-02, 1.054591558717138215e-02, 7.254327934248283594e-02, 2.071529669652553691e-04, 3.885757049770004468e-01, 4.716074490142451586e-02, 5.013475823944029131e-01
1.889000000000000000e+03, 2.613808932865728171e-02, 2.940985713453646566e-01, 2.230743332013197799e-02, 1.070777310304400071e-02, 7.356611359741589695e-02, 2.034640509490682494e-04, 3.887284086724248078e-01, 4.777890717518872704e-02, 5.076573580483539905e-01
1.890000000000000000e+03, 2.627866985284465356e-02, 3.003228633862063957e-01, 2.292901061257480999e-02, 1.083878620532120057e-02, 7.332789820998396324e-02, 2.136893496425796527e-04, 3.912713874089037147e-01, 5.003835169093159146e-02, 5.175618437084683610e-01
1.891000000000000000e+03, 2.650841341951673882e-02, 3.145186929073061077e-01, 2.533120849871119129e-02, 1.189983908612077951e-02, 7.763732328398545435e-02, 2.206518614933558587e-04, 3.955603139252062417e-01, 5.350085094684303016e-02, 5.312299315510633502e-01
1.892000000000000000e+03, 2.685333214250537268e-02, 3.266375571437374892e-01, 2.757388911943759943e-02, 1.323703333752118683e-02, 8.215236868918338042e-02, 2.242988551232740835e-04, 4.006600688445509095e-01, 5.639400906378193995e-02, 5.422051171434710826e-01
