year, CanESM5, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, TaiESM1, GFDL-ESM4
1.850000000000000000e+03, 4.094196277039559106e+01, 5.311220585974918151e+01, 6.432984418492402767e+01, 3.171328555138101635e+01, 4.869024468778929560e+01, 3.570217913465518222e+01, 5.465466930114753552e+01, 5.097538759178713264e+01, 5.100824444997305562e+01, 5.000794758366287596e+01, 5.012795964739598986e+01, 3.152121135285444353e+01, 6.635306924412026319e+01, 4.479105777892703344e+01, 8.377363266733193825e+01, 3.895058245654051632e+01
1.851000000000000000e+03, 4.091515257045445964e+01, 5.313338243777921832e+01, 6.443414480826098156e+01, 3.161921962838285083e+01, 4.856875276348202419e+01, 3.559435104691687002e+01, 5.457347121751419650e+01, 5.070303645844438023e+01, 5.097661848591561551e+01, 4.995318712269056505e+01, 5.008187783890850397e+01, 3.148478027107551469e+01, 6.639820526567102377e+01, 4.471035869737490032e+01, 8.328209790598134532e+01, 3.907010187213678876e+01
1.852000000000000000e+03, 4.100956474822671538e+01, 5.308806337743559567e+01, 6.461991859053108556e+01, 3.156342965344114759e+01, 4.928904076757416419e+01, 3.528197833540458817e+01, 5.447156497800694552e+01, 5.026344983921789122e+01, 5.090446032455713521e+01, 4.986894336563198493e+01, 5.010179538899407703e+01, 3.133593611802250578e+01, 6.637652689122124627e+01, 4.466534707097682855e+01, 8.358724398923023102e+01, 3.891194599550336619e+01
1.853000000000000000e+03, 4.090485607311637750e+01, 5.296668180994100084e+01, 6.459372044187841766e+01, 3.141331080672954457e+01, 4.940034848886664065e+01, 3.484346350110904922e+01, 5.445828830706309276e+01, 4.962647068630332825e+01, 5.093859537811020033e+01, 4.983435456029891952e+01, 5.012374138416380021e+01, 3.121999770348956105e+01, 6.640160964876044147e+01, 4.485544391421181132e+01, 8.290585202397571152e+01, 3.858459648876517889e+01
1.854000000000000000e+03, 4.074840889352591944e+01, 5.291406606540909507e+01, 6.445697348645741442e+01, 3.143244680168346505e+01, 4.887482802844104413e+01, 3.466721132061770305e+01, 5.436408609934105840e+01, 4.899212496630287461e+01, 5.079613324275741348e+01, 5.001781611909868985e+01, 5.012651155718766915e+01, 3.113405867457620957e+01, 6.622818742259202907e+01, 4.477372863874656161e+01, 8.234659237903758822e+01, 3.868890580832059811e+01
1.855000000000000000e+03, 4.075177224589058511e+01, 5.302364371258544651e+01, 6.437217766570931587e+01, 3.147308335898243215e+01, 4.956314560716297990e+01, 3.466633336951770872e+01, 5.436247253833349902e+01, 4.895622023046838223e+01, 5.074936987733679672e+01, 5.006770296910067941e+01, 5.008484335158879475e+01, 3.116957214656816078e+01, 6.601908386783112803e+01, 4.491116887827104165e+01, 8.307967574439371106e+01, 3.890627790115152607e+01
1.856000000000000000e+03, 4.083531966349244158e+01, 5.299359811916990282e+01, 6.415496307486465355e+01, 3.148120488793810523e+01, 4.951221962410854616e+01, 3.454181859179449532e+01, 5.433177018536542136e+01, 4.848368795711336077e+01, 5.080247707377523625e+01, 5.003035787364149911e+01, 5.007869882118180271e+01, 3.112839994789511167e+01, 6.610626987420516798e+01, 4.488978459938197574e+01, 8.323393136676753556e+01, 3.905341495922785811e+01
1.857000000000000000e+03, 4.089606682169342378e+01, 5.286271981432026479e+01, 6.399367193170230195e+01, 3.137424903310039781e+01, 4.922263947672105644e+01, 3.426229551740055257e+01, 5.413345659986167391e+01, 4.813307707200031160e+01, 5.074519980354760662e+01, 5.011946043171580101e+01, 5.008979172898219190e+01, 3.106209794599914531e+01, 6.615340902716994265e+01, 4.482219239118143861e+01, 8.280560644361521838e+01, 3.875206189786046451e+01
1.858000000000000000e+03, 4.086312520009940386e+01, 5.281619531937377587e+01, 6.394748445876331289e+01, 3.138280523235382447e+01, 4.969964156985560777e+01, 3.404783073974446950e+01, 5.397714853505683408e+01, 4.778954338296679794e+01, 5.078581946009227011e+01, 5.016692828174225838e+01, 5.008874275277146637e+01, 3.099509080554280160e+01, 6.615437128669442757e+01, 4.489314478509950845e+01, 8.259676974403424765e+01, 3.871510568697372889e+01
1.859000000000000000e+03, 4.088636624552747634e+01, 5.282063698030253818e+01, 6.397750161508428590e+01, 3.139591945714445131e+01, 5.009987099958700441e+01, 3.417128828958656328e+01, 5.408071793649271797e+01, 4.721936367601902873e+01, 5.081393985150803161e+01, 5.014651415187864103e+01, 5.012747159347117787e+01, 3.094119032639803279e+01, 6.619487372239080969e+01, 4.489296312865646144e+01, 8.335466834121420732e+01, 3.863529038618092670e+01
