year, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, GFDL-ESM4, CMCC-CM2-SR5, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, TaiESM1, CanESM5, CESM2-WACCM, NorESM2-LM, INM-CM5-0
1.850000000000000000e+03, 9.016258434682331568e+00, 8.783835671499714337e+00, 1.313009212345939680e+01, 7.681810380666980187e+00, 7.611935063501240606e+00, 6.737622977828071846e+00, 9.632082376508423138e+00, 7.602042763927332913e+00, 1.075006176855323758e+01, 6.027023781893486643e+00, 1.040094050653175728e+01, 1.255094091150742130e+01, 8.735405291625944812e+00, 8.761610415773276372e+00, 7.705943116260893788e+00, 1.266671781246063944e+01
1.851000000000000000e+03, 9.122930002879970246e+00, 8.606287536397292826e+00, 1.321112727873391535e+01, 7.898878909613515908e+00, 7.711893213367349453e+00, 6.427059483411257546e+00, 1.032289949931174178e+01, 8.269586166374974567e+00, 1.037525229097932034e+01, 5.889596600027249274e+00, 1.038213079248568604e+01, 1.176018455571906962e+01, 8.987059833439039025e+00, 8.913651020378326351e+00, 7.725768753774452158e+00, 1.290584058042276183e+01
1.852000000000000000e+03, 9.209454708163853809e+00, 8.381580472080669253e+00, 1.302082710432482493e+01, 7.893963642656350643e+00, 7.958210069914402496e+00, 6.448577671764473607e+00, 9.440346131778934335e+00, 8.421292562329957931e+00, 9.511043323073828049e+00, 5.667648186888440520e+00, 1.013619252455371722e+01, 1.238778231233867899e+01, 8.937763263771662636e+00, 9.120254533995288071e+00, 7.684543769019090753e+00, 1.270317030186110507e+01
1.853000000000000000e+03, 9.234634612918499741e+00, 8.123413814376492681e+00, 1.337922709573086344e+01, 8.008026721878119147e+00, 8.255158601666435558e+00, 6.233342183978468398e+00, 9.259074323441852883e+00, 8.317854395147952218e+00, 9.818869887315440081e+00, 5.768755221642892117e+00, 1.038770530281439441e+01, 1.115849556385381369e+01, 8.638405730487903611e+00, 8.981908903527298094e+00, 7.662684778132414110e+00, 1.293596743814293504e+01
1.854000000000000000e+03, 9.011893456339658215e+00, 8.697912098716310325e+00, 1.283998044602474309e+01, 7.817511797101055926e+00, 8.090771147840412070e+00, 6.436293374216824681e+00, 9.923047664762766118e+00, 8.026008458072777074e+00, 1.048383881880238988e+01, 5.792999971233127710e+00, 1.065683067881905899e+01, 1.156394530780252339e+01, 8.665927634571579219e+00, 8.910682701019945640e+00, 7.717920638299622382e+00, 1.338888991148018981e+01
1.855000000000000000e+03, 8.995887171419996164e+00, 8.816523028999954548e+00, 1.309718832705481439e+01, 7.806003792551842402e+00, 8.403700558526688624e+00, 6.615170606234275219e+00, 1.027429358031961470e+01, 8.781283692747386738e+00, 1.088411564621217664e+01, 5.918219137105121597e+00, 1.018848266642219436e+01, 1.246643326582305100e+01, 8.911762793588184906e+00, 8.706789271788617057e+00, 7.752666374769563440e+00, 1.295296744493570351e+01
1.856000000000000000e+03, 9.165635959096094965e+00, 8.791836829966618083e+00, 1.341904510902605274e+01, 8.015611509405879076e+00, 8.017983350037590995e+00, 6.525310703552324121e+00, 1.021594554047263337e+01, 8.098476733106515724e+00, 9.534726411831343285e+00, 5.792134972483041544e+00, 1.050344981844306425e+01, 1.236792072817952359e+01, 9.032885042187665192e+00, 8.629685178630181142e+00, 7.611454613575076245e+00, 1.303133249692176499e+01
1.857000000000000000e+03, 9.232272258245810548e+00, 8.387248048098115305e+00, 1.287108549708693594e+01, 7.838740843341539311e+00, 7.892376558117408791e+00, 6.348103871645163210e+00, 9.423029785054032104e+00, 8.122930599164677190e+00, 9.618005330596247404e+00, 5.833641206975604732e+00, 1.033865362737055982e+01, 1.196933137855129914e+01, 8.882834094419642668e+00, 8.558870730150220041e+00, 7.494229098882104090e+00, 1.332728936267466580e+01
1.858000000000000000e+03, 9.281985681681685918e+00, 8.747377077660775768e+00, 1.344431173191761708e+01, 7.954184355433812748e+00, 8.377817930516178180e+00, 6.592249926996923470e+00, 9.599288731049428591e+00, 8.662912908285830937e+00, 1.024704672366224223e+01, 5.671995917372905538e+00, 1.030934298369266777e+01, 1.205976618115453469e+01, 8.967044240964309409e+00, 8.714691964461232843e+00, 7.580061554857559614e+00, 1.312633116467888605e+01
1.859000000000000000e+03, 9.298936652167562045e+00, 9.137038393685470439e+00, 1.318550462326066608e+01, 7.930056829140097463e+00, 7.814300340853067794e+00, 6.416405505242653184e+00, 9.687192610837314533e+00, 8.734137273424343206e+00, 1.027360789017570042e+01, 5.826523136706024175e+00, 1.030512266601446214e+01, 1.281488360703061069e+01, 8.946607139979391832e+00, 8.780006107769139589e+00, 7.757450187628194271e+00, 1.304310174142002055e+01
