year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.662909398316640810e-11, 3.796450625701272813e-09
1.851000000000000000e+03, 1.725957984927951455e-11, 3.815683276919262932e-09
1.852000000000000000e+03, 1.742152870958568563e-11, 3.611728190980338375e-09
1.853000000000000000e+03, 1.862049031558963847e-11, 3.357688327798577933e-09
1.854000000000000000e+03, 2.053794810405315174e-11, 3.493810095056174729e-09
1.855000000000000000e+03, 2.101737085537470117e-11, 3.696631826856685928e-09
1.856000000000000000e+03, 2.049184358429171063e-11, 3.654814601603075546e-09
1.857000000000000000e+03, 2.329633587849590287e-11, 3.549773450140432210e-09
1.858000000000000000e+03, 2.252739620108188251e-11, 3.577477162952440148e-09
1.859000000000000000e+03, 2.336540802776430550e-11, 3.871419447096075843e-09
1.860000000000000000e+03, 2.384817089890505628e-11, 3.718953897394898334e-09
1.861000000000000000e+03, 2.297594267247970252e-11, 3.340549551185082917e-09
1.862000000000000000e+03, 2.463750190879420367e-11, 3.199772396472324439e-09
1.863000000000000000e+03, 2.418568526300598836e-11, 3.416532812457838455e-09
1.864000000000000000e+03, 2.544415085820436351e-11, 3.397407731136307289e-09
1.865000000000000000e+03, 2.403297467316455307e-11, 3.443265567256649869e-09
1.866000000000000000e+03, 2.580627478880097698e-11, 3.762105254592058102e-09
1.867000000000000000e+03, 2.552132159239552492e-11, 3.618784596272578583e-09
1.868000000000000000e+03, 2.494935715922950740e-11, 3.418132758577813850e-09
1.869000000000000000e+03, 2.779608028158336590e-11, 3.569888319763617761e-09
1.870000000000000000e+03, 2.470436595370320456e-11, 3.506811766733737182e-09
1.871000000000000000e+03, 2.767252569225055577e-11, 3.552626797112731632e-09
1.872000000000000000e+03, 2.455999462242892524e-11, 3.595289349789981840e-09
1.873000000000000000e+03, 2.779054187571713845e-11, 3.364679209548194366e-09
1.874000000000000000e+03, 2.588331373779865021e-11, 3.488580100206929150e-09
1.875000000000000000e+03, 3.004235948408787769e-11, 3.775027254029755414e-09
1.876000000000000000e+03, 2.715100634589332832e-11, 3.621378871827428390e-09
1.877000000000000000e+03, 3.216128283325302823e-11, 3.340903030202552923e-09
1.878000000000000000e+03, 2.553800539937122189e-11, 3.233052413552407688e-09
1.879000000000000000e+03, 3.141295759555719284e-11, 3.222597080214102712e-09
1.880000000000000000e+03, 2.777516583592318201e-11, 3.263952427378078947e-09
1.881000000000000000e+03, 2.994056240982208838e-11, 3.532252348614292978e-09
1.882000000000000000e+03, 3.025876472824147293e-11, 3.918486366245170713e-09
1.883000000000000000e+03, 3.225767325529464706e-11, 3.687509865383731501e-09
1.884000000000000000e+03, 3.358479834814429248e-11, 3.390316828662807611e-09
1.885000000000000000e+03, 3.010965350721124774e-11, 3.482418325482941066e-09
1.886000000000000000e+03, 3.114584506033019437e-11, 3.585520585454773831e-09
1.887000000000000000e+03, 3.101111169162017258e-11, 3.678163345957671616e-09
1.888000000000000000e+03, 3.378963854918354706e-11, 3.487723163241176993e-09
1.889000000000000000e+03, 3.092669841933790971e-11, 3.064216128172460985e-09
1.890000000000000000e+03, 3.274376826684993134e-11, 2.971805298433732733e-09
1.891000000000000000e+03, 3.354676609254824067e-11, 3.174604487968067347e-09
1.892000000000000000e+03, 3.538345927578527789e-11, 3.498622829821777375e-09
1.893000000000000000e+03, 3.363053983436207713e-11, 3.398933541176544500e-09
1.894000000000000000e+03, 3.597759100612642289e-11, 3.283762833178990166e-09
1.895000000000000000e+03, 3.324034647574830786e-11, 3.441413703125344729e-09
1.896000000000000000e+03, 3.513015240133510493e-11, 3.198088269305366408e-09
1.897000000000000000e+03, 3.519448807022605343e-11, 3.221641700695384040e-09
1.898000000000000000e+03, 3.913954799873560034e-11, 3.370192031076667867e-09
1.899000000000000000e+03, 3.550966448104507119e-11, 3.411319750970658074e-09
1.900000000000000000e+03, 3.782699936228111330e-11, 3.652785913910939236e-09
1.901000000000000000e+03, 3.788103707609692009e-11, 3.724742275807698859e-09
1.902000000000000000e+03, 3.781701726776388498e-11, 3.521060889477667985e-09
1.903000000000000000e+03, 3.774162586834569330e-11, 3.418981188008999264e-09
1.904000000000000000e+03, 3.619470437531645369e-11, 3.184413627428520889e-09
1.905000000000000000e+03, 4.013121751040893356e-11, 2.837437661296449681e-09
1.906000000000000000e+03, 3.377543757746687143e-11, 3.184242546931333370e-09
1.907000000000000000e+03, 4.094206239518843043e-11, 3.556959293676211944e-09
1.908000000000000000e+03, 4.013233823153020603e-11, 3.554562297910310664e-09
1.909000000000000000e+03, 4.215825241575610944e-11, 3.523926838481457939e-09
1.910000000000000000e+03, 4.259263330414536709e-11, 3.370725626127349415e-09
1.911000000000000000e+03, 4.106586103206138023e-11, 3.385791525080247500e-09
1.912000000000000000e+03, 4.300626893404557468e-11, 3.427443246853915845e-09
1.913000000000000000e+03, 4.321541901805364891e-11, 3.460804659343338492e-09
1.914000000000000000e+03, 4.730736823601946544e-11, 3.504154228410212388e-09
1.915000000000000000e+03, 4.552337192347591530e-11, 3.508647832041728177e-09
1.916000000000000000e+03, 4.157075960246278552e-11, 3.551711021818942380e-09
1.917000000000000000e+03, 4.302852598264871811e-11, 3.443901062265572667e-09
1.918000000000000000e+03, 4.193827057367222034e-11, 3.514469914929605169e-09
1.919000000000000000e+03, 4.710876639044076940e-11, 3.339986269319438280e-09
1.920000000000000000e+03, 4.472927753831665063e-11, 3.073350522496499932e-09
1.921000000000000000e+03, 4.785000894893243476e-11, 3.138438529003532364e-09
1.922000000000000000e+03, 4.811986042915765891e-11, 3.391318951249210132e-09
1.923000000000000000e+03, 4.843871190206924964e-11, 3.462525068713518455e-09
1.924000000000000000e+03, 5.012659608523949376e-11, 3.389943367412310520e-09
1.925000000000000000e+03, 4.977017399491187962e-11, 3.542553371532337870e-09
1.926000000000000000e+03, 4.556820980395419924e-11, 3.494341405937261090e-09
1.927000000000000000e+03, 5.203739257602358445e-11, 3.485396163845289528e-09
1.928000000000000000e+03, 4.407290590745858087e-11, 3.340684777794326495e-09
1.929000000000000000e+03, 5.388284046355422242e-11, 3.433279371734421807e-09
1.930000000000000000e+03, 4.562824848451195616e-11, 3.760306014908081980e-09
1.931000000000000000e+03, 5.599345335935210743e-11, 3.819317984399758890e-09
1.932000000000000000e+03, 4.451722913279255920e-11, 3.808170287895249625e-09
1.933000000000000000e+03, 5.370032570896678323e-11, 3.606503955060595369e-09
1.934000000000000000e+03, 4.903760278815554122e-11, 3.339648956111361551e-09
1.935000000000000000e+03, 5.413280124234172726e-11, 3.331528647002414461e-09
1.936000000000000000e+03, 5.517706899844365797e-11, 3.402023737555728767e-09
1.937000000000000000e+03, 5.266482724565712922e-11, 3.505634825059893158e-09
1.938000000000000000e+03, 5.185791435521942121e-11, 3.395732713797427057e-09
1.939000000000000000e+03, 5.354183169791890813e-11, 3.559406596586285135e-09
1.940000000000000000e+03, 5.380692065984752448e-11, 3.341422763353324977e-09
1.941000000000000000e+03, 5.601599235548186733e-11, 3.161752284496429307e-09
1.942000000000000000e+03, 5.614519158202584139e-11, 2.915418165069861445e-09
1.943000000000000000e+03, 5.015504376012188731e-11, 2.897622479390993292e-09
1.944000000000000000e+03, 5.859413773309140772e-11, 3.300080056611607547e-09
1.945000000000000000e+03, 5.018129319829278157e-11, 3.455850675758364998e-09
1.946000000000000000e+03, 5.237925801948503658e-11, 3.353712249917766962e-09
1.947000000000000000e+03, 5.453292203561091840e-11, 3.350590331204314307e-09
1.948000000000000000e+03, 5.490096044789534497e-11, 3.575658233167640397e-09
1.949000000000000000e+03, 5.807227238137890372e-11, 3.833703728909053799e-09
1.950000000000000000e+03, 5.579072306644472311e-11, 3.601124285219901034e-09
1.951000000000000000e+03, 5.950414313381176233e-11, 3.295643904557076969e-09
1.952000000000000000e+03, 5.763129040999542507e-11, 3.064407560262809815e-09
1.953000000000000000e+03, 5.648804040483597889e-11, 3.108258505079387870e-09
1.954000000000000000e+03, 6.496660420629631209e-11, 3.656072859347322332e-09
1.955000000000000000e+03, 5.207028634708116373e-11, 3.812637195555844065e-09
1.956000000000000000e+03, 6.436987292968056587e-11, 3.680827123943439215e-09
1.957000000000000000e+03, 5.054217267349912161e-11, 3.776983194192101986e-09
1.958000000000000000e+03, 6.696915913644401234e-11, 3.881362533293496769e-09
1.959000000000000000e+03, 5.948802033980591236e-11, 3.564039835597864038e-09
1.960000000000000000e+03, 7.212456745440327996e-11, 3.065764836333351971e-09
1.961000000000000000e+03, 6.089138559360622445e-11, 2.953779083941697749e-09
1.962000000000000000e+03, 6.744975783968758891e-11, 3.415642327196665303e-09
1.963000000000000000e+03, 7.023450717539326720e-11, 3.722679500547763196e-09
1.964000000000000000e+03, 6.647024536159644410e-11, 3.475772699543633615e-09
1.965000000000000000e+03, 7.136723447598733254e-11, 3.359627712080669271e-09
1.966000000000000000e+03, 6.671424076354693915e-11, 3.462940187446128513e-09
1.967000000000000000e+03, 6.440946665432021033e-11, 3.213301845092326909e-09
1.968000000000000000e+03, 6.927364822470195523e-11, 3.170313905021720428e-09
1.969000000000000000e+03, 6.513010707246584512e-11, 3.323673229836200120e-09
1.970000000000000000e+03, 6.226431886523172029e-11, 3.422629344674343208e-09
1.971000000000000000e+03, 7.258189322882312506e-11, 3.372558787280503913e-09
1.972000000000000000e+03, 6.870864275552127662e-11, 3.276607424062053623e-09
1.973000000000000000e+03, 7.662142921656332296e-11, 3.093896028599884454e-09
1.974000000000000000e+03, 6.398879273158825162e-11, 3.195775204814598987e-09
1.975000000000000000e+03, 7.889225109343891550e-11, 3.424833698612144365e-09
1.976000000000000000e+03, 6.083590581861451245e-11, 3.561752206527380966e-09
1.977000000000000000e+03, 7.480079804132841017e-11, 3.587123380203012537e-09
1.978000000000000000e+03, 6.974483892383199886e-11, 3.569916063644558439e-09
1.979000000000000000e+03, 7.384011180964375658e-11, 3.671916546047110244e-09
1.980000000000000000e+03, 6.436286365910771247e-11, 3.368146576889257296e-09
1.981000000000000000e+03, 7.070537540156472193e-11, 3.652068644276631636e-09
