year, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
1.850000000000000000e+03, 1.669959986301363890e-10, 3.441174506042230333e-10, 6.568052196353666220e-10, 8.864311505037760125e-10, 5.031415075581034683e-10
1.851000000000000000e+03, 3.487322600768502809e-10, 4.829251497882654525e-10, 6.788635447949616169e-10, 2.564899132133237853e-10, 2.844693257346407564e-10
1.852000000000000000e+03, 4.793724890415610213e-10, 3.496376613303558332e-10, 7.285946348516051760e-10, 2.067782219338966092e-09, 2.306004034352485997e-10
1.853000000000000000e+03, 2.944578177742765286e-10, 4.562445891057932457e-10, 1.776286075697141270e-09, 9.769176185312356873e-10, 3.058171768766079195e-10
1.854000000000000000e+03, 9.172850139174187568e-10, 5.822773529428206183e-10, 8.260570823475565271e-10, 5.575211114722946738e-10, 2.471248453570821290e-10
1.855000000000000000e+03, 5.532172836977327328e-10, 3.383836209153578797e-10, 3.334676700829578909e-10, 3.807099054499348256e-10, 1.818266780443920327e-10
1.856000000000000000e+03, 1.577286249545424790e-10, 4.787580825497596680e-10, 5.699906685969261119e-10, 6.212383026378074152e-10, 5.936479915021468120e-10
1.857000000000000000e+03, 3.119777767635492791e-10, 6.179658705082580191e-10, 9.256360877261664972e-10, 1.353739345571101624e-09, 3.043774331913085206e-10
1.858000000000000000e+03, 3.305755878234830402e-10, 5.142292089037020564e-10, 5.490625935352706999e-10, 6.335782557348007509e-10, 2.176498806797109575e-10
1.859000000000000000e+03, 2.722172560558810495e-10, 2.899450009202626008e-10, 2.864330777508131777e-10, 7.212094122549992905e-10, 6.339072901852000113e-10
1.860000000000000000e+03, 3.741826106578338272e-10, 1.930330817321133581e-10, 1.717685530257080943e-09, 4.843764676412593571e-10, 2.466225006671210535e-10
1.861000000000000000e+03, 1.908499116787139444e-10, 3.920285190691645199e-10, 1.164462584982987961e-09, 1.107265288171912598e-09, 3.509581025028274283e-10
1.862000000000000000e+03, 3.461695733745987030e-10, 1.890518049975842553e-10, 5.090607322166877489e-10, 8.770116158469284246e-10, 4.858339259846579925e-10
1.863000000000000000e+03, 3.679516840451468161e-10, 1.208364060432038961e-09, 7.697344721394071630e-10, 5.291610084831154814e-10, 5.198198562859236533e-10
1.864000000000000000e+03, 5.452675332701694007e-10, 8.581694139667621048e-10, 7.772169355207135305e-10, 7.548982062698386819e-10, 2.768823500588427893e-10
1.865000000000000000e+03, 6.588330412283009497e-10, 2.416339960302572617e-10, 1.034992106968282398e-09, 8.802284216925412581e-10, 1.938211446041663319e-10
1.866000000000000000e+03, 8.670710401081359420e-10, 3.650754892331828040e-10, 9.996611190916786197e-10, 1.212828342254566876e-09, 4.449536578472132565e-10
1.867000000000000000e+03, 5.271525911143178984e-10, 4.761651512936659400e-10, 5.791557223836052602e-10, 8.001914638378013300e-10, 2.595101453015853891e-10
1.868000000000000000e+03, 4.064645503412960786e-10, 8.766054094122300242e-10, 3.942949100179364230e-10, 5.572530520273051729e-10, 3.452591833147283213e-10
1.869000000000000000e+03, 1.594949940602286592e-10, 6.296998039176856262e-10, 3.136481303439339345e-10, 5.570693381591579131e-10, 4.033964748112279089e-10
1.870000000000000000e+03, 1.991704875111939210e-10, 2.068193501171783951e-10, 7.203987747366940764e-10, 6.788534554286919080e-10, 3.156695416250132446e-10
1.871000000000000000e+03, 1.482244500533923919e-10, 6.317879398444365592e-10, 4.956148920280650636e-10, 5.861597191790141059e-10, 2.717497306009420148e-10
1.872000000000000000e+03, 4.677577801585700906e-10, 7.550575090157568645e-10, 7.975308868025369299e-10, 7.615228564148717302e-10, 5.351457831461197074e-10
1.873000000000000000e+03, 3.412855240611805459e-10, 2.589204540571394522e-10, 8.250532161643399583e-10, 7.443378950172908325e-10, 5.478931521183353386e-10
1.874000000000000000e+03, 6.322194844225854317e-10, 2.335742502951281797e-10, 4.341655242989585696e-10, 8.992302241770474955e-10, 1.721700861223444034e-10
1.875000000000000000e+03, 5.699606532452439533e-10, 3.365866581541447913e-10, 7.691132456803051044e-10, 7.510470434343620388e-10, 2.014829723922730558e-10
1.876000000000000000e+03, 3.939767053012269939e-10, 5.430181332826062861e-10, 1.050236756335595186e-09, 4.888239878681450063e-10, 4.336556914756034218e-10
1.877000000000000000e+03, 7.101680816346065673e-10, 8.257681369462828773e-10, 9.265730070401037546e-10, 5.794609465635916505e-10, 4.153327634831565326e-10
1.878000000000000000e+03, 3.918710272954754980e-10, 6.453726578798941889e-10, 8.940882297754214307e-10, 3.927932083764251188e-10, 2.987497038712878657e-10
1.879000000000000000e+03, 5.198856250070880092e-10, 7.260279637324341750e-10, 1.041785514752347868e-09, 1.353359144552519261e-09, 1.968006900939670770e-10
1.880000000000000000e+03, 4.172104196605489192e-10, 5.457527374514375149e-10, 4.042555299228386277e-10, 6.223037783361861654e-10, 5.910021458133815520e-10
1.881000000000000000e+03, 1.015259462255041113e-09, 6.708691544131833289e-10, 1.253182115011909147e-09, 4.806906259538053321e-10, 2.943042707564842810e-10
1.882000000000000000e+03, 5.245026260741635164e-10, 3.900154610462547488e-10, 7.728388527165999288e-10, 6.492993639787124464e-10, 4.980390721107414417e-10
1.883000000000000000e+03, 4.149724927112243988e-10, 7.244826914499823221e-10, 4.168364763280721739e-10, 1.048354287709495201e-09, 1.864034827511467951e-10
1.884000000000000000e+03, 5.388904101946585045e-10, 5.640368551349251506e-10, 1.949428951397087825e-09, 9.544144071452665456e-10, 2.326882490828603271e-10
1.885000000000000000e+03, 4.998345115852588153e-10, 6.292300746982834217e-10, 5.622052238440540678e-10, 7.294330202182023294e-10, 2.952579578222905276e-10
1.886000000000000000e+03, 5.866508693166621503e-10, 6.489390921082543704e-10, 2.079397339410732264e-10, 6.406209346113033166e-10, 4.434062561520357778e-10
1.887000000000000000e+03, 7.899043277305721766e-10, 4.295897882594760829e-10, 1.478463763248082335e-09, 3.510035573189772145e-10, 3.977940890179239235e-10
1.888000000000000000e+03, 9.882709405845904491e-10, 5.701184919378407633e-10, 7.482847892902741351e-10, 1.248166196721344191e-09, 2.371014337368242434e-10
1.889000000000000000e+03, 7.834491566151732106e-10, 5.366758721025917444e-10, 5.000332090294944320e-10, 5.773203557456594375e-10, 2.020112370196513481e-10
1.890000000000000000e+03, 4.337664429024070473e-10, 8.619475266372622058e-10, 6.633526261160571035e-10, 7.798679913966931788e-10, 6.328391801785573015e-10
1.891000000000000000e+03, 8.276746921359754556e-10, 1.335054986860696707e-09, 5.653683076240485965e-10, 4.797263635224450079e-10, 2.251857634980601196e-10
1.892000000000000000e+03, 6.967974844319468225e-10, 6.017343507449279339e-10, 5.250382015591425246e-10, 4.189972190936356348e-10, 2.439133446648204701e-10
1.893000000000000000e+03, 5.070192395586311059e-10, 5.632823043169917708e-10, 4.932597139978856627e-10, 1.400646850025160917e-09, 4.228318017346590404e-10
