year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM
1.872000000000000000e+03, 6.995655333527869857e+01, 2.243464236966549308e+01, 5.122874925144116531e+01, 4.951714563178910566e+01, 3.293394187426473962e+01, 2.863539690436121532e+01, 4.222282892938377330e+01, 6.083203513650151706e+01, 2.595124386003629979e+01, 3.796521420926465851e+01, 1.591613027459504082e+01, 2.345953781551187589e+01, 1.537882204238373340e+01, 4.020146802613595582e+01
1.873000000000000000e+03, 7.003171816742545275e+01, 2.252648617268448916e+01, 5.123649789007831146e+01, 4.950548483316337212e+01, 3.292285360110525261e+01, 2.868694248422677617e+01, 4.224857685859313250e+01, 6.077061554876562610e+01, 2.593016502460236694e+01, 3.796581925370646360e+01, 1.588696242145879189e+01, 2.345201014531674133e+01, 1.538823167199794817e+01, 4.021607310822011527e+01
1.874000000000000000e+03, 7.010741567902790905e+01, 2.249325819304808860e+01, 5.125513057239114545e+01, 4.947138793907155474e+01, 3.289784370395787505e+01, 2.865760117127775786e+01, 4.228435184497302401e+01, 6.071774972768898948e+01, 2.592029369072766087e+01, 3.797958254526323429e+01, 1.593885413425970299e+01, 2.344667933734001508e+01, 1.538337119610540604e+01, 4.021963028263838424e+01
1.875000000000000000e+03, 7.009942133377678886e+01, 2.240759237216667898e+01, 5.126969933576346250e+01, 4.945709297468848575e+01, 3.288790153068069344e+01, 2.860800400491651985e+01, 4.223059090622055578e+01, 6.073112258761896953e+01, 2.590630004379294959e+01, 3.797451020202342420e+01, 1.596193591319996230e+01, 2.343827308868580062e+01, 1.538116084910712011e+01, 4.023267085536816978e+01
1.876000000000000000e+03, 7.011443319013741871e+01, 2.249146215666061366e+01, 5.127378811172157214e+01, 4.944068212822889308e+01, 3.289808016172970184e+01, 2.869538105814829620e+01, 4.223888561610763048e+01, 6.075579948690875653e+01, 2.588355415696831940e+01, 3.796155137166424964e+01, 1.611045138339570215e+01, 2.343371440092466784e+01, 1.538535518989755246e+01, 4.023311306772716023e+01
1.877000000000000000e+03, 7.011763052495516035e+01, 2.255092931607951812e+01, 5.129608866127362887e+01, 4.944456809494194971e+01, 3.292372804165395905e+01, 2.872098448186223862e+01, 4.225933249183133711e+01, 6.086526276026257420e+01, 2.584705482716680081e+01, 3.796274004370993538e+01, 1.613822466390085353e+01, 2.342430033433752712e+01, 1.539455679297441115e+01, 4.022625486888062341e+01
1.878000000000000000e+03, 7.013278795116454489e+01, 2.253724369222258872e+01, 5.130090373077387511e+01, 4.943148158022444960e+01, 3.293989241329009587e+01, 2.867779592504420094e+01, 4.225467129890630247e+01, 6.084946247738736247e+01, 2.581472970695335079e+01, 3.797198300215790567e+01, 1.617544278792825097e+01, 2.341891906463391493e+01, 1.540490232037270246e+01, 4.021424975906635524e+01
1.879000000000000000e+03, 7.016347896842923149e+01, 2.249183777934619144e+01, 5.131537659210631119e+01, 4.941678684974866798e+01, 3.293516505307655251e+01, 2.867446184591212344e+01, 4.225290048067497395e+01, 6.064265361281994871e+01, 2.575360232163639651e+01, 3.799359676093451554e+01, 1.598393556175100017e+01, 2.342330661102137768e+01, 1.541789860129194167e+01, 4.019804246025864103e+01
1.880000000000000000e+03, 7.021978578367810542e+01, 2.248906098715583113e+01, 5.131974130619710195e+01, 4.943126781116382062e+01, 3.293298128798111435e+01, 2.861650237180155543e+01, 4.226245116392938428e+01, 6.052137696326892780e+01, 2.572819328873057998e+01, 3.797190289609329028e+01, 1.594391509531865125e+01, 2.342785160540554656e+01, 1.542646118115763265e+01, 4.020810523824616212e+01
1.881000000000000000e+03, 7.023832156447724628e+01, 2.243164838301996866e+01, 5.132754645760196155e+01, 4.941245181922418084e+01, 3.292143106151932130e+01, 2.857533194479811556e+01, 4.227908945995002199e+01, 6.048723353307564565e+01, 2.570009708933634940e+01, 3.792784294497063513e+01, 1.608551504633332385e+01, 2.343393758188467046e+01, 1.543981190674750081e+01, 4.021404627158004530e+01
