year, INM-CM5-0, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CanESM5, INM-CM4-8
1.850000000000000000e+03, -1.844051777238535361e-01, 1.100879273358824628e-01, -3.696210982452952792e-02, 8.980841730586848481e-02, 5.272259032298355630e-02, 2.496573600310870653e-02, 3.531534191232835879e-02, -1.164674861929842486e-01, -1.193788690173269162e-01, -6.811070508847714977e-02, 1.052727997310497488e-01, -1.252419281295266418e-01, -3.082974741058260304e-01, 3.764564631901022307e-01, -1.435399203253852063e-01, -8.482930698365194477e-02
1.851000000000000000e+03, -3.825622337498550685e-03, -7.799431469333996392e-02, -6.772352499864937869e-02, -1.260420828039523211e-01, -1.520789584327241206e-01, -1.995566499678282091e-02, 4.951468331773165726e-02, 5.009269213929936487e-02, 4.364837297441447883e-01, -3.662904282183966909e-01, 9.238081990564643575e-02, -8.101043132565846627e-02, 3.768411774920910062e-01, -4.293347837373140408e-01, 8.302969928217589224e-02, 8.050092805054145928e-02
1.852000000000000000e+03, -9.547181877266024130e-02, -2.005099362690623555e-01, -9.178707434309861871e-03, -8.299549876490527889e-02, -2.280944225689307825e-01, -2.203675170940810890e-02, 1.540583387080155797e-01, 5.670091121987096139e-02, -7.080897912364544355e-01, -9.279592246544835499e-01, 2.879412718198369470e-02, 2.500890716865352553e-02, 3.525499116973472291e-01, 3.137706710106412111e-01, 1.046645814210911268e-01, -1.676039649831087552e-01
1.853000000000000000e+03, 3.902606934461184951e-02, -3.707740490239528341e-01, -3.141629376358198722e-02, -1.062477009898838837e-01, -1.113489524735177816e-01, 2.199009496754978157e-02, -7.511401322443460316e-02, 8.094735659333619771e-02, -3.977018912212922364e-01, -7.961011042279382277e-01, -1.746778817938981765e-01, 8.512050487349939742e-02, 7.468832639455824651e-02, -4.880214088608802459e-01, -1.439624265367001055e-01, 1.693099975872209839e-01
1.854000000000000000e+03, 4.355990387849287826e-01, -1.025437443264713977e-01, -1.445093625337415255e-01, -6.122431692671403275e-02, -2.510998856429879147e-02, -2.634040627918114996e-01, -4.702873291754065821e-02, -6.224391866534469825e-02, 3.433441255070722731e-01, 1.775705182904409596e-01, -3.150959421813099848e-01, -3.229490958396931399e-02, -1.720777952783341391e-01, -1.331802716930925168e-01, -1.978274054229157697e-01, -2.501200227403068688e-01
1.855000000000000000e+03, 3.411334582739152660e-02, -7.499817568090558738e-03, -1.096048932305620019e-02, 4.170591687754419269e-02, -4.103944733433612796e-02, -1.417432834547939779e-01, -7.303850835335777558e-02, -2.939456768104466503e-02, 4.212113441139366254e-01, -6.590419256224570033e-01, 3.532396540883825375e-01, 1.500849834211502865e-01, 5.404457249470447922e-01, 4.342453423240851818e-01, 4.320885127297252604e-02, -3.022375357883338651e-02
1.856000000000000000e+03, 7.949648801501173201e-02, -7.273789355517362720e-02, -9.870463919770528297e-03, -1.227306879331635688e-02, -1.083645978922415792e-01, 9.905582482783326093e-02, -1.500564294633141282e-01, 7.088355836985285596e-02, 3.565805620207455201e-02, -3.558030391771487277e-01, -7.517802905061082147e-03, -9.414500759618424364e-02, -8.936104754489145041e-02, -2.560467281372307835e-01, 1.026112566485732347e-01, 2.104192178637239730e-01
1.857000000000000000e+03, 2.415507381128422226e-01, -3.029983149236259443e-01, -1.304804481665063076e-01, -1.031808914207383993e-01, -4.808464064056611198e-02, -1.525687387456466093e-02, -1.351011606063466097e-01, -3.686351901390294561e-02, -4.589865975700433420e-01, -1.509406349112356882e-01, -1.538441712336958422e-01, -5.325907189871278979e-02, 2.941822399971996682e-02, -2.834070640943441854e-01, 8.374026612552853965e-02, -2.497051782802963416e-01
1.858000000000000000e+03, 2.091443757964334127e-01, -1.055588805502635230e-01, -7.247971650028207924e-02, 6.777168974230293741e-02, -1.727401618281773910e-01, 2.357406350660524313e-02, -2.526562426757801919e-02, 9.038618477940127405e-02, -4.304439736555049079e-02, -5.485079529442696833e-01, -1.140666376865237808e-01, 2.213918128685220810e-01, 3.894332547560563351e-01, -7.483308298305772592e-04, -1.533893221420790055e-03, 1.870520088605828746e-01
1.859000000000000000e+03, 2.286951585601573744e-02, 8.307511029251028745e-02, 2.113904205994298485e-02, -1.000382276927139630e-01, -1.367568529262228570e-02, 1.909370296601218056e-03, 3.059082464039759169e-02, 3.330513824399070066e-02, -2.122703272990147938e-02, -4.412665273316192516e-01, -7.017811475975883895e-02, -2.215321796761267614e-01, 1.826888029194952134e-01, 5.376887202252177422e-01, 2.462911914132742078e-03, 3.832522566767625899e-02
