year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.870000000000000000e+03, 2.306542769772692068e-13, 8.330803244418770011e-11, 1.473099577729288355e-10, 9.443839284488042566e-10, 4.514775953178471124e-10, 4.825653316419516285e-11, 7.574849310012813489e-12, 1.698805763119496181e-09
1.871000000000000000e+03, 2.759159462278381856e-13, 8.632830285434739800e-11, 1.516749123864990005e-10, 9.537339921167876170e-10, 4.422519772741533963e-10, 4.887166437856075757e-11, 7.835522156012493698e-12, 1.700104306069330292e-09
1.872000000000000000e+03, 2.527185681839909013e-13, 8.525317279669626560e-11, 1.761064233834206347e-10, 9.549438774957685246e-10, 4.500847575733982251e-10, 4.945722933728149195e-11, 8.200975521196591131e-12, 1.701867815223225156e-09
1.873000000000000000e+03, 2.163642743374202696e-13, 8.492448736389166782e-11, 1.615548545290360507e-10, 9.719793851009547449e-10, 4.436367083175742490e-10, 5.002968195416805289e-11, 8.579902907740311766e-12, 1.706150871995954450e-09
1.874000000000000000e+03, 2.231700611668071805e-13, 8.426434749361856721e-11, 1.705701676720907212e-10, 9.715896284979766558e-10, 4.476480907772194941e-10, 5.052974520164028673e-11, 8.961230908594090202e-12, 1.706865350899007070e-09
1.875000000000000000e+03, 2.246816667840092196e-13, 8.555530915916583449e-11, 1.739428387817906719e-10, 9.817815081685880032e-10, 4.849868657215711454e-10, 5.101169131450859674e-11, 9.313532332821125905e-12, 1.719694941224461157e-09
1.876000000000000000e+03, 2.277153125633652794e-13, 8.583211355554516307e-11, 1.751518341793503566e-10, 9.801336701638111438e-10, 4.558776221124956496e-10, 5.151755399580546104e-11, 9.667380367927481125e-12, 1.721770407308191443e-09
1.877000000000000000e+03, 2.272816895421851195e-13, 8.801401692918068680e-11, 1.767361496735372633e-10, 9.851838773594521489e-10, 4.471857268233744028e-10, 5.204336633201186072e-11, 1.023461133869423203e-11, 1.715531743783594087e-09
1.878000000000000000e+03, 2.145233302612612125e-13, 8.873199334926220877e-11, 1.655028965771347847e-10, 9.910459454329980676e-10, 4.837930700356099886e-10, 5.257686982252661305e-11, 1.091682129168242901e-11, 1.709347097865321465e-09
1.879000000000000000e+03, 2.070964895449841558e-13, 8.890540436141854142e-11, 1.543573493526113386e-10, 9.826188495701546742e-10, 4.789695628320086014e-10, 5.309071489751053862e-11, 1.159264121082136100e-11, 1.707676545050101353e-09
1.880000000000000000e+03, 2.366120093185304710e-13, 8.938969537966880491e-11, 1.779843663924014179e-10, 1.009088945040175575e-09, 4.839384326002935632e-10, 5.413236078490285263e-11, 1.217774570126404126e-11, 1.722654357960956183e-09
1.881000000000000000e+03, 3.100091288078717859e-13, 9.580297261659418493e-11, 1.843093657453279339e-10, 1.049865540372109059e-09, 4.783793495933311853e-10, 5.556954216203588903e-11, 1.267437953160033310e-11, 1.743211721621483517e-09
1.882000000000000000e+03, 3.272010046982724155e-13, 1.006519864380912850e-10, 1.816154210836772824e-10, 1.062888014144847019e-09, 5.040452064165642456e-10, 5.682078531417378016e-11, 1.367302658395552704e-11, 1.770642301346886102e-09
1.883000000000000000e+03, 2.815530917814960008e-13, 1.007633690549255383e-10, 1.759184687640221345e-10, 1.075909951338481261e-09, 5.238805751923759802e-10, 5.786117596003926140e-11, 1.469786714722688975e-11, 1.787121639210817576e-09
1.884000000000000000e+03, 2.903126228529777999e-13, 1.022621419138600863e-10, 1.895640583115225445e-10, 1.078375027545492224e-09, 4.926533674512869283e-10, 5.876328607472909539e-11, 1.572331209908520042e-11, 1.779008866844567945e-09
1.885000000000000000e+03, 2.999979542451936570e-13, 1.022753360520457813e-10, 1.886009853761350706e-10, 1.093934910856371113e-09, 5.011877940352580143e-10, 5.960459680334510271e-11, 1.675243711759361948e-11, 1.768676807393449038e-09
1.886000000000000000e+03, 3.416942882708460810e-13, 1.093682805523710975e-10, 1.961053533747174780e-10, 1.098084745127218041e-09, 5.240137462643601117e-10, 6.040284634507353478e-11, 1.770205620611585884e-11, 1.771690607115863711e-09
1.887000000000000000e+03, 3.675916791178853377e-13, 1.068846643024353533e-10, 1.969474813423832022e-10, 1.104039091022481186e-09, 5.470353694482509454e-10, 6.116798581022416013e-11, 1.855449338990951368e-11, 1.791970549787377293e-09
1.888000000000000000e+03, 3.310976195717290778e-13, 1.065785517713186298e-10, 2.220154838024663262e-10, 1.102848277987301199e-09, 5.820432895639276096e-10, 6.189730350245469564e-11, 1.937161523096212830e-11, 1.805074735348130078e-09
1.889000000000000000e+03, 2.900047976913757360e-13, 1.083677955097959189e-10, 2.277849266872365948e-10, 1.122644181652725653e-09, 5.544066314149673312e-10, 6.255782638066099606e-11, 2.019757144494258620e-11, 1.793372274498265207e-09
1.890000000000000000e+03, 3.179090173538592221e-13, 1.090800283248331832e-10, 2.155749903932416730e-10, 1.158376441531098439e-09, 5.528175331431572030e-10, 6.543907282426308485e-11, 2.110774355973827448e-11, 1.809910850429337623e-09
1.891000000000000000e+03, 3.275440917153966369e-13, 1.264575620044707789e-10, 2.226852557902309617e-10, 1.207825562852285043e-09, 6.191801698356184899e-10, 6.995964687971393479e-11, 2.156904487909068433e-11, 1.839422011321697413e-09
1.892000000000000000e+03, 3.215809650366390430e-13, 1.329069674766955761e-10, 2.420961704773737077e-10, 1.226888620987790285e-09, 6.043384069050256248e-10, 7.368363670615527728e-11, 2.307799420617811657e-11, 1.877267844035404305e-09
1.893000000000000000e+03, 3.545197308374076563e-13, 1.377941405094948499e-10, 2.338392486054078254e-10, 1.243131472180763830e-09, 6.118802011370925373e-10, 7.680165291688410377e-11, 2.465241807531868525e-11, 1.911969846331840193e-09
