year, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, IPSL-CM6A-LR
1.850000000000000000e+03, 4.539526645330890116e-10, 3.647853417200939075e-11, 5.230104562637093704e-11, 1.540818426586649940e-12, 2.937627107449088387e-12, 1.796852380671712852e-10, 5.845870566693797559e-12, 2.566004240106544582e-10
1.851000000000000000e+03, 4.381111117410929549e-10, 4.028076180433164996e-11, 5.892823791327395241e-11, 2.731301847885414285e-12, 4.692234025019529208e-12, 1.838078306003170601e-10, 8.847108901054896432e-12, 2.435186218977179239e-10
1.852000000000000000e+03, 4.068745496817696234e-10, 4.345655900350514089e-11, 6.965331373845451183e-11, 3.224324811385553141e-12, 5.116064873491815382e-12, 1.809389280340252723e-10, 9.226552532577783359e-12, 2.598381708675062051e-10
1.853000000000000000e+03, 4.044069346804342773e-10, 4.656493485957435947e-11, 7.309695284736443645e-11, 3.719495287240194363e-12, 5.550156655313663999e-12, 1.804879541475452754e-10, 9.567487613083088716e-12, 2.349696841603808235e-10
1.854000000000000000e+03, 4.362966027796904399e-10, 5.146901220537801439e-11, 6.768446958624649466e-11, 4.221795058692455754e-12, 5.974592066301212246e-12, 1.778073971249339162e-10, 9.917139419882002884e-12, 2.554835489357291840e-10
1.855000000000000000e+03, 4.789919463156742915e-10, 5.326816109663580688e-11, 7.265732828068676409e-11, 4.711272376484256193e-12, 6.404441042792981231e-12, 1.857765121564209459e-10, 1.033984286687496566e-11, 2.651040064358558305e-10
1.856000000000000000e+03, 4.211418983309183114e-10, 5.365749748883428805e-11, 6.825432601100472014e-11, 5.214295225946467667e-12, 6.838252143655992310e-12, 1.934897063891574529e-10, 1.072398150866241043e-11, 2.768086306179517867e-10
1.857000000000000000e+03, 4.263139853093409072e-10, 5.766780830937579927e-11, 6.294123784022441191e-11, 5.730012985169375654e-12, 7.284418542261820028e-12, 1.965673412025802117e-10, 1.111587616806687856e-11, 2.689403676835510027e-10
1.858000000000000000e+03, 4.592963719017140952e-10, 5.733054125540504824e-11, 7.044147249070144117e-11, 6.241760099174753962e-12, 7.739245782966690127e-12, 1.931184577126094630e-10, 1.152761191836008864e-11, 2.793998006202335944e-10
1.859000000000000000e+03, 4.696193134367280346e-10, 5.912167134752216313e-11, 8.242227401176880812e-11, 6.771414278845024037e-12, 8.177097293843704272e-12, 1.971249597399732224e-10, 1.200120246337790803e-11, 2.747875235591769764e-10
1.860000000000000000e+03, 5.118076115552972652e-10, 6.161099762689995405e-11, 7.874612313171849976e-11, 7.307617356706907636e-12, 8.617104168432027299e-12, 2.035501113179023409e-10, 1.243115395771975662e-11, 2.789635503799184003e-10
1.861000000000000000e+03, 4.784071756496554876e-10, 6.007476360186029289e-11, 8.241311242729468848e-11, 7.904775126971308100e-12, 9.164294433738756498e-12, 2.055126886696975962e-10, 1.300566710053460445e-11, 2.801018136277487891e-10
1.862000000000000000e+03, 4.566133060537857870e-10, 6.473277495167518925e-11, 9.021217117365057920e-11, 8.421296128816951687e-12, 9.549650264257461490e-12, 2.075863055051051072e-10, 1.332954776410769116e-11, 2.944541948786978663e-10
1.863000000000000000e+03, 4.894773097524707098e-10, 6.523341366173231794e-11, 8.516526512662329781e-11, 8.940704129970249228e-12, 9.948092365680038131e-12, 2.049128156938603165e-10, 1.368332453015264424e-11, 3.033073566886077066e-10
1.864000000000000000e+03, 4.877264960817055651e-10, 6.443130072987477359e-11, 8.523015891830475468e-11, 9.476908694858269457e-12, 1.035863881005650130e-11, 2.100211432938942824e-10, 1.401806251630727606e-11, 2.869047219036524172e-10
1.865000000000000000e+03, 5.203004481506128417e-10, 6.257466768291476526e-11, 8.419599100864665784e-11, 9.993668452570995767e-12, 1.074870519283252422e-11, 2.131782576015197213e-10, 1.434037285554223071e-11, 2.974358806277474790e-10
1.866000000000000000e+03, 5.678157172503442863e-10, 6.343443415270543305e-11, 7.675305988261113079e-11, 1.051186134437903427e-11, 1.114619634891517991e-11, 2.205977804529054034e-10, 1.465830880600058514e-11, 3.036976897040912769e-10
1.867000000000000000e+03, 5.252333674823021741e-10, 6.090184925428910335e-11, 8.170859077747343779e-11, 1.104327991239522041e-11, 1.154402309021500961e-11, 2.272065213979167698e-10, 1.501721794184000395e-11, 2.849383951424399179e-10
1.868000000000000000e+03, 5.417466749493883241e-10, 6.099906940543340872e-11, 7.162904642892519533e-11, 1.154934831305492964e-11, 1.195599660218858339e-11, 2.235041511705228721e-10, 1.543892648257849823e-11, 3.119681032304318973e-10
1.869000000000000000e+03, 5.598441732752086775e-10, 6.499434873425776876e-11, 8.406207204147744572e-11, 1.206159160908180600e-11, 1.238805072822452484e-11, 2.245723904737201100e-10, 1.590843052700426610e-11, 3.196489531782484126e-10
1.870000000000000000e+03, 6.325925258247609673e-10, 6.243591662318467829e-11, 8.335977073411390785e-11, 1.257909720621010933e-11, 1.281443445662257409e-11, 2.327753163291740758e-10, 1.629278861185080347e-11, 3.299474734103410540e-10
1.871000000000000000e+03, 6.089971362886781416e-10, 6.566666566175409155e-11, 8.620194147493811713e-11, 1.304582868226717387e-11, 1.308181069574652256e-11, 2.312489903635078561e-10, 1.637479520834683370e-11, 3.173001358387044399e-10
1.872000000000000000e+03, 5.152292766356999940e-10, 6.301580665743905531e-11, 1.092855063133271709e-10, 1.364147015930158270e-11, 1.357661188936567449e-11, 2.318067419076367981e-10, 1.693460821886017442e-11, 3.247849593184521945e-10
1.873000000000000000e+03, 5.892320283689632901e-10, 6.780933186353418385e-11, 9.351232744652613202e-11, 1.425221012116602229e-11, 1.408983047441002133e-11, 2.365529296438053765e-10, 1.746354930194923884e-11, 3.178239389636475058e-10
1.874000000000000000e+03, 6.175590725676491461e-10, 6.817148454543355068e-11, 1.014523835404721172e-10, 1.485198232351269899e-11, 1.460935682136614513e-11, 2.374015933564680672e-10, 1.802728637480259418e-11, 3.221901669012315851e-10
1.875000000000000000e+03, 6.212256129432948600e-10, 7.167665282800043687e-11, 1.038467179804519006e-10, 1.544035919243549893e-11, 1.512766225917521970e-11, 2.431733275351659136e-10, 1.864670418023219817e-11, 3.591275418218875102e-10
1.876000000000000000e+03, 6.294676352270881782e-10, 6.852977323927474849e-11, 1.041356079438702116e-10, 1.603045405716258008e-11, 1.564142842272377690e-11, 2.454112739728177926e-10, 1.920201388392952690e-11, 3.326454124835112089e-10
1.877000000000000000e+03, 6.032897258181765524e-10, 7.527207855584836248e-11, 1.048587219968918681e-10, 1.660497152816303138e-11, 1.616314554401485764e-11, 2.481484537534480812e-10, 1.974419359647723019e-11, 3.248257110006567461e-10
1.878000000000000000e+03, 5.958065349712030562e-10, 6.819065592423753560e-11, 9.281894714085804228e-11, 1.722220611938163677e-11, 1.668409246701926337e-11, 2.485688187315899960e-10, 2.031864997033342912e-11, 3.611499484245072135e-10
1.879000000000000000e+03, 6.462922328618164687e-10, 7.497507588823250286e-11, 8.096961613468551904e-11, 1.779994193607875032e-11, 1.720242923798112811e-11, 2.465421599775778370e-10, 2.087990910011743937e-11, 3.557829672317248243e-10
1.880000000000000000e+03, 6.678046335135080271e-10, 7.499424725837753528e-11, 1.039469412596510624e-10, 1.836087913275006308e-11, 1.771670190275974323e-11, 2.541596246179525343e-10, 2.150460619422761038e-11, 3.603043322000190242e-10
1.881000000000000000e+03, 7.015516481270407167e-10, 7.613650678102157641e-11, 1.075354826193604668e-10, 1.882527176340668530e-11, 1.791904480235292080e-11, 2.598976622652098820e-10, 2.156623472424592772e-11, 3.436152914804833691e-10
1.882000000000000000e+03, 6.290656307659961852e-10, 7.676767910417400970e-11, 1.025168740548124159e-10, 1.945264791715172724e-11, 1.840530642382672348e-11, 2.692880108370738831e-10, 2.217057247741131663e-11, 3.689257793712385157e-10
1.883000000000000000e+03, 6.337032094479314114e-10, 7.796250371390490849e-11, 9.492706630094725591e-11, 2.007301715279753775e-11, 1.892443501591329944e-11, 2.807431312127114422e-10, 2.285360241362467529e-11, 3.879344969767069846e-10
1.884000000000000000e+03, 6.588469999793746957e-10, 8.241014495117229356e-11, 1.070139098295364635e-10, 2.061271577067070654e-11, 1.944593271162848815e-11, 2.814004540589506767e-10, 2.344457089532176115e-11, 3.561778128878816673e-10
1.885000000000000000e+03, 7.051020293382491210e-10, 7.809863446106960131e-11, 1.047285420686121583e-10, 2.121026943865021517e-11, 1.997272347381201286e-11, 2.745438398614768284e-10, 2.404043739912901982e-11, 3.641665602230789006e-10
1.886000000000000000e+03, 7.486970366988318356e-10, 8.020798685536305742e-11, 1.110716544410338542e-10, 2.180771465564896588e-11, 2.049910161590155720e-11, 2.744062549459308760e-10, 2.476022014715102818e-11, 3.863843776799471174e-10
1.887000000000000000e+03, 7.296062664697321702e-10, 7.725616004148019306e-11, 1.109392467590329092e-10, 2.241334314430937149e-11, 2.102173686484160559e-11, 2.829203099736634758e-10, 2.541821953520996466e-11, 4.087880061844030545e-10
1.888000000000000000e+03, 6.759015219065103410e-10, 8.161431743065627725e-11, 1.351310757152978525e-10, 2.302830185636218273e-11, 2.155384748709380510e-11, 2.934532013234619328e-10, 2.597274705124167513e-11, 4.428059734889857663e-10
1.889000000000000000e+03, 7.104258378787371681e-10, 8.188279760557968730e-11, 1.400568973607258826e-10, 2.361404522190324703e-11, 2.207052779258573663e-11, 2.910962045991508682e-10, 2.662608362995328317e-11, 4.143369993155775917e-10
1.890000000000000000e+03, 7.763803914086291723e-10, 8.327400818418649811e-11, 1.270307005310510550e-10, 2.421917271744428151e-11, 2.260219263807564435e-11, 2.919241367101491041e-10, 2.730233475007107045e-11, 4.120334951866469777e-10
1.891000000000000000e+03, 6.999062745177181001e-10, 8.581713655784574068e-11, 1.281808809739371690e-10, 2.465653924677963021e-11, 2.281451642793857080e-11, 2.968418672664971250e-10, 2.737651227498355064e-11, 4.421248005155128639e-10
1.892000000000000000e+03, 7.533026883462513678e-10, 8.856671495401407769e-11, 1.426775562104101940e-10, 2.536022642862718136e-11, 2.329005344326050847e-11, 3.068587745750483530e-10, 2.809174330624047178e-11, 4.256881314172547609e-10
1.893000000000000000e+03, 8.425439751372010295e-10, 8.742219487353455412e-11, 1.303388105054007470e-10, 2.593580614711394476e-11, 2.377361496697890650e-11, 3.162916396838785218e-10, 2.876679533405832755e-11, 4.318802328674067585e-10
1.894000000000000000e+03, 8.194272236683717455e-10, 9.054570607455724236e-11, 1.339541005831460484e-10, 2.645252107562404827e-11, 2.424764256200810474e-11, 3.265425452579194707e-10, 2.941258580661421856e-11, 4.345152003927518017e-10
1.895000000000000000e+03, 8.565533905667570753e-10, 8.846165682545010894e-11, 1.220069537442807196e-10, 2.701318693152422812e-11, 2.473539455767504286e-11, 3.266891351862368811e-10, 2.990218867616688596e-11, 4.312427895392882354e-10
1.896000000000000000e+03, 8.508736950148308298e-10, 8.987891221692535895e-11, 1.379256421516562373e-10, 2.753770321940812408e-11, 2.522573824292454918e-11, 3.301552276459956348e-10, 3.060645810814430938e-11, 4.811132965462095335e-10
1.897000000000000000e+03, 8.735456551055899443e-10, 9.417844064519092166e-11, 1.433079248458077742e-10, 2.806468691601468424e-11, 2.568886998214058995e-11, 3.329363606797496869e-10, 3.136707829549394078e-11, 4.906608618066882352e-10
1.898000000000000000e+03, 8.811299298150044006e-10, 9.975711554113647256e-11, 1.208059478560240262e-10, 2.859846256995039393e-11, 2.614595097812819133e-11, 3.408527087558813180e-10, 3.199623086600019312e-11, 4.927509634851526461e-10
