year, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM
1.860000000000000000e+03, 2.970451234005631704e+02, 2.969457245340806821e+02, 2.969436846983653027e+02, 2.980574998132287874e+02, 2.963569910391040594e+02, 2.981630897192306406e+02, 2.978206173603990692e+02, 2.973245706404088082e+02, 2.980565405888779651e+02, 2.980341242289247248e+02, 2.982836162298245881e+02, 2.974057211152687614e+02, 2.994885083812425819e+02, 2.961817084254161614e+02, 2.966449808071977259e+02, 2.982666437341901542e+02
1.861000000000000000e+03, 2.977448343037780205e+02, 2.964241207777644149e+02, 2.975964121450287507e+02, 2.980023587150079720e+02, 2.964177044835648758e+02, 2.982246644255139358e+02, 2.974976246202919583e+02, 2.973575759647947621e+02, 2.980657160279524760e+02, 2.977465345050342194e+02, 2.982448473342876127e+02, 2.972238103804815523e+02, 2.994065440048811411e+02, 2.966445133029187673e+02, 2.965689072653113953e+02, 2.982128467422143672e+02
1.862000000000000000e+03, 2.972310267619888577e+02, 2.966522840426092102e+02, 2.972508505888482091e+02, 2.975331798385376487e+02, 2.963416128182216198e+02, 2.984376584535121992e+02, 2.975388230891078933e+02, 2.973601435890109315e+02, 2.978251253953462196e+02, 2.977097184731957213e+02, 2.983755302619042027e+02, 2.972219938036899407e+02, 2.994691400774896692e+02, 2.956735280816929503e+02, 2.963207379007543523e+02, 2.981116662755060247e+02
1.863000000000000000e+03, 2.969452703009338848e+02, 2.966620531401647440e+02, 2.969184913201809195e+02, 2.976649539944265257e+02, 2.963616697872126338e+02, 2.982291194564796228e+02, 2.975609942995304777e+02, 2.973380187689023160e+02, 2.980499126048079006e+02, 2.974867985591026240e+02, 2.979198020353106813e+02, 2.972909958870379796e+02, 2.995417623549606674e+02, 2.958695726505927723e+02, 2.963429939405984328e+02, 2.984685720640087538e+02
1.864000000000000000e+03, 2.971579312253717831e+02, 2.969817622541563651e+02, 2.972243993293379276e+02, 2.977548575736637986e+02, 2.963426179986867623e+02, 2.984638816895751461e+02, 2.977005216764983970e+02, 2.973368399276156424e+02, 2.981755518212742118e+02, 2.978957317490579157e+02, 2.979994480100913847e+02, 2.972608467170942959e+02, 2.999094995652545208e+02, 2.959659828153968988e+02, 2.965358343581129930e+02, 2.990744526034098385e+02
1.865000000000000000e+03, 2.971424509001221850e+02, 2.963865069703193171e+02, 2.970648122817289618e+02, 2.982376070134351380e+02, 2.966064342385851660e+02, 2.981206526347390877e+02, 2.978881506647374522e+02, 2.974382877073066425e+02, 2.978981917123228982e+02, 2.979478038046078723e+02, 2.980943768713853501e+02, 2.973870994543481174e+02, 2.993955386721424361e+02, 2.962907936164386342e+02, 2.966772525735487989e+02, 2.985522299672362578e+02
1.866000000000000000e+03, 2.972216864287771614e+02, 2.965693221653602336e+02, 2.967685059544210162e+02, 2.979951391677702190e+02, 2.967244122365208341e+02, 2.980569096912619784e+02, 2.980646126283622834e+02, 2.974803878930509882e+02, 2.979454098299962652e+02, 2.980928779790577323e+02, 2.979781704897665122e+02, 2.972119122526161732e+02, 2.995088410614937402e+02, 2.962308858547993395e+02, 2.968982465488565481e+02, 2.981923474533450644e+02
1.867000000000000000e+03, 2.972970509688757375e+02, 2.968294146563466711e+02, 2.969494594581819911e+02, 2.972813146678176395e+02, 2.965984847009814871e+02, 2.985247213627517908e+02, 2.982715163654256685e+02, 2.975893691782420092e+02, 2.982928386835102401e+02, 2.981367366127805099e+02, 2.977897037401002649e+02, 2.972209983344387183e+02, 2.995495839172100432e+02, 2.962560176177298104e+02, 2.966953811569121626e+02, 2.983744182402023171e+02
1.868000000000000000e+03, 2.972070580929378707e+02, 2.965520002086098543e+02, 2.971852733124446218e+02, 2.975506425959314925e+02, 2.964035448061858347e+02, 2.982203204249768760e+02, 2.978116593655420843e+02, 2.975207007276345053e+02, 2.982576318712106627e+02, 2.980458672620256380e+02, 2.981301722402333212e+02, 2.973955655186744025e+02, 2.998228373988519593e+02, 2.962731791452214907e+02, 2.963896454383313426e+02, 2.986753917596388987e+02
1.869000000000000000e+03, 2.968117393721076382e+02, 2.968032429743535658e+02, 2.968160666722237693e+02, 2.975942739516664233e+02, 2.962724813952477234e+02, 2.980716751561849378e+02, 2.974953575237349810e+02, 2.974890144812811172e+02, 2.980685164548398234e+02, 2.980067840798640191e+02, 2.984786321341847497e+02, 2.972394736234350603e+02, 2.994675320942875487e+02, 2.962819058147503029e+02, 2.965439317972851541e+02, 2.988669866637734458e+02
1.870000000000000000e+03, 2.971689896179551624e+02, 2.967450482197719452e+02, 2.970491627174515088e+02, 2.975896675960777884e+02, 2.965357706370194819e+02, 2.978256597726218615e+02, 2.975423060571931160e+02, 2.975384182315518729e+02, 2.980083369165861313e+02, 2.979393979797177394e+02, 2.987847854076954377e+02, 2.972929840647611286e+02, 2.993672394462824400e+02, 2.961913260385767899e+02, 2.966962718481938168e+02, 2.983066042954665136e+02
1.871000000000000000e+03, 2.973857605995121958e+02, 2.966528253645944915e+02, 2.970642987274476354e+02, 2.980413561478023894e+02, 2.966151241686829962e+02, 2.980987381190402061e+02, 2.975437191737607918e+02, 2.976727513646197281e+02, 2.980185234479720293e+02, 2.980431556617161277e+02, 2.981413468282180474e+02, 2.973738808368720470e+02, 2.994665521009711142e+02, 2.961458055552142810e+02, 2.966914277043368884e+02, 2.982550529710248952e+02
1.872000000000000000e+03, 2.971407403249430104e+02, 2.965269759043794124e+02, 2.970297638848788324e+02, 2.982298618631709246e+02, 2.966536080922732026e+02, 2.985269305705382408e+02, 2.976193621730272980e+02, 2.975543775072029007e+02, 2.980458123860808541e+02, 2.979143567481523860e+02, 2.981484286580806611e+02, 2.974211403297431389e+02, 2.993023720156353420e+02, 2.963214562643632917e+02, 2.966356836960120518e+02, 2.984224199183308315e+02
