year, NorESM2-MM, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, NorESM2-LM
1.850000000000000000e+03, 3.668524941313730636e+00, 2.640280549456618164e+00, 2.286862578039237981e+00, 3.458946834643437551e+00, 4.460154744599642562e+00, 2.239972311039084563e+00, 4.089325089300219318e+00, 3.619377173667648329e+00, 3.378862036181176087e+00, 2.481584604368366254e+00, 2.778497082680673191e+00, 4.205791026164804158e+00, 3.672371991656997015e+00, 2.981205252117709925e+00
1.851000000000000000e+03, 3.623821843530936615e+00, 2.875824289860504201e+00, 2.258380824933360120e+00, 3.545232388846023319e+00, 4.313201884852745138e+00, 2.272245356680967276e+00, 4.022465809050848051e+00, 4.030042453146666759e+00, 3.416056867873129121e+00, 2.504461557613492761e+00, 2.843223010290396591e+00, 4.189110906928712907e+00, 3.664185915870716848e+00, 2.964302619415018825e+00
1.852000000000000000e+03, 3.653529872007391432e+00, 2.640378133962660634e+00, 2.267858768392339908e+00, 3.618818584510397063e+00, 3.983164479727133500e+00, 2.282879322278831502e+00, 4.378345909124083057e+00, 3.623467208338471135e+00, 3.554128579954724199e+00, 2.560294393939780200e+00, 2.797358012866957733e+00, 4.166587461559788430e+00, 3.610519700731938730e+00, 3.001722859900409990e+00
1.853000000000000000e+03, 3.662377601289160012e+00, 2.623382598738939198e+00, 2.270446246078218877e+00, 3.461995686167136377e+00, 4.282772167907257455e+00, 2.217056426546128556e+00, 4.176221004531556424e+00, 3.661959314022007916e+00, 3.427608092947687091e+00, 2.517483700857032325e+00, 2.770067331309976844e+00, 4.131696541836216596e+00, 3.624106935079137948e+00, 2.974825739230978261e+00
1.854000000000000000e+03, 3.560813965524593616e+00, 2.988049484382478749e+00, 2.296925604474430394e+00, 3.462168233641594650e+00, 4.719123085543705187e+00, 2.274528705137155882e+00, 3.883480050727327715e+00, 3.882441423670678127e+00, 3.276195053239387978e+00, 2.579384292096439601e+00, 2.716318425500923173e+00, 4.268380245379113980e+00, 3.689120953160742733e+00, 3.070440466438483895e+00
1.855000000000000000e+03, 3.628410183259179522e+00, 2.722015527000892998e+00, 2.276990421204610815e+00, 3.374097914654570207e+00, 4.352675942955129607e+00, 2.267391932559064127e+00, 3.983580122869961659e+00, 3.693567767154027237e+00, 3.525987074278884137e+00, 2.543576995241423777e+00, 2.765732317170607413e+00, 4.228639255812248976e+00, 3.654959540151663688e+00, 3.032419906152663103e+00
1.856000000000000000e+03, 3.713728488527717531e+00, 2.697868287478052629e+00, 2.284034150160100918e+00, 3.369679151141371065e+00, 4.016903570009278113e+00, 2.261874870900884460e+00, 4.254255332784514287e+00, 3.880872395503371042e+00, 3.368923235486688039e+00, 2.504758368180898032e+00, 2.759461145571690643e+00, 4.183807705391439313e+00, 3.662455524998323053e+00, 2.887446724735158732e+00
1.857000000000000000e+03, 3.646132805287642054e+00, 2.859541352741607145e+00, 2.288929311330978322e+00, 3.401825199388328169e+00, 4.173914207120610342e+00, 2.258508703488079750e+00, 4.236824106474410989e+00, 3.906184010021479303e+00, 3.301547880980418181e+00, 2.523025617431964296e+00, 2.725698192638495776e+00, 4.212861931671860738e+00, 3.586223415529665282e+00, 2.834596637362198024e+00
1.858000000000000000e+03, 3.655261332415821851e+00, 2.769106151554312945e+00, 2.266992341841936209e+00, 3.440131035110442603e+00, 4.450243088349437492e+00, 2.231956944560737011e+00, 4.064613482557818180e+00, 3.940008592904016727e+00, 3.419908016367623649e+00, 2.580120795381134702e+00, 2.746279896874571413e+00, 4.259207540534656111e+00, 3.726336685499179957e+00, 3.030336587576988983e+00
1.859000000000000000e+03, 3.702315475015104607e+00, 2.749598078211589858e+00, 2.278789173682601810e+00, 3.404131921830833463e+00, 4.394891149952457887e+00, 2.250963503973158364e+00, 4.064845979462251790e+00, 3.709921116948292852e+00, 3.330332980806509191e+00, 2.462933238232061228e+00, 2.705112112091538457e+00, 4.287311969262591838e+00, 3.691326219902031802e+00, 3.045820655043857794e+00
1.860000000000000000e+03, 3.609895794769238275e+00, 2.893371108873951325e+00, 2.307104673177511334e+00, 3.473575371595416517e+00, 4.561856454636688873e+00, 2.253729888001769321e+00, 3.954005548920454860e+00, 3.676867331446346032e+00, 3.389615691495464045e+00, 2.559755143308828806e+00, 2.743801566848227402e+00, 4.196567420215842503e+00, 3.667171437235466680e+00, 3.028019940794948628e+00
1.861000000000000000e+03, 3.661867568211130575e+00, 2.830557184481126143e+00, 2.301965708614048367e+00, 3.567704469188263339e+00, 4.177995518349564286e+00, 2.235926779198447623e+00, 3.900980745668017668e+00, 3.942849048912373977e+00, 3.408855354834314788e+00, 2.521204356958605342e+00, 2.749928446742518240e+00, 4.095067458474921374e+00, 3.692494769654340647e+00, 3.052008354415390645e+00
1.862000000000000000e+03, 3.629657661790556045e+00, 2.823249234054026502e+00, 2.314990497706173489e+00, 3.541338656110007754e+00, 4.208431406327414415e+00, 2.250826787875691348e+00, 3.863293684650997761e+00, 3.753264661010732972e+00, 3.170176743876342407e+00, 2.538159436113817335e+00, 2.706784667784706500e+00, 4.247138240365821105e+00, 3.651934883068383098e+00, 3.063560993362035578e+00
1.863000000000000000e+03, 3.608762120352200675e+00, 2.772223362251033940e+00, 2.323248535032686135e+00, 3.500893455501060014e+00, 4.197944271463237342e+00, 2.269497566320962001e+00, 4.070693554790822510e+00, 3.740044948213222309e+00, 3.228130352809114534e+00, 2.466043286739460605e+00, 2.724406277619881855e+00, 4.097136605895629557e+00, 3.677584297779972200e+00, 2.773947916127322166e+00
1.864000000000000000e+03, 3.620059794507763939e+00, 2.839425202452822372e+00, 2.323705215490435183e+00, 3.462043889783168904e+00, 4.347978671004113949e+00, 2.240430051588051086e+00, 4.210847469609709570e+00, 3.849822321054088725e+00, 3.222322228349578488e+00, 2.524782456059746494e+00, 2.708067774833409214e+00, 4.130790087819908862e+00, 3.741706751166214318e+00, 2.948484844329434473e+00
1.865000000000000000e+03, 3.523657981231366865e+00, 2.935609183966656488e+00, 2.249011491862621170e+00, 3.398815934026949481e+00, 4.583677031263802881e+00, 2.259058364375403638e+00, 4.292659020474071774e+00, 3.797300337999414133e+00, 3.429541762577906105e+00, 2.562308571959848624e+00, 2.774716407484189684e+00, 4.327572184649918441e+00, 3.677071556809687891e+00, 3.098294739701471290e+00
1.866000000000000000e+03, 3.424191267761969915e+00, 2.867909148686709653e+00, 2.258596017778194742e+00, 3.307395147776283295e+00, 4.621536930163145485e+00, 2.291327531523128958e+00, 4.283951292438452185e+00, 3.806364077187041506e+00, 3.335387229199886061e+00, 2.549073383810532611e+00, 2.712864933842331627e+00, 4.203401491835084158e+00, 3.632989696050646700e+00, 2.965165210888825786e+00
1.867000000000000000e+03, 3.613869348144945537e+00, 2.914579298480360681e+00, 2.257384442688776804e+00, 3.373509468189439087e+00, 4.524087868303934279e+00, 2.244043185705058896e+00, 4.208294686695647435e+00, 3.747040720729406971e+00, 3.499307609630217808e+00, 2.585938551320085654e+00, 2.653070149934958710e+00, 4.059959224120452959e+00, 3.740382241762222559e+00, 2.938288162991219199e+00
1.868000000000000000e+03, 3.687772792161315483e+00, 3.018048027327872251e+00, 2.292693356770064916e+00, 3.308432558907369536e+00, 4.464239860421312933e+00, 2.258492379641896086e+00, 3.938934379095192284e+00, 3.843903239884566503e+00, 3.423448018661002568e+00, 2.487328147771754594e+00, 2.679845604666497572e+00, 4.075396921291617680e+00, 3.749417386848470812e+00, 2.844143412638922452e+00
1.869000000000000000e+03, 3.690382153612608018e+00, 2.741922873266601002e+00, 2.221177176141037712e+00, 3.411108913831617517e+00, 4.641959530950436452e+00, 2.247261402742152470e+00, 3.901301784557888119e+00, 3.736343566971418895e+00, 3.347841389577519422e+00, 2.465667423632700750e+00, 2.697174668583958823e+00, 4.190879305454408232e+00, 3.711164385696973156e+00, 3.026120813690422295e+00
1.870000000000000000e+03, 3.720915550318777409e+00, 2.987211089305684464e+00, 2.235305255082727705e+00, 3.339791701392467171e+00, 4.827074937761290485e+00, 2.290495958557752232e+00, 4.016724352644498452e+00, 3.942906687788723552e+00, 3.311774675923012889e+00, 2.532637499665393754e+00, 2.671806638305476600e+00, 4.135109281662364467e+00, 3.704063602569291902e+00, 3.020007166627149076e+00
1.871000000000000000e+03, 3.792641727918742767e+00, 2.709979209232450170e+00, 2.252899247138353545e+00, 3.519996666798156149e+00, 4.500471090084761983e+00, 2.247864662223232113e+00, 4.209229975237131605e+00, 3.881324305389273643e+00, 3.302079446232995430e+00, 2.593509232457758440e+00, 2.721987980269977125e+00, 4.152559383612508981e+00, 3.709124874465425048e+00, 2.842715718853337847e+00
