year, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, UKESM1-0-LL, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
2.045000000000000000e+03, 1.045896458669056095e+01, 5.031373622823763547e+00, 2.580643830925848548e+01, 8.046548894092547144e+00, 4.811964206874160155e+00, 7.246188799234849043e+00, 1.232890677594431139e+01, 5.527152498000820202e+00, 1.254627404541493618e+01, 2.328908893500719657e+01, 5.958460566618929199e+00, 3.410460458971083408e+00, 5.296585769242935449e+00, 3.868924284143450798e+00, 6.828793060264333192e+00, 1.354484850350453629e+00
2.046000000000000000e+03, 1.040646173528424256e+01, 5.069699445340787314e+00, 2.583254796418401256e+01, 8.086620941672517660e+00, 4.383633500228500957e+00, 7.293212481438746231e+00, 1.241092918324544492e+01, 5.508267870568095859e+00, 1.258897340576830004e+01, 2.321116906896785181e+01, 5.901099248742912806e+00, 3.509108123266373003e+00, 5.329375043708973969e+00, 4.198188575051451821e+00, 6.745610728716959770e+00, 1.334021031520913558e+00
2.047000000000000000e+03, 1.043583144582516731e+01, 5.098032033946664932e+00, 2.590254483564875798e+01, 8.134685880727205998e+00, 4.452962806074483915e+00, 7.471052060378079673e+00, 1.233489496739316849e+01, 5.511102548904628584e+00, 1.267412643116207782e+01, 2.329460011518621343e+01, 5.899987823008961740e+00, 3.535170330586122400e+00, 5.307549458317962987e+00, 4.105640265347813234e+00, 6.763439541330390270e+00, 1.347023708188882729e+00
2.048000000000000000e+03, 1.053739371275919368e+01, 5.070326577060267681e+00, 2.603266721117609350e+01, 8.185897055765295249e+00, 4.532338018032746163e+00, 7.581305196868265206e+00, 1.228384748405104077e+01, 5.581694495240037135e+00, 1.263980335632037288e+01, 2.326747822394739273e+01, 5.891468950813639971e+00, 3.472090818828618364e+00, 5.361822033028913914e+00, 3.841005554251614384e+00, 6.756103116648933593e+00, 1.352344081069772885e+00
2.049000000000000000e+03, 1.059869864855874155e+01, 5.013876898088470924e+00, 2.597468774267906255e+01, 8.198298472946293103e+00, 4.657431022054415948e+00, 7.662014983765436327e+00, 1.231841508298464483e+01, 5.728802686226774910e+00, 1.259643986120257964e+01, 2.320008343506874127e+01, 5.893556947420121261e+00, 3.584776462947932174e+00, 5.376988399800106677e+00, 3.730706461668003460e+00, 6.728424822050081744e+00, 1.308163335765913038e+00
2.050000000000000000e+03, 1.059528832199666226e+01, 5.077823551563700910e+00, 2.586768826813306177e+01, 8.191108347985649019e+00, 4.759271425096855523e+00, 7.704333648105714971e+00, 1.237326528088807720e+01, 5.736662608571306166e+00, 1.257745640254358221e+01, 2.336501099558903505e+01, 5.931144085930323939e+00, 3.556102273298835215e+00, 5.397376020802323815e+00, 4.108429850238199954e+00, 6.802792390628811248e+00, 1.326626575666281616e+00
2.051000000000000000e+03, 1.055420745506816793e+01, 5.233749536864046981e+00, 2.590885256699483818e+01, 8.204669883611666492e+00, 4.586018002055644693e+00, 7.830294819934695560e+00, 1.234046398353685170e+01, 5.753831088850775544e+00, 1.270252046653764744e+01, 2.326186751481884230e+01, 6.022491531397125009e+00, 3.510013594193752695e+00, 5.349649585429275156e+00, 3.712437219363685426e+00, 6.831497956161639351e+00, 1.283414286037364960e+00
2.052000000000000000e+03, 1.058196810095030393e+01, 5.312871312059291640e+00, 2.596935338127920900e+01, 8.221029944807877854e+00, 4.475905388315726263e+00, 8.000074943925527649e+00, 1.233934031079669147e+01, 5.850745469582903091e+00, 1.271018369791727132e+01, 2.334944500315954485e+01, 5.993002868907077563e+00, 3.657887096656107229e+00, 5.372836062502502230e+00, 3.703130048560224985e+00, 6.954916207755507784e+00, 1.297836116086108937e+00
2.053000000000000000e+03, 1.069882735402823748e+01, 5.213812948376477685e+00, 2.607698534163536763e+01, 8.279017952939364378e+00, 4.941912720222196853e+00, 7.991989450364638259e+00, 1.241348780066623014e+01, 5.936597823710605404e+00, 1.277884250582906311e+01, 2.348203046047706266e+01, 6.050497972689941051e+00, 3.630495011526129634e+00, 5.546111014413574125e+00, 3.998160904549516115e+00, 6.865057235797920043e+00, 1.350807248875188993e+00
2.054000000000000000e+03, 1.077158658274608527e+01, 5.175219704734964843e+00, 2.618540255785823234e+01, 8.296160099029618706e+00, 5.426037571417450245e+00, 7.949616724209850993e+00, 1.249922043368580304e+01, 5.916872358980235447e+00, 1.272563083622050684e+01, 2.348815015336224121e+01, 5.950875780041367413e+00, 3.637940785809212318e+00, 5.651896473141500010e+00, 3.856284777801920693e+00, 6.988475929402952147e+00, 1.307371223760489753e+00
2.055000000000000000e+03, 1.079427013884678566e+01, 5.190058011680214634e+00, 2.633853908170816993e+01, 8.283986971221427353e+00, 4.688061180337669498e+00, 7.909885035567418399e+00, 1.247935907782374976e+01, 5.905076228726008125e+00, 1.275044700134370323e+01, 2.360741382652230413e+01, 5.990288669306543134e+00, 3.769199274436663138e+00, 5.547846539661984266e+00, 4.068656338327320654e+00, 6.902994506549271492e+00, 1.278000567759378647e+00
2.056000000000000000e+03, 1.083726233546377316e+01, 5.252101623726098900e+00, 2.632747378702820029e+01, 8.277421111190955472e+00, 4.465004667403493777e+00, 7.917476495881761167e+00, 1.239441816881042158e+01, 6.041689503565907948e+00, 1.279546161210793009e+01, 2.361860918845562196e+01, 6.246024022858288838e+00, 3.710938238079592555e+00, 5.548955589603132843e+00, 4.011489388953403790e+00, 6.845146052832473238e+00, 1.344129806807721872e+00
2.057000000000000000e+03, 1.080371013151674831e+01, 5.234592442979976390e+00, 2.623544916151173467e+01, 8.311767106292938578e+00, 5.285527517919318186e+00, 8.022610043848226624e+00, 1.242189847710322326e+01, 6.033922620038583595e+00, 1.317616649868278067e+01, 2.367324338813675766e+01, 6.315713078814526149e+00, 3.675353830173010650e+00, 5.595491246452412248e+00, 4.243824773941484274e+00, 6.791975544750892269e+00, 1.305510182766354221e+00
2.058000000000000000e+03, 1.071499743350708300e+01, 5.203880865427953140e+00, 2.628675168685658292e+01, 8.323806876339711280e+00, 4.766381384621302786e+00, 8.015569180781854541e+00, 1.250156922244297064e+01, 6.000212281850304308e+00, 1.303412568845330455e+01, 2.385776203491149516e+01, 6.184989687895047439e+00, 3.691819085519747468e+00, 5.722543547268111652e+00, 4.055540671178155421e+00, 6.810721084267066239e+00, 1.353869256997985770e+00
2.059000000000000000e+03, 1.070691933679289320e+01, 5.156497000088899441e+00, 2.631226262113973391e+01, 8.354786700572507385e+00, 4.701450585830586171e+00, 8.025517635969650954e+00, 1.254526430399947223e+01, 6.050481725097546892e+00, 1.314994036281129475e+01, 2.375144106415245915e+01, 6.340148992856780019e+00, 3.563845707776807092e+00, 5.674715655118675706e+00, 3.608165551763224954e+00, 6.807903599740126488e+00, 1.328682243331349433e+00
2.060000000000000000e+03, 1.067549531539498986e+01, 5.140014445663461551e+00, 2.642309225075513979e+01, 8.406398934934074418e+00, 4.854201461535702755e+00, 8.111239054599259646e+00, 1.260273096803090986e+01, 6.151759841332211209e+00, 1.306742375002842493e+01, 2.387206555531477292e+01, 6.378779979381724807e+00, 3.701654954514816520e+00, 5.638545909714141047e+00, 4.175044911685263038e+00, 6.894134410668017132e+00, 1.295917091222395401e+00
2.061000000000000000e+03, 1.064779611127372227e+01, 5.245373791484601256e+00, 2.657957348446235457e+01, 8.440490677180216395e+00, 5.126762237365218411e+00, 8.241873025565537247e+00, 1.268244049140566254e+01, 6.142714194937917149e+00, 1.303184352534267099e+01, 2.408693783510895869e+01, 6.323310738523455043e+00, 3.845343593307311014e+00, 5.698470831826870864e+00, 4.188030909391313727e+00, 7.143276644331668201e+00, 1.317135636996304093e+00
2.062000000000000000e+03, 1.064171953368358992e+01, 5.282419946506290209e+00, 2.664761458985343623e+01, 8.459121506392067502e+00, 5.826375733068942964e+00, 8.262727194397355035e+00, 1.275328774862951065e+01, 6.094296815987806148e+00, 1.310242574446739283e+01, 2.402805553194960808e+01, 6.497468673583800758e+00, 3.847222770612873877e+00, 5.824390436785352065e+00, 4.040475610539645324e+00, 7.379687614895908077e+00, 1.358323130769392595e+00
2.063000000000000000e+03, 1.064463790831945822e+01, 5.249047612171142241e+00, 2.664540382176840794e+01, 8.452396233833217920e+00, 6.104143921288033958e+00, 8.257529990844197698e+00, 1.271077851767056366e+01, 6.086976674388030695e+00, 1.316555878648863498e+01, 2.394635039581451963e+01, 6.466012138283163679e+00, 3.787756864817234170e+00, 5.992141167231963550e+00, 4.285601404812061865e+00, 7.461999834371210838e+00, 1.380453472499965750e+00
2.064000000000000000e+03, 1.069676528472485089e+01, 5.333391196071214146e+00, 2.670555562765438751e+01, 8.467012016287950971e+00, 5.239524287716201378e+00, 8.223350762106816703e+00, 1.258786391330843024e+01, 6.077360787068391446e+00, 1.322746580893655022e+01, 2.402144130970225788e+01, 6.403397671790351353e+00, 3.846774117667884685e+00, 5.944319146765907114e+00, 4.109683601369123807e+00, 7.661997602242411887e+00, 1.409668943157369680e+00
2.065000000000000000e+03, 1.082784932853752125e+01, 5.351330963188016376e+00, 2.680492297238678390e+01, 8.534878985940173024e+00, 4.690487100595795766e+00, 8.307207037890172785e+00, 1.258041133485878760e+01, 6.212669627684999973e+00, 1.312324113673283676e+01, 2.418466887178206903e+01, 6.338248466476682275e+00, 3.821111931322237254e+00, 5.986401952503162427e+00, 4.088406506430161791e+00, 7.792212930470757470e+00, 1.354624694654911643e+00
2.066000000000000000e+03, 1.087545223892464463e+01, 5.300401847269720967e+00, 2.658099587796490582e+01, 8.512073125726072220e+00, 4.986768631259320017e+00, 8.262636171552687259e+00, 1.272121467152790153e+01, 6.277673638179425808e+00, 1.317636105564310434e+01, 2.410259111902079709e+01, 6.474363223207451057e+00, 3.839913914730638478e+00, 6.052363956800474121e+00, 4.131260770339708621e+00, 7.625750331984662012e+00, 1.331857619721616759e+00
2.067000000000000000e+03, 1.082653332593220341e+01, 5.413647066291574106e+00, 2.674272037507878963e+01, 8.519008012683142894e+00, 6.156878771395519756e+00, 8.211983019247965032e+00, 1.284491631690497648e+01, 6.196335893571260023e+00, 1.326916341106485397e+01, 2.413775845463049663e+01, 6.511292601150444170e+00, 3.880531045256360834e+00, 5.980102173344062244e+00, 4.131585527296024019e+00, 7.606556626506214336e+00, 1.338134571851815169e+00
2.068000000000000000e+03, 1.084946859202924152e+01, 5.532795074978345440e+00, 2.679615186084588174e+01, 8.569619397131290839e+00, 5.899400072898310476e+00, 8.212824356273694448e+00, 1.283598466039161323e+01, 6.207960378405566360e+00, 1.337136123765196771e+01, 2.414450203049913313e+01, 6.388465137235862734e+00, 3.990332780062790796e+00, 6.061648869478314161e+00, 4.125064186259415955e+00, 7.678414385334438208e+00, 1.337225447713475956e+00
2.069000000000000000e+03, 1.085337906986195122e+01, 5.546153109798773073e+00, 2.670143223699625779e+01, 8.570586558181858550e+00, 5.445356720835964559e+00, 8.137164177691849076e+00, 1.288342863724262166e+01, 6.390217658081565055e+00, 1.320238607403907061e+01, 2.404334325467451450e+01, 6.384603260380499634e+00, 4.041636341415261846e+00, 6.082204553177436246e+00, 4.099597050890007033e+00, 7.804538206965258240e+00, 1.330947867397381579e+00
2.070000000000000000e+03, 1.091437762538714473e+01, 5.523033645440233563e+00, 2.686905448177688882e+01, 8.566433816061362450e+00, 5.426641406183806637e+00, 8.188554673102053982e+00, 1.291622042352430100e+01, 6.397515246141562528e+00, 1.328840775059319768e+01, 2.407882729499635488e+01, 6.565039408021733358e+00, 3.974715101032513687e+00, 6.141208684682900376e+00, 4.598719417537785681e+00, 8.030196941884970130e+00, 1.399556026294587863e+00
2.071000000000000000e+03, 1.097061640168749896e+01, 5.595060365538083502e+00, 2.713351438441399210e+01, 8.594457543821270917e+00, 4.954441990911914395e+00, 8.258853212715376202e+00, 1.300689461780195089e+01, 6.354308051203101826e+00, 1.353098567854939738e+01, 2.398658586295072581e+01, 6.594848624155106087e+00, 4.096024267900270743e+00, 6.068538044863603709e+00, 4.468144993061007320e+00, 8.279744252930875348e+00, 1.368866704279498192e+00
2.072000000000000000e+03, 1.102700302809672550e+01, 5.603006191707127215e+00, 2.702398194048288360e+01, 8.628252803994636011e+00, 5.152446261075324330e+00, 8.207471077779198154e+00, 1.312041605303530645e+01, 6.346804911693055828e+00, 1.341937863842782441e+01, 2.384114024718979508e+01, 6.713909636853443885e+00, 4.250410382618616367e+00, 6.159159394021421541e+00, 3.986250585537701951e+00, 8.080283360054592023e+00, 1.411821886335710152e+00
