year, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CanESM5, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL, MPI-ESM1-2-LR, INM-CM5-0, INM-CM4-8, CNRM-ESM2-1
2.015000000000000000e+03, -7.405919539771113613e-02, 4.152325479459136048e-02, -7.815948301064801207e-02, 1.101079150160008159e-02, 2.136709208416479738e-02, -3.384522975686922452e-02, -3.064305255662338467e-01, 8.742349183488010156e-02, -1.678917823858042946e-01, 1.628786144641180822e-01, 7.637671749972139990e-02, 6.063675680326767459e-02, -1.057482091720246195e-02, 8.334556821768744628e-02, 4.686714564468089095e-01, 4.713090708384917032e-02
2.016000000000000000e+03, 1.368535790999061696e-01, 3.172807812112253545e-02, -5.227796970623337786e-02, 3.328033930132765494e-01, 1.411597635365978987e-01, 6.701562782834084853e-02, -8.399909941157689131e-02, 1.422850424159684546e-01, 2.340356121504594822e-01, 3.259091308163698103e-02, 2.769774886327807870e-02, 6.194088937402734973e-02, 1.250314551779383443e-01, 3.210953595448909348e-01, 3.397200757666359316e-01, -2.314616603563070859e-03
2.017000000000000000e+03, 8.186368170363757246e-02, 1.090355938975117456e-01, -7.091832147669992203e-02, -2.553452149181393294e-01, 5.103076428942072973e-02, 1.897148384872171523e-02, 4.604163930098331137e-01, 1.676706744540782945e-01, -8.112874667413126628e-02, -2.059559294273652086e-01, 6.434672768127455700e-02, 9.609079979081523726e-02, 9.691794002513066941e-02, -7.828742697051997712e-02, 6.038648178828854851e-01, -1.392560636542492479e-02
2.018000000000000000e+03, 1.837226869546586816e-01, 2.269122171747461544e-02, 1.090962796014008709e-02, 8.868267733365821359e-02, 2.220835224531117827e-02, -9.836158151070115846e-03, -9.522547539272570305e-02, -1.314693486161759850e-01, -1.047212894049309173e-01, 1.235548212952234798e-01, 1.661958745447545890e-02, 6.855675454759671550e-02, 1.401469274889383387e-01, 1.474544286272804761e-01, 3.825329302146132648e-01, 2.532006340572145464e-01
2.019000000000000000e+03, -1.278576492010304599e-01, 9.510542771250019012e-02, 1.042574470630553141e-01, 1.235980572349434092e-01, 4.461240381207493000e-02, 3.751053376450032284e-02, -4.639343355256959206e-02, 2.428994205273040941e-01, -1.083588167361372451e-01, 3.513260865417224682e-02, 1.077209613473977846e-02, 6.072897083139081054e-02, -9.784627645865323631e-02, 1.645524021425520678e-01, -1.442273782915929128e-02, -8.765235767612952755e-02
2.020000000000000000e+03, 4.602967463237022522e-02, -1.519916978591529313e-02, -2.009654310192734161e-01, -3.686640583106059466e-01, -4.909559879082839307e-02, 8.235409239160657036e-02, 7.403871890403405931e-02, 1.650992804634501265e-01, 2.915483784399763856e-01, -1.029470325433961969e-01, 1.234221434496289849e-01, 9.294860347320415758e-03, -6.779532105553429111e-02, 2.767924965428418260e-01, 1.325158224841314070e-01, 3.084138217827298023e-01
2.021000000000000000e+03, 1.059864495568176024e-01, 5.755073028037727828e-02, -7.017360810275034833e-02, 1.794441910512948324e-01, -1.057427954961997693e-02, 4.343406082573368632e-02, -1.618880411150098453e-01, 8.234556891440132295e-03, -1.145319633628807537e-01, 1.108278020239322897e-01, 5.598772751784960450e-02, 1.944622165325806673e-01, -7.250813900856695193e-02, 1.050677865781683012e-02, 3.321783342426946062e-01, -2.380468116004346227e-02
2.022000000000000000e+03, 2.481079171695469224e-02, 9.634911415732708151e-02, 6.530089758993160021e-02, 9.917480598316034957e-02, 8.115588778091006872e-02, 7.552343175399491015e-02, 4.070364800272765482e-01, -5.912390621273249519e-02, -1.401700333073744031e-01, 6.324275559851019746e-02, 6.471682970431534565e-02, 2.813129001488867686e-02, 8.137975463307020596e-02, 5.335713247412464666e-01, 3.785459501523709136e-01, 1.663294987108497880e-01
2.023000000000000000e+03, 9.808409753190236446e-02, 1.168876694709931885e-01, 1.273545665110998107e-02, 1.548363033266346167e-01, 1.323106983449736859e-02, 8.370654881432633421e-02, 3.306889237447809826e-01, -9.821787187073376113e-03, -3.572583921549166153e-02, 9.984482569518107753e-02, 5.346732922544345651e-02, 2.315334381332553523e-02, 3.156779977778638169e-01, 1.640079121106602367e-01, 2.838578233583346488e-01, 1.678118958168628438e-01
2.024000000000000000e+03, 9.021309652970596615e-02, 2.475300039367247379e-02, -1.829523424933410247e-02, -1.234778483883087891e-01, 3.371053647576335854e-02, 6.422050368442923374e-02, 5.290230956570208809e-01, -4.785479347162988756e-02, 5.249570143595489596e-02, 1.903039165544569977e-01, 7.532385084172391054e-02, 1.664752751319452939e-01, 5.037574293328859337e-02, 2.501235635958028447e-01, 3.549335967293277827e-01, -6.776982311070985088e-02
