year, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, CanESM5, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0
2.015000000000000000e+03, 2.941400508269598504e+02, 2.974273041430440685e+02, 2.962186658417483045e+02, 2.935071210615593600e+02, 2.952127846957366728e+02, 2.950118789163106499e+02, 2.951088987764007925e+02, 2.973938129634406664e+02, 2.970748453372945050e+02, 2.973338241927532408e+02, 2.979540225847732131e+02, 2.964740855681663447e+02, 2.972709494134322767e+02, 2.977234121694702367e+02, 2.949366641951733641e+02, 2.946850682836083024e+02
2.016000000000000000e+03, 2.945271865484851332e+02, 2.972404656553206337e+02, 2.956898072994136442e+02, 2.935728541498412483e+02, 2.954308615734168484e+02, 2.947532137763257083e+02, 2.951158906029205582e+02, 2.975101593984882697e+02, 2.965102615226311400e+02, 2.970831352188302503e+02, 2.974126650023913498e+02, 2.963741381738578298e+02, 2.972669482280950888e+02, 2.961474174742411947e+02, 2.951813188686946887e+02, 2.944691084336603240e+02
2.017000000000000000e+03, 2.946960847733124638e+02, 2.973835883457879845e+02, 2.962904306831843542e+02, 2.942846632703657406e+02, 2.948977620400737010e+02, 2.952234938328513181e+02, 2.951824915268674090e+02, 2.970644752484188302e+02, 2.963072769861958591e+02, 2.966255786386136606e+02, 2.975016003169550345e+02, 2.967424005705229888e+02, 2.969563087234780028e+02, 2.961875972358720333e+02, 2.950725348506580303e+02, 2.948471810026504727e+02
2.018000000000000000e+03, 2.944142787890093018e+02, 2.977810927824884857e+02, 2.960738417194398266e+02, 2.940382983663337768e+02, 2.951492183733695924e+02, 2.948096799526023233e+02, 2.952504400581863706e+02, 2.968828873765846197e+02, 2.967477473202396823e+02, 2.965898989888190158e+02, 2.981740459895132744e+02, 2.965260358703607722e+02, 2.975185855693080725e+02, 2.961977079343371884e+02, 2.953345496473990011e+02, 2.947636899383377340e+02
2.019000000000000000e+03, 2.949706393067666568e+02, 2.977765384899313403e+02, 2.961836145005658523e+02, 2.932698884557545966e+02, 2.958944283050881268e+02, 2.950798444837034253e+02, 2.949727694211774178e+02, 2.969110807448065543e+02, 2.966096270508458019e+02, 2.964471384085044861e+02, 2.975799851298626777e+02, 2.959355020617763898e+02, 2.974269853360069078e+02, 2.977290171338446498e+02, 2.948193864056719917e+02, 2.948019773790142608e+02
2.020000000000000000e+03, 2.949547428864728431e+02, 2.974395736996553410e+02, 2.964520265072908956e+02, 2.939097185503692344e+02, 2.961710234166888540e+02, 2.942430503483867597e+02, 2.955647839034426738e+02, 2.972446048627566029e+02, 2.967039212168253925e+02, 2.972382243822187320e+02, 2.976686731258344594e+02, 2.961715103125351334e+02, 2.979840723826666249e+02, 2.967639668121975660e+02, 2.947311172209891765e+02, 2.947194217531109643e+02
2.021000000000000000e+03, 2.943437612701281978e+02, 2.973153997808714166e+02, 2.968230213228267189e+02, 2.943673437913756743e+02, 2.959614952012906315e+02, 2.952039299504874634e+02, 2.957954062555499490e+02, 2.975243859874690884e+02, 2.965330672763821553e+02, 2.970650055590530769e+02, 2.980134445378660644e+02, 2.955767375004945734e+02, 2.971215635083274265e+02, 2.965806773470687858e+02, 2.952672321335465995e+02, 2.953279087442581954e+02
2.022000000000000000e+03, 2.947215258165058458e+02, 2.978836208108215828e+02, 2.962920527716279366e+02, 2.941855535014126417e+02, 2.960151839331371662e+02, 2.948642641930699710e+02, 2.948062881321781674e+02, 2.972061482614409442e+02, 2.967529504465080663e+02, 2.969899171497549446e+02, 2.979873649979047627e+02, 2.961884905087983384e+02, 2.972516804690637855e+02, 2.970771208289882566e+02, 2.953678778566687129e+02, 2.946774582905771354e+02
2.023000000000000000e+03, 2.946875559012280519e+02, 2.979451302003149635e+02, 2.966364910497832170e+02, 2.941106490497392656e+02, 2.952529242180894471e+02, 2.950400271934847183e+02, 2.944958141099520503e+02, 2.967073831496032881e+02, 2.967515971461630784e+02, 2.966880924762587028e+02, 2.977726518526203563e+02, 2.964636916061687089e+02, 2.976882855901739617e+02, 2.969569648794310410e+02, 2.954727140150731088e+02, 2.948510982504205913e+02
2.024000000000000000e+03, 2.949345579532085821e+02, 2.975209962191504474e+02, 2.964790262111390007e+02, 2.941229700655923125e+02, 2.953483660818183694e+02, 2.952458750542664916e+02, 2.955132200852538631e+02, 2.955388612246617868e+02, 2.969043833067667606e+02, 2.975361073056036503e+02, 2.981816725977174656e+02, 2.968166790110822149e+02, 2.975727560266390697e+02, 2.973423891608686631e+02, 2.956743495238692958e+02, 2.949460980340727474e+02
2.025000000000000000e+03, 2.946102777167185423e+02, 2.974110171455713498e+02, 2.964220202970037121e+02, 2.945283767149700225e+02, 2.950483483310726456e+02, 2.954809461064954235e+02, 2.954688326468049127e+02, 2.956688399452798990e+02, 2.965844056521334551e+02, 2.980335649409916527e+02, 2.982570243115143853e+02, 2.964387465819225440e+02, 2.977632177076067705e+02, 2.971566581486792415e+02, 2.955871102470926530e+02, 2.944997028442280680e+02
2.026000000000000000e+03, 2.947223761034516656e+02, 2.979452150428705863e+02, 2.962212793924391576e+02, 2.941099022041792637e+02, 2.962455969685452715e+02, 2.952123286102443558e+02, 2.951605363712126859e+02, 2.973056520374242950e+02, 2.973697195559764168e+02, 2.974738450536963796e+02, 2.977684174969614332e+02, 2.964532962532631473e+02, 2.977139791955675037e+02, 2.964936036705388460e+02, 2.956305550552436898e+02, 2.946889036098562542e+02
2.027000000000000000e+03, 2.951613330278938747e+02, 2.975973903111806749e+02, 2.962977522485125519e+02, 2.936780391523817570e+02, 2.949688860792787750e+02, 2.952705066340481039e+02, 2.951738463204497975e+02, 2.978415984148330153e+02, 2.972277042925575756e+02, 2.975637264801491142e+02, 2.980181640775072083e+02, 2.963379540812721871e+02, 2.981663513332168804e+02, 2.964890539262284506e+02, 2.954017782549256594e+02, 2.949014718246824032e+02
2.028000000000000000e+03, 2.949950976160450864e+02, 2.979099307411944437e+02, 2.965972802680136624e+02, 2.942702019518171710e+02, 2.951350414861641980e+02, 2.955966714929452905e+02, 2.950718249951486314e+02, 2.981307844410625876e+02, 2.969176428220027901e+02, 2.974765767393124065e+02, 2.979714349821373958e+02, 2.968001905215746774e+02, 2.981375092319563009e+02, 2.974464176845586394e+02, 2.951943927660460645e+02, 2.954212169568579043e+02
2.029000000000000000e+03, 2.948357583413857128e+02, 2.981946366826987855e+02, 2.968525579105299812e+02, 2.944905129614074895e+02, 2.956628171113213170e+02, 2.949942838669333014e+02, 2.950244226743437821e+02, 2.976345126524701072e+02, 2.971867827239572080e+02, 2.970138314995523388e+02, 2.981711739576857667e+02, 2.961610001904484193e+02, 2.978821820743701210e+02, 2.976904995079063383e+02, 2.952329185012642370e+02, 2.951931556965269010e+02
2.030000000000000000e+03, 2.947764572888920043e+02, 2.976239815283915959e+02, 2.966812995596173437e+02, 2.945717623837019232e+02, 2.963942389184452963e+02, 2.947411919746465969e+02, 2.954424472715141405e+02, 2.974151238016906404e+02, 2.977657315829546292e+02, 2.970779820631128700e+02, 2.980723493751041815e+02, 2.966505830482749388e+02, 2.978597283769641990e+02, 2.968126474608673675e+02, 2.953187742404197138e+02, 2.950927963645746104e+02
2.031000000000000000e+03, 2.950397014138001737e+02, 2.978870537605474169e+02, 2.968682733131839200e+02, 2.944531244193896669e+02, 2.959954986352527726e+02, 2.956196795842854499e+02, 2.953609173838430024e+02, 2.973948626956035923e+02, 2.978952255851069140e+02, 2.977721486928640502e+02, 2.974924884087112105e+02, 2.970045855490597546e+02, 2.978582186816647095e+02, 2.960295671765300654e+02, 2.953350037307852176e+02, 2.952868119628779482e+02
2.032000000000000000e+03, 2.952470460352806185e+02, 2.984446618242769205e+02, 2.967079774432872910e+02, 2.946725027629302076e+02, 2.957388598754848772e+02, 2.957828031876338173e+02, 2.946615273345254309e+02, 2.971949744744711666e+02, 2.971449609899843836e+02, 2.976632779827127138e+02, 2.981633823809344221e+02, 2.971545078249171183e+02, 2.978295736933301328e+02, 2.965332076612352807e+02, 2.958549960004451691e+02, 2.948214973984285052e+02
2.033000000000000000e+03, 2.948887377828748413e+02, 2.974044473297340119e+02, 2.968363483225509754e+02, 2.943236058990720494e+02, 2.952205632510352871e+02, 2.953012206355471108e+02, 2.958020500190177131e+02, 2.976454410125572849e+02, 2.967761837593958489e+02, 2.971505207849288581e+02, 2.979477201977679215e+02, 2.972575872339995726e+02, 2.980515944925756457e+02, 2.969750377453117380e+02, 2.959884909599966818e+02, 2.949885341099328571e+02
2.034000000000000000e+03, 2.952214938127337405e+02, 2.976450149301516035e+02, 2.968926405968880999e+02, 2.945345933100566640e+02, 2.952848682968560183e+02, 2.954159209765555261e+02, 2.951693237096579310e+02, 2.978651752356983593e+02, 2.974225639845715250e+02, 2.964947096354572409e+02, 2.981893365675760492e+02, 2.968618859642122629e+02, 2.980555403490128583e+02, 2.982718469762829159e+02, 2.953819541768568229e+02, 2.954384564938451945e+02
2.035000000000000000e+03, 2.947738975270830224e+02, 2.976161798250356014e+02, 2.970387349309066281e+02, 2.948452937067283415e+02, 2.957801449710781299e+02, 2.949401483864210149e+02, 2.954317005105588123e+02, 2.974912130771880356e+02, 2.975017483303235508e+02, 2.971608263329917463e+02, 2.985372716718609354e+02, 2.973149914807752339e+02, 2.979129113268712672e+02, 2.973230392461671840e+02, 2.957814841349119774e+02, 2.953697194538533495e+02
2.036000000000000000e+03, 2.950491611882742404e+02, 2.980401721199956455e+02, 2.966121493108604454e+02, 2.943387416555656273e+02, 2.965196022745581104e+02, 2.951103362555244303e+02, 2.951761622830356941e+02, 2.975111309906847055e+02, 2.978574761658837247e+02, 2.969011630261642267e+02, 2.986134581109245687e+02, 2.965720764439655568e+02, 2.984976686648306554e+02, 2.967744790280353868e+02, 2.961230370715183540e+02, 2.951916207659825204e+02
2.037000000000000000e+03, 2.953532371895096276e+02, 2.988630223256267868e+02, 2.964158833725483078e+02, 2.949032439989160821e+02, 2.956099738609252654e+02, 2.949416745135786186e+02, 2.956990272063509906e+02, 2.974212204679888600e+02, 2.976169099173450263e+02, 2.976945382837550369e+02, 2.981813058296262966e+02, 2.969763976910393808e+02, 2.986224119807145598e+02, 2.965169671151750777e+02, 2.963123316143763191e+02, 2.947837567623243444e+02
2.038000000000000000e+03, 2.952960322499550898e+02, 2.987136372024122579e+02, 2.971656909775899180e+02, 2.950633055768261670e+02, 2.957757099541872776e+02, 2.949395407934738387e+02, 2.949834394928975030e+02, 2.976572930741232312e+02, 2.972047896300943535e+02, 2.973165887614170515e+02, 2.985063462990357834e+02, 2.972043056532463083e+02, 2.981150559567739720e+02, 2.975426709385671415e+02, 2.956626155932964366e+02, 2.949758035124888806e+02
2.039000000000000000e+03, 2.953462589572339994e+02, 2.976238339885688333e+02, 2.969002987561743794e+02, 2.947748627936295520e+02, 2.956429707873450070e+02, 2.953318986774247037e+02, 2.951904945792842341e+02, 2.983529884176731457e+02, 2.970200712036210575e+02, 2.973793630770736627e+02, 2.986182749545443471e+02, 2.975373501788973840e+02, 2.983244243469926573e+02, 2.975305703240825324e+02, 2.955575049665193887e+02, 2.950254250127744626e+02
2.040000000000000000e+03, 2.948353272467005013e+02, 2.974310429753999756e+02, 2.970864035687736191e+02, 2.942941746177235700e+02, 2.955450899584223521e+02, 2.957392707931182372e+02, 2.952375981637559903e+02, 2.986105407545944104e+02, 2.980992725784053619e+02, 2.975480982196985451e+02, 2.990133991665836675e+02, 2.968241242140084637e+02, 2.985317119135901294e+02, 2.971771557953630918e+02, 2.958664450457226849e+02, 2.954581686722107747e+02
2.041000000000000000e+03, 2.950816237273541560e+02, 2.976658200823727043e+02, 2.972451612775157628e+02, 2.946471413133593842e+02, 2.956867469475981807e+02, 2.957490554964532521e+02, 2.952643131785322339e+02, 2.975281406181644570e+02, 2.981455507250459505e+02, 2.975659975737229956e+02, 2.985073435600972402e+02, 2.968254696050842085e+02, 2.979791253091805743e+02, 2.965245051456625447e+02, 2.961318822121564267e+02, 2.953525855767818484e+02
