year, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, MIROC-ES2L, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5
2.052000000000000000e+03, 1.064563242464667381e+00, 1.315561826577897886e+00, 9.483490059716473963e-01, 1.129089340977517786e+00, 1.600373186314076657e+00, 1.247848015289661605e+00, 1.444432587653252886e+00, 1.221998122401726006e+00, 8.153630528255654264e-01, 1.506479132359543005e+00, 4.319223996217346873e+00, 1.267678742827948790e+00, 1.663331958492286988e+00, 1.613849404457738501e+00
2.053000000000000000e+03, 1.151790753052092553e+00, 1.363342219845292025e+00, 9.892797754121835929e-01, 1.088153972333383512e+00, 1.449646815781398423e+00, 1.259966250987563541e+00, 1.533515508489596835e+00, 1.076766150708406533e+00, 8.433047748917029685e-01, 1.490045988102518315e+00, 4.153919732818143196e+00, 1.178085050239108700e+00, 1.753839347220470968e+00, 1.596902616069967307e+00
2.054000000000000000e+03, 1.048963532087487271e+00, 1.462170471216478251e+00, 1.040690860053575806e+00, 1.141460817844070830e+00, 1.520496553281901253e+00, 1.128462298257082885e+00, 1.443058158974094063e+00, 1.020813940557132815e+00, 8.793168748775616050e-01, 1.478224402770876633e+00, 4.174159324903014223e+00, 1.194949460149900888e+00, 1.744650914572780653e+00, 1.477967313890496959e+00
2.055000000000000000e+03, 1.156700002747722333e+00, 1.302235919212624271e+00, 1.023498421167282180e+00, 1.196359701737711223e+00, 1.487852668817827739e+00, 1.312269090482695910e+00, 1.390618965557681053e+00, 1.305263909552762280e+00, 8.345570265290827017e-01, 1.537729302554966093e+00, 4.392552586221769140e+00, 1.253921238775417279e+00, 1.520388916782074995e+00, 1.663809388440464776e+00
2.056000000000000000e+03, 1.088485306359806559e+00, 1.581055725402835677e+00, 1.050471084123950627e+00, 1.119392999446754189e+00, 1.591951995683703824e+00, 1.254361307233775147e+00, 1.469364268317761679e+00, 1.314726227182248408e+00, 8.430067627790501783e-01, 1.578071051262875057e+00, 4.523650808380960342e+00, 1.211747354635503982e+00, 1.723407336355509800e+00, 1.741737592101059606e+00
2.057000000000000000e+03, 9.652794629980105956e-01, 1.304787943780857828e+00, 1.028862003600745645e+00, 1.088058488607956953e+00, 1.682653658590907098e+00, 1.169836394270781010e+00, 1.440236729241257230e+00, 1.132545631058531344e+00, 8.553885514210143315e-01, 1.515704562479334161e+00, 4.375181591828207317e+00, 1.154193510650853849e+00, 1.712523107969856628e+00, 1.411390275141654715e+00
2.058000000000000000e+03, 1.073297858680164030e+00, 1.560252478583074254e+00, 9.957686959117241221e-01, 1.089307145598281013e+00, 1.613763760056242447e+00, 1.245580663256914633e+00, 1.389303852124551319e+00, 1.248966109291744120e+00, 8.684789732217942371e-01, 1.520420068517889911e+00, 4.147673274035649449e+00, 1.258442147494573948e+00, 1.827279801209061638e+00, 1.613320234269812747e+00
2.059000000000000000e+03, 9.415362156617766987e-01, 1.539743884657446271e+00, 9.747789728960409850e-01, 1.005109290689461865e+00, 1.640230741860968067e+00, 1.269374613335414681e+00, 1.536173234803466237e+00, 1.330826782097266348e+00, 8.726307144296719942e-01, 1.528753517714821042e+00, 4.373881421500191102e+00, 1.215007092177671222e+00, 1.661569765343415161e+00, 1.661381911277354240e+00
2.060000000000000000e+03, 1.166944186725910271e+00, 1.215143047982196745e+00, 9.789348415332309594e-01, 1.086950174157498061e+00, 1.504334940452132008e+00, 1.251808371947426446e+00, 1.520341338443874424e+00, 1.146780471590369554e+00, 8.578872483401506210e-01, 1.515263702550796232e+00, 5.179444925018918511e+00, 1.149928171428186374e+00, 1.747451627353479919e+00, 1.632293349908187974e+00
2.061000000000000000e+03, 1.070420659795171980e+00, 1.528336645813564321e+00, 9.573399388950615263e-01, 1.192174719620634926e+00, 1.556828791072207396e+00, 1.247044455801349594e+00, 1.438253123210320839e+00, 1.376938795235859381e+00, 8.481010565891103914e-01, 1.518480521946476536e+00, 4.117997133973378077e+00, 1.169473404466119471e+00, 1.618456033084477719e+00, 1.684458743919228008e+00
