year, GFDL-ESM4, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.015000000000000000e+03, 1.387182768912692483e-09, 0.000000000000000000e+00, 1.147292901901532893e-09, 3.079854294676229176e-09, 1.228900045887871743e-09, 2.440296832338331317e-09, 4.923984138184650842e-10, 1.885789886462871977e-09, 4.161519571357284132e-10
2.016000000000000000e+03, 1.389543454437023074e-09, 4.284108307672671433e-10, 1.260979178017524753e-09, 2.828345483400583117e-09, 1.441744495028024975e-09, 2.512428639577870211e-09, 5.457472756288018797e-10, 1.773150012398594716e-09, 3.674126432797598583e-10
2.017000000000000000e+03, 1.366346312157525725e-09, 4.300390114259443778e-10, 1.221654550412568343e-09, 2.194680227821085607e-09, 1.595865003785537531e-09, 2.907972007939483477e-09, 5.873276995984686102e-10, 1.871141411527943303e-09, 3.686717805231155836e-10
2.018000000000000000e+03, 1.262405993259560532e-09, 4.212975770660628044e-10, 1.206640068723986207e-09, 2.565839018421227863e-09, 1.436613217743185079e-09, 3.184105597121076380e-09, 6.305959830131918635e-10, 1.930469369017699592e-09, 3.635951982692360162e-10
2.019000000000000000e+03, 1.393450383821905528e-09, 4.134558196785699994e-10, 1.263216686212665933e-09, 2.459090686038142363e-09, 1.510041384638684154e-09, 2.894592122261424076e-09, 6.762823420208192421e-10, 1.848739114511980866e-09, 3.605778726359179175e-10
2.020000000000000000e+03, 1.493179076269981894e-09, 4.053482432476133643e-10, 1.230178031474754566e-09, 2.317319017047812447e-09, 1.470594809468614324e-09, 2.918392962782131665e-09, 7.230399522527093541e-10, 1.575830594149882899e-09, 3.552818837232867483e-10
2.021000000000000000e+03, 1.191349767017654518e-09, 3.969209940315106212e-10, 1.269534211046450473e-09, 2.554145590522823554e-09, 1.777976608436933139e-09, 2.664898058712223521e-09, 7.790703714240517809e-10, 1.492400967456401951e-09, 3.525457875564798807e-10
2.022000000000000000e+03, 1.211149349047221627e-09, 3.921583378116778350e-10, 1.290721347528504148e-09, 2.546831914479182616e-09, 1.369788455465252622e-09, 3.098261461390184450e-09, 8.439881864996975571e-10, 1.481829417175627100e-09, 3.533132412857118503e-10
2.023000000000000000e+03, 1.456464030773067197e-09, 3.801699653515074447e-10, 1.208561911401208638e-09, 2.722042939395388572e-09, 1.232092101126597743e-09, 2.674029283724934316e-09, 9.124222734696921268e-10, 1.657842980202475589e-09, 3.526469445567956511e-10
2.024000000000000000e+03, 1.413285161892063294e-09, 3.776941783066726995e-10, 1.177813282326872526e-09, 3.047162432525591191e-09, 1.553355350187823835e-09, 3.111367446803224238e-09, 9.816697929037746073e-10, 1.802584645489627339e-09, 3.537870847890541236e-10
2.025000000000000000e+03, 1.433926305790524115e-09, 3.784650398483643188e-10, 1.242864724335052712e-09, 2.629199535365413318e-09, 1.345779303310626065e-09, 2.826641747085914471e-09, 1.076030929950976998e-09, 1.969522729163621553e-09, 3.560412315069973882e-10
2.026000000000000000e+03, 1.246417337560698619e-09, 3.819302503655002697e-10, 1.345418486010889016e-09, 2.262040912119907881e-09, 1.395463957267359752e-09, 3.007559234718608363e-09, 9.732749101291651256e-10, 1.919857756698643981e-09, 3.607841457541317519e-10
2.027000000000000000e+03, 1.500349965764695641e-09, 3.668533556211053486e-10, 1.267209117686577886e-09, 2.856733472208641169e-09, 1.227336951491508060e-09, 2.653098670816885873e-09, 8.785276853582391963e-10, 1.865263382355847598e-09, 3.305676399330964527e-10
