year, CMCC-ESM2, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.999535666278241257e-10, 4.553123029386448545e-10, 1.675646798544320229e-09, 1.116523059882283069e-09, 4.777697707458004171e-10, 2.392118968584644475e-13, 8.712083682673103333e-12, 1.723519112281921469e-09, 9.977310356009481997e-11, 2.347939445262474716e-10
2.016000000000000000e+03, 3.000719220199109501e-10, 1.372817861908578127e-10, 1.590223399162294717e-09, 9.856998156382930108e-10, 4.651281695856662562e-10, 2.307577039107206129e-13, 1.586428527074846628e-11, 1.639366667108471209e-09, 8.226610832694955381e-11, 2.325754547183713482e-10
2.017000000000000000e+03, 3.003927397499499064e-10, 1.256062025151147174e-10, 1.560213953171316945e-09, 9.031438696719267468e-10, 4.633007584858326714e-10, 2.688727013410965453e-13, 1.599461834890270596e-11, 1.685482114060092110e-09, 8.420667377792245743e-11, 2.307993952512606220e-10
2.018000000000000000e+03, 3.017227576755860406e-10, 1.282467634988538046e-10, 1.501045038208141228e-09, 8.442901040913991102e-10, 4.606213904459387511e-10, 2.897713232920755422e-13, 1.554726163289299846e-11, 1.639072501142388722e-09, 8.059366603060282586e-11, 2.321493703214105969e-10
2.019000000000000000e+03, 3.048097303844012136e-10, 1.313243994020093689e-10, 1.562321269345397294e-09, 8.050862363909034116e-10, 4.576764359113237575e-10, 2.661884386217313856e-13, 1.590918748759426441e-11, 1.693356461100646297e-09, 7.876821193264775405e-11, 2.317017497953589810e-10
2.020000000000000000e+03, 3.101125658461565784e-10, 1.281216830208935369e-10, 1.637345043573526919e-09, 7.928991891420735309e-10, 4.541287862165521848e-10, 2.771942455286761409e-13, 1.563857289087000099e-11, 1.726773401523807384e-09, 7.581603610152437664e-11, 2.233619492677437065e-10
2.021000000000000000e+03, 3.116975319414792631e-10, 1.097636498491056524e-10, 1.665417421775828468e-09, 7.859661406363694799e-10, 4.458872915372904278e-10, 4.023908729094564164e-13, 9.138004002592288645e-12, 1.667578406879156834e-09, 5.794174213615896925e-11, 2.189184021487119008e-10
2.022000000000000000e+03, 3.218501894064744379e-10, 1.246259005333908731e-10, 1.630938716827764667e-09, 7.858657672737456417e-10, 4.415952770966566616e-10, 4.522225393218656186e-13, 9.210458531211410969e-12, 1.688272439645134880e-09, 5.678698673743057608e-11, 2.183826256074361371e-10
2.023000000000000000e+03, 3.142182147278436056e-10, 1.046885020729014861e-10, 1.566100231923024722e-09, 7.991519712897193971e-10, 4.376967538001883434e-10, 3.695559437991463863e-13, 9.395407142737253470e-12, 1.777521782799287707e-09, 5.401019499355095639e-11, 2.208891365193406088e-10
2.024000000000000000e+03, 3.042918222059596185e-10, 1.221505142703686480e-10, 1.718716886808790175e-09, 8.223076675994404764e-10, 4.343793276706356826e-10, 4.430303954648705235e-13, 9.417751407737020060e-12, 1.693728563011769055e-09, 5.432314997224928802e-11, 2.262544203923620466e-10
