year, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, ACCESS-ESM1-5, INM-CM4-8, IPSL-CM6A-LR, CanESM5, GFDL-ESM4, CESM2-WACCM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, INM-CM5-0, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM
2.029000000000000000e+03, 1.442681280337465122e+00, 1.290366222592829848e+00, 1.210982147074390003e+00, 7.124532129681786508e-01, 1.613067151864469251e+00, 9.090825289928053943e-01, 1.116855692829117785e+00, 8.537620181519667284e-01, 1.153751938089542683e+00, 1.191941129597505755e+00, 1.842402246420756340e+00, 1.628987112866802978e+00, 1.511618198873715402e+00, 1.042525914844518065e+00, 1.562952291819553086e+00, 1.035161539736255687e+00
2.030000000000000000e+03, 1.506470260492465796e+00, 1.209847668715400726e+00, 1.219933568151775338e+00, 7.149041715040935774e-01, 1.629560760556953314e+00, 9.306412270683163124e-01, 1.157481482203244427e+00, 7.286085821330120504e-01, 1.211028711575911077e+00, 1.652448739072483130e+00, 1.820328070916170660e+00, 1.489191591859494901e+00, 1.490010767567138572e+00, 1.049993628467531748e+00, 1.684891165786935874e+00, 1.178191100588052542e+00
2.031000000000000000e+03, 1.532116509251938652e+00, 1.254688902930593875e+00, 1.167560604298528704e+00, 7.368556585689062244e-01, 1.574434763643476787e+00, 9.418454422766295853e-01, 1.129054514515241081e+00, 8.262701384789838954e-01, 1.240158531838324363e+00, 2.148660003130729468e+00, 1.974984726286170611e+00, 1.660313844896820434e+00, 1.518045092078578628e+00, 1.107705260866897135e+00, 1.518802609799515757e+00, 1.110351552978444012e+00
2.032000000000000000e+03, 1.565608414072603871e+00, 1.396021511278391358e+00, 1.125456980122420791e+00, 7.209767718448273355e-01, 1.547198870637219947e+00, 9.792356895340729173e-01, 1.125485298826892189e+00, 8.197732231100892664e-01, 1.255521842561361012e+00, 1.805438007418911139e+00, 1.886140373775802237e+00, 1.796401757595675885e+00, 1.603411004696561060e+00, 1.056681569103895324e+00, 1.400675064384231838e+00, 1.084360912521410869e+00
2.033000000000000000e+03, 1.590789083010829774e+00, 1.377710793040044290e+00, 1.154246088846434981e+00, 7.223930164716567681e-01, 1.613260783788821762e+00, 9.917757785577767660e-01, 1.120133113379530254e+00, 7.681088853922842796e-01, 1.223008545839770367e+00, 1.433086383556368082e+00, 1.790235106324376213e+00, 1.953497555249990691e+00, 1.556466344493782961e+00, 1.039915638696673916e+00, 1.427078739809826358e+00, 1.149310474779644542e+00
2.034000000000000000e+03, 1.562458952716583749e+00, 1.481759200787268416e+00, 1.204803076368816894e+00, 6.909641825381357405e-01, 1.638759471375433652e+00, 9.679090962922402008e-01, 1.137814962142315922e+00, 7.741795772631703265e-01, 1.215350555167177049e+00, 1.160080056517617697e+00, 1.853469047383174528e+00, 1.813398328115072067e+00, 1.471771688801804423e+00, 1.001444678281289136e+00, 1.533920161681034289e+00, 1.134536376758724652e+00
2.035000000000000000e+03, 1.554036779050933736e+00, 1.381728057676804067e+00, 1.213382445184014946e+00, 7.470098104699097741e-01, 1.676228106873564272e+00, 1.041091857769363971e+00, 1.132336947481276335e+00, 7.928962436441954198e-01, 1.163968356911666557e+00, 1.475134539317395133e+00, 1.784700436921669908e+00, 1.659257657269209041e+00, 1.448846069520536739e+00, 1.058640519088225540e+00, 1.586077939905842671e+00, 1.131309902098682318e+00
2.036000000000000000e+03, 1.451657565687751061e+00, 1.246693736271123232e+00, 1.200070264140741250e+00, 8.088025374215518370e-01, 1.643476735112864295e+00, 9.544584007562284533e-01, 1.182722380264226159e+00, 7.505950170775528285e-01, 1.245392141132339203e+00, 1.428760113342411264e+00, 1.708181393817207017e+00, 1.621026273108671090e+00, 1.560477251647572894e+00, 1.068090927147383962e+00, 1.717093805548340679e+00, 1.124154929925406110e+00
2.037000000000000000e+03, 1.428381552484348171e+00, 1.359942407792303243e+00, 1.144802117338955316e+00, 8.309225516034235426e-01, 1.609018981061196119e+00, 9.133570233011927275e-01, 1.224565429014374818e+00, 7.844525486163587136e-01, 1.197775193393183057e+00, 1.280677849654367817e+00, 1.787885640467975934e+00, 1.847982758042344464e+00, 1.579350623778585261e+00, 1.047524804488884520e+00, 1.701815152888474181e+00, 1.036900728943408678e+00
2.038000000000000000e+03, 1.517429696439660525e+00, 1.342028608407315193e+00, 1.185295374884206332e+00, 7.868943234142533605e-01, 1.625382082761393843e+00, 8.073628543591698792e-01, 1.216687985263614769e+00, 8.903328244046261331e-01, 1.234004880904395529e+00, 1.287395387596306673e+00, 1.826924493665573079e+00, 2.082889712099742496e+00, 1.587977413144444849e+00, 1.024424822991703232e+00, 1.653680654101744363e+00, 9.964596226523558808e-01
2.039000000000000000e+03, 1.564537080456963380e+00, 1.452653759627666741e+00, 1.166572956539940309e+00, 7.943966147853408488e-01, 1.590690363388833850e+00, 1.088435866025230681e+00, 1.207569884556159989e+00, 9.217233869785255163e-01, 1.206714194659206152e+00, 1.320234262666045488e+00, 1.899775847885067925e+00, 2.058321248067180420e+00, 1.547277231181144019e+00, 1.059496442470070354e+00, 1.512830552371836612e+00, 1.061185834598891153e+00
2.040000000000000000e+03, 1.541084145311185871e+00, 1.397186269725545715e+00, 1.166165676645019245e+00, 7.620212393454279809e-01, 1.706002517037582544e+00, 1.066671764404624412e+00, 1.218129117009371098e+00, 7.907281098688520027e-01, 1.189874503026335351e+00, 1.562983463862564815e+00, 1.913446233216238745e+00, 1.636044061724929888e+00, 1.508103123560136760e+00, 1.080944405322023627e+00, 1.616337698432126935e+00, 1.101614594144981529e+00
2.041000000000000000e+03, 1.552299248098213180e+00, 1.353815395579323511e+00, 1.136214980369587124e+00, 7.574977961325470854e-01, 1.630753412732927954e+00, 9.784432289102684699e-01, 1.239843361210868133e+00, 8.095139778098430217e-01, 1.202758486029296359e+00, 1.533189885697133104e+00, 1.701673989096721851e+00, 1.524517424786416608e+00, 1.496819141021111799e+00, 1.082550305854961037e+00, 1.489535173750232699e+00, 1.115591638784820594e+00
2.042000000000000000e+03, 1.521696974335275065e+00, 1.344902539893604310e+00, 1.159628699231704640e+00, 7.849300443340728739e-01, 1.665469507618133616e+00, 1.022580773005071553e+00, 1.164007646404362273e+00, 7.176826285748335588e-01, 1.211611341962017141e+00, 1.239867870802911831e+00, 1.702797590205406220e+00, 1.812124312089701927e+00, 1.534361804331532131e+00, 1.089671605731322934e+00, 1.629536767754064197e+00, 1.039608636408392739e+00
2.043000000000000000e+03, 1.537739214769701102e+00, 1.247380626808728188e+00, 1.187895486515224697e+00, 7.942146802199473443e-01, 1.621861206194924909e+00, 1.078733725450509606e+00, 1.132261308050856563e+00, 7.929213880846143203e-01, 1.195310247608506238e+00, 1.483719683616712137e+00, 1.831277292926494216e+00, 1.792939568163259834e+00, 1.550104569720445191e+00, 1.060743553320331545e+00, 1.562542852850300923e+00, 1.114972149351812769e+00
2.044000000000000000e+03, 1.554754589413318566e+00, 1.206918311921364229e+00, 1.151687155520845440e+00, 7.436212217466533492e-01, 1.621922849109240117e+00, 1.123924966838957928e+00, 1.274160254482174404e+00, 9.074015306989431373e-01, 1.246341041878418210e+00, 1.614549139073087725e+00, 1.803035664549915484e+00, 1.460971333272908401e+00, 1.589624379159830569e+00, 1.082793652535448237e+00, 1.688776088328037384e+00, 1.182564455448873675e+00
2.045000000000000000e+03, 1.600251064185674421e+00, 1.392442924647083968e+00, 1.135020777106863443e+00, 6.900336122511188108e-01, 1.545513812012606625e+00, 9.195993864919913552e-01, 1.247523129680230047e+00, 8.203119871607755798e-01, 1.266848449473509719e+00, 1.366858267027386997e+00, 1.749844779097557090e+00, 1.522595449188288264e+00, 1.566285887729921722e+00, 1.135028281210052947e+00, 1.553480561447112995e+00, 1.184963395899903071e+00
2.046000000000000000e+03, 1.602924811520526571e+00, 1.345466543639090462e+00, 1.120491464462344267e+00, 6.859538882132584225e-01, 1.595436977219694352e+00, 1.090445896405520143e+00, 1.224066225707612698e+00, 8.064956270168636143e-01, 1.219747295315386726e+00, 1.117115951130372764e+00, 1.857513443201079584e+00, 1.780887470537942496e+00, 1.504265270784741704e+00, 1.089047783502258060e+00, 1.583528108990062577e+00, 1.217800278038809747e+00
2.047000000000000000e+03, 1.665976472500583672e+00, 1.282784017824245115e+00, 1.123238078088859337e+00, 7.548857626781702024e-01, 1.599415882459471527e+00, 1.020048993503513302e+00, 1.315766143852326042e+00, 8.395344545510157186e-01, 1.190604218102037093e+00, 1.267336709446158283e+00, 1.776150694470000069e+00, 1.846666522296377622e+00, 1.522548175383992675e+00, 1.031359332896677916e+00, 1.563763099407736501e+00, 1.198723779270528533e+00
2.048000000000000000e+03, 1.675698083383660331e+00, 1.267188033693152693e+00, 1.182787909315291097e+00, 7.631222957477256097e-01, 1.635127934152009965e+00, 9.912939634591920735e-01, 1.286638781287579913e+00, 8.505384500881844057e-01, 1.160442832241748601e+00, 1.528230531258150116e+00, 1.713722154692055799e+00, 1.621336455481672489e+00, 1.486781911071779705e+00, 1.050664977730755512e+00, 1.552049023707976705e+00, 1.181501320911948483e+00
