year, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
2.032000000000000000e+03, 1.802093815084633465e-09, 2.597169722018820550e-10, 2.813730193537510385e-13, 1.753698880511554782e-09, 2.145111528008878493e-09, 2.858094803898261395e-09, 5.100910830824202678e-11, 2.605392021763569889e-09, 2.202255164416896460e-11
2.033000000000000000e+03, 1.653967938484317209e-09, 2.587603421344481762e-10, 3.245106711218103315e-13, 1.830371406828205547e-09, 2.209980580746047380e-09, 2.869818466919299739e-09, 5.497390984704105729e-11, 2.830832519596635602e-09, 2.255774580884903772e-11
2.034000000000000000e+03, 1.820678086151899888e-09, 2.585119530741453204e-10, 3.239624436569000870e-13, 1.512157377941904522e-09, 2.368162230714533530e-09, 2.855216519192646697e-09, 5.829739632158715969e-11, 2.718695577838111240e-09, 2.289330480665920394e-11
2.035000000000000000e+03, 1.806263022949522306e-09, 2.577359377740231498e-10, 3.197469504225070164e-13, 1.796515309126131153e-09, 2.423924860800758167e-09, 2.825541428124256815e-09, 6.020315828642742699e-11, 2.954259887242997731e-09, 2.363658942390991492e-11
2.036000000000000000e+03, 1.807176887158738159e-09, 2.564271402987636691e-10, 2.890456881313289921e-13, 1.716983196909556024e-09, 2.231982682455387551e-09, 2.807955535349146685e-09, 4.688805427591826213e-11, 2.685763540989084766e-09, 2.414080589800718949e-11
2.037000000000000000e+03, 1.849361176237676926e-09, 2.555418454302937478e-10, 2.751641015716388773e-13, 1.539633226899925901e-09, 2.134176987790321202e-09, 2.790495376598627041e-09, 4.203528203875978492e-11, 2.472106064423635235e-09, 2.320089428936133668e-11
2.038000000000000000e+03, 1.842428537947671145e-09, 2.550724494700289327e-10, 4.006162372800761944e-13, 1.603335463280393383e-09, 2.199612310640867867e-09, 2.771837951184631807e-09, 3.999694146106504101e-11, 2.157375878900996773e-09, 2.235433282665218840e-11
2.039000000000000000e+03, 1.785241937168391282e-09, 2.547164920016875951e-10, 4.624068870269874561e-13, 1.886901909577444500e-09, 2.313063160257405255e-09, 2.763471172859757985e-09, 3.849991758231419392e-11, 3.069833590396422176e-09, 2.147825758307045835e-11
2.040000000000000000e+03, 1.676321962320930972e-09, 2.544122138582447162e-10, 4.532708423366950569e-13, 1.796328384956587785e-09, 2.332116708905643806e-09, 2.769144302487628170e-09, 3.770786772831278167e-11, 3.323658496151389188e-09, 2.029039567899663459e-11
2.041000000000000000e+03, 1.807900627620198324e-09, 2.543650360072801976e-10, 5.129213874096152637e-13, 1.749301684502560987e-09, 2.294685007327845521e-09, 2.783500048428812374e-09, 4.439802834358775794e-11, 2.723776003421142338e-09, 1.726221142769972670e-11
2.042000000000000000e+03, 1.732931111475744097e-09, 2.545065494553422736e-10, 4.646834828778287257e-13, 1.715758378347829251e-09, 2.322506359968459597e-09, 2.784168829209473696e-09, 4.398297886574478055e-11, 3.027649106440738965e-09, 1.687379544271112118e-11
2.043000000000000000e+03, 1.727056071954315008e-09, 2.544043386566880174e-10, 4.182781234318090318e-13, 1.708087122155019564e-09, 2.197426438218646070e-09, 2.755662369670942988e-09, 4.489484243014480407e-11, 3.159450912302422497e-09, 1.642678075114216804e-11
