year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, CanESM5, NorESM2-LM, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5
2.039000000000000000e+03, 9.816823124750414520e-01, 9.498314469294225626e-01, 5.449578851089490250e+00, 6.871641754891038012e-01, 6.645353904380630894e+00, 6.823122247583802702e-01, 7.648867133615464553e+00, 2.121167992937114999e+00, 6.988719874189789349e-01, 1.347341798948991753e+00, 3.980525159163785798e-01, 4.693249609471818573e+00, 8.152158178908275321e-01
2.040000000000000000e+03, 9.889196959590498270e-01, 9.668235163266050147e-01, 5.475033473017450802e+00, 7.021605595215703044e-01, 6.562599125344275031e+00, 7.025118774108728426e-01, 7.587286458827573910e+00, 2.205125241842091466e+00, 7.213762706533957125e-01, 1.354096745615615882e+00, 4.624986208249636244e-01, 4.683668462238201435e+00, 8.097031597038412132e-01
2.041000000000000000e+03, 1.022790433360585949e+00, 9.359494193547377439e-01, 5.503148498353477969e+00, 6.564236071452729249e-01, 6.393350195779397893e+00, 6.968258075213196179e-01, 7.613604342481385956e+00, 2.231344348077746176e+00, 7.189827144924481050e-01, 8.009179639454672150e-01, 3.145828010654817541e-01, 4.722819279075235244e+00, 8.023444415094426185e-01
2.042000000000000000e+03, 9.904500975557893883e-01, 9.306526763944723557e-01, 5.550923951172644699e+00, 6.810043900293383246e-01, 6.731504894329980004e+00, 7.293420510223795894e-01, 7.550692273936734367e+00, 2.224946959573729455e+00, 6.947491174928189794e-01, 1.399928029585064237e+00, 2.634773111636716236e-01, 4.804886831112273882e+00, 8.017280014372017982e-01
2.043000000000000000e+03, 9.519875036183070849e-01, 8.925620296413643295e-01, 5.566162051349315298e+00, 7.074305287951687671e-01, 6.925440850085437638e+00, 7.047564593195329019e-01, 7.574276733796835082e+00, 2.248949253364262546e+00, 7.157767627169728808e-01, 1.365991308792386061e+00, 4.096977208127142722e-01, 4.777873957769374513e+00, 8.107774548805311010e-01
2.044000000000000000e+03, 9.562088916464472899e-01, 8.969769162677528884e-01, 5.555881291995347304e+00, 6.605700877335550780e-01, 6.576046288906828963e+00, 6.573656530339460069e-01, 7.544829254187591872e+00, 2.272080147463935607e+00, 7.113179675345666642e-01, 1.147042369457301314e+00, 3.732075589673788385e-01, 4.766085463068399974e+00, 8.033055005573493945e-01
2.045000000000000000e+03, 9.882826013647536545e-01, 9.490725172242868712e-01, 5.526502632295142270e+00, 6.673777421202269355e-01, 6.390582421463037122e+00, 6.442419961544325613e-01, 7.577002688080443527e+00, 2.308286534891184516e+00, 7.148953820754967436e-01, 1.425576480051638173e+00, 2.482421178735048917e-01, 4.805809146485628958e+00, 7.900557543992160481e-01
2.046000000000000000e+03, 9.550410958337494094e-01, 9.243908003623239056e-01, 5.568630108239771559e+00, 7.202242202831822260e-01, 6.396218444501091227e+00, 6.876893317055661203e-01, 7.565231171930595799e+00, 2.248480898211629775e+00, 7.498275817130783949e-01, 1.537679578060824115e+00, 3.071191553549616482e-01, 4.835254055939068429e+00, 7.624170779233263584e-01
2.047000000000000000e+03, 9.813467940494263742e-01, 9.200202989197797665e-01, 5.573321164129021454e+00, 6.962462703700030842e-01, 6.134241579934779587e+00, 7.082421162622268840e-01, 7.536531294755421051e+00, 2.288938722704002782e+00, 7.546751996278038277e-01, 1.312321289475635755e+00, 3.725834403987657861e-01, 4.844662729928562506e+00, 7.597995971371546142e-01
2.048000000000000000e+03, 1.006754322186240058e+00, 9.435665214819040081e-01, 5.598091001052032389e+00, 7.069058004582060573e-01, 6.075659135757685014e+00, 7.507833621131397850e-01, 7.531838710808858472e+00, 2.261623039138831004e+00, 7.156731550213449866e-01, 1.262033023618177152e+00, 3.735698145768807099e-01, 4.807455327412980317e+00, 7.756302844335442037e-01
2.049000000000000000e+03, 9.627181781115254910e-01, 9.558424124410231926e-01, 5.604292539365996362e+00, 7.166052714231119225e-01, 6.327588035814161849e+00, 7.465861007618886935e-01, 7.569409852716266762e+00, 2.262364094431605466e+00, 6.883522522838159130e-01, 1.264960034943476641e+00, 3.134431899109698660e-01, 4.813403899821674159e+00, 7.917674963881961014e-01
2.050000000000000000e+03, 9.402762355431931729e-01, 9.198183314409487110e-01, 5.607337299451716106e+00, 6.605708391692941550e-01, 6.369069994487138509e+00, 6.815308358829385016e-01, 7.488835354306653258e+00, 2.307547836064141489e+00, 7.309285419716661236e-01, 1.286381209407026827e+00, 2.617001599021107072e-01, 4.824080981431055015e+00, 7.916763630036871557e-01
2.051000000000000000e+03, 9.865173796482809010e-01, 9.465735436615165810e-01, 5.643649135643356018e+00, 6.886282976851286763e-01, 6.150747542143011337e+00, 6.406718354450764430e-01, 7.550198356291605961e+00, 2.309576088898336987e+00, 7.165054087087026069e-01, 1.371384133755700674e+00, 4.751103915798297050e-01, 4.812328365149273424e+00, 7.710693113534269338e-01
2.052000000000000000e+03, 9.858913512135586421e-01, 9.125322525086462244e-01, 5.638233413738077182e+00, 7.051627078213250632e-01, 6.219972945109282669e+00, 7.222375300079745264e-01, 7.526362425360418662e+00, 2.282123186729390518e+00, 6.885628768047673542e-01, 1.327430874186839915e+00, 2.801464256691890697e-01, 4.795756409728905822e+00, 7.715345719565058769e-01
2.053000000000000000e+03, 9.695229408051204700e-01, 9.147857787438222754e-01, 5.627000110931432708e+00, 7.148643254439009942e-01, 6.492659239664852144e+00, 8.169677789742512131e-01, 7.555871282309581716e+00, 2.336267348431994240e+00, 7.034939692992924209e-01, 1.109404649631637874e+00, 3.149035326113499567e-01, 4.790020865729610833e+00, 7.987070881560823787e-01
2.054000000000000000e+03, 9.590961012109056050e-01, 9.905261823346891426e-01, 5.670863639699280867e+00, 7.733069877164087114e-01, 6.656297067193669648e+00, 7.777575786475229291e-01, 7.521524906541728228e+00, 2.340109094913967791e+00, 7.558419516854211206e-01, 1.165339716085066923e+00, 3.487080497201577312e-01, 4.841271190674407698e+00, 8.146847568195136891e-01
2.055000000000000000e+03, 1.008289313468201831e+00, 9.599017807369685240e-01, 5.789817315961208521e+00, 6.748166620781064218e-01, 6.842519721552677403e+00, 7.452063557792296677e-01, 7.502878351175650273e+00, 2.352520432556706176e+00, 7.335582205863000471e-01, 1.745558623760183004e+00, 2.581173368253898981e-01, 4.877620120839274875e+00, 8.203102455791091430e-01
2.056000000000000000e+03, 9.719813079276004020e-01, 9.388261956580341572e-01, 5.780479932182187142e+00, 5.988075934547195667e-01, 6.596906847534445006e+00, 7.244433057659152020e-01, 7.503189164441126380e+00, 2.373617035361629490e+00, 7.075338180688586220e-01, 1.422420562015399348e+00, 3.947708482939790708e-01, 4.862338973535331732e+00, 8.313673872255945563e-01
2.057000000000000000e+03, 9.641416545890041379e-01, 9.622887778338607978e-01, 5.796306136408420073e+00, 7.208389545801108245e-01, 6.363933524264343333e+00, 7.742660252012382172e-01, 7.479871553805494067e+00, 2.329883181297478512e+00, 7.670578021328862128e-01, 1.048198353051960741e+00, 2.703680729739656452e-01, 4.838753344692410252e+00, 8.140517216840937875e-01
2.058000000000000000e+03, 9.882238656074533445e-01, 9.477740524698076152e-01, 5.780110389044648578e+00, 7.651276910289415145e-01, 6.648654607980741815e+00, 7.821801789310104391e-01, 7.571451671239031178e+00, 2.347667006424018599e+00, 7.735967261985563503e-01, 1.659063231396087357e+00, 4.439419301565690756e-01, 4.843912885220746034e+00, 7.874481019571311080e-01
2.059000000000000000e+03, 9.689112386841176594e-01, 9.970705351968736085e-01, 5.826464290464844709e+00, 6.685992849467901067e-01, 6.669784452242910611e+00, 7.820762835053801654e-01, 7.493872747483489860e+00, 2.306874015483546980e+00, 7.103665146701165778e-01, 1.394795363034454283e+00, 3.607414617242769572e-01, 4.856574253011773479e+00, 7.778334813589771191e-01
2.060000000000000000e+03, 9.334301762340180275e-01, 9.772501708453603664e-01, 5.756409309815899711e+00, 7.377262350632365351e-01, 6.428137213511002201e+00, 7.393347583908783660e-01, 7.541434753897014787e+00, 2.289819399282106538e+00, 6.995960267240763919e-01, 1.309520399183362604e+00, 2.187501083126725809e-01, 4.856925498982296752e+00, 7.692681771442199112e-01
2.061000000000000000e+03, 9.787558513017933226e-01, 9.245330587017419610e-01, 5.711397760798615053e+00, 7.187971545039723020e-01, 6.148243275093378202e+00, 6.756656793989366250e-01, 7.497520232450193056e+00, 2.318286602221173887e+00, 7.383420179681295936e-01, 1.218390917810727059e+00, 4.083388885874631447e-01, 4.875429058302287011e+00, 7.597174288708162804e-01
2.062000000000000000e+03, 1.031438618246085737e+00, 9.047767977666594241e-01, 5.753943383020902580e+00, 6.839109325959179531e-01, 6.423554337176982543e+00, 7.315195548312493079e-01, 7.479236129008073775e+00, 2.345303545519110688e+00, 7.638440803505888166e-01, 1.051822181481096186e+00, 3.827249452842599320e-01, 4.903640100970820370e+00, 7.590437305764101694e-01
