year, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, GFDL-ESM4, TaiESM1, NorESM2-MM, CNRM-ESM2-1
2.015000000000000000e+03, 9.762149453062965924e-11, 1.613248588369781191e-10, 2.914463487470266537e-10, 7.651226513016253120e-10, 1.278282260499008690e-10, 2.582178250733101671e-10, 1.216155243839749303e-10, 2.174352228026760288e-10, 1.650304873118890714e-10, 2.582178250733101671e-10, 2.914463487470266537e-10, 1.278282260499008690e-10
2.016000000000000000e+03, 1.103431955518148165e-10, 1.520433383143424108e-10, 3.644696323919281814e-10, 7.993800682511632572e-10, 1.292469570515583363e-10, 2.378564033485074427e-10, 2.242261159961678704e-10, 2.828479314955699398e-10, 1.556230201022164529e-10, 2.378564033485074427e-10, 3.644696323919281814e-10, 1.292469570515583363e-10
2.017000000000000000e+03, 9.960109231076365961e-11, 1.252359497729665291e-10, 3.627630904162858388e-10, 6.155878772043334373e-10, 1.306489430570152847e-10, 2.480359665977165374e-10, 2.071079583616858538e-10, 3.353279589180879082e-10, 1.288574815669192912e-10, 2.480359665977165374e-10, 3.627630904162858388e-10, 1.306489430570152847e-10
2.018000000000000000e+03, 1.028053634928386520e-10, 1.692958031811164815e-10, 4.307456905248533030e-10, 1.305750917448802656e-09, 1.075347835040823830e-10, 2.272028723056169781e-10, 2.450778609130579617e-10, 3.972891561376102671e-10, 1.729818167192044312e-10, 2.272028723056169781e-10, 4.307456905248533030e-10, 1.075347835040823830e-10
2.019000000000000000e+03, 1.117118124946073032e-10, 1.240192233657046906e-10, 3.158318810025551900e-10, 5.344761008271664436e-10, 1.849030556720018029e-10, 2.241927829597034190e-10, 2.343407192173507502e-10, 2.249220144697263206e-10, 1.275792066721296725e-10, 2.241927829597034190e-10, 3.158318810025551900e-10, 1.849030556720018029e-10
2.020000000000000000e+03, 9.653027862058899167e-11, 1.382195504102517026e-10, 3.687660731482537311e-10, 1.022955658441443096e-09, 9.441157607550726168e-11, 1.864301756413097430e-10, 1.597559234366951715e-10, 2.739034227268855095e-10, 1.418631392422621742e-10, 1.864301756413097430e-10, 3.687660731482537311e-10, 9.441157607550726168e-11
2.021000000000000000e+03, 1.002027925276083356e-10, 1.259966971275091200e-10, 1.709544376874824578e-10, 1.099092772687587679e-09, 1.608153580691013653e-10, 2.002322998490713840e-10, 1.861446962250130173e-10, 2.104515539124339234e-10, 1.297568857578873093e-10, 2.002322998490713840e-10, 1.709544376874824578e-10, 1.608153580691013653e-10
2.022000000000000000e+03, 9.928587722891674648e-11, 1.451354690253952114e-10, 2.185720150396028303e-10, 9.011552128174325684e-10, 1.354576225168173290e-10, 2.348955956735599973e-10, 1.847670831236690609e-10, 1.410093103774820779e-10, 1.488154346438397751e-10, 2.348955956735599973e-10, 2.185720150396028303e-10, 1.354576225168173290e-10
2.023000000000000000e+03, 1.177524032161856482e-10, 1.650214633817414879e-10, 2.404711776341222915e-10, 1.150663904220419867e-09, 1.718046110661507935e-10, 2.757306810768036290e-10, 1.545464598615325736e-10, 1.706933446492755942e-10, 1.688094672363341532e-10, 2.757306810768036290e-10, 2.404711776341222915e-10, 1.718046110661507935e-10
2.024000000000000000e+03, 8.973705440088072533e-11, 1.760793706738470334e-10, 2.830452190598543566e-10, 9.551909672675542916e-10, 1.842267585676966613e-10, 2.189404000540870853e-10, 1.507306589277541536e-10, 2.567068257537773875e-10, 1.797409386735020124e-10, 2.189404000540870853e-10, 2.830452190598543566e-10, 1.842267585676966613e-10
2.025000000000000000e+03, 9.656933961533664177e-11, 1.224311112898673631e-10, 3.289151126302057565e-10, 8.842510333821115265e-10, 1.526733885873732164e-10, 1.942640698445368519e-10, 1.095470939899172905e-10, 2.549865675290677235e-10, 1.261502689563841545e-10, 1.942640698445368519e-10, 3.289151126302057565e-10, 1.526733885873732164e-10
2.026000000000000000e+03, 1.197087069449643419e-10, 1.323701556567353910e-10, 2.714155278573793105e-10, 5.679783921476997048e-10, 1.232423969967554486e-10, 2.881293420953633386e-10, 2.125169670285718463e-10, 1.276460528453054731e-10, 1.359365631894197440e-10, 2.881293420953633386e-10, 2.714155278573793105e-10, 1.232423969967554486e-10
