year, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, GFDL-ESM4, NorESM2-MM, ACCESS-ESM1-5, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.050000000000000000e+03, 1.496968641193924476e+00, 1.651582175048388779e+00, 4.609646237067162922e+00, 1.128001247371827942e+00, 1.525251341267433114e+00, 9.608183953230289287e-01, 1.519504748115028780e+00, 1.764298025625202548e+00, 1.653763714792294115e+00, 1.941842194250783304e+00, 1.647248945723877700e+00, 2.722451019765580238e+00, 2.534457632337851152e+00, 1.688778952836569536e+00, 2.056366629123967282e+00, 1.571444792407469260e+00
2.051000000000000000e+03, 1.472381819671164438e+00, 1.572938743470822409e+00, 4.718475247237498671e+00, 9.837813679579213710e-01, 1.558778277823956948e+00, 9.224512836567404506e-01, 1.514015836348178157e+00, 2.076171771694168555e+00, 1.644378128241881676e+00, 1.809032024503582026e+00, 1.550487224272982356e+00, 2.943865531815906600e+00, 2.534139695404955539e+00, 1.267416216195487610e+00, 1.869451688382535393e+00, 1.624600519968612211e+00
2.052000000000000000e+03, 1.866185587990581096e+00, 1.727375253069006744e+00, 4.694081240311745340e+00, 1.125021240889810370e+00, 1.667512873348682145e+00, 1.093138892525856942e+00, 1.530273749237780478e+00, 1.790340039562485552e+00, 1.713253403373831585e+00, 1.934216732421238039e+00, 1.673000678951808151e+00, 3.064196746069151267e+00, 2.812792771005826253e+00, 1.707642441752875717e+00, 1.954037005258122406e+00, 1.529895497601563958e+00
2.053000000000000000e+03, 1.591014653763563658e+00, 1.361038592269347980e+00, 4.389186110874826241e+00, 1.265473394812385299e+00, 1.665193729087947494e+00, 1.167832231687225386e+00, 1.464299617531024555e+00, 1.980171992722385976e+00, 2.037734072840661881e+00, 1.940786929346201894e+00, 1.856897580227259814e+00, 3.041992759688548098e+00, 2.652926177491574666e+00, 1.512154361697791050e+00, 2.220558748650036218e+00, 1.517775036836806146e+00
2.054000000000000000e+03, 1.683276029843515875e+00, 1.600935707905608352e+00, 4.338761951615067503e+00, 1.027755228650552910e+00, 1.467421415545577812e+00, 1.098228165159658820e+00, 1.277544695204324787e+00, 1.901732663665857137e+00, 1.894045363935404680e+00, 1.968130466294810699e+00, 1.652914479402594505e+00, 3.198328568147363882e+00, 2.628244903315222203e+00, 1.506989793480808082e+00, 2.346223475388654389e+00, 1.348919367688522275e+00
2.055000000000000000e+03, 1.859273815107722827e+00, 1.554261642735359938e+00, 4.250713160868752283e+00, 1.017453725198777637e+00, 1.645474917140903104e+00, 1.165976434101721138e+00, 1.618712787186058710e+00, 1.757254539253744197e+00, 1.311321400821123806e+00, 1.821183015772086966e+00, 1.501948500754890503e+00, 3.105766981744318311e+00, 2.820801763824796193e+00, 1.690342931504185797e+00, 1.863165745857696232e+00, 1.478206161489534320e+00
2.056000000000000000e+03, 1.378076735467195446e+00, 1.730705013140903858e+00, 4.374402675459044154e+00, 1.168560994015588772e+00, 1.682089790170044452e+00, 1.081778222868212014e+00, 1.804587923653224291e+00, 1.879157955039623351e+00, 1.912698390331387888e+00, 1.766293401511966232e+00, 1.631023545913301120e+00, 2.942851721595083792e+00, 2.530608144812621418e+00, 1.523881831615829574e+00, 2.151501366786798375e+00, 1.479116321119534394e+00
2.057000000000000000e+03, 1.674065576977679548e+00, 1.988233862904146498e+00, 4.626744637956845096e+00, 1.120478335911802015e+00, 1.549694746072628249e+00, 8.789862737141866944e-01, 1.524883157953880852e+00, 1.853356955278218088e+00, 1.997182451329919006e+00, 1.942089124893321417e+00, 1.673524932456355696e+00, 2.922625139586408238e+00, 2.929506743004303804e+00, 1.676498285956271816e+00, 2.027364521936620978e+00, 1.320967993241604743e+00
2.058000000000000000e+03, 1.425955359679549783e+00, 1.531506540785014359e+00, 4.259506523790426158e+00, 1.306364310852256905e+00, 1.557622773869556054e+00, 9.364438526956914144e-01, 1.451532889115268121e+00, 1.841552498260737414e+00, 1.344879378817069648e+00, 2.016938840616509410e+00, 1.530202932648530023e+00, 2.981915279980738465e+00, 2.709086613441779257e+00, 1.365689986550912449e+00, 2.340285059208650598e+00, 1.359117467045068972e+00
2.059000000000000000e+03, 1.384233958718108504e+00, 1.783892917770128594e+00, 4.456797080430827229e+00, 1.086555786333820217e+00, 1.593968291232615186e+00, 9.773478364996062151e-01, 1.780862704696849041e+00, 1.863712884026452077e+00, 1.852266870827977252e+00, 1.851872956844308638e+00, 1.744668138051039818e+00, 3.111663934621538008e+00, 2.608630980403250366e+00, 1.587127587958956365e+00, 1.842022547062192483e+00, 1.202668913316292443e+00
2.060000000000000000e+03, 1.740565168683493757e+00, 1.422180333620230108e+00, 4.797466613290458426e+00, 1.018579868047754911e+00, 1.679603682732274672e+00, 9.311636751822047753e-01, 1.519938673273564689e+00, 1.965801578449599463e+00, 1.806929178199139452e+00, 2.005916721462794428e+00, 1.879661708106757478e+00, 3.103899066891806502e+00, 2.832521280944575892e+00, 1.827739151470061829e+00, 1.892191583202686100e+00, 1.471756440532247634e+00
2.061000000000000000e+03, 1.832598510551567195e+00, 1.590684647310861122e+00, 4.401364828691672670e+00, 1.075861758971864202e+00, 1.542352037095660489e+00, 8.890927652437011774e-01, 1.608257279424734287e+00, 2.256329939966483344e+00, 1.969864827877062963e+00, 1.952145233707842431e+00, 1.763939834911052218e+00, 3.193730638039998571e+00, 2.963564225789564244e+00, 1.487533648352113325e+00, 2.094735697720289114e+00, 1.414497279111696981e+00
2.062000000000000000e+03, 1.585387906057462493e+00, 1.684567856714402900e+00, 4.441044099532603262e+00, 1.166163386399017288e+00, 1.489696609283733153e+00, 9.457123976837632506e-01, 1.782954496594699734e+00, 2.017954498044030043e+00, 2.089946045012722298e+00, 1.954997997494018591e+00, 1.721211699660059047e+00, 2.998527505051596265e+00, 2.446249795796465509e+00, 1.487256478979900987e+00, 2.278598693472604797e+00, 1.331227142229714611e+00
2.063000000000000000e+03, 1.550701358844953637e+00, 1.686927454731833587e+00, 4.419677788479809522e+00, 1.301330012604709596e+00, 1.512224344457507419e+00, 9.655697356873653714e-01, 1.585628259334718626e+00, 2.111754028846918096e+00, 1.865182631251792511e+00, 1.811754773555289910e+00, 1.475410228633081244e+00, 3.226103086624477090e+00, 2.685461996870341483e+00, 1.819652925882644379e+00, 2.501993090567363964e+00, 1.418351325679855224e+00
2.064000000000000000e+03, 1.605461465409758315e+00, 1.525091009044986956e+00, 4.331306507795313010e+00, 1.221968927013028505e+00, 1.598292133892801781e+00, 1.117323304930416095e+00, 1.411861504882287788e+00, 2.242018037990770818e+00, 1.478006826623124326e+00, 1.713401910519830373e+00, 1.807870919819426048e+00, 3.135430187766167442e+00, 2.799142542590409288e+00, 1.336251578451079114e+00, 2.140086877365060758e+00, 1.483084011889056697e+00
2.065000000000000000e+03, 1.531913015020302193e+00, 1.488027023652532810e+00, 4.601535459706161291e+00, 1.134560548346008169e+00, 1.656281963975174243e+00, 1.143172295429650154e+00, 1.627328313807808957e+00, 1.802247632178587633e+00, 1.553099161627094604e+00, 1.894845773248997167e+00, 1.873804755349439466e+00, 3.002844652375631807e+00, 2.764304734620214976e+00, 1.761196191265053113e+00, 2.328129824127027625e+00, 1.311650831095403813e+00
2.066000000000000000e+03, 1.564515821750783742e+00, 1.553295449408635065e+00, 4.252539842349849053e+00, 1.124686559193450952e+00, 1.589644972589556726e+00, 9.524035676453124211e-01, 1.610101708485812244e+00, 1.940887828023742268e+00, 2.342971244720970514e+00, 2.075698347381114139e+00, 1.502870752817578648e+00, 2.847266396904018393e+00, 2.645124316542469600e+00, 1.523350281473452528e+00, 2.236617840734874019e+00, 1.505967963494010187e+00
2.067000000000000000e+03, 1.657527594342341981e+00, 1.988134457287762391e+00, 4.352814869232944694e+00, 1.167159028031115486e+00, 1.431990771008569086e+00, 1.006535178497750316e+00, 1.491381016983914121e+00, 1.900563877667818202e+00, 2.162533953304814016e+00, 1.925829706577133704e+00, 1.778460362150662721e+00, 3.285508396389661190e+00, 2.696354030922568423e+00, 1.646401468869397755e+00, 1.972293349791735873e+00, 1.513405516626191716e+00
2.068000000000000000e+03, 1.851547993074875054e+00, 1.307741432278529015e+00, 4.429505255768357408e+00, 1.141259434574731779e+00, 1.617391829250597768e+00, 1.009110117501575754e+00, 1.334462793872778885e+00, 2.062825090265845596e+00, 1.776350626333948357e+00, 1.878621092813919313e+00, 1.698411382775463663e+00, 2.900174729109854077e+00, 2.571108740083004829e+00, 1.496867583680539182e+00, 2.242341410928440748e+00, 1.541868622907915709e+00
2.069000000000000000e+03, 1.745315927838721581e+00, 1.351084782165420606e+00, 4.270547386566863501e+00, 1.167431437640756187e+00, 1.778095170797505453e+00, 1.065344631163174238e+00, 1.590092050227338349e+00, 2.037788691413269682e+00, 1.769840211800411511e+00, 2.001114628258031214e+00, 1.549111231378885511e+00, 2.973793228444059356e+00, 2.485658744157566602e+00, 1.650808321920345989e+00, 2.072262559266586646e+00, 1.502469358678769851e+00
2.070000000000000000e+03, 1.474445777273706737e+00, 1.954386053038245530e+00, 4.505104060596619497e+00, 1.346807740362251149e+00, 1.578870768324512674e+00, 1.044083305038000953e+00, 1.595289796590915632e+00, 2.397128207238987230e+00, 1.863022183128638209e+00, 1.963898175854155381e+00, 1.594821736152869374e+00, 3.246917993823376314e+00, 2.718599745592168659e+00, 1.713519736160586060e+00, 2.127718611062924037e+00, 1.417641003704320779e+00
2.071000000000000000e+03, 1.930162373706037382e+00, 1.840895918493755223e+00, 4.427552611557111995e+00, 1.231087655455822327e+00, 1.460575307350361784e+00, 1.095426880414515525e+00, 1.607213013261562518e+00, 1.954453029149257448e+00, 1.681800746630345289e+00, 2.097875218611975345e+00, 1.794392728936299752e+00, 3.338066260045537081e+00, 2.322976700897678271e+00, 1.457315822477717182e+00, 2.066738805122276368e+00, 1.552721239684275556e+00
2.072000000000000000e+03, 2.076515871644381228e+00, 1.468579624220477386e+00, 4.402382038294232913e+00, 1.363893706391709593e+00, 1.598270361681970231e+00, 1.102430635589076280e+00, 1.860339370201540721e+00, 2.118173318816003015e+00, 1.963387765159374299e+00, 1.960455560067608571e+00, 1.664357391274873477e+00, 2.862445848166052631e+00, 2.480787931715253247e+00, 1.457257926225084210e+00, 2.040935417325038692e+00, 1.454548426204959943e+00
2.073000000000000000e+03, 1.733374168511573776e+00, 1.403316720670473527e+00, 4.595479270860571397e+00, 1.135854168493322991e+00, 1.703183804935868739e+00, 9.425142614476931247e-01, 1.726559186749050623e+00, 2.194924718750875581e+00, 1.802930277290693439e+00, 1.988937937146452839e+00, 1.613015762911643503e+00, 3.013137195787282785e+00, 2.935849913255979882e+00, 1.690711205267268813e+00, 2.140515618843014778e+00, 1.417636501945620964e+00
2.074000000000000000e+03, 1.527451253355057048e+00, 1.592202432828943026e+00, 4.425714234103870659e+00, 1.100157327607595326e+00, 1.818717999339156233e+00, 8.689765210251645389e-01, 1.466387732425658674e+00, 2.021726271335209546e+00, 1.990887488056672039e+00, 1.862694085934448074e+00, 1.699585274917937427e+00, 2.925791141111511173e+00, 2.973294081801072242e+00, 1.814380444214614974e+00, 2.395682410263928919e+00, 1.368771309172579054e+00
2.075000000000000000e+03, 1.382830041180815206e+00, 1.724492606077329793e+00, 4.394291991049346535e+00, 1.184855333450014703e+00, 1.607751795585247834e+00, 1.105948599079472183e+00, 1.631244098659010433e+00, 1.936871892129575778e+00, 2.020298436669724751e+00, 1.941762199679555767e+00, 1.890034636897207410e+00, 2.910158409482464847e+00, 2.708027652850921285e+00, 1.428771835823179570e+00, 2.203293192087342867e+00, 1.558595113135564203e+00
2.076000000000000000e+03, 1.574271188946518629e+00, 1.811127317101909995e+00, 4.458237179569342068e+00, 1.248425866664762962e+00, 1.664191200884263644e+00, 9.820676003685129274e-01, 1.405568663451297384e+00, 1.918110771372419476e+00, 2.020932315436515303e+00, 1.976966799102822137e+00, 1.784691735006189717e+00, 3.277440259518213050e+00, 2.375571330822694005e+00, 1.675557321743640582e+00, 2.145619431823711842e+00, 1.463518389690204202e+00
