year, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, GFDL-ESM4, NorESM2-MM, ACCESS-ESM1-5, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.015000000000000000e+03, 1.676958589780292552e+00, 1.596370516573889731e+00, 3.847419234321747705e+00, 1.087658940010498343e+00, 1.308614699295076900e+00, 9.017297048469300469e-01, 1.293031184615855977e+00, 1.614306341492143249e+00, 1.171400406513773307e+00, 1.692293057435129811e+00, 1.525470738957922956e+00, 2.961535266695479063e+00, 2.328527702357769069e+00, 1.442956892238240529e+00, 1.794238619168582183e+00, 1.244962824028275739e+00
2.016000000000000000e+03, 1.489115577034193283e+00, 1.377073278832391834e+00, 3.973637993548068792e+00, 1.091041905975312476e+00, 1.348858823884386604e+00, 1.044256188383622552e+00, 1.460252783886976324e+00, 1.621299729448311799e+00, 1.523777079241397159e+00, 1.799634367094817167e+00, 1.627203002008088761e+00, 2.926734847501759162e+00, 2.492962100888681309e+00, 1.604685669102886569e+00, 1.850451788561088273e+00, 1.196409445959372375e+00
2.017000000000000000e+03, 1.083222824256649952e+00, 1.397574615143815535e+00, 3.949671298735908387e+00, 1.077092185177593198e+00, 1.454709605718561782e+00, 9.792109662570528394e-01, 1.316136408289807935e+00, 1.721535525098437658e+00, 1.790040142665894507e+00, 1.755963217505831286e+00, 1.730080588446895273e+00, 3.128878404567528637e+00, 2.189705791571509241e+00, 1.457119992248163021e+00, 1.925313909167218673e+00, 1.242659679051789645e+00
2.018000000000000000e+03, 1.470757285199903119e+00, 1.887563020896146915e+00, 3.966569434211438594e+00, 1.126850218978502349e+00, 1.329752497144677248e+00, 9.417014538939360024e-01, 1.287753748337070459e+00, 1.602078252501020206e+00, 1.429720438199218346e+00, 1.868107304601413388e+00, 1.589649036870474541e+00, 2.977337489634861889e+00, 2.394378941987167497e+00, 1.394884475800929780e+00, 1.927734232053648133e+00, 1.138485753423496449e+00
2.019000000000000000e+03, 1.405549121582804428e+00, 1.398115131220708074e+00, 3.804404248678438183e+00, 1.288644703609951092e+00, 1.480236040651178753e+00, 9.477807157529878346e-01, 1.463093082926329336e+00, 1.751746237594052458e+00, 1.502924534837352111e+00, 1.653321443776532451e+00, 1.696164404154669070e+00, 2.719673002506930448e+00, 2.437866844883501916e+00, 1.431396679250380943e+00, 1.512750929307266956e+00, 1.231652495686735849e+00
2.020000000000000000e+03, 1.208684695913256002e+00, 1.977544530309321980e+00, 4.192595754155863830e+00, 9.976894042474486746e-01, 1.301452265698295196e+00, 8.632116784588083069e-01, 1.424127002568888134e+00, 1.806993289599965857e+00, 1.446093433914065640e+00, 1.761218617168174516e+00, 1.570017816643827446e+00, 2.818451258173974683e+00, 2.500820021884933908e+00, 1.693789977225279131e+00, 1.458530082877831813e+00, 1.354422210430257900e+00
2.021000000000000000e+03, 1.451396452855939101e+00, 1.641446097262137638e+00, 4.269979827210618417e+00, 1.024936075351482456e+00, 1.438752125769038326e+00, 8.994437211024588485e-01, 1.385735531454786340e+00, 1.662484834189096317e+00, 1.434063529852804830e+00, 1.795860644871122513e+00, 1.932203604941611808e+00, 2.943592760109563944e+00, 2.327330977698818693e+00, 1.416585340046605079e+00, 1.486890689372466490e+00, 1.254832095927598923e+00
2.022000000000000000e+03, 1.483627307416929053e+00, 1.853711735211947431e+00, 4.170299631278586716e+00, 1.168963371093523440e+00, 1.504233349827509558e+00, 9.701309499371917333e-01, 1.526183423810082207e+00, 1.648225793228515812e+00, 1.888368201854983663e+00, 1.727542692721883100e+00, 1.502460635937376443e+00, 3.026641378665007487e+00, 2.734516339790156625e+00, 1.450170291419477842e+00, 1.688940945484589840e+00, 1.215897455584190157e+00
2.023000000000000000e+03, 1.528340309921567330e+00, 1.850986300769116966e+00, 4.108830395681065895e+00, 1.185521181577007699e+00, 1.470801113286879902e+00, 9.297035483277779067e-01, 1.445121158728981614e+00, 1.615632498266993622e+00, 1.828628217962927849e+00, 1.808417129335917695e+00, 1.542382827765124365e+00, 2.968811097388209141e+00, 2.458889382165855508e+00, 1.488706653280333692e+00, 1.962241068505684582e+00, 1.270937944270037923e+00
2.024000000000000000e+03, 1.758991399693049296e+00, 1.437498051436827406e+00, 4.023879273435809090e+00, 1.163505576620521342e+00, 1.358717181760762616e+00, 9.438327830355928150e-01, 1.299838673961432711e+00, 1.630203204813734708e+00, 1.902033376065825676e+00, 1.828237723896982692e+00, 1.757964317655621667e+00, 3.066648281836855006e+00, 2.557458190973747936e+00, 1.592282876977998862e+00, 1.966193156165982447e+00, 1.304504285208476499e+00
2.025000000000000000e+03, 1.303265804573946696e+00, 1.644620059671048962e+00, 4.141453574795527892e+00, 1.037690485786814110e+00, 1.238253595549499542e+00, 1.043543573869072372e+00, 1.459303482180909661e+00, 1.598096904866670220e+00, 1.428148637164107226e+00, 1.814921216338987398e+00, 1.575335447548601886e+00, 3.267971530230748378e+00, 2.776326786108255895e+00, 1.545737533232859784e+00, 2.097633196204164996e+00, 1.426766248337143050e+00
2.026000000000000000e+03, 1.288145926458457158e+00, 1.627662827601185302e+00, 4.082087769319734605e+00, 1.114264637462557328e+00, 1.418352831368024258e+00, 1.023369278682824790e+00, 1.612329819967045941e+00, 1.789313517079796911e+00, 1.331944299121721187e+00, 1.882104152816012954e+00, 1.580554261597094223e+00, 2.979519237006175825e+00, 2.571814887416870032e+00, 1.379332601967923289e+00, 1.712527807303435790e+00, 1.358892252318601557e+00
2.027000000000000000e+03, 1.730046723518301910e+00, 1.544523166502948852e+00, 4.106119112642332425e+00, 1.125465961995024466e+00, 1.391687514740825193e+00, 9.909104607213793381e-01, 1.361164120898541441e+00, 1.956911139212230255e+00, 1.587303829871413940e+00, 1.855724693035892825e+00, 1.441147067082461541e+00, 2.902999129826618674e+00, 2.614590369064870412e+00, 1.716314411053539324e+00, 2.202014683874693457e+00, 1.506198523120181765e+00
2.028000000000000000e+03, 1.535843918443416944e+00, 1.580925908885311371e+00, 4.086429548772026799e+00, 1.011708886919674422e+00, 1.532171195504216765e+00, 9.698582061226814766e-01, 1.525099786486697973e+00, 1.880315388065620263e+00, 1.640058218065567397e+00, 1.873913883684497073e+00, 1.403416228501481067e+00, 2.882588689065236576e+00, 2.491952913633962208e+00, 1.504921965912065396e+00, 2.036840886251180649e+00, 1.207559581669776394e+00
2.029000000000000000e+03, 1.305920870923713561e+00, 1.826519537554460060e+00, 4.037140951813912970e+00, 1.071416052473879388e+00, 1.565583358342202080e+00, 9.319696069643695902e-01, 1.476505368215180303e+00, 1.777991105855577736e+00, 1.901401013536191398e+00, 1.861199642561348622e+00, 1.585858631438649358e+00, 2.906000034995734893e+00, 2.694814646840099748e+00, 1.378422062095381539e+00, 1.940808895443524529e+00, 1.369895964557965584e+00
2.030000000000000000e+03, 1.378639518684795284e+00, 1.824296633271562218e+00, 4.209848867963334129e+00, 8.759059414834011736e-01, 1.485839364881072155e+00, 9.280628069610525888e-01, 1.557983194825407924e+00, 1.842371043415136356e+00, 1.542932483073092831e+00, 1.866353290498823592e+00, 1.596371697961710634e+00, 3.005114638725809861e+00, 2.483238462103012356e+00, 1.516637603798910661e+00, 1.713312224982032284e+00, 1.518483228902081539e+00
2.031000000000000000e+03, 1.446528898918980399e+00, 1.372197584475163712e+00, 4.077546671075474194e+00, 1.066778192542101600e+00, 1.388930566462193150e+00, 9.825411480975649869e-01, 1.798520285903849159e+00, 1.841546869043338974e+00, 1.704923340114843588e+00, 2.056727154737586272e+00, 1.521270548585137217e+00, 2.815255261978367507e+00, 2.698210028346542444e+00, 1.533553156158197872e+00, 1.860775022273107648e+00, 1.320471695706973092e+00
2.032000000000000000e+03, 1.407498015936275104e+00, 1.465463310907049177e+00, 4.062382784615086173e+00, 1.076719695048050873e+00, 1.430673157083923508e+00, 9.273413671412551462e-01, 1.506360592311994928e+00, 1.823029521677015152e+00, 1.591997579374669902e+00, 1.999864309439264298e+00, 1.768983697149574708e+00, 2.710472111772816106e+00, 3.042551660758120669e+00, 1.705843040848349146e+00, 2.152179830218273082e+00, 1.330665677725250129e+00
2.033000000000000000e+03, 1.585610198650144742e+00, 1.447849175793622711e+00, 4.026431537189167464e+00, 9.128468289602617025e-01, 1.459450581477454101e+00, 9.784582117637882215e-01, 1.437833167911700682e+00, 1.816465392216764840e+00, 1.485144003649790490e+00, 1.919255735679497699e+00, 1.706220952313523442e+00, 3.060016537332031383e+00, 2.664399215504570151e+00, 1.531553573366591259e+00, 2.160790787386167366e+00, 1.542168103572750359e+00
2.034000000000000000e+03, 1.490215623439938852e+00, 1.679563745421018828e+00, 4.088295316205479146e+00, 1.059894663788294444e+00, 1.587508623845958589e+00, 8.839076784639364748e-01, 1.541504260571466167e+00, 1.851658789237499381e+00, 1.740942543976116808e+00, 1.718219457333128641e+00, 1.597441619425694403e+00, 3.021490781022290850e+00, 2.422616387996494591e+00, 1.359276370144112400e+00, 2.321317734692207146e+00, 1.412386323890518325e+00
2.035000000000000000e+03, 1.637882778464216260e+00, 1.741719054032302649e+00, 3.926328652223639359e+00, 1.012126751996577090e+00, 1.564512225167838277e+00, 9.826698757270565521e-01, 1.434874723071485114e+00, 1.639353786822236314e+00, 1.970903164973019095e+00, 1.838372024626607981e+00, 1.564006615022380586e+00, 3.146755505097087902e+00, 2.400940127076216957e+00, 1.526421406677165971e+00, 2.077875245792330627e+00, 1.389252964372374777e+00
2.036000000000000000e+03, 1.411641753033668456e+00, 1.987872784481653055e+00, 4.281355229639078885e+00, 9.640555472575698115e-01, 1.507960865088325608e+00, 1.141068705910780690e+00, 1.581240309028180802e+00, 1.839777053720084821e+00, 1.490752493310924631e+00, 2.024971780977914637e+00, 1.171836940143746952e+00, 2.970632497214703349e+00, 2.879401221207355643e+00, 1.533331883272844642e+00, 1.862732360764599582e+00, 1.404800960886973149e+00
2.037000000000000000e+03, 1.269480383153202219e+00, 1.634187959714255900e+00, 4.350564180203135400e+00, 9.803513998063329016e-01, 1.380434042215759050e+00, 1.162601260040138751e+00, 1.582343817466823843e+00, 1.749036779996047342e+00, 1.696629130214310166e+00, 1.943435480823917594e+00, 1.429680238579072560e+00, 2.985373168399140464e+00, 2.769476582724702318e+00, 1.713565485929563259e+00, 2.145431825205417642e+00, 1.244297942099755083e+00
2.038000000000000000e+03, 1.145351397215790490e+00, 1.943382827857353945e+00, 4.366294251685248540e+00, 1.171385219064167593e+00, 1.609663117818288081e+00, 1.011090338693040991e+00, 1.485795793689457023e+00, 1.859940234653124635e+00, 1.555301529167671060e+00, 1.936272294689374229e+00, 1.883440945480145512e+00, 2.953132707932751178e+00, 2.857340552766372888e+00, 1.623147250902659433e+00, 2.056261001228720353e+00, 1.286682817191679540e+00
2.039000000000000000e+03, 1.898951604116371428e+00, 1.356248529385687851e+00, 4.321495170328202740e+00, 1.129036625686363315e+00, 1.458426555507498446e+00, 1.076313287798526641e+00, 1.537466451241214838e+00, 2.003448443638487841e+00, 1.400507364547305178e+00, 1.978657633247185244e+00, 1.783418715157144563e+00, 2.813260226466270719e+00, 2.728041826005474402e+00, 1.445799723396677949e+00, 2.333254530852010067e+00, 1.404204077197895639e+00
2.040000000000000000e+03, 1.683501424635669652e+00, 1.820403122538856389e+00, 4.331890116876335739e+00, 1.031447865834439481e+00, 1.460881966074679239e+00, 9.960210544118115461e-01, 1.391908447352467881e+00, 1.895115695669684408e+00, 1.561164796808263810e+00, 1.971416547497271798e+00, 1.647994093640718249e+00, 3.365209254796778016e+00, 2.589019650862805833e+00, 1.414739703247076985e+00, 2.135600402517163321e+00, 1.399514511293369123e+00
2.041000000000000000e+03, 1.439766590102012245e+00, 1.427768826221284426e+00, 4.398521877170201932e+00, 1.066385773294503458e+00, 1.472656665337170434e+00, 9.936900175435912086e-01, 1.596484585989093707e+00, 1.578395615316702250e+00, 2.247323293432348823e+00, 2.024993242264142346e+00, 1.790953817483842636e+00, 3.106248885084606393e+00, 2.772923122768790272e+00, 1.665306955875895056e+00, 2.101211443175147409e+00, 1.444190443858373696e+00
2.042000000000000000e+03, 1.600303818343238538e+00, 1.850815404553417309e+00, 4.069673295629989695e+00, 9.778245988035687564e-01, 1.459939134712082032e+00, 1.094418231195033009e+00, 1.489443547546264623e+00, 1.803062572058865332e+00, 1.371272904454245101e+00, 1.956241853606458747e+00, 1.511083524511956266e+00, 3.213633250094479976e+00, 2.661857570576181775e+00, 1.658978667998619594e+00, 2.016745303159560354e+00, 1.291082402526940287e+00
2.043000000000000000e+03, 1.717961200675254485e+00, 1.595623004208931217e+00, 4.124403211632116317e+00, 1.062150434479812500e+00, 1.467128649659452666e+00, 1.082994753166921065e+00, 1.471151785402658119e+00, 1.993939254692555174e+00, 1.758579269749663387e+00, 1.834859945727733477e+00, 1.714040643825891053e+00, 2.981907432904516320e+00, 2.716183866171285821e+00, 1.357957770180455048e+00, 1.885691844668848871e+00, 1.473305645357575910e+00
2.044000000000000000e+03, 1.792067092024313579e+00, 1.808267766728235415e+00, 4.610530524104119010e+00, 1.206852827924276284e+00, 1.470309550023201073e+00, 1.011518049160539334e+00, 1.574801559772793791e+00, 1.742266784298901250e+00, 1.801296052652604507e+00, 1.922222001910160127e+00, 1.703123569493063094e+00, 3.071503336832125175e+00, 2.821750006330553173e+00, 1.516618321508418576e+00, 1.830090813348747236e+00, 1.468030526661502133e+00
2.045000000000000000e+03, 1.247447376575503419e+00, 1.575060309617921428e+00, 4.496446195590995565e+00, 1.027546999114877790e+00, 1.400935047988377535e+00, 8.859600047101388043e-01, 1.538538096102269215e+00, 1.836932785020629622e+00, 1.565176952040882252e+00, 2.054640907609665668e+00, 1.851032861771046756e+00, 2.799171919056553826e+00, 2.827487730436070379e+00, 1.738225901730996892e+00, 2.202716316653000383e+00, 1.533017685583260015e+00
2.046000000000000000e+03, 1.842067203803603226e+00, 1.720402435201172198e+00, 4.404905477767660393e+00, 1.102558157393642713e+00, 1.431747826224743836e+00, 8.791325668176789288e-01, 1.425820644817919591e+00, 1.907563636418108111e+00, 1.557659705232858682e+00, 1.966645147424166629e+00, 1.936125995505465935e+00, 2.967324726569887883e+00, 2.538918367171312696e+00, 1.560754438236770847e+00, 2.070078722852668918e+00, 1.522994180321728619e+00
2.047000000000000000e+03, 1.458954434848230841e+00, 1.454340998081762315e+00, 4.517671962253305473e+00, 1.165299500675338162e+00, 1.406540487109869453e+00, 1.066399485631955857e+00, 1.449321311975298343e+00, 1.826292659890239145e+00, 1.707409843355426338e+00, 1.817560623457336044e+00, 1.852836261684424946e+00, 2.981520094328505177e+00, 2.691484125803292660e+00, 1.445084924158795303e+00, 1.958677578906745431e+00, 1.427221150273101591e+00
2.048000000000000000e+03, 1.495399256036272329e+00, 1.701062628621322181e+00, 4.528405864909597511e+00, 1.085784543714257477e+00, 1.704437372874864298e+00, 1.051244137207317797e+00, 1.462613053423252207e+00, 1.884142889620674000e+00, 1.763809977415353503e+00, 1.886218669702596218e+00, 1.980809677961554049e+00, 3.067345065096540146e+00, 2.489880636087565158e+00, 1.462969834578317974e+00, 1.974136659150519835e+00, 1.467905230578978815e+00
2.049000000000000000e+03, 1.731072401047103027e+00, 1.310993096904112587e+00, 4.432435142038993803e+00, 1.013662302642091451e+00, 1.614985154309392934e+00, 1.072094373870460027e+00, 1.396450174305190695e+00, 1.919341771273398667e+00, 1.767420676622660780e+00, 1.936511718764011514e+00, 1.665881222252942440e+00, 2.881212763448579128e+00, 2.718035837739154026e+00, 1.674874571305323467e+00, 1.911323452597939898e+00, 1.391538320217308833e+00
