year, GFDL-ESM4, CNRM-ESM2-1, TaiESM1, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, 1.613248588369781191e-10, 1.278282260499008690e-10, 2.582178250733101671e-10, 1.216155243839749303e-10, 2.914463487470266537e-10
2.016000000000000000e+03, 1.520433383143424108e-10, 1.292469570515583363e-10, 2.378564033485074427e-10, 2.242261159961678704e-10, 3.644696323919281814e-10
2.017000000000000000e+03, 1.252359497729665291e-10, 1.306489430570152847e-10, 2.480359665977165374e-10, 2.071079583616858538e-10, 3.627630904162858388e-10
2.018000000000000000e+03, 1.692958031811164815e-10, 1.075347835040823830e-10, 2.272028723056169781e-10, 2.450778609130579617e-10, 4.307456905248533030e-10
2.019000000000000000e+03, 1.240192233657046906e-10, 1.849030556720018029e-10, 2.241927829597034190e-10, 2.343407192173507502e-10, 3.158318810025551900e-10
2.020000000000000000e+03, 1.382195504102517026e-10, 9.441157607550726168e-11, 1.864301756413097430e-10, 1.597559234366951715e-10, 3.687660731482537311e-10
2.021000000000000000e+03, 1.259966971275091200e-10, 1.608153580691013653e-10, 2.002322998490713840e-10, 1.861446962250130173e-10, 1.709544376874824578e-10
2.022000000000000000e+03, 1.451354690253952114e-10, 1.354576225168173290e-10, 2.348955956735599973e-10, 1.847670831236690609e-10, 2.185720150396028303e-10
2.023000000000000000e+03, 1.650214633817414879e-10, 1.718046110661507935e-10, 2.757306810768036290e-10, 1.545464598615325736e-10, 2.404711776341222915e-10
2.024000000000000000e+03, 1.760793706738470334e-10, 1.842267585676966613e-10, 2.189404000540870853e-10, 1.507306589277541536e-10, 2.830452190598543566e-10
2.025000000000000000e+03, 1.224311112898673631e-10, 1.526733885873732164e-10, 1.942640698445368519e-10, 1.095470939899172905e-10, 3.289151126302057565e-10
2.026000000000000000e+03, 1.323701556567353910e-10, 1.232423969967554486e-10, 2.881293420953633386e-10, 2.125169670285718463e-10, 2.714155278573793105e-10
2.027000000000000000e+03, 1.157896897027406111e-10, 1.207306682420565223e-10, 2.391529693705785146e-10, 1.507366441628001201e-10, 2.076227954625423837e-10
2.028000000000000000e+03, 1.190193840473143687e-10, 1.393889554451933044e-10, 2.300888275509019053e-10, 2.525391970735390024e-10, 1.814558710975635886e-10
2.029000000000000000e+03, 9.738195356991331575e-11, 1.578736671077531708e-10, 3.362970212365696459e-10, 1.763741718458887154e-10, 2.014597192384548134e-10
2.030000000000000000e+03, 1.124834116303558617e-10, 1.583916778587903250e-10, 3.016624509545059143e-10, 1.919802583901540041e-10, 2.450385830279504109e-10
2.031000000000000000e+03, 1.065334294411382397e-10, 1.846827795659408554e-10, 2.248236728425953613e-10, 2.407326766839836275e-10, 3.813583491389365761e-10
