year, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4
2.015000000000000000e+03, 8.205824356154121282e-11, 5.895832833563517954e-10, 1.396517587389634521e-10
2.016000000000000000e+03, 9.306331985147132332e-11, 5.846216990477615878e-10, 1.260102627089142535e-10
2.017000000000000000e+03, 8.879402147547794255e-11, 5.987724717685015335e-10, 1.139467356892834268e-10
2.018000000000000000e+03, 9.112121947375385710e-11, 5.995559857708889533e-10, 1.056713774455677342e-10
2.019000000000000000e+03, 8.467909420450442416e-11, 5.103545233206974137e-10, 1.174580661018527221e-10
2.020000000000000000e+03, 9.745475121423140940e-11, 4.150285659784507299e-10, 1.496366128442777852e-10
2.021000000000000000e+03, 9.911681160260626247e-11, 4.499522715709595633e-10, 9.615071760716549033e-11
2.022000000000000000e+03, 8.800975387632493260e-11, 4.745188243410961195e-10, 9.761273508730117972e-11
2.023000000000000000e+03, 8.648239499362746627e-11, 5.607417487229772795e-10, 1.111130000597746346e-10
2.024000000000000000e+03, 8.914201917707104880e-11, 6.033382011624964222e-10, 1.190783884291509346e-10
2.025000000000000000e+03, 8.396151709641847619e-11, 6.490269657861505989e-10, 1.280052039236850176e-10
2.026000000000000000e+03, 8.349332453853785732e-11, 5.455607081214897704e-10, 1.139996934633903057e-10
2.027000000000000000e+03, 9.482324828133695039e-11, 6.160469907629231438e-10, 1.161967293867635486e-10
2.028000000000000000e+03, 1.060797348307130214e-10, 6.696639634355411313e-10, 1.420514021322102789e-10
2.029000000000000000e+03, 9.246885495872814301e-11, 6.233122813458734327e-10, 1.205911604236282897e-10
2.030000000000000000e+03, 8.906471793734039352e-11, 5.420913272456375216e-10, 1.235270929309470475e-10
2.031000000000000000e+03, 9.663839416873158952e-11, 5.468624894401333896e-10, 1.159124427075298073e-10
2.032000000000000000e+03, 1.000750920059378407e-10, 6.571424061015422860e-10, 1.302697966239781034e-10
2.033000000000000000e+03, 8.981713759306320698e-11, 6.473194281015228232e-10, 1.411789842016962622e-10
2.034000000000000000e+03, 9.424973598933660828e-11, 7.473383602983379499e-10, 1.685218174661639532e-10
2.035000000000000000e+03, 9.039799668397087111e-11, 6.973461886923721683e-10, 1.320837274683070474e-10
2.036000000000000000e+03, 8.142025017745926111e-11, 5.881566751211982331e-10, 1.345854610124233038e-10
2.037000000000000000e+03, 9.036873578331648528e-11, 6.717902152064532584e-10, 1.303871316066031632e-10
2.038000000000000000e+03, 8.621711573340069972e-11, 6.671165171311422919e-10, 1.303517923769045309e-10
2.039000000000000000e+03, 9.233037603313376950e-11, 7.337594357975703624e-10, 1.449008491688051555e-10
2.040000000000000000e+03, 9.596886386889718109e-11, 7.463076323358522429e-10, 1.419496823324609445e-10
2.041000000000000000e+03, 8.301900610882611352e-11, 6.723140691232225296e-10, 1.197072886911551336e-10
2.042000000000000000e+03, 7.105976660115153790e-11, 6.666749970335161621e-10, 1.328581679127932395e-10
2.043000000000000000e+03, 8.305103537697502382e-11, 6.044661543705477279e-10, 1.129692757896217662e-10
2.044000000000000000e+03, 8.436108250995559170e-11, 5.758112333742138539e-10, 1.081531463123657618e-10
2.045000000000000000e+03, 7.381772221008417851e-11, 6.875750060649324808e-10, 1.322478530044280823e-10
2.046000000000000000e+03, 7.816035307764154557e-11, 6.672527811690067178e-10, 1.250218720571966893e-10
2.047000000000000000e+03, 8.739367215751388571e-11, 6.031168411937348107e-10, 1.186966996008588807e-10
2.048000000000000000e+03, 7.222417241826130629e-11, 6.361908068340608577e-10, 1.163355937764311089e-10
2.049000000000000000e+03, 7.000259772394052069e-11, 6.418833486641356670e-10, 1.091090672186306565e-10
2.050000000000000000e+03, 7.960642749332778616e-11, 6.272268261157062099e-10, 1.008864621419542095e-10
2.051000000000000000e+03, 8.023054843381252978e-11, 5.727144456732744889e-10, 1.127192543609349307e-10
2.052000000000000000e+03, 7.437087102746049914e-11, 5.819823061667190437e-10, 8.826903390128566868e-11
2.053000000000000000e+03, 7.077564041299572207e-11, 7.408557622842814884e-10, 1.023431755658103926e-10
2.054000000000000000e+03, 8.240123709304347681e-11, 7.453601864768579806e-10, 1.637284315855383487e-10
2.055000000000000000e+03, 6.934454737224788155e-11, 6.104712788219776343e-10, 9.958905046546963605e-11
2.056000000000000000e+03, 7.253860606281518992e-11, 6.423622353678212364e-10, 9.689395738008338206e-11
2.057000000000000000e+03, 7.980585576885359869e-11, 6.728927440649481762e-10, 1.397455873622362463e-10
2.058000000000000000e+03, 7.433370371361495902e-11, 7.373948574455948338e-10, 1.101992842042614909e-10
2.059000000000000000e+03, 6.891653707191397475e-11, 6.376221495341647381e-10, 1.228122447648051101e-10
2.060000000000000000e+03, 7.427524324077409267e-11, 6.106101364062139745e-10, 1.361258239708035673e-10
2.061000000000000000e+03, 8.003820014392665786e-11, 6.585487269066539719e-10, 8.497137287912850701e-11
2.062000000000000000e+03, 8.112408694281347642e-11, 7.274163286514644512e-10, 1.022912647134771111e-10
2.063000000000000000e+03, 7.531620679207073631e-11, 7.898741383439467970e-10, 1.291856181449415199e-10
2.064000000000000000e+03, 8.131322423893028127e-11, 7.064869691486282354e-10, 1.150913643561307599e-10
2.065000000000000000e+03, 8.061648713947124279e-11, 7.411845790664257117e-10, 1.262415084851132144e-10
2.066000000000000000e+03, 7.601303820357739496e-11, 7.292653003132380535e-10, 1.452853047676312857e-10
2.067000000000000000e+03, 6.872241633805937990e-11, 6.258956865325118230e-10, 1.001843775683696767e-10
2.068000000000000000e+03, 6.932135303956650296e-11, 6.872252164395189473e-10, 1.038847841133372404e-10
2.069000000000000000e+03, 7.540464824760863297e-11, 6.521430607617588642e-10, 1.135838012689220787e-10
2.070000000000000000e+03, 8.018166477345364743e-11, 6.980918792329758030e-10, 1.023907502530666556e-10
2.071000000000000000e+03, 7.743772771407207064e-11, 6.230668369294968662e-10, 1.288518677196372308e-10
2.072000000000000000e+03, 6.980364990596840305e-11, 6.620550503767602558e-10, 1.372201267476808531e-10
2.073000000000000000e+03, 8.463429357313719945e-11, 6.793604479370282591e-10, 1.312868036138292671e-10
2.074000000000000000e+03, 7.681130935451266992e-11, 7.745583147903960534e-10, 1.143050983465481106e-10
2.075000000000000000e+03, 7.229975940172853137e-11, 7.104816557809168573e-10, 9.001209963260465983e-11
2.076000000000000000e+03, 7.566360901057128702e-11, 6.941821946869410195e-10, 1.208609972776993534e-10
2.077000000000000000e+03, 7.874080592637756921e-11, 6.774637539487117919e-10, 1.187772004220030837e-10
2.078000000000000000e+03, 7.290527782360728683e-11, 6.326741748060911164e-10, 1.039357284999460440e-10
2.079000000000000000e+03, 7.149316438648505260e-11, 6.953254508878100708e-10, 1.430526210281840021e-10
2.080000000000000000e+03, 7.050012732796862569e-11, 6.383529430030526815e-10, 1.190941928590115458e-10
2.081000000000000000e+03, 7.173586958702084748e-11, 7.316277926539952065e-10, 1.241559233932626720e-10
2.082000000000000000e+03, 7.330377982786352640e-11, 7.063080487262363754e-10, 9.310150539148693194e-11
2.083000000000000000e+03, 7.086342535979477774e-11, 7.306811169010122226e-10, 9.351212426322477503e-11
2.084000000000000000e+03, 6.953141467509945671e-11, 6.860285320876654422e-10, 1.078705168533134441e-10
2.085000000000000000e+03, 7.014817839725030298e-11, 6.468714803348050100e-10, 1.259433865594966524e-10
