year, UKESM1-0-LL, EC-Earth3-Veg, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM
2.015000000000000000e+03, 1.493879729323767923e-04, 1.324355227885137647e-02, 1.576218836763899206e-02, 1.699828931265348897e-01, 3.745539373528906646e-01, 2.184123780946701232e-01, 8.295260020834378523e-01, 1.020104519823403111e+00, 5.898648421563585931e-01
2.016000000000000000e+03, 1.464309634928024880e-04, 1.308312921715175901e-02, 1.619238279116511775e-02, 1.725903159618100147e-01, 3.758173460587356240e-01, 2.647165567215354343e-01, 8.149945013409469752e-01, 1.007282130482420435e+00, 5.967013972714328984e-01
2.017000000000000000e+03, 1.500651529158020714e-04, 1.291239383692414748e-02, 1.616158880482261931e-02, 1.747458349147299195e-01, 3.807791236881955532e-01, 2.567170056370045028e-01, 8.280622721874455472e-01, 9.995846847594324069e-01, 5.970843254417927959e-01
2.018000000000000000e+03, 1.511048123486243445e-04, 1.273853390678957379e-02, 1.631235491584505023e-02, 1.757950756728609842e-01, 3.859893516940123281e-01, 2.518916366072251889e-01, 8.360661449503732356e-01, 9.952383741238983728e-01, 5.981268594890649659e-01
2.019000000000000000e+03, 1.464810763980741554e-04, 1.261076691682141634e-02, 1.681132101230991410e-02, 1.777261106034355720e-01, 3.901770780352447621e-01, 2.481383944134482600e-01, 8.250755025153464484e-01, 9.911996860867877679e-01, 6.029242971436159504e-01
2.020000000000000000e+03, 1.464726353418372492e-04, 1.245117742132269278e-02, 1.695006010364141780e-02, 1.793359687806535818e-01, 3.932068286994985229e-01, 2.447911952701158633e-01, 7.878443860099083595e-01, 9.807332980669701827e-01, 6.012895095682352364e-01
2.021000000000000000e+03, 1.618551333617550985e-04, 1.218966295624378596e-02, 1.656576303058008778e-02, 1.797840068805994784e-01, 3.952273371853445849e-01, 2.451261351788624476e-01, 7.757829362021865238e-01, 9.757412154150892913e-01, 6.026757455466709157e-01
2.022000000000000000e+03, 1.657741139238613542e-04, 1.198423785811969684e-02, 1.584699981101180336e-02, 1.809569213583581415e-01, 3.964588739503032699e-01, 2.456416489803555370e-01, 7.740072958058840102e-01, 9.735120193472291961e-01, 6.032099889381775659e-01
2.023000000000000000e+03, 1.525526360156198623e-04, 1.173144461367871087e-02, 1.523547524319508739e-02, 1.823403700507017500e-01, 3.971090193727031536e-01, 2.456046997454350567e-01, 7.972144853973549550e-01, 9.699096783478790007e-01, 5.974304297768946448e-01
2.024000000000000000e+03, 1.616594970613710179e-04, 1.155879217438591719e-02, 1.472647407274927517e-02, 1.838620918003250060e-01, 3.976535514861540554e-01, 2.453496758139869505e-01, 8.163035634834260312e-01, 9.676302447552636021e-01, 5.949637829897665986e-01
2.025000000000000000e+03, 1.518521279229763930e-04, 1.137417342670080794e-02, 1.382162819318341618e-02, 1.856169956038665747e-01, 3.984406698467066188e-01, 2.451546695104945550e-01, 8.387083813188015435e-01, 9.695826346176540378e-01, 5.987128116948062795e-01
2.026000000000000000e+03, 1.401098063322593948e-04, 1.115488629884963008e-02, 1.331163251638405737e-02, 1.859221212356116648e-01, 3.995351578797465830e-01, 2.426188503887759529e-01, 8.295730330318681345e-01, 1.042825608831539075e+00, 6.056738954400801012e-01
2.027000000000000000e+03, 1.380682742080057823e-04, 1.125684607239449755e-02, 1.283249750774227184e-02, 1.862473656274618583e-01, 3.977872156121668445e-01, 2.403559848518102005e-01, 8.202046453475186905e-01, 1.087554642066820731e+00, 6.004924154453776808e-01
2.028000000000000000e+03, 1.261194557751561178e-04, 1.141712784168182407e-02, 1.237220935484595677e-02, 1.871879076256230678e-01, 3.936217506551267231e-01, 2.378428445950657166e-01, 8.484533213738010282e-01, 1.119565812010898886e+00, 6.008661398432041389e-01
2.029000000000000000e+03, 1.274476213817068732e-04, 1.152154720931673065e-02, 1.196360190483600379e-02, 1.877684889124553447e-01, 3.902626476357961560e-01, 2.355145080324249629e-01, 8.435182427981430253e-01, 1.143437313401525435e+00, 6.056736407496344787e-01
2.030000000000000000e+03, 1.279358958169611387e-04, 1.175585521061455960e-02, 1.197591733646322272e-02, 1.882467561273640788e-01, 3.879595307908089707e-01, 2.333746553629003628e-01, 8.268204249133733752e-01, 1.161307803812726691e+00, 6.064019720747196862e-01
2.031000000000000000e+03, 1.285231450518552275e-04, 1.190029094707393230e-02, 1.222970236964818040e-02, 1.893119901499910329e-01, 3.861093220812151228e-01, 2.352830826716338086e-01, 8.109900357480627209e-01, 1.176866698948084267e+00, 6.160605558895370093e-01
2.032000000000000000e+03, 1.291972940564987450e-04, 1.201990213902517750e-02, 1.238300720373578662e-02, 1.905716536833268471e-01, 3.844197732800170852e-01, 2.374598133628336161e-01, 8.241857910478757043e-01, 1.190925801960282637e+00, 6.051063937646161683e-01
