year, CMCC-CM2-SR5, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, IPSL-CM6A-LR, CanESM5, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L
2.015000000000000000e+03, 4.161921460442559351e+01, 2.678857728386969939e+01, 3.770666743354099282e+01, 1.407511049310530638e+01, 1.058941168982966730e+01, 2.256778523146839177e+01, 1.401586323278130486e+01, 1.280684556260870011e+01, 1.309305652742186155e+01, 3.218528947115741090e+01, 1.426656692215142996e+01, 3.729056506801173398e+00, 1.398310192645670469e+01, 1.609304829030373085e+01
2.016000000000000000e+03, 4.176731237965121579e+01, 2.679045485309925212e+01, 3.777378857229255971e+01, 1.410330099019173744e+01, 1.061042422846760758e+01, 2.255563172039423492e+01, 1.405580414900505026e+01, 1.277226850907717193e+01, 1.310329804862404046e+01, 3.222193589243694589e+01, 1.430648423223339627e+01, 3.721241738330734350e+00, 1.398827643298845835e+01, 1.609324978446708343e+01
2.017000000000000000e+03, 4.178078610367281698e+01, 2.679483372647849393e+01, 3.784012022150435683e+01, 1.412908677476374564e+01, 1.062126294033872220e+01, 2.254126751672974294e+01, 1.409082435072686224e+01, 1.274782242770317531e+01, 1.313051776194433806e+01, 3.226100942720712084e+01, 1.434387067491983103e+01, 3.700447646646931599e+00, 1.402544518244530636e+01, 1.612483778793066236e+01
2.018000000000000000e+03, 4.178781931057787347e+01, 2.680750098637145129e+01, 3.786582294482928290e+01, 1.416427717218764037e+01, 1.061335607461829689e+01, 2.254562119719200908e+01, 1.413831835675978077e+01, 1.276513554918065907e+01, 1.315007491191880007e+01, 3.233525971615951278e+01, 1.437744632090303476e+01, 3.679289464120780284e+00, 1.404847437129599541e+01, 1.616118707473315652e+01
2.019000000000000000e+03, 4.189395104721356233e+01, 2.681628596467406922e+01, 3.787873935796974934e+01, 1.421338837782657727e+01, 1.062323923957060146e+01, 2.252990483063729954e+01, 1.418544684327257777e+01, 1.281867732094891466e+01, 1.316319529828246004e+01, 3.235179939144908445e+01, 1.440992633038873727e+01, 3.702069649731702938e+00, 1.411079339883273853e+01, 1.617876803213131609e+01
2.020000000000000000e+03, 4.194793393917139213e+01, 2.683503329751599153e+01, 3.791541251899864307e+01, 1.426359229039442589e+01, 1.062967370836070735e+01, 2.253773526444708608e+01, 1.421745787311224340e+01, 1.280416823832401896e+01, 1.317375991163288340e+01, 3.239647752920144796e+01, 1.443806977118262935e+01, 3.661021326084522354e+00, 1.409471630670998721e+01, 1.617383549786972807e+01
2.021000000000000000e+03, 4.204840666918591552e+01, 2.685440131309750100e+01, 3.792905694468002764e+01, 1.431210292336486845e+01, 1.062569224931915635e+01, 2.258124297270658687e+01, 1.425480160241579597e+01, 1.277411296957169817e+01, 1.317471196853333382e+01, 3.241380550645907022e+01, 1.447074714452038968e+01, 3.628254558813380104e+00, 1.407475319034774053e+01, 1.618682400541509026e+01
2.022000000000000000e+03, 4.208920331437842322e+01, 2.687154011141308274e+01, 3.798770250982362739e+01, 1.433764534793922252e+01, 1.063068888353059371e+01, 2.259119287279491672e+01, 1.429283198318752746e+01, 1.284192130144495714e+01, 1.317514551938560352e+01, 3.252224439377425824e+01, 1.451250322294411710e+01, 3.624994762062726306e+00, 1.404792776054113723e+01, 1.619702913038878478e+01
2.023000000000000000e+03, 4.205688539795986003e+01, 2.687575202139989727e+01, 3.802320032693240393e+01, 1.436204477466418261e+01, 1.063751268087384716e+01, 2.260003225486655509e+01, 1.431828853097857035e+01, 1.287689987824983184e+01, 1.318483164592488421e+01, 3.250915726239409054e+01, 1.456008107229104276e+01, 3.640629195327667933e+00, 1.408403739022881140e+01, 1.619395162642865671e+01
2.024000000000000000e+03, 4.196919454295931473e+01, 2.687238799878282336e+01, 3.806483852703909321e+01, 1.441319251507471044e+01, 1.065046690997405143e+01, 2.260213645119847925e+01, 1.435673354313744809e+01, 1.289747871086721531e+01, 1.318934904712450340e+01, 3.255239186842823784e+01, 1.459713384490390986e+01, 3.642251164231665506e+00, 1.412244345018881830e+01, 1.622234706024649498e+01
