year, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5, GFDL-ESM4, INM-CM4-8, EC-Earth3-Veg, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM
2.025000000000000000e+03, 4.209071214847799780e+00, 2.862773499109223518e+00, 3.946935422187572318e+00, 3.316165287955392671e+00, 2.976561537524788470e+00, 2.871036397706478560e+00, 5.890776406172578028e+00, 6.747223005120093653e+00, 1.925551687883388041e+00, 6.483157106971860983e+00, 4.939129153839258990e+00, 2.595843666629015445e+00, 2.166714031588186984e+00, 3.970975995045719298e+00, 5.484612024045391721e+00, 2.967841761715658500e+00
2.026000000000000000e+03, 3.726407995282960961e+00, 2.872885412406760874e+00, 2.929631481669034976e+00, 3.397146433223612760e+00, 3.371949542107929521e+00, 2.723181130461764798e+00, 5.019492840898386099e+00, 6.682978326276080239e+00, 2.046600159033823640e+00, 5.967934842303649567e+00, 5.382184861895412453e+00, 2.841184393356896543e+00, 2.137700362062552095e+00, 4.118020414040565846e+00, 5.160628676150083471e+00, 2.869221618981914190e+00
2.027000000000000000e+03, 4.308450679425337881e+00, 2.608920396871940106e+00, 3.131899224959423300e+00, 3.361226613057415324e+00, 3.042426477536445795e+00, 3.488882161889376388e+00, 6.089414118457859182e+00, 6.643202386684123439e+00, 2.082507313589097020e+00, 5.789307814064137858e+00, 5.567195544279015529e+00, 2.881444511894369676e+00, 2.088385023643310578e+00, 3.977891117334083848e+00, 5.265739154824339074e+00, 3.169498550051644159e+00
2.028000000000000000e+03, 4.283316011812731361e+00, 2.521466626555967760e+00, 3.236991869053457371e+00, 3.421675614573554736e+00, 3.207854045031785173e+00, 3.235454522996592086e+00, 5.980013896603670887e+00, 6.680256332308061040e+00, 1.881560276343387184e+00, 5.759727753449025656e+00, 5.541832732695700869e+00, 3.166385628688079823e+00, 2.060977864576479579e+00, 3.961458415480903827e+00, 5.055642705188486907e+00, 2.675919441259127396e+00
2.029000000000000000e+03, 3.863039394027374396e+00, 2.833958598960142794e+00, 3.923039335309488340e+00, 3.410134210346559946e+00, 3.218233558594040922e+00, 2.809295295125168401e+00, 5.691017983755185305e+00, 6.526614594888473952e+00, 1.995008815287670823e+00, 5.787247713335579746e+00, 5.341582939502379723e+00, 3.333873808857461540e+00, 2.013454429867658657e+00, 4.358439126940740316e+00, 5.361927259863781714e+00, 2.794969241948626948e+00
2.030000000000000000e+03, 3.910383245592770063e+00, 2.882676039301272919e+00, 3.199465462462141030e+00, 3.399809755485001084e+00, 3.304908367276551129e+00, 2.919004951677498294e+00, 5.130988840132538087e+00, 6.812517399088084957e+00, 1.670169495926833392e+00, 5.994918168155391136e+00, 5.298925331978296072e+00, 3.269478076367864361e+00, 1.990012560488099158e+00, 4.597633199336542908e+00, 5.035633343501675796e+00, 3.203849014163765219e+00
2.031000000000000000e+03, 4.187689325238727278e+00, 2.740109598912250810e+00, 3.655628379638029557e+00, 3.662475003979325461e+00, 3.700436280338405659e+00, 3.027744503772078044e+00, 5.259887152281927492e+00, 6.655066930870187747e+00, 1.959976681285042099e+00, 5.684025317399817645e+00, 5.400471627473993230e+00, 3.060909263019273130e+00, 2.080763545543293347e+00, 3.801184336015504428e+00, 5.418609475585565605e+00, 2.949268574418387523e+00
2.032000000000000000e+03, 4.482545737401609998e+00, 3.187658053599269348e+00, 3.530930589663155761e+00, 3.604629898594430504e+00, 3.354570416485399331e+00, 3.017244684329558613e+00, 6.170337544092951987e+00, 6.627316429238994111e+00, 1.957821356019018522e+00, 5.506856789655133255e+00, 5.576650220549846715e+00, 2.957093054264076315e+00, 1.998760313592559124e+00, 3.629788379475401783e+00, 5.983496970276201310e+00, 2.782509354679711500e+00
2.033000000000000000e+03, 4.482035490532684463e+00, 3.086664675557526660e+00, 3.191654719287007946e+00, 3.486927458377461431e+00, 3.159568923403899721e+00, 3.267361835194093622e+00, 5.980156622393545618e+00, 6.595672659922819037e+00, 1.743515223694284133e+00, 6.045137856411018085e+00, 5.523882585077681817e+00, 3.085115496433042725e+00, 2.085844522352095165e+00, 3.677832131818844275e+00, 5.338516579945904894e+00, 3.129498701840295549e+00
2.034000000000000000e+03, 4.094447642642527363e+00, 2.911433618225773845e+00, 3.426655185733259668e+00, 3.235347018199957514e+00, 3.272839472975086927e+00, 3.128442187032541622e+00, 6.626052758498993001e+00, 6.668591233925130979e+00, 1.914461303591141528e+00, 6.042135690801977432e+00, 5.346901511057468248e+00, 3.386952951571967407e+00, 1.935847215850816205e+00, 4.173471698694391385e+00, 4.949345991862424299e+00, 3.070343822391049748e+00
2.035000000000000000e+03, 4.093185369623859593e+00, 2.843897269798815408e+00, 4.137044619235855869e+00, 3.371894868874263818e+00, 3.122288047349543127e+00, 3.399276799228428736e+00, 6.149906620061329043e+00, 6.499455794626985750e+00, 1.876831504487398661e+00, 6.252746551673063813e+00, 5.151916833934650164e+00, 3.302984721559069303e+00, 2.103115438977965379e+00, 4.387331530776959809e+00, 4.916279629343177859e+00, 3.013226074065535443e+00
2.036000000000000000e+03, 4.111244650929610778e+00, 2.153796942693802396e+00, 3.453240568207052164e+00, 3.632389262323485912e+00, 3.309130945989420258e+00, 3.004114735836738603e+00, 5.376619183484885767e+00, 6.905040302306842293e+00, 1.770057507134755292e+00, 5.970076403580071300e+00, 5.462725934782486803e+00, 3.262087079346528196e+00, 2.336389404188260244e+00, 4.883230908044579266e+00, 5.723813271846819539e+00, 2.972287910328086369e+00
2.037000000000000000e+03, 4.640713350463940401e+00, 2.563591315755331834e+00, 3.542442022254827627e+00, 3.505025699100439152e+00, 3.437506992559860475e+00, 2.766923698524531350e+00, 5.996039182475159102e+00, 7.037031598359901885e+00, 1.829903924235675605e+00, 5.981114126032690770e+00, 5.237115881814474960e+00, 2.952849536461883861e+00, 2.400673620827313837e+00, 4.545213597293792596e+00, 5.548808638124284265e+00, 2.573362758327879085e+00
2.038000000000000000e+03, 4.783890209160941431e+00, 3.351469438273039891e+00, 3.264584871815735756e+00, 3.525481519815060860e+00, 3.221751711998290357e+00, 2.490681664613687563e+00, 5.880336229435772388e+00, 7.087155635237743390e+00, 2.132367782267576839e+00, 5.949031057275706580e+00, 5.503857943904315597e+00, 3.296005138536417967e+00, 2.184101629803432143e+00, 4.714116626212343952e+00, 5.698841624959738006e+00, 2.567125923310287661e+00
2.039000000000000000e+03, 4.524145181027939167e+00, 3.254925881108433838e+00, 2.989168999238699609e+00, 3.590975239642288486e+00, 3.268897421611881349e+00, 3.780657768942330854e+00, 6.640305083566408584e+00, 7.027606735124082959e+00, 2.117327970868204012e+00, 5.694950726390283435e+00, 5.694161579289385600e+00, 3.133059469812509157e+00, 2.265029925378787112e+00, 3.798686187426306038e+00, 5.517599979623034834e+00, 2.855795546182599676e+00
2.040000000000000000e+03, 3.969804616758099147e+00, 3.039704150584185083e+00, 2.968063380384959871e+00, 3.577516310873834815e+00, 3.068842461024932522e+00, 3.485027975312457560e+00, 6.324977814544398669e+00, 7.003865830855091623e+00, 1.895021294687876168e+00, 6.643292136398436298e+00, 5.661367461772339738e+00, 3.085474931872838056e+00, 2.158978397432143481e+00, 4.542025056718552278e+00, 5.270063081373136171e+00, 3.047224980598246979e+00
2.041000000000000000e+03, 4.153200845002182895e+00, 3.240527882291494688e+00, 4.355465238360832991e+00, 3.646388720136611639e+00, 3.285655140940975105e+00, 3.073673305756144281e+00, 6.088236130582473038e+00, 7.114448008754831854e+00, 1.962801096740474760e+00, 6.173776392979776872e+00, 5.100149142064029029e+00, 3.025378547390854322e+00, 2.144800949915970811e+00, 3.843451226708938240e+00, 5.528776221801424029e+00, 3.004777377389645565e+00
2.042000000000000000e+03, 4.540166231856328949e+00, 2.766403389568928617e+00, 3.436384569595879235e+00, 3.558640427519877303e+00, 3.226973853950368287e+00, 3.323789327838215346e+00, 6.000964702629034697e+00, 6.724896625755718560e+00, 1.780305594740041686e+00, 6.394990037301377050e+00, 5.322319099544889021e+00, 3.093680336633975791e+00, 2.288381873460181293e+00, 4.630644189423527735e+00, 5.393015986579418275e+00, 2.693315772701731614e+00
2.043000000000000000e+03, 4.110141321440115902e+00, 3.073529355910000316e+00, 3.807163914933922921e+00, 3.412089715233985299e+00, 3.152160992748989976e+00, 3.533773546485357464e+00, 5.374786746173704444e+00, 6.748207979389563071e+00, 1.929596528180135495e+00, 5.984541798986235506e+00, 5.376887439305836125e+00, 3.117089115408929967e+00, 2.294849932359728228e+00, 4.256775678332397561e+00, 5.456752918985997347e+00, 2.967606768349326352e+00
2.044000000000000000e+03, 3.859502078805729042e+00, 3.093410513255981265e+00, 4.090883243752507781e+00, 3.524522122161288351e+00, 3.324150312901127613e+00, 3.696522541312437848e+00, 5.169360116469808197e+00, 7.367967903888451353e+00, 2.195428604473928402e+00, 6.115959783251809334e+00, 5.321550500224987879e+00, 2.994787850348785696e+00, 2.171124051007560229e+00, 4.674770339289889165e+00, 5.630864787522424031e+00, 3.072725875973595144e+00
2.045000000000000000e+03, 4.291864790609755786e+00, 3.362964335967019824e+00, 3.619723294785737622e+00, 3.711303043037915916e+00, 3.373900414553710814e+00, 2.781660520759412503e+00, 6.293154500952310215e+00, 7.254255156092185075e+00, 1.926813338729577163e+00, 5.639896703365383068e+00, 5.288084656917400928e+00, 2.972648901758565554e+00, 1.980533519510228047e+00, 4.192684720273966548e+00, 5.665988404175738680e+00, 3.248401517344821077e+00
2.046000000000000000e+03, 4.416876498118451622e+00, 3.555390386273904468e+00, 3.305216872853646404e+00, 3.577280893053187416e+00, 3.075783964666524373e+00, 3.722257312024791709e+00, 6.006197730610121965e+00, 7.126880438059145284e+00, 2.013036294148897731e+00, 5.951608255514023504e+00, 5.380813155659503799e+00, 3.020732059882104359e+00, 1.975415382901256178e+00, 4.428253068551965654e+00, 5.204682377563963236e+00, 3.250516865008465039e+00
2.047000000000000000e+03, 4.276660290901934225e+00, 3.411037841027633633e+00, 3.467285957890021919e+00, 3.379400254621791611e+00, 3.156412499428356888e+00, 3.145700290311883141e+00, 5.580884339136933825e+00, 7.351534553945356265e+00, 2.094711680666206277e+00, 5.983892205224197625e+00, 5.334190036677620483e+00, 2.963955602830027569e+00, 2.250771909303121543e+00, 4.050039132651771290e+00, 5.446329533072482576e+00, 3.106364840566618213e+00
2.048000000000000000e+03, 4.022386329807005723e+00, 3.621350866188728812e+00, 3.547296125736093764e+00, 3.471965248562600692e+00, 3.052968001820212329e+00, 3.160378125289088125e+00, 5.592656195912341310e+00, 7.262426681060993872e+00, 2.025284480471491566e+00, 6.125247031128211006e+00, 5.309126770255111261e+00, 3.371841884700136571e+00, 2.254678805094122662e+00, 4.282788095386712790e+00, 5.105448669018261221e+00, 3.151030338652506924e+00
2.049000000000000000e+03, 4.173319868458638560e+00, 3.071236933529534419e+00, 3.666609698754901725e+00, 3.535736633757579295e+00, 3.007880793991859925e+00, 3.560746047511571089e+00, 5.696728147435673684e+00, 7.188272256887342060e+00, 1.873604298712612026e+00, 5.836072984668995822e+00, 5.265514500856703251e+00, 3.412020708917252954e+00, 2.287546821907079142e+00, 3.566252890043170698e+00, 5.472385249956870368e+00, 2.899398262889344657e+00
2.050000000000000000e+03, 4.516098882241153412e+00, 2.993838059879027291e+00, 3.569707924979832470e+00, 3.569961231965337323e+00, 3.109000570901640614e+00, 3.206476573705507427e+00, 5.914325054312235430e+00, 7.407250910773373498e+00, 2.078546764778470557e+00, 5.560973677206912491e+00, 5.306381185827929947e+00, 3.212455441159684622e+00, 2.115200707577341799e+00, 4.125090541668328115e+00, 5.185112442410959588e+00, 3.195108172995025253e+00
2.051000000000000000e+03, 3.628665695573522587e+00, 2.830029849263302477e+00, 3.477131740676654648e+00, 3.370228820100299227e+00, 3.184888199848301404e+00, 3.140177125946705505e+00, 5.267589088237084383e+00, 7.545604469254557856e+00, 1.815780037544154180e+00, 5.913200706204810864e+00, 5.473581610738551539e+00, 3.254052325034446191e+00, 2.048757718695476626e+00, 4.038383192595448534e+00, 5.179734744389046242e+00, 3.400679926201342518e+00
2.052000000000000000e+03, 4.185444245618753278e+00, 2.999186201989097356e+00, 3.400267914700873195e+00, 3.522962526790035742e+00, 3.153348372255397436e+00, 3.785975631689693977e+00, 5.498011279215057279e+00, 7.558807679180803873e+00, 2.014513594724967938e+00, 6.083251265373748495e+00, 5.120830058716378197e+00, 3.516062737542879901e+00, 2.297786134159244487e+00, 4.304755284144573757e+00, 5.610109332358425682e+00, 3.328243372320466964e+00
2.053000000000000000e+03, 4.189209953932950370e+00, 3.370269153132265050e+00, 4.133524542199606522e+00, 3.533679246842743815e+00, 3.104213594189479508e+00, 3.346676167024400517e+00, 6.417303643651856682e+00, 7.180505336900594671e+00, 2.305965345347817053e+00, 6.058166248787554053e+00, 5.399251510763460438e+00, 3.546446219495583918e+00, 2.437826751043526308e+00, 3.871462616315613836e+00, 5.355112110789461255e+00, 3.178307182645394136e+00
2.054000000000000000e+03, 4.171358128614403249e+00, 3.029213713105112227e+00, 4.243897310432730663e+00, 3.575683297057834054e+00, 2.664612456992832890e+00, 3.481411765034903905e+00, 6.651521547977794491e+00, 7.065373416268460716e+00, 1.913049783361692180e+00, 6.380844961353657752e+00, 5.443886346264291021e+00, 3.218880283271096321e+00, 2.356836914215821199e+00, 4.071518774480717084e+00, 5.287930181299484111e+00, 2.803310980592135238e+00
2.055000000000000000e+03, 4.612581127782145352e+00, 2.740643132302419183e+00, 3.024862524648689988e+00, 3.390723980240340829e+00, 3.163241770657277296e+00, 3.818439785820058940e+00, 5.691810929008592090e+00, 6.986898277793955891e+00, 1.847224503822195718e+00, 6.185724166075518227e+00, 5.192656294512253190e+00, 3.405681023649052896e+00, 2.427216405953999345e+00, 3.997778850736011247e+00, 5.649717659254608115e+00, 3.041105511284367235e+00
