year, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR
2.015000000000000000e+03, 4.779766517334544826e-10, 1.228900045887871743e-09, 9.977310356009481997e-11, -3.351573650849874067e-09
2.016000000000000000e+03, 4.651886063665188259e-10, 1.441744495028024975e-09, 8.226610832694955381e-11, -3.107562945436931438e-09
2.017000000000000000e+03, 4.633534674996024327e-10, 1.595865003785537531e-09, 8.420667377792245743e-11, -2.471868551303703253e-09
2.018000000000000000e+03, 4.606652762956984161e-10, 1.436613217743185079e-09, 8.059366603060282586e-11, -2.829432559251557519e-09
2.019000000000000000e+03, 4.577165377273562057e-10, 1.510041384638684154e-09, 7.876821193264775405e-11, -2.723078678883577057e-09
2.020000000000000000e+03, 4.541688147166134424e-10, 1.470594809468614324e-09, 7.581603610152437664e-11, -2.579405498569585209e-09
2.021000000000000000e+03, 4.458683309185449209e-10, 1.777976608436933139e-09, 5.794174213615896925e-11, -2.800109782832172546e-09
2.022000000000000000e+03, 4.415776248516531260e-10, 1.369788455465252622e-09, 5.678698673743057608e-11, -2.794337498613860483e-09
2.023000000000000000e+03, 4.376779457520965275e-10, 1.232092101126597743e-09, 5.401019499355095639e-11, -2.971900349481403408e-09
2.024000000000000000e+03, 4.343597533230152629e-10, 1.553355350187823835e-09, 5.432314997224928802e-11, -3.302558531699591549e-09
2.025000000000000000e+03, 4.315396658915410519e-10, 1.345779303310626065e-09, 4.582802971114336523e-11, -2.890485826155965391e-09
2.026000000000000000e+03, 4.388165463706436054e-10, 1.395463957267359752e-09, 5.016315100512253015e-11, -2.553001507139379567e-09
2.027000000000000000e+03, 4.386270922494852885e-10, 1.227336951491508060e-09, 4.934940701302053020e-11, -3.143652166903714845e-09
2.028000000000000000e+03, 4.368676112022548202e-10, 1.061631761298030187e-09, 4.754795633891555159e-11, -3.203119937997601436e-09
2.029000000000000000e+03, 4.364820589127843065e-10, 1.303431305904814861e-09, 4.654628196392824585e-11, -2.678491084401772740e-09
2.030000000000000000e+03, 4.348378332576642831e-10, 1.350047113384972637e-09, 5.128876234133734074e-11, -2.705455913586468257e-09
2.031000000000000000e+03, 4.449764369174475583e-10, 1.228497805309029600e-09, 6.049218127499539473e-11, -2.875585356127764069e-09
