year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L
1.925000000000000000e+03, 4.287055527936000310e+00, 1.395464732671999997e+00, 1.346416803839999843e-01, 7.334386991104000053e+00, 9.069065666560000016e-01, 3.220717699071999895e+00, 6.484980662272000096e+00, 6.002726010879999574e-01, 9.603167289344000324e+00
1.926000000000000000e+03, 4.337915658240000027e+00, 1.411194552320000017e+00, 1.429053931519999876e-01, 7.391918161919999619e+00, 9.189431705599999667e-01, 3.248095494144000117e+00, 6.551990960128000197e+00, 6.051441541119999545e-01, 9.666758180863999073e+00
1.927000000000000000e+03, 4.381576790016000089e+00, 1.427637534719999879e+00, 1.533282549760000002e-01, 7.457980022783999630e+00, 9.312448675839999357e-01, 3.275716558847999949e+00, 6.613959704575999687e+00, 6.087447019520000335e-01, 9.735231242239999361e+00
1.928000000000000000e+03, 4.414741413887999677e+00, 1.442745286655999992e+00, 1.640535654399999932e-01, 7.513131450368000230e+00, 9.443979427840000218e-01, 3.302936805375999985e+00, 6.677054619647999623e+00, 6.107938816000000326e-01, 9.798593544192000238e+00
1.929000000000000000e+03, 4.468904558591999532e+00, 1.458171543551999960e+00, 1.750621224960000055e-01, 7.572341915647999855e+00, 9.580087214079999747e-01, 3.330651455487999790e+00, 6.740759805951999972e+00, 6.118707036159999335e-01, 9.866786635776000125e+00
1.930000000000000000e+03, 4.514768748544000232e+00, 1.472771522559999990e+00, 1.747283967999999910e-01, 7.623829618688000131e+00, 9.722486456319999748e-01, 3.370104389631999986e+00, 6.804191313919999651e+00, 6.126928527359999377e-01, 1.001374875648000007e+01
1.931000000000000000e+03, 4.594278596607999532e+00, 1.501525049343999996e+00, 1.720460410880000068e-01, 7.679778488320000207e+00, 9.984315228160000055e-01, 3.418135461887999771e+00, 6.996724023296000183e+00, 6.327214407679999653e-01, 1.013935557836799894e+01
1.932000000000000000e+03, 4.660046331903999750e+00, 1.528924995584000079e+00, 1.756945612799999945e-01, 7.743675564031999414e+00, 1.025942159359999994e+00, 3.462349717503999891e+00, 7.167817547775999998e+00, 6.521649233919999400e-01, 1.025210371276799926e+01
1.933000000000000000e+03, 4.725733326848000182e+00, 1.554336710655999987e+00, 1.795120168959999929e-01, 7.793455136768000280e+00, 1.054646009855999989e+00, 3.503272230912000129e+00, 7.326876565503999572e+00, 6.708711260159999634e-01, 1.035984804249599911e+01
1.934000000000000000e+03, 4.802015133695999971e+00, 1.579323228160000037e+00, 1.843274874879999858e-01, 7.853494501375999803e+00, 1.083812151295999948e+00, 3.540221165568000039e+00, 7.482196361216000291e+00, 6.866734284800000143e-01, 1.045122095513599980e+01
1.935000000000000000e+03, 4.861684875264000283e+00, 1.604147609600000024e+00, 1.913598279679999958e-01, 7.920379494399999665e+00, 1.113153077248000056e+00, 3.574775152640000009e+00, 7.628794626048000183e+00, 7.004943155199999660e-01, 1.053809023385599986e+01
1.936000000000000000e+03, 4.915278643199999742e+00, 1.625598984191999996e+00, 2.038790225919999977e-01, 7.964138668031999657e+00, 1.146277199872000052e+00, 3.607609212927999742e+00, 7.772674981887999657e+00, 7.117376061439999457e-01, 1.062198575104000042e+01
1.937000000000000000e+03, 4.976166830079999492e+00, 1.644617662463999874e+00, 2.170315079679999981e-01, 8.043238522879999408e+00, 1.182219108351999948e+00, 3.638919430143999989e+00, 7.913873080320000142e+00, 7.212353454079999393e-01, 1.070698751590400022e+01
1.938000000000000000e+03, 5.011148898303999566e+00, 1.661626613759999982e+00, 2.317840384000000031e-01, 8.096091471872000511e+00, 1.218947055616000030e+00, 3.669024309247999938e+00, 8.051001655295999981e+00, 7.294948474879999756e-01, 1.079055482879999950e+01
1.939000000000000000e+03, 5.051659059199999469e+00, 1.677084459008000072e+00, 2.488267407360000016e-01, 8.163109634048000274e+00, 1.257174990847999885e+00, 3.697967103999999949e+00, 8.183490281472000305e+00, 7.361081507839999372e-01, 1.086116174233599985e+01
1.940000000000000000e+03, 5.094283149311999992e+00, 1.692625928191999973e+00, 2.592331530240000181e-01, 8.222566514687999373e+00, 1.297092182015999962e+00, 3.728003039232000049e+00, 8.312563171327999711e+00, 7.405085655040000159e-01, 1.101283092070399938e+01
1.941000000000000000e+03, 5.161518366720000195e+00, 1.736323760127999938e+00, 2.677838479360000190e-01, 8.261798985727999423e+00, 1.312432717824000061e+00, 3.758037925887999897e+00, 8.407178805247999875e+00, 7.385618186239999439e-01, 1.115794125619200017e+01
1.942000000000000000e+03, 5.224496365568000122e+00, 1.781290893311999968e+00, 2.780684615679999694e-01, 8.285048537088000487e+00, 1.330217615360000050e+00, 3.785728720895999988e+00, 8.503827103743999416e+00, 7.351885496319999769e-01, 1.127750198886399957e+01
1.943000000000000000e+03, 5.279449612287999472e+00, 1.822877024255999956e+00, 2.898085478399999859e-01, 8.333999734783999358e+00, 1.350570475519999869e+00, 3.812175642624000105e+00, 8.596341915647998988e+00, 7.320665456639999791e-01, 1.138062419558399974e+01
1.944000000000000000e+03, 5.324493815808000186e+00, 1.860859461632000000e+00, 3.007751782399999962e-01, 8.364912279551999674e+00, 1.372817588223999907e+00, 3.837819617280000095e+00, 8.689728094208000186e+00, 7.308418088960000336e-01, 1.147241024716799984e+01
1.945000000000000000e+03, 5.375260622847999770e+00, 1.895523811327999963e+00, 3.117754613759999849e-01, 8.457140305919999435e+00, 1.396567048192000060e+00, 3.862596681727999748e+00, 8.782821720063999749e+00, 7.307374755840000402e-01, 1.157155101081600002e+01
1.946000000000000000e+03, 5.418927521791999879e+00, 1.927922450432000057e+00, 3.240488796159999851e-01, 8.480032817151998970e+00, 1.423063515136000046e+00, 3.886531477504000076e+00, 8.887243636736000596e+00, 7.326386094079999634e-01, 1.166419270041600065e+01
1.947000000000000000e+03, 5.462294003711999579e+00, 1.958385025024000026e+00, 3.371676794879999717e-01, 8.527560572927999516e+00, 1.450865590272000016e+00, 3.909855739903999705e+00, 8.971677073407999359e+00, 7.372904857600000028e-01, 1.174915881369599902e+01
1.948000000000000000e+03, 5.498891403263999500e+00, 1.985214808063999969e+00, 3.533657210880000177e-01, 8.562724044799999490e+00, 1.480368717823999924e+00, 3.932671442943999729e+00, 9.060897259519999025e+00, 7.427284664319999674e-01, 1.182768981606399983e+01
1.949000000000000000e+03, 5.526749970432000225e+00, 2.004096778240000098e+00, 3.710424514560000109e-01, 8.661475262464000124e+00, 1.511731363840000064e+00, 3.954559942656000082e+00, 9.143205232639999736e+00, 7.483796357119999465e-01, 1.191078631833599921e+01
1.950000000000000000e+03, 5.539642212351999717e+00, 2.022072516608000026e+00, 3.905241743360000073e-01, 8.740639604735999768e+00, 1.544697282560000051e+00, 3.976643477504000046e+00, 9.253305712639999570e+00, 7.578147225599999315e-01, 1.221992330035199892e+01
1.951000000000000000e+03, 5.636443602943999487e+00, 2.081411170303999914e+00, 4.089800294400000036e-01, 8.840702590975999087e+00, 1.583393931263999965e+00, 3.997221257215999746e+00, 9.473287520255999183e+00, 8.096753254399999822e-01, 1.246307968614399897e+01
1.952000000000000000e+03, 5.728413679615999676e+00, 2.135754932224000147e+00, 4.319749406719999851e-01, 8.923426848767999076e+00, 1.626446757887999972e+00, 4.016182394879999507e+00, 9.663199313919999867e+00, 8.597124546559999914e-01, 1.265317917491199928e+01
1.953000000000000000e+03, 5.803035066367999484e+00, 2.192229007359999926e+00, 4.619964252159999840e-01, 8.991624134655999967e+00, 1.673237364735999932e+00, 4.036386357248000323e+00, 9.854712283135999229e+00, 9.012605091840000249e-01, 1.284312662015999962e+01
