year, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, TaiESM1, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, NorESM2-MM
1.860000000000000000e+03, 5.746225017599999774e+01, 5.369704099199999803e+01, 6.644941887599999575e+01, 4.159823488199999986e+01, 3.767715113399999893e+01, 3.982379876999999624e+01, 4.187972521799999726e+01, 3.877423732799999812e+01, 5.979626501399999228e+01, 4.944376096199999893e+01, 6.048585878399999416e+01, 6.149710398599999195e+01, 3.903206383799999912e+01, 3.957946572599999513e+01, 6.541806947399999217e+01, 3.686053823999999679e+01
1.861000000000000000e+03, 5.645545943399999800e+01, 5.370077406599999392e+01, 6.598884742199999209e+01, 4.254968782799999616e+01, 3.678307399799999899e+01, 3.986997535799999781e+01, 4.251100498199999578e+01, 3.825304185599999585e+01, 5.834775346199999291e+01, 4.913119189799999731e+01, 6.104581199999999797e+01, 5.695464671999999240e+01, 3.872315689199999866e+01, 4.049796749399999385e+01, 6.565708081799999718e+01, 3.720013759799999775e+01
1.862000000000000000e+03, 5.741185170599999310e+01, 5.259996662399999678e+01, 6.583156950599999391e+01, 4.379001053399999677e+01, 3.723036485399999407e+01, 3.974795074799999384e+01, 4.272986087999999683e+01, 3.862610879399999675e+01, 6.007208675399999720e+01, 4.966899895799999598e+01, 6.273670530599999751e+01, 5.846705414999999562e+01, 3.948578803799999548e+01, 4.188208253399999847e+01, 6.539311661399999309e+01, 3.701631425399999387e+01
1.863000000000000000e+03, 5.667707867399999344e+01, 5.387325233399999291e+01, 6.516804023999999629e+01, 4.181405938199999639e+01, 3.616440074999999865e+01, 3.882399719400000038e+01, 4.067568467999999626e+01, 3.908145709799999423e+01, 6.253602596999999719e+01, 4.764619713599999784e+01, 6.123310036199999473e+01, 6.010053222599999856e+01, 4.042884058199999942e+01, 3.896692228799999924e+01, 6.659585629199999346e+01, 3.738000317399999517e+01
1.864000000000000000e+03, 5.681893154399999446e+01, 5.194027686599999782e+01, 6.491052908999999715e+01, 4.203082996199999855e+01, 3.607862283000000048e+01, 3.905038625399999574e+01, 3.992201764200000014e+01, 3.920723054999999846e+01, 6.001387918199999660e+01, 4.846564432799999622e+01, 6.086228824799999870e+01, 5.841186614999999449e+01, 3.915424218599999762e+01, 3.883241730599999642e+01, 6.580912375799999836e+01, 3.713831915399999417e+01
1.865000000000000000e+03, 5.695342864199999866e+01, 5.103269049599999363e+01, 6.434324769599999172e+01, 4.231463425199999762e+01, 3.792300578999999772e+01, 3.814873259399999483e+01, 4.162784718599999678e+01, 3.917671946999999477e+01, 6.079929114599999451e+01, 4.886965202399999697e+01, 6.240876638399999621e+01, 6.187482642599999849e+01, 3.903540271199999978e+01, 4.054691924999999486e+01, 6.648744340799999009e+01, 3.698189665199999610e+01
1.866000000000000000e+03, 5.744717202599999695e+01, 5.101570441799999855e+01, 6.494389812000000006e+01, 4.319695240199999375e+01, 3.711487213799999552e+01, 3.885863948999999451e+01, 4.230559918799999508e+01, 3.883835395799999901e+01, 6.337232126999999338e+01, 4.902616913399999277e+01, 6.150843329399999249e+01, 6.035646657599999543e+01, 3.856079773799999799e+01, 3.902371862399999713e+01, 6.624017751599998860e+01, 3.630919829399999799e+01
1.867000000000000000e+03, 5.750960147999999350e+01, 5.105799419399999550e+01, 6.469055366399999230e+01, 4.374483521399999830e+01, 3.678919198199999840e+01, 3.765325078799999403e+01, 4.099695373799999487e+01, 3.867439435200000020e+01, 6.318502502399999798e+01, 4.717499804999999924e+01, 6.062810191199999821e+01, 5.919518096999999557e+01, 3.792433818599999995e+01, 3.912812249399999587e+01, 6.468596123399998987e+01, 3.674221122599999489e+01
1.868000000000000000e+03, 5.805647908199999563e+01, 5.159426387399999925e+01, 6.521750445600000035e+01, 4.197403362599999355e+01, 3.688858162799999718e+01, 3.896193959999999379e+01, 4.017094311599999656e+01, 3.846476273399999712e+01, 6.126850346399999836e+01, 4.912457327999999279e+01, 6.175264807799999289e+01, 6.010357939199999322e+01, 3.985721510399999801e+01, 3.969524226599999395e+01, 6.467319309599999144e+01, 3.831242808599999705e+01
1.869000000000000000e+03, 5.804178724799999856e+01, 5.326644844799999845e+01, 6.520007687399998986e+01, 4.208373948599999892e+01, 3.611030862599999836e+01, 3.890636922599999536e+01, 4.165128631799999681e+01, 3.863955101399999847e+01, 6.162186828599999444e+01, 5.005877603399999742e+01, 6.330483422999999732e+01, 6.317290337399999345e+01, 4.000335292799999820e+01, 3.969612527399999635e+01, 6.533887469399999759e+01, 3.802841881199999818e+01
