year, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, NorESM2-LM, CMCC-CM2-SR5, NorESM2-MM, IPSL-CM6A-LR
1.850000000000000000e+03, 2.976627420037119691e+02, 1.106756134502400002e+01, 2.257610636001279829e+02, 4.136662518988799775e+01, 3.264085386854399928e+01, 4.938967862476799553e+01, 2.002427670691839978e+02, 2.758946733424639888e+02, 9.102955013734400325e+01, 2.969812389068799874e+01, 4.314458646118399798e+01, 3.147233964851199772e+01, 9.127600744038399228e+01
1.851000000000000000e+03, 2.966396002631680062e+02, 1.163622298419199907e+01, 2.256793417809919902e+02, 4.147099205632000007e+01, 3.200843041996800054e+01, 4.968966363545600018e+01, 1.998250311680000095e+02, 2.762607689728000082e+02, 9.031019344691199535e+01, 2.982472895692799852e+01, 4.253605167103999918e+01, 3.130992780902399986e+01, 9.126661219942400294e+01
1.852000000000000000e+03, 2.961301768765439988e+02, 1.094619496448000007e+01, 2.256401837588479964e+02, 4.166714287718399845e+01, 3.215102417305600113e+01, 4.908828432793600172e+01, 2.007669208514560069e+02, 2.761426573721599880e+02, 9.088646565068799532e+01, 2.969215120179200085e+01, 4.161810307481599835e+01, 3.133442254438400099e+01, 9.128958859673599591e+01
1.853000000000000000e+03, 2.960290438184960067e+02, 1.171112801075200061e+01, 2.257499235287039880e+02, 4.176398516223999735e+01, 3.207255923097599748e+01, 4.872124917350399897e+01, 2.003809609973760075e+02, 2.760899098050559815e+02, 9.152324488396800461e+01, 2.967826595840000081e+01, 4.272667439923199595e+01, 3.130704841932799809e+01, 9.114580785561599896e+01
1.854000000000000000e+03, 2.965254480855039674e+02, 1.124648615935999985e+01, 2.258285080084479830e+02, 4.161836731596800121e+01, 3.240462857011200271e+01, 4.857272886886399732e+01, 1.995334431539199898e+02, 2.757639956070399876e+02, 9.112523898879999251e+01, 2.945315975987199764e+01, 4.333766705152000043e+01, 3.171898988953600096e+01, 9.096417771519999462e+01
1.855000000000000000e+03, 2.964403876003839855e+02, 1.107064520704000010e+01, 2.260348174335999829e+02, 4.148744211660800119e+01, 3.276003291955199614e+01, 4.817275584512000108e+01, 1.994233678397440030e+02, 2.750509303726079793e+02, 9.135268770611199329e+01, 2.937577065676800103e+01, 4.173592107417599806e+01, 3.161793023180799977e+01, 9.088604622028799440e+01
1.856000000000000000e+03, 2.958976782172159687e+02, 1.111469483622400034e+01, 2.261244413214720055e+02, 4.151072889241599739e+01, 3.250736385228800174e+01, 4.818184909619199630e+01, 2.005768685486079903e+02, 2.750044239298559887e+02, 9.169407888588800404e+01, 2.958218493952000117e+01, 4.294457268633600222e+01, 3.177818619904000030e+01, 9.105377643724800407e+01
1.857000000000000000e+03, 2.954567058718719750e+02, 1.160520820326400049e+01, 2.259933106012159953e+02, 4.146438602751999980e+01, 3.233559871487999970e+01, 4.826924161433599636e+01, 2.001110994780160013e+02, 2.750001792942080101e+02, 9.262510532198399460e+01, 2.973395582975999929e+01, 4.320605818060799663e+01, 3.202008219647999709e+01, 9.080299900108799704e+01
1.858000000000000000e+03, 2.950780776611840110e+02, 1.122711371776000000e+01, 2.261795041443839978e+02, 4.163349617049600226e+01, 3.235203409510400263e+01, 4.859230787993600131e+01, 1.995186288721919823e+02, 2.750829916323839939e+02, 9.269819526348800309e+01, 3.005181276979200078e+01, 4.238796757401600246e+01, 3.198399021055999825e+01, 9.085399334912000313e+01
1.859000000000000000e+03, 2.948051794657279743e+02, 1.123487003443199939e+01, 2.264160461127679866e+02, 4.198955063705599855e+01, 3.270109246259200120e+01, 4.870897663999999594e+01, 1.994008360386559957e+02, 2.750274254929919948e+02, 9.249863027916799751e+01, 2.990774681599999951e+01, 4.252789374975999692e+01, 3.191651644211199823e+01, 9.120442744832000415e+01
1.860000000000000000e+03, 2.944094720491519865e+02, 1.137101609369599942e+01, 2.261265384734719817e+02, 4.214609045094400130e+01, 3.247781498060800232e+01, 4.895870550016000067e+01, 1.987806159175679852e+02, 2.753345827635200180e+02, 9.212577343078399394e+01, 2.979575470489599809e+01, 4.270648721407999915e+01, 3.184665401753600023e+01, 9.119453727948800292e+01
1.861000000000000000e+03, 2.939073970831360043e+02, 1.153659987558399891e+01, 2.261672064450559958e+02, 4.237111486054399734e+01, 3.238339071180799777e+01, 4.916088773017600033e+01, 1.994569893806080074e+02, 2.752578270003199918e+02, 9.161388379340799304e+01, 2.980533659238399835e+01, 4.303748071423999733e+01, 3.163943862272000018e+01, 9.122634688102399991e+01
1.862000000000000000e+03, 2.935161524060159763e+02, 1.115010419916800011e+01, 2.261524424949759862e+02, 4.250666637721599983e+01, 3.260340502527999718e+01, 4.968380838707199842e+01, 1.998438887587840043e+02, 2.750406459391999761e+02, 9.181483289804799597e+01, 2.977236097433599937e+01, 4.251879630438399715e+01, 3.164440677580800099e+01, 9.139229871308799602e+01
1.863000000000000000e+03, 2.932134243205119901e+02, 1.143911166771199994e+01, 2.264648510341120016e+02, 4.257069242777600238e+01, 3.289303010508800185e+01, 4.997120629145599935e+01, 1.995961396101120044e+02, 2.747530844569599822e+02, 9.203045367807999355e+01, 2.997060685004800007e+01, 4.241281463091200266e+01, 3.150953263923199898e+01, 9.150139256012799649e+01
