year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
1.860000000000000000e+03, 5.022059625185279970e+02, 1.332859214233599914e+03, 1.428647319699455920e+03, 3.476364313231359802e+02, 5.304091337031679814e+02, 1.761745118953472002e+03, 2.890131006554111991e+03, 1.480182498066431890e+03, 2.429426507710463738e+03, 8.204737765703679315e+02, 1.189595614019583991e+03, 6.885441252884479582e+02, 1.415834895384575930e+03, 1.859756809519103854e+03
1.861000000000000000e+03, 5.024601373409279859e+02, 1.332836934090752038e+03, 1.428675639640063991e+03, 3.480699545845760099e+02, 5.304042683105279821e+02, 1.762065630887935868e+03, 2.889887535595520148e+03, 1.480045193330687880e+03, 2.429431071113216149e+03, 8.206893973503999860e+02, 1.189116322512895977e+03, 6.886571366154239513e+02, 1.415738661273599973e+03, 1.859579507900416047e+03
1.862000000000000000e+03, 5.022994787205120133e+02, 1.332936657862655920e+03, 1.428732145303551988e+03, 3.482816159416319692e+02, 5.304483252797440400e+02, 1.761138454822911854e+03, 2.889712515678208092e+03, 1.480021973663743893e+03, 2.429438855741439966e+03, 8.209475651502079927e+02, 1.188763866759167968e+03, 6.884637288693760411e+02, 1.415734232088575936e+03, 1.859428647174143862e+03
1.863000000000000000e+03, 5.022435099279359747e+02, 1.333128186560511949e+03, 1.428782745387007935e+03, 3.483394973368319825e+02, 5.305504985251840253e+02, 1.761378570338303916e+03, 2.889378850406400034e+03, 1.479996874948607910e+03, 2.429519117942783851e+03, 8.211786209689599900e+02, 1.188482277965823869e+03, 6.882750858526719639e+02, 1.415739735015424003e+03, 1.859503272230911989e+03
1.864000000000000000e+03, 5.025144284119039639e+02, 1.333175833853951872e+03, 1.428793214369791940e+03, 3.481581356318719713e+02, 5.306200904171520278e+02, 1.761010008457215918e+03, 2.889019146895359881e+03, 1.479967347048447891e+03, 2.429514554540031895e+03, 8.211784867512319579e+02, 1.188142036025343941e+03, 6.882154260725759514e+02, 1.415651956621311911e+03, 1.859587695181824074e+03
1.865000000000000000e+03, 5.025762356756479790e+02, 1.333042287214592079e+03, 1.428732011085824070e+03, 3.472724328447999937e+02, 5.306656237813759844e+02, 1.761189457559552011e+03, 2.888697024348160085e+03, 1.479809104347135872e+03, 2.429314301689856165e+03, 8.211531867095039843e+02, 1.187712807731199973e+03, 6.878917600215039556e+02, 1.415732755693567924e+03, 1.859711041273855926e+03
1.866000000000000000e+03, 5.026005626388479754e+02, 1.332665538052096053e+03, 1.428710804684799996e+03, 3.465984585236479916e+02, 5.305696245514239990e+02, 1.761753037799423964e+03, 2.888419462086656040e+03, 1.479918760230911857e+03, 2.429082373455872130e+03, 8.211859358351359788e+02, 1.187026015617024086e+03, 6.876505036554240178e+02, 1.415740003450880067e+03, 1.859737347948543857e+03
1.867000000000000000e+03, 5.022650183188479787e+02, 1.332445957849088018e+03, 1.428652688408576068e+03, 3.461590296821759694e+02, 5.304099725639680400e+02, 1.761366624960511899e+03, 2.888204713721856024e+03, 1.479846148440063871e+03, 2.429056066781183745e+03, 8.212444547645440025e+02, 1.186650742849536073e+03, 6.878937732874239828e+02, 1.415663230910463881e+03, 1.859747011624959896e+03
1.868000000000000000e+03, 5.022283768791039620e+02, 1.332344086593536076e+03, 1.428475252572159889e+03, 3.457711404482560056e+02, 5.303530642472959471e+02, 1.760716071632896046e+03, 2.888177333305343836e+03, 1.479813936185343891e+03, 2.429053382426624012e+03, 8.211743260016639852e+02, 1.186590344871935940e+03, 6.883755478220799660e+02, 1.415455596085247862e+03, 1.859734797811712042e+03
1.869000000000000000e+03, 5.026298556579839669e+02, 1.332216042881023895e+03, 1.428285066051583954e+03, 3.458629789286400182e+02, 5.304200053391359688e+02, 1.761204087291903988e+03, 2.888040968093695938e+03, 1.479920505061375934e+03, 2.428997547851775835e+03, 8.210472218132480293e+02, 1.186331036221439945e+03, 6.885029875548159453e+02, 1.415346745507840069e+03, 1.859627423629312034e+03
1.870000000000000000e+03, 5.028445369139199670e+02, 1.332123432648704011e+03, 1.428233392226303977e+03, 3.461269180907519853e+02, 5.304330580131839952e+02, 1.762589214244864024e+03, 2.887743004737536012e+03, 1.479788837470207909e+03, 2.428922922795008162e+03, 8.210471547043839564e+02, 1.186015624560639935e+03, 6.884317850501120120e+02, 1.415269301878784063e+03, 1.859561925378048045e+03
1.871000000000000000e+03, 5.026644838318080133e+02, 1.332155913338880055e+03, 1.428168296628223970e+03, 3.458826753802239864e+02, 5.303857462640639824e+02, 1.763678256889855902e+03, 2.887208818180095932e+03, 1.479725352484864061e+03, 2.428898763603967836e+03, 8.211744602193920173e+02, 1.185959655768064067e+03, 6.883214580776959792e+02, 1.415276415418368060e+03, 1.859497366650879940e+03
1.872000000000000000e+03, 5.026784089210879642e+02, 1.332081556717567992e+03, 1.428214467526655881e+03, 3.455080065925120039e+02, 5.303329986969599759e+02, 1.763574238150655901e+03, 2.886871126376448046e+03, 1.479606704013312083e+03, 2.428910037893119807e+03, 8.213180060794879864e+02, 1.185517945225215954e+03, 6.887388081029120031e+02, 1.415447006150656080e+03, 1.859349324496895861e+03
1.873000000000000000e+03, 5.029296980623360014e+02, 1.331787888328703957e+03, 1.428319962660863894e+03, 3.454041891799039945e+02, 5.303108863262719979e+02, 1.761793303117824053e+03, 2.887085874741248062e+03, 1.479669920563199867e+03, 2.428943860760576172e+03, 8.214892007915519798e+02, 1.184907254562815979e+03, 6.890701245644800110e+02, 1.415508075216896032e+03, 1.859321809862655982e+03
1.874000000000000000e+03, 5.025770409820160012e+02, 1.331539317096448030e+03, 1.428418612690943974e+03, 3.452114860769279971e+02, 5.302768956866559620e+02, 1.761620699119615892e+03, 2.886943872385023951e+03, 1.479714346631167928e+03, 2.428965335597055855e+03, 8.215950985789439756e+02, 1.184700559261696071e+03, 6.888122923089920278e+02, 1.415653835669503906e+03, 1.859296174276607871e+03
1.875000000000000000e+03, 5.027945072558080142e+02, 1.331464960475135967e+03, 1.428442235011071944e+03, 3.451048836464639749e+02, 5.302460256092159625e+02, 1.762101735456767983e+03, 2.886575847374847854e+03, 1.479974594805760034e+03, 2.428903327006719792e+03, 8.216624758783999596e+02, 1.184513996619775980e+03, 6.884284296069120046e+02, 1.415839727222783949e+03, 1.859276981141503938e+03
1.876000000000000000e+03, 5.030325088419839972e+02, 1.331482677215231888e+03, 1.428452301340671966e+03, 3.454725731123199921e+02, 5.303495410319360417e+02, 1.762494724964351917e+03, 2.886486726803455895e+03, 1.480204643991552075e+03, 2.428864135430143961e+03, 8.217179749089279994e+02, 1.184062890835967892e+03, 6.887212926894079601e+02, 1.415803354218495997e+03, 1.859180612812800064e+03
1.877000000000000000e+03, 5.026581755985919813e+02, 1.331572871528447877e+03, 1.428503975165951942e+03, 3.454187182489599763e+02, 5.303190400532480453e+02, 1.762297156468735920e+03, 2.886340697915391956e+03, 1.480293361909760051e+03, 2.428932586471423747e+03, 8.218056861941760189e+02, 1.183437167788031957e+03, 6.888657780736000404e+02, 1.415836908650496071e+03, 1.859239802830848021e+03
1.878000000000000000e+03, 5.025413390663679820e+02, 1.331399730659328043e+03, 1.428462233452544069e+03, 3.455503187312639852e+02, 5.303222948331520001e+02, 1.761056850444287875e+03, 2.886059109122048085e+03, 1.480239943254015998e+03, 2.428960235323391771e+03, 8.219764111441919567e+02, 1.182784601194495963e+03, 6.891422665932799418e+02, 1.415819191910399923e+03, 1.859142629195775953e+03
1.879000000000000000e+03, 5.027003870740479670e+02, 1.331249138368511922e+03, 1.428495116795903868e+03, 3.453356039208960055e+02, 5.304913085071359546e+02, 1.760834451668991960e+03, 2.885889726349311786e+03, 1.480409057591296005e+03, 2.428929633681408177e+03, 8.222247139409919328e+02, 1.182474692460544020e+03, 6.890956259327999760e+02, 1.415829124022272026e+03, 1.859103974490112023e+03
1.880000000000000000e+03, 5.025710682931199926e+02, 1.331513815728128066e+03, 1.428647722352639903e+03, 3.449655656447999945e+02, 5.306070712975359811e+02, 1.761415614431231916e+03, 2.885862882803711727e+03, 1.480709302648831908e+03, 2.428957014097919910e+03, 8.223900701818879497e+02, 1.182255380692992048e+03, 6.887763890667520172e+02, 1.415813017894912036e+03, 1.859003579629567867e+03
1.881000000000000000e+03, 5.024570503331839859e+02, 1.331444693598208005e+03, 1.428829184720895910e+03, 3.449529156239360077e+02, 5.306283112529920345e+02, 1.761308642902015890e+03, 2.885756582363135749e+03, 1.480854526230527881e+03, 2.428984394514432097e+03, 8.225260327403519796e+02, 1.182221289390080074e+03, 6.889495970447360378e+02, 1.415702690922496004e+03, 1.858883454763007876e+03
1.882000000000000000e+03, 5.026065017733120044e+02, 1.331316247232512069e+03, 1.428815226077183979e+03, 3.451705161154559960e+02, 5.306564969758719599e+02, 1.762017312505855898e+03, 2.885793626456063976e+03, 1.480973577355264069e+03, 2.428943055454207752e+03, 8.227785633955840012e+02, 1.182068683833344039e+03, 6.890621386096639753e+02, 1.415616254705664005e+03, 1.858911640485888029e+03
