year, EC-Earth3-Veg, ACCESS-ESM1-5, TaiESM1, CESM2-WACCM, MIROC-ES2L, NorESM2-LM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, INM-CM5-0, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, CanESM5
1.896000000000000000e+03, 1.334722253039999771e+02, 1.047414628799999861e+02, 1.253889729719999906e+02, 9.972784594799999525e+01, 1.073844871559999916e+02, 9.660627863999999931e+01, 9.057909466799999620e+01, 1.430569302479999862e+02, 9.442978217999998947e+01, 1.098658815479999902e+02, 1.190230765919999953e+02, 1.434574059119999845e+02, 9.940539034799999740e+01, 9.412483694399999479e+01, 1.198070852039999892e+02, 1.270747298519999902e+02
1.897000000000000000e+03, 1.381942367279999928e+02, 1.029439502999999974e+02, 1.225534687199999837e+02, 9.856396256399999345e+01, 1.072694832479999860e+02, 9.507600212399999862e+01, 9.041611661999999683e+01, 1.414056737519999842e+02, 9.543619054799999901e+01, 1.138616977319999961e+02, 1.192366147319999925e+02, 1.431100999439999839e+02, 1.002509966519999978e+02, 9.465846548399998994e+01, 1.208843628479999950e+02, 1.252293219719999939e+02
1.898000000000000000e+03, 1.342759833359999959e+02, 1.024385228279999893e+02, 1.205543701439999893e+02, 9.817068499199999110e+01, 1.093397979959999873e+02, 9.670813991999999359e+01, 9.116196667199999126e+01, 1.390503445199999817e+02, 9.509642956799999070e+01, 1.126197233279999921e+02, 1.194476221079999902e+02, 1.421634838319999972e+02, 9.881878921199999866e+01, 9.428967561599999669e+01, 1.236293745479999870e+02, 1.265023514519999850e+02
1.899000000000000000e+03, 1.377726792480000029e+02, 9.993540801599999668e+01, 1.214688195359999838e+02, 9.890589164399999333e+01, 1.081942527959999865e+02, 9.621970246799999416e+01, 9.054995540399998788e+01, 1.395978094799999951e+02, 9.397019228399999236e+01, 1.091494466999999986e+02, 1.235305091879999964e+02, 1.409649581519999799e+02, 9.679343691599999033e+01, 9.405561542399999553e+01, 1.218205011239999891e+02, 1.261477133639999835e+02
1.900000000000000000e+03, 1.372812852959999930e+02, 9.888450235199999838e+01, 1.227654221759999871e+02, 9.817841919599999301e+01, 1.072015625879999874e+02, 9.674938112399999568e+01, 8.917509617999999705e+01, 1.414555006319999961e+02, 9.292965407999999172e+01, 1.081122197759999892e+02, 1.229485753799999941e+02, 1.430281063439999798e+02, 9.636991631999998731e+01, 9.411408316799999341e+01, 1.215897049079999874e+02, 1.251292109399999930e+02
1.901000000000000000e+03, 1.348820737199999940e+02, 9.899275755599998661e+01, 1.216482830279999945e+02, 9.910605063599999198e+01, 1.081254885479999928e+02, 9.688051569599998913e+01, 9.220101479999999583e+01, 1.436380914239999811e+02, 9.268376788799999133e+01, 1.100704476959999880e+02, 1.210735867319999954e+02, 1.439778918239999825e+02, 9.975036265199999264e+01, 9.593582327999999393e+01, 1.194200281079999968e+02, 1.268779688639999961e+02
1.902000000000000000e+03, 1.362451227119999828e+02, 1.029097968119999962e+02, 1.231810430039999886e+02, 9.969900627599999154e+01, 1.071150908759999965e+02, 9.718941081599999166e+01, 9.440608287599999926e+01, 1.446553008719999980e+02, 9.386192131199999267e+01, 1.146222908639999929e+02, 1.195722050759999888e+02, 1.469758458959999814e+02, 1.008594758879999915e+02, 9.583367817599999228e+01, 1.204094937599999895e+02, 1.249975008359999862e+02
1.903000000000000000e+03, 1.350697286879999979e+02, 1.042279543079999939e+02, 1.198468836359999870e+02, 9.832994179199998541e+01, 1.076697145079999984e+02, 9.464656852799998887e+01, 8.893464206399998773e+01, 1.426115157839999767e+02, 9.396766151999999295e+01, 1.121486070239999862e+02, 1.181412354239999871e+02, 1.454380243919999884e+02, 9.634654814399999623e+01, 9.402735128399999098e+01, 1.190620866239999884e+02, 1.235575986119999925e+02
1.904000000000000000e+03, 1.332306122399999992e+02, 1.031611860359999895e+02, 1.198879513919999908e+02, 9.820803149999998993e+01, 1.073665904759999847e+02, 9.478131397199999242e+01, 9.146540606399999263e+01, 1.405347755759999870e+02, 9.501783397199999115e+01, 1.088506588679999965e+02, 1.180127341079999894e+02, 1.433504831039999772e+02, 9.550744613999999899e+01, 9.493637648399999307e+01, 1.188336161879999935e+02, 1.251459802079999974e+02
1.905000000000000000e+03, 1.318203775079999787e+02, 1.044604692359999945e+02, 1.214085227039999921e+02, 9.826178461199998537e+01, 1.072153122839999924e+02, 9.477346150799999691e+01, 9.137791731599999423e+01, 1.430767506239999989e+02, 9.540109097999999221e+01, 1.105586959319999920e+02, 1.204275402359999845e+02, 1.447545762000000025e+02, 9.762672841199999141e+01, 9.602187713999998664e+01, 1.211605157159999919e+02, 1.259729802719999867e+02
1.906000000000000000e+03, 1.316172856679999938e+02, 1.030343324759999888e+02, 1.226557399679999918e+02, 9.709432977599999504e+01, 1.076261948279999956e+02, 9.512125628399999755e+01, 9.085547617199999593e+01, 1.437017626079999957e+02, 9.579448681199998816e+01, 1.137270390119999917e+02, 1.229828944319999948e+02, 1.441964836079999941e+02, 9.856840913999998577e+01, 9.681330459599999472e+01, 1.206573430679999888e+02, 1.257732075959999918e+02
1.907000000000000000e+03, 1.327005709199999899e+02, 1.033364473559999936e+02, 1.215045577079999930e+02, 9.846888152399999683e+01, 1.081172970719999853e+02, 9.719531593199998554e+01, 8.894161940399999366e+01, 1.446885240479999766e+02, 9.489803659199999686e+01, 1.135414654199999944e+02, 1.220672072519999887e+02, 1.418897513519999904e+02, 9.883663858799998536e+01, 9.806462153999999032e+01, 1.180810883879999977e+02, 1.259839311479999964e+02
1.908000000000000000e+03, 1.325097150480000039e+02, 1.027522744919999980e+02, 1.211812033319999955e+02, 9.783933623999999440e+01, 1.076688551519999919e+02, 9.619948789199999339e+01, 8.809419977999999674e+01, 1.430597054159999857e+02, 9.344224810799998693e+01, 1.119728253599999874e+02, 1.228218085439999925e+02, 1.426246347599999922e+02, 9.845598329999998555e+01, 9.602884659599999395e+01, 1.201606116479999855e+02, 1.254378143519999895e+02
1.909000000000000000e+03, 1.348703738639999870e+02, 1.040386752359999889e+02, 1.217611267199999929e+02, 9.949302889199999811e+01, 1.070111324519999982e+02, 9.683522211599999707e+01, 9.219919359599998643e+01, 1.417192361999999832e+02, 9.267036508799999694e+01, 1.109888390879999918e+02, 1.232598356999999965e+02, 1.431872369999999819e+02, 9.793712937599998725e+01, 9.493527272399998651e+01, 1.188185104439999975e+02, 1.262545100279999843e+02
