year, CESM2-WACCM, INM-CM4-8, CanESM5, IPSL-CM6A-LR, CMCC-CM2-SR5, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg
1.860000000000000000e+03, 2.916406304575502872e+00, 2.989988622721284628e+00, 2.857507194858044386e+00, 2.990454446990042925e+00, 3.073241037782281637e+00, 2.844232146162539721e+00, 2.970763784833252430e+00, 2.942550613079220057e+00, 3.073992265854030848e+00, 2.860246819909662008e+00, 3.007053758483380079e+00, 3.221463679801672697e+00, 3.198333398904651403e+00, 2.820635412354022264e+00, 3.122917015571147203e+00, 2.855894411914050579e+00
1.861000000000000000e+03, 2.894615032710134983e+00, 2.984020917210727930e+00, 2.861401636619120836e+00, 2.998872916214168072e+00, 3.068419976625591516e+00, 2.838353707920759916e+00, 2.962165838107466698e+00, 2.921177388634532690e+00, 3.082478942815214396e+00, 2.847776119597256184e+00, 2.999328996520489454e+00, 3.213353874161839485e+00, 3.196489589754492044e+00, 2.838740637525916100e+00, 3.133042878471314907e+00, 2.884757600259035826e+00
1.862000000000000000e+03, 2.905619738157838583e+00, 2.988673816435039043e+00, 2.854060346726328135e+00, 2.973844448570162058e+00, 3.078267350792884827e+00, 2.837097051087766886e+00, 2.961287938524037600e+00, 2.940577617846429348e+00, 3.085777431260794401e+00, 2.841875364538282156e+00, 3.001970553305000067e+00, 3.205438947770744562e+00, 3.185972082428634167e+00, 2.827752276789397001e+00, 3.111648594494909048e+00, 2.847987657878547907e+00
1.863000000000000000e+03, 2.889962762128561735e+00, 2.997319854330271482e+00, 2.855696075130254030e+00, 2.984124643262475729e+00, 3.052478225436061621e+00, 2.853034716099500656e+00, 2.957648097071796656e+00, 2.933065337128937244e+00, 3.094902809243649244e+00, 2.855243452358990908e+00, 2.987866953480988741e+00, 3.215206484310328960e+00, 3.196745133027434349e+00, 2.833062736317515373e+00, 3.095097059849649668e+00, 2.836021443363279104e+00
1.864000000000000000e+03, 2.906702260952442884e+00, 2.996691211592406034e+00, 2.860657952260226011e+00, 2.983389445580542088e+00, 3.046978858765214682e+00, 2.896500646602362394e+00, 2.957381238229572773e+00, 2.949191909283399582e+00, 3.103296447079628706e+00, 2.859006507787853479e+00, 2.983895502984523773e+00, 3.230656322557479143e+00, 3.188686876092106104e+00, 2.849047549534589052e+00, 3.111426054965704679e+00, 2.855863294098526239e+00
1.865000000000000000e+03, 2.906183002050966024e+00, 3.001856768969446421e+00, 2.843841444700956345e+00, 2.996236702892929316e+00, 3.058583603706210852e+00, 2.865451981779187918e+00, 2.971793501637876034e+00, 2.912926452700048685e+00, 3.076139709446579218e+00, 2.861699613276869059e+00, 2.996216900646686554e+00, 3.215058124624192715e+00, 3.215376532170921564e+00, 2.849391102790832520e+00, 3.108615393284708261e+00, 2.854290744289755821e+00
1.866000000000000000e+03, 2.927444328088313341e+00, 3.005991352256387472e+00, 2.862509933765977621e+00, 3.004206321202218533e+00, 3.049886017106473446e+00, 2.852031716611236334e+00, 2.968984097242355347e+00, 2.931980299763381481e+00, 3.078842873219400644e+00, 2.861411066260188818e+00, 2.986656501889228821e+00, 3.226637409534305334e+00, 3.206521470565348864e+00, 2.835587679874151945e+00, 3.114124189596623182e+00, 2.843108132947236300e+00
1.867000000000000000e+03, 2.926847117487341166e+00, 3.015837154816836119e+00, 2.867021388374269009e+00, 2.991614292841404676e+00, 3.054304432589560747e+00, 2.847486000973731279e+00, 2.969203807879239321e+00, 2.944634563755244017e+00, 3.097209928091615438e+00, 2.893260307610034943e+00, 2.991653583012521267e+00, 3.223166672978550196e+00, 3.184155619237571955e+00, 2.836731181014329195e+00, 3.107863850891590118e+00, 2.849858812987804413e+00
1.868000000000000000e+03, 2.935582108329981565e+00, 2.996645320672541857e+00, 2.862716757226735353e+00, 2.996692468877881765e+00, 3.055970021523535252e+00, 2.883052406832575798e+00, 2.966326510068029165e+00, 2.924748708028346300e+00, 3.084699937608093023e+00, 2.852105267811566591e+00, 2.994382206816226244e+00, 3.224728850182145834e+00, 3.189398813992738724e+00, 2.826749905943870544e+00, 3.105150943156331778e+00, 2.865510759875178337e+00
1.869000000000000000e+03, 2.911448513623327017e+00, 2.995097916573286057e+00, 2.870949776843190193e+00, 2.990182244684547186e+00, 3.100908861961215734e+00, 2.878740860614925623e+00, 2.961772622074931860e+00, 2.930893690790981054e+00, 3.081490402109920979e+00, 2.842957573011517525e+00, 2.993365691509097815e+00, 3.219554806128144264e+00, 3.194816771429032087e+00, 2.826501906383782625e+00, 3.083674935624003410e+00, 2.864207583479583263e+00
