year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM
1.860000000000000000e+03, -7.263396157499999450e-01, -9.320982803437499742e-01, -1.015983301218750023e+00, 6.603817637812499086e-01, -3.110920458750000006e-01, -1.260198516374999800e+00, 1.593652912312499836e+00, -2.808559203749999567e-01, -1.051907547937499965e+00, -1.824366839062499857e+00, -8.167478459062499363e-01, 1.170902484562500012e+00, 1.605862394999999943e+00, -5.668018866562499758e-01, 1.249057808437499917e+00, -4.256584842656249701e-01
1.861000000000000000e+03, -1.652938374937499955e+00, 3.786654403124999901e-01, -1.326878893828124795e-01, 1.194014676937499964e+00, -1.479424438828124966e-01, -1.400005857937499876e+00, 1.681525019812499799e+00, -2.698668562499999535e-01, -1.241683311937499923e+00, -2.968252333874999760e+00, -3.071624570156250011e-01, 1.862639470687499799e+00, -1.644732485999999883e+00, -7.798983994687499477e-01, 6.487069764374999714e-01, -4.561099723124999450e-01
1.862000000000000000e+03, -1.526700413671874812e-01, 6.114039536249999962e-01, -5.190005171249999494e-01, 1.284298302937499914e+00, 3.944897369999999515e-01, 1.428836660437499795e+00, 1.464384014999999817e+00, 1.887905103749999980e-01, 2.146182479999999837e-01, -1.195988879812500016e+00, 2.046481785562499933e+00, 8.260995017812499119e-01, -4.732429206093749507e-01, 6.118418235937499450e-01, -5.346630070312499150e-01, -9.132394443749999868e-02
1.863000000000000000e+03, -8.644470929999998887e-01, -1.296074535187499821e+00, -3.206660551874999654e-01, -1.136454701624999952e+00, 7.746943435312498849e-01, -9.032396374687499119e-01, 1.576868615437499788e+00, -8.224989775312498974e-01, -3.424553369999999930e+00, 8.241738347812499477e-01, -3.789822294799804342e-03, 2.658536045999999597e+00, 3.633213284999999848e-01, 6.895392595312499484e-01, 9.061419349687499514e-01, -1.297523712937499907e+00
1.864000000000000000e+03, -6.957526522499999366e-01, -1.103232634312499849e+00, -5.425521809062499035e-01, -1.769878544062499781e+00, 5.501441033437499684e-01, -1.004184340874999970e+00, 2.944915139531249504e-01, -3.959504943749999478e-02, -2.391443125874999964e+00, -2.076006749624999870e+00, -5.361859740937499064e-01, 1.692954479249999977e+00, -1.268081530874999974e+00, -5.007649175156249077e-01, -2.215614157874999712e+00, -1.549871212499999817e+00
1.865000000000000000e+03, -2.151604947374999632e+00, 8.998909084687499726e-01, -6.275978128124999333e-01, 2.258570901796874697e-01, -5.064960696679687152e-02, -7.516962843749999124e-01, -9.277061532187499404e-01, -1.162887413062499986e+00, -1.918837854562499778e+00, -1.485637923937499938e+00, 1.605974372437499964e+00, 2.640517903124999677e+00, 1.861062177937499840e+00, -8.284930964999999148e-01, -2.614815570374999787e+00, 8.140350877734374435e-02
1.866000000000000000e+03, -1.188402747187499831e+00, -9.721386525937498746e-01, -1.037667072937499935e+00, 9.148830119999998844e-01, -6.035849350312499917e-01, 1.212047124960937416e-01, 2.598014212031249937e-01, -5.127240832031250140e-01, 1.690644959999999808e-01, 1.208750735249999986e+00, -2.402281131328124764e-01, 2.294825198624999896e+00, 2.597211337499999786e-02, -1.374190439062499935e+00, -2.113899470999999863e+00, -1.392422035078124953e-01
1.867000000000000000e+03, 3.407495288906249864e-01, -6.922389135937498938e-01, -9.892162589062499789e-01, -6.513577866562499930e-01, -1.546219934999999990e-01, 1.299375836999999922e+00, -3.514198145624999881e-01, -1.368353076187499795e+00, -2.677429066499999788e+00, 6.529308910312499048e-01, -1.377648312187499835e+00, -4.675485168281249826e-01, -6.626191567499999380e-01, -9.671546711249999762e-01, -1.776703131562499927e+00, -3.116874110624999750e-01
1.868000000000000000e+03, 7.423880520937499172e-01, 1.116025548398437428e-01, 1.680214212421874964e-01, -1.301945035499999959e+00, -5.915140382812499320e-01, -1.060579824750000011e+00, 4.316842316249999700e-01, -5.954427956249999099e-01, -6.701597099999999640e-01, -4.927445797499999669e-01, 7.032700462499999472e-02, -3.068001933749999743e-01, -3.417879995156249961e-01, 5.670668629687499740e-01, -3.478343499843749576e-01, -8.793491464687499537e-01
1.869000000000000000e+03, 2.469620346328124938e-01, -6.655647546562499794e-01, 2.883275232714843650e-02, 5.722053215624999245e-01, 3.074100638906249738e-01, -7.690859862187499063e-01, 8.035562508749999333e-01, -6.317233005937499257e-01, 1.232592444000000009e+00, -8.373472596562498982e-01, 1.605985212937499851e+00, 5.756041262812499060e-01, 2.016964705499999955e+00, 3.353841281249999584e-01, 6.594573647812499440e-01, -1.038482820562499853e+00
