year, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, EC-Earth3-Veg, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
1.850000000000000000e+03, 3.748946463000000051e+01, 3.745416007799999392e+01, 5.857923952799999512e+01, 3.738635373599999667e+01, 4.711170529799999684e+01, 4.111701523199999997e+01, 3.516549794999999534e+01, 5.782136637599999318e+01, 6.186478220999999422e+01, 3.542308793999999494e+01, 4.062114710999999545e+01, 3.970773840599999716e+01, 3.481672161599999527e+01, 5.676104721599999436e+01
1.851000000000000000e+03, 3.777590611799999465e+01, 3.770889211799999430e+01, 5.842944746999999239e+01, 3.778632088199999828e+01, 4.656266353799999536e+01, 4.080038984999999485e+01, 3.536491584599999527e+01, 5.807150992799999756e+01, 6.026296233599999397e+01, 3.522842409599999769e+01, 4.118282297999999741e+01, 4.113512083799999886e+01, 3.588330461399999649e+01, 5.751144239399999236e+01
1.852000000000000000e+03, 3.794206930200000016e+01, 3.746321090999999370e+01, 5.841772396199999662e+01, 3.706528177799999924e+01, 4.794177223799999865e+01, 4.072723815599999853e+01, 3.539712592799999413e+01, 5.797583364599999811e+01, 6.054007310999999447e+01, 3.503827384199999528e+01, 4.162693264199999987e+01, 4.014166193999999876e+01, 3.524774383799999811e+01, 5.649204513599999444e+01
1.853000000000000000e+03, 3.691696796999999464e+01, 3.724054703999999560e+01, 5.894830533599999711e+01, 3.794774183999999906e+01, 4.799358588599999820e+01, 4.108571969399999801e+01, 3.548111417999999873e+01, 5.822668281599999318e+01, 6.069467046599999804e+01, 3.525473300399999488e+01, 4.189070368799999500e+01, 4.056353083799999837e+01, 3.544147342799999478e+01, 5.568164483399999654e+01
1.854000000000000000e+03, 3.744820371599999476e+01, 3.757361450399999825e+01, 5.962410998999999379e+01, 3.705123248999999674e+01, 4.682657255399999485e+01, 4.137422284799999517e+01, 3.588441625799999457e+01, 5.876778144599999365e+01, 6.118001344799999686e+01, 3.539625868799999608e+01, 4.102371203399999899e+01, 4.043385086400000006e+01, 3.695801207399999555e+01, 5.553391444199999682e+01
1.855000000000000000e+03, 3.654992046599999611e+01, 3.767683577399999706e+01, 5.877751030199999605e+01, 3.701729581200000041e+01, 4.700643024599999364e+01, 4.096976576399999459e+01, 3.566058161399999449e+01, 5.882114035799999385e+01, 6.011482591799999398e+01, 3.582935046000000057e+01, 4.045214568599999438e+01, 3.999442429799999843e+01, 3.557863531799999635e+01, 5.649468233399999662e+01
1.856000000000000000e+03, 3.720129654599999469e+01, 3.759671856599999984e+01, 5.899061482199999773e+01, 3.724690154399999642e+01, 4.824861751799999610e+01, 4.084323938999999370e+01, 3.581189922599999420e+01, 5.840963891999999902e+01, 6.059263967999999778e+01, 3.566444871599999544e+01, 4.086436456799999917e+01, 4.048025214599999799e+01, 3.549164326199999664e+01, 5.621386607999999541e+01
1.857000000000000000e+03, 3.722846480999999841e+01, 3.768440047200000009e+01, 5.883209517599999572e+01, 3.699809038799999428e+01, 4.766660092799999404e+01, 4.095799495199999996e+01, 3.544809598799999861e+01, 5.932388332799999375e+01, 5.975422752599999399e+01, 3.555866514599999562e+01, 4.053453348599999373e+01, 4.084739425799999424e+01, 3.665559760200000028e+01, 5.648799670199999667e+01
1.858000000000000000e+03, 3.700885204799999428e+01, 3.798905399999999588e+01, 5.792652316799999568e+01, 3.704371509599999968e+01, 4.722795093599999916e+01, 4.063898071799999911e+01, 3.560909515199999475e+01, 5.940301109399999291e+01, 6.095019484799999532e+01, 3.557536739999999753e+01, 4.126504127399999788e+01, 4.050237465000000014e+01, 3.615299654399999696e+01, 5.621140627199999784e+01
1.859000000000000000e+03, 3.714263170199999564e+01, 3.822901536599999872e+01, 5.948025852599999297e+01, 3.701951909999999657e+01, 4.722685900199999764e+01, 4.104873584999999991e+01, 3.575183102999999818e+01, 5.942278022399999315e+01, 6.146597795399999598e+01, 3.549343687199999664e+01, 4.019469366599999915e+01, 4.041904076999999518e+01, 3.580046348399999800e+01, 5.575051157399999369e+01
1.860000000000000000e+03, 3.742761464999999532e+01, 3.768892588799999999e+01, 5.889901850999999766e+01, 3.766163936399999557e+01, 4.655481501599999916e+01, 4.107802885199999565e+01, 3.606598477800000069e+01, 5.811593232599999226e+01, 6.127471999799999480e+01, 3.549047248799999466e+01, 4.089000727799999879e+01, 4.049877954599999441e+01, 3.641462314199999639e+01, 5.627300002199999795e+01
1.861000000000000000e+03, 3.690854391599999929e+01, 3.765245450399999783e+01, 5.768546592599999201e+01, 3.758738390999999979e+01, 4.687209476999999680e+01, 4.119470416799999413e+01, 3.529180751399999849e+01, 5.799893376599999328e+01, 6.132555208799999491e+01, 3.504719458799999643e+01, 4.071090250799999666e+01, 4.181336953199999584e+01, 3.585426784199999872e+01, 5.620544202599999295e+01
1.862000000000000000e+03, 3.819611149200000000e+01, 3.705705876599999726e+01, 5.796925444799999383e+01, 3.754650536999999844e+01, 4.660818969599999662e+01, 4.133027348999999617e+01, 3.541502655000000033e+01, 5.812594500599999492e+01, 6.066272843999999509e+01, 3.523827515400000010e+01, 4.001759537399999545e+01, 4.033570294799999800e+01, 3.588188549399999516e+01, 5.566726835999999423e+01
1.863000000000000000e+03, 3.720825811799999627e+01, 3.785408780399999529e+01, 5.874192192599999629e+01, 3.705878930399999405e+01, 4.713791959799999631e+01, 4.169886625799999536e+01, 3.527803416599999764e+01, 5.854650910199999458e+01, 6.120944047799999765e+01, 3.531279866399999889e+01, 4.097187867599999578e+01, 4.038462316799999741e+01, 3.592732886999999664e+01, 5.564498817599999825e+01
1.864000000000000000e+03, 3.701605013999999727e+01, 3.781242086399999636e+01, 5.866793452799999642e+01, 3.705284476799999993e+01, 4.740647623199999572e+01, 4.157887177799999989e+01, 3.555582690600000006e+01, 5.887356501599999348e+01, 6.137095210199999684e+01, 3.552516208799999475e+01, 4.128954080399999782e+01, 4.081360737600000022e+01, 3.627892767599999502e+01, 5.562218370599999417e+01
1.865000000000000000e+03, 3.655493468999999607e+01, 3.803125310999999442e+01, 5.898937703399999322e+01, 3.669185611799999691e+01, 4.756772374199999831e+01, 4.128916237199999983e+01, 3.609972041399999654e+01, 5.897256046199999702e+01, 6.077525282999999234e+01, 3.526060264199999494e+01, 4.149702403199999878e+01, 4.081128159599999350e+01, 3.624918528599999945e+01, 5.720626063799999628e+01
1.866000000000000000e+03, 3.701458765799999640e+01, 3.811153588199999831e+01, 5.936467120199999670e+01, 3.700590737399999597e+01, 4.695287423399999938e+01, 4.127746251599999994e+01, 3.515475994199999832e+01, 5.897911206599999900e+01, 6.172109630999999297e+01, 3.497676681599999426e+01, 3.987814318199999519e+01, 4.112742605399999718e+01, 3.636590002199999816e+01, 5.673344138999999586e+01
1.867000000000000000e+03, 3.715745756399999777e+01, 3.709626195599999932e+01, 5.890106440799999632e+01, 3.658242619800000028e+01, 4.650254015399999474e+01, 4.153477262399999859e+01, 3.526496249399999527e+01, 5.908023619199999388e+01, 6.197811470999999273e+01, 3.542063995799999532e+01, 4.043780074799999369e+01, 4.050290287799999334e+01, 3.630705384599999519e+01, 5.526586632599999405e+01
1.868000000000000000e+03, 3.666992677199999662e+01, 3.741568221600000044e+01, 5.943228438599999208e+01, 3.708326123999999879e+01, 4.622706530999999330e+01, 4.135906585799999391e+01, 3.592833407999999906e+01, 5.836561466399999887e+01, 6.165470514599999774e+01, 3.580669578599999880e+01, 4.107895127999999829e+01, 4.084612887599999453e+01, 3.635312794200000042e+01, 5.541387265799999540e+01
1.869000000000000000e+03, 3.729648796200000049e+01, 3.779233637399999424e+01, 6.009324740999999648e+01, 3.709245792599999447e+01, 4.672077321599999777e+01, 4.096488162600000038e+01, 3.507183997199999936e+01, 5.916867496199999721e+01, 6.167123395199999436e+01, 3.562183175399999868e+01, 4.025499838199999658e+01, 4.076793536399999596e+01, 3.611450685599999844e+01, 5.588959321799999458e+01
1.870000000000000000e+03, 3.668185920599999861e+01, 3.764941127999999537e+01, 5.834743021799999241e+01, 3.662883142199999753e+01, 4.676011043399999778e+01, 4.090780934999999374e+01, 3.523176296999999835e+01, 5.878181102399999247e+01, 6.145437270599999380e+01, 3.612695174999999637e+01, 4.035847588199999336e+01, 4.020890851799999410e+01, 3.635031335400000074e+01, 5.536490119199999782e+01
1.871000000000000000e+03, 3.697522284599999409e+01, 3.749187713399999922e+01, 5.775703687799999386e+01, 3.733522993799999767e+01, 4.709507794199999609e+01, 4.128293795399999766e+01, 3.510235893599999457e+01, 5.851312036199999511e+01, 6.129729583199999610e+01, 3.562322722199999703e+01, 4.166308866600000016e+01, 4.052079955800000022e+01, 3.621347864999999899e+01, 5.647069132199999331e+01
1.872000000000000000e+03, 3.726873233999999968e+01, 3.776260975199999592e+01, 5.843639721599999604e+01, 3.684414346199999812e+01, 4.696044681599999393e+01, 4.126852994399999375e+01, 3.533080966200000006e+01, 5.906330530199999629e+01, 6.183285595199999563e+01, 3.552015968999999984e+01, 4.178603964599999898e+01, 4.056136667999999901e+01, 3.641874647399999532e+01, 5.688242927999999665e+01
1.873000000000000000e+03, 3.724460729999999842e+01, 3.764380181399999969e+01, 5.987814429599999499e+01, 3.723608075399999962e+01, 4.608885090599999756e+01, 4.151502714599999422e+01, 3.467995392599999604e+01, 5.809262722199999729e+01, 6.193938061799999417e+01, 3.495071019599999573e+01, 4.053592501199999987e+01, 4.065117332399999839e+01, 3.709587958199999491e+01, 5.562515203199999547e+01
1.874000000000000000e+03, 3.723136612199999718e+01, 3.765812309999999741e+01, 5.911269067799999277e+01, 3.699688019399999916e+01, 4.662614550599999319e+01, 4.167018820799999901e+01, 3.532399000199999506e+01, 5.807262945599999426e+01, 6.249969649799999871e+01, 3.560495999399999789e+01, 4.123355651999999338e+01, 4.030629957000000019e+01, 3.641668874999999872e+01, 5.512150240199999729e+01
1.875000000000000000e+03, 3.635460224999999923e+01, 3.803525818199999975e+01, 5.902209957599999512e+01, 3.746055400199999497e+01, 4.603841695799999911e+01, 4.140238055399999695e+01, 3.530129196599999375e+01, 5.799508637399999600e+01, 6.219054120599999180e+01, 3.539397626999999602e+01, 4.060505586599999361e+01, 4.092454708199999658e+01, 3.613160330999999559e+01, 5.605391548799999413e+01
1.876000000000000000e+03, 3.691963276199999910e+01, 3.829867050600000056e+01, 5.832859139999999343e+01, 3.705081463799999852e+01, 4.623407418599999374e+01, 4.132302809399999433e+01, 3.543917129999999815e+01, 5.779461202199999548e+01, 6.248622274199999538e+01, 3.526664178599999389e+01, 4.011807301199999642e+01, 4.088768149799999918e+01, 3.681375064199999514e+01, 5.702188541399999622e+01
1.877000000000000000e+03, 3.760389300599999984e+01, 3.831291689399999711e+01, 5.951555913599999315e+01, 3.728265548399999574e+01, 4.665177244799999556e+01, 4.137922918799999650e+01, 3.485676839399999949e+01, 5.795906437799999367e+01, 6.273849103199999178e+01, 3.576382259399999697e+01, 4.059959225399999383e+01, 4.053028400999999548e+01, 3.644833512599999636e+01, 5.615568215999999779e+01
1.878000000000000000e+03, 3.757411907999999556e+01, 3.823619768999999735e+01, 5.836759748999999431e+01, 3.686832763199999619e+01, 4.643420952599999652e+01, 4.133859505199999518e+01, 3.563897156999999538e+01, 5.810241520799999648e+01, 6.208816746599999448e+01, 3.586309792199999436e+01, 4.116620744999999459e+01, 4.077932380200000040e+01, 3.613211182799999932e+01, 5.523733412999999359e+01
1.879000000000000000e+03, 3.725668952999999561e+01, 3.794476957199999845e+01, 5.919639510599999710e+01, 3.772866518999999386e+01, 4.730010530399999880e+01, 4.184157059999999717e+01, 3.508105636799999871e+01, 5.759366462999999214e+01, 6.255940991399999263e+01, 3.510000556199999977e+01, 3.958254836999999782e+01, 4.112272324799999978e+01, 3.597402186000000057e+01, 5.507072944199999398e+01
1.880000000000000000e+03, 3.709492167599999846e+01, 3.804049315799999675e+01, 6.029807372999999870e+01, 3.783908849399999497e+01, 4.655140912799999597e+01, 4.192198345799999970e+01, 3.526464713400000051e+01, 5.792038941599999902e+01, 6.318686593799999685e+01, 3.506526865800000081e+01, 4.101701063399999470e+01, 4.054622545799999500e+01, 3.628827021599999370e+01, 5.556673553399999577e+01
1.881000000000000000e+03, 3.797513085599999982e+01, 3.791714403599999628e+01, 5.852392144199999535e+01, 3.779353474199999852e+01, 4.593226283999999993e+01, 4.143517405199999359e+01, 3.468160562399999947e+01, 5.864984468999999478e+01, 6.322972730399999364e+01, 3.512198615399999824e+01, 4.113141929999999746e+01, 4.052560879800000038e+01, 3.627598300199999670e+01, 5.549992257599999590e+01
1.882000000000000000e+03, 3.682941220799999371e+01, 3.784038935399999559e+01, 5.730020638199999894e+01, 3.752297162999999358e+01, 4.593296845799999772e+01, 4.185366465599999941e+01, 3.568879845000000017e+01, 5.930450839799999585e+01, 6.263104787999999701e+01, 3.553926656399999473e+01, 4.167107515799999362e+01, 4.131229402799999662e+01, 3.696465828599999526e+01, 5.590946089799999896e+01
1.883000000000000000e+03, 3.799704443399999576e+01, 3.759794058600000000e+01, 5.978456515799999238e+01, 3.701211996600000020e+01, 4.764421036799999598e+01, 4.181901053400000023e+01, 3.530864773799999767e+01, 5.808058835399999253e+01, 6.249260483999999849e+01, 3.519300522599999681e+01, 4.166159858999999699e+01, 4.058008329599999797e+01, 3.558581764199999498e+01, 5.549849951399999526e+01
1.884000000000000000e+03, 3.641471774999999411e+01, 3.748493132999999489e+01, 5.753922955199999478e+01, 3.665764349999999894e+01, 4.587327869399999969e+01, 4.148135458199999448e+01, 3.506210717399999766e+01, 5.694802415999999567e+01, 6.164343890999999331e+01, 3.574337149799999480e+01, 3.940146077400000024e+01, 3.975854290199999497e+01, 3.542101839000000041e+01, 5.386349982599999464e+01
1.885000000000000000e+03, 3.672723556799999756e+01, 3.736992347999999708e+01, 5.883378629399999227e+01, 3.666214920599999516e+01, 4.604765700599999434e+01, 4.143822515999999467e+01, 3.533793285599999479e+01, 5.823229228199999596e+01, 6.259498252199999513e+01, 3.497744483999999687e+01, 3.976077407399999686e+01, 4.118361137999999499e+01, 3.614414675399999766e+01, 5.451131627999999552e+01
1.886000000000000000e+03, 3.693088322999999917e+01, 3.793562018999999452e+01, 5.948763400799999346e+01, 3.675756137399999801e+01, 4.690644535799999915e+01, 4.189094020799999640e+01, 3.553745718599999748e+01, 5.937097051799999292e+01, 6.282547126199999354e+01, 3.529870601399999686e+01, 3.941026325999999358e+01, 4.010057053199999899e+01, 3.684089131199999656e+01, 5.445282882599999397e+01
1.887000000000000000e+03, 3.650226956999999572e+01, 3.798047620799999891e+01, 5.933026936799999618e+01, 3.731986007999999799e+01, 4.689948772799999688e+01, 4.182729661799999832e+01, 3.587663474999999380e+01, 5.862045707999999422e+01, 6.248129524199999452e+01, 3.485603124000000008e+01, 4.065597862199999923e+01, 4.083888347999999979e+01, 3.654293524199999865e+01, 5.544253888199999381e+01
1.888000000000000000e+03, 3.727094774399999721e+01, 3.813529037400000021e+01, 5.965701386399999251e+01, 3.723362488799999426e+01, 4.778601593399999814e+01, 4.191972863399999483e+01, 3.565169634599999426e+01, 5.872369411799999739e+01, 6.320335926599999254e+01, 3.457341743399999956e+01, 4.010445734399999651e+01, 4.095072590399999513e+01, 3.618638922599999574e+01, 5.606250904799999546e+01
1.889000000000000000e+03, 3.675503455199999792e+01, 3.796885125000000016e+01, 5.975384120999999737e+01, 3.765189079799999661e+01, 4.718104113599999749e+01, 4.212554045399999580e+01, 3.564855062999999546e+01, 5.850180682199999893e+01, 6.384687499799999699e+01, 3.561286764599999799e+01, 4.057452507599999336e+01, 4.014251341199999956e+01, 3.698631563400000033e+01, 5.508181434599999449e+01
1.890000000000000000e+03, 3.714771293999999813e+01, 3.829499656199999436e+01, 5.966496093599999284e+01, 3.683845121399999556e+01, 4.705967089799999314e+01, 4.191333865200000020e+01, 3.541605935399999794e+01, 5.636568038399999381e+01, 6.302917805399999196e+01, 3.501235519199999402e+01, 4.148785099799999898e+01, 4.046575741199999499e+01, 3.699546895799999646e+01, 5.459856456599999319e+01
1.891000000000000000e+03, 3.761461524599999962e+01, 3.772833011999999542e+01, 5.834314526399999323e+01, 3.739035486599999558e+01, 4.700238969599999450e+01, 4.157287993799999981e+01, 3.552172860599999638e+01, 5.709239596799999816e+01, 6.283024896599999209e+01, 3.432251701799999921e+01, 3.969463519800000029e+01, 4.139531254799999971e+01, 3.541382029799999742e+01, 5.449040791199999489e+01
1.892000000000000000e+03, 3.681612372600000072e+01, 3.829035288599999376e+01, 6.086176790399999703e+01, 3.701259300599999591e+01, 4.680613722599999704e+01, 4.157269466399999658e+01, 3.565083698999999484e+01, 5.809084543799999523e+01, 6.361257434399999511e+01, 3.491136903599999641e+01, 4.017656046599999797e+01, 4.057270387199999817e+01, 3.639396311999999511e+01, 5.558423012999999457e+01
1.893000000000000000e+03, 3.766042128599999472e+01, 3.801797645399999936e+01, 5.989424342399999546e+01, 3.722324165999999934e+01, 4.681907486999999435e+01, 4.182597998999999334e+01, 3.568404439799999750e+01, 5.878649017799999399e+01, 6.301022491799999869e+01, 3.539076748199999400e+01, 4.015495830599999749e+01, 4.054143198599999920e+01, 3.665385129599999914e+01, 5.601360853799999262e+01
1.894000000000000000e+03, 3.756274640999999548e+01, 3.840800975999999878e+01, 5.842752377399999375e+01, 3.698713951199999883e+01, 4.700361959999999328e+01, 4.192679269799999986e+01, 3.540785211000000032e+01, 5.852437871399999381e+01, 6.347247960599999317e+01, 3.521693710799999621e+01, 4.247824696200000005e+01, 3.943503084599999653e+01, 3.653866211399999742e+01, 5.492700412199999249e+01
1.895000000000000000e+03, 3.766218730199999953e+01, 3.834553300199999626e+01, 5.961341928599999562e+01, 3.714645938399999636e+01, 4.662734781599999678e+01, 4.240843808399999659e+01, 3.631653435599999824e+01, 5.922096953399999819e+01, 6.444239687999998978e+01, 3.507956234999999623e+01, 4.147724307599999349e+01, 4.094461580399999434e+01, 3.680328857399999976e+01, 5.464207636199999740e+01
1.896000000000000000e+03, 3.781145113199999486e+01, 3.795605551799999944e+01, 5.967011707199999648e+01, 3.763462483800000058e+01, 4.674304157399999582e+01, 4.242244400999999954e+01, 3.601207004399999789e+01, 5.854171562999999878e+01, 6.414088118399999416e+01, 3.530967265799999666e+01, 4.167622735199999795e+01, 4.098959008199999943e+01, 3.641075209799999612e+01, 5.476544913599999376e+01
1.897000000000000000e+03, 3.761589639599999657e+01, 3.839696427599999851e+01, 5.962943168999999699e+01, 3.701480052599999482e+01, 4.669569026999999295e+01, 4.228634645999999719e+01, 3.555681240599999882e+01, 5.885882587799999754e+01, 6.365363027399999396e+01, 3.502341250199999934e+01, 4.149928279799999586e+01, 4.057549874999999417e+01, 3.645273439799999693e+01, 5.540535793799999453e+01
1.898000000000000000e+03, 3.787617482999999652e+01, 3.836525876999999696e+01, 6.058807878599999697e+01, 3.748801003199999826e+01, 4.668833449799999613e+01, 4.268198529000000008e+01, 3.612453136199999904e+01, 5.840032397399999553e+01, 6.379301939399999810e+01, 3.501908418600000061e+01, 4.102614030599999495e+01, 4.116520618199999859e+01, 3.722508257399999820e+01, 5.655142742399999634e+01
