year, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, NorESM2-LM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5
1.860000000000000000e+03, 4.129049018367999793e+02, 5.288324780523520303e+02, 5.033537589739519831e+02, 5.033358409072640143e+02, 5.766475436523519420e+02, 4.200940060016640132e+02, 5.386293991178239366e+02, 4.090957691617280148e+02, 5.646721681981439360e+02, 5.214157406207999657e+02, 5.850708469350399810e+02, 3.915457274839039883e+02, 5.737546818519040244e+02, 5.201240292065280073e+02, 3.637232648847360110e+02, 6.355693946798079423e+02
1.861000000000000000e+03, 4.131894434201599893e+02, 5.286783625461760039e+02, 5.030481787617279679e+02, 5.039392167034880003e+02, 5.770949584486399999e+02, 4.177881118801919911e+02, 5.389973234647039817e+02, 4.082647265443840183e+02, 5.626543053209600203e+02, 5.209078607380480435e+02, 5.847699307888640305e+02, 3.915202261155839665e+02, 5.744008059944959541e+02, 5.194533432197119964e+02, 3.633288996454400035e+02, 6.360623763947519365e+02
1.862000000000000000e+03, 4.125730820587519929e+02, 5.285902486077440017e+02, 5.040802795356160004e+02, 5.043551909969920075e+02, 5.776009592832000408e+02, 4.158249091727359996e+02, 5.390688615137279385e+02, 4.068912765337599922e+02, 5.636449999257599757e+02, 5.208419598335999581e+02, 5.843230528634879875e+02, 3.920571305820159864e+02, 5.750977986560000090e+02, 5.191709155655679524e+02, 3.632746756833279846e+02, 6.368635891220479834e+02
1.863000000000000000e+03, 4.130124773457919787e+02, 5.285905841520640251e+02, 5.050774501457919996e+02, 5.041156123525120165e+02, 5.773164848087039900e+02, 4.163367820328959965e+02, 5.383910619873280439e+02, 4.055473208688640057e+02, 5.640483241983999960e+02, 5.197365426257920262e+02, 5.844929053982720006e+02, 3.931461061181440186e+02, 5.755352142315520041e+02, 5.186684043919359510e+02, 3.639648903495680088e+02, 6.367921181818879859e+02
1.864000000000000000e+03, 4.127661207060480137e+02, 5.282227604684800326e+02, 5.046115133030399988e+02, 5.028087343349760090e+02, 5.768965175377919650e+02, 4.156360312750080084e+02, 5.377522862653439688e+02, 4.034872465162239905e+02, 5.621871940730879942e+02, 5.182885682216959822e+02, 5.844308968079359374e+02, 3.941020718858239889e+02, 5.761821436805120129e+02, 5.183300414996480185e+02, 3.639832781783039763e+02, 6.348860251176960219e+02
1.865000000000000000e+03, 4.112383874170880063e+02, 5.281048837488640402e+02, 5.056031809863679882e+02, 5.035146189209600038e+02, 5.764222591959039619e+02, 4.148783050915839681e+02, 5.367795097272320390e+02, 4.027377411686400137e+02, 5.618617160826879626e+02, 5.182250161274879474e+02, 5.846506112286720054e+02, 3.951068257976319842e+02, 5.760802053160959986e+02, 5.180644917247999501e+02, 3.633679570042879732e+02, 6.348269693173759833e+02
1.866000000000000000e+03, 4.105215305318399714e+02, 5.281718583951360415e+02, 5.057294798684159787e+02, 5.033100711034879851e+02, 5.762630098616319856e+02, 4.150090331586559955e+02, 5.363368261058559483e+02, 4.032808867594239928e+02, 5.615700945141759348e+02, 5.185341866639359978e+02, 5.850548750254080232e+02, 3.950018675343359860e+02, 5.767072705413120275e+02, 5.172396902318080265e+02, 3.631108293918720165e+02, 6.352254617518079840e+02
1.867000000000000000e+03, 4.098312823111679677e+02, 5.282946340618240129e+02, 5.052625363927039643e+02, 5.025797588910079980e+02, 5.760908085166080355e+02, 4.159549325967360005e+02, 5.349617990369280278e+02, 4.025179931934719662e+02, 5.634914548449279437e+02, 5.179449708380159336e+02, 5.848602593198079376e+02, 3.946404863016960007e+02, 5.761859688857599622e+02, 5.161204485980159689e+02, 3.620160153845760078e+02, 6.354022936084479625e+02
1.868000000000000000e+03, 4.090335256903679806e+02, 5.290145779548159908e+02, 5.051447603363839676e+02, 5.026962263244799942e+02, 5.760604082012159779e+02, 4.151825431265280031e+02, 5.340588828262399375e+02, 4.006977323663359698e+02, 5.633450904125439820e+02, 5.177712930979839712e+02, 5.846455109550080351e+02, 3.934821202001920142e+02, 5.751015567523839991e+02, 5.163304657879040178e+02, 3.625975136911359868e+02, 6.345448436531199832e+02
1.869000000000000000e+03, 4.090039642357759817e+02, 5.297383134986239384e+02, 5.063420160245759689e+02, 5.023056527360000132e+02, 5.760031643402239752e+02, 4.146676839219200019e+02, 5.338357122990080370e+02, 4.014050933473279770e+02, 5.619812705239039587e+02, 5.164340818739200358e+02, 5.853545161031679527e+02, 3.939395006627839848e+02, 5.751612836413439709e+02, 5.167923760988160211e+02, 3.628709152030720020e+02, 6.341323254661119790e+02
