year, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
1.863000000000000000e+03, 2.871485290527343750e+02, 2.866527404785156250e+02, 2.865816345214843750e+02, 2.881622009277343750e+02, 2.863629150390625000e+02, 2.877194213867187500e+02, 2.877339172363281250e+02, 2.858893127441406250e+02, 2.866749572753906250e+02, 2.870115661621093750e+02, 2.870731506347656250e+02, 2.869289245605468750e+02, 2.861804809570312500e+02, 2.866333923339843750e+02, 2.867803039550781250e+02, 2.864111633300781250e+02
1.864000000000000000e+03, 2.870584411621093750e+02, 2.866392211914062500e+02, 2.866243591308593750e+02, 2.882725524902343750e+02, 2.864094543457031250e+02, 2.878607482910156250e+02, 2.877741394042968750e+02, 2.859876403808593750e+02, 2.868873901367187500e+02, 2.871594238281250000e+02, 2.871954345703125000e+02, 2.869370727539062500e+02, 2.862708435058593750e+02, 2.866154479980468750e+02, 2.868493347167968750e+02, 2.865459899902343750e+02
1.865000000000000000e+03, 2.871211242675781250e+02, 2.865166320800781250e+02, 2.865551452636718750e+02, 2.884770507812500000e+02, 2.864049987792968750e+02, 2.876020202636718750e+02, 2.876412048339843750e+02, 2.860991516113281250e+02, 2.868361511230468750e+02, 2.872180480957031250e+02, 2.872170104980468750e+02, 2.866391601562500000e+02, 2.863426818847656250e+02, 2.864265747070312500e+02, 2.868971252441406250e+02, 2.866307067871093750e+02
1.866000000000000000e+03, 2.870057373046875000e+02, 2.867551574707031250e+02, 2.864950256347656250e+02, 2.882773742675781250e+02, 2.864299621582031250e+02, 2.874873962402343750e+02, 2.876916198730468750e+02, 2.862300109863281250e+02, 2.866806335449218750e+02, 2.873902893066406250e+02, 2.872050476074218750e+02, 2.868859252929687500e+02, 2.863442382812500000e+02, 2.865055847167968750e+02, 2.870728454589843750e+02, 2.866284484863281250e+02
1.867000000000000000e+03, 2.871867370605468750e+02, 2.869000854492187500e+02, 2.866042175292968750e+02, 2.880073242187500000e+02, 2.865064392089843750e+02, 2.875052185058593750e+02, 2.878177185058593750e+02, 2.860839538574218750e+02, 2.867278747558593750e+02, 2.873509826660156250e+02, 2.871289672851562500e+02, 2.869571838378906250e+02, 2.863320007324218750e+02, 2.865296630859375000e+02, 2.870771789550781250e+02, 2.865913391113281250e+02
1.868000000000000000e+03, 2.872696533203125000e+02, 2.867511901855468750e+02, 2.866207885742187500e+02, 2.881506042480468750e+02, 2.864240417480468750e+02, 2.878500061035156250e+02, 2.877900085449218750e+02, 2.859430847167968750e+02, 2.866423034667968750e+02, 2.870005798339843750e+02, 2.871434631347656250e+02, 2.868329467773437500e+02, 2.863423767089843750e+02, 2.864872131347656250e+02, 2.870459899902343750e+02, 2.865182800292968750e+02
1.869000000000000000e+03, 2.874860534667968750e+02, 2.867127990722656250e+02, 2.866023864746093750e+02, 2.882274475097656250e+02, 2.864489746093750000e+02, 2.877826232910156250e+02, 2.876777648925781250e+02, 2.858865356445312500e+02, 2.866571044921875000e+02, 2.869710998535156250e+02, 2.870500183105468750e+02, 2.869532165527343750e+02, 2.864121398925781250e+02, 2.863058776855468750e+02, 2.868663330078125000e+02, 2.865344543457031250e+02
1.870000000000000000e+03, 2.874100646972656250e+02, 2.867691650390625000e+02, 2.866868286132812500e+02, 2.882038879394531250e+02, 2.865141906738281250e+02, 2.875305480957031250e+02, 2.876518554687500000e+02, 2.860129089355468750e+02, 2.868262329101562500e+02, 2.869041442871093750e+02, 2.871591186523437500e+02, 2.869062805175781250e+02, 2.864147949218750000e+02, 2.861997985839843750e+02, 2.869746093750000000e+02, 2.865726928710937500e+02
1.871000000000000000e+03, 2.872876281738281250e+02, 2.866938171386718750e+02, 2.867535705566406250e+02, 2.883680114746093750e+02, 2.865771789550781250e+02, 2.876062927246093750e+02, 2.877204284667968750e+02, 2.860989074707031250e+02, 2.867543945312500000e+02, 2.870238342285156250e+02, 2.872380065917968750e+02, 2.870186767578125000e+02, 2.863179931640625000e+02, 2.863810729980468750e+02, 2.870261840820312500e+02, 2.865710449218750000e+02
1.872000000000000000e+03, 2.873288879394531250e+02, 2.866745300292968750e+02, 2.867786560058593750e+02, 2.885240783691406250e+02, 2.865844116210937500e+02, 2.875928649902343750e+02, 2.877266540527343750e+02, 2.862097167968750000e+02, 2.867121887207031250e+02, 2.870688781738281250e+02, 2.872478637695312500e+02, 2.868950500488281250e+02, 2.863664550781250000e+02, 2.866553039550781250e+02, 2.868526000976562500e+02, 2.866257019042968750e+02
