year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.025000000000000000e+03, 2.097990754621168547e-11, 2.637216777772193941e-13, 9.827377640057086616e-13, 6.121863475102157931e-12, 5.520356313974032629e-12, 1.739034324196814888e-10, 9.532646890382291456e-12, 1.323505293097237721e-10, 2.497391970389178755e-11, 4.759248818738996505e-12
2.026000000000000000e+03, 1.091800335900813464e-11, 1.960922179503025632e-13, 9.601336197149883151e-13, 6.754309415546661483e-12, 7.676172325137673192e-12, 2.126969156909439486e-10, 9.810746055331339512e-12, 1.253161665884145508e-10, 2.117820462054178227e-11, 4.858113530261846733e-12
2.027000000000000000e+03, 2.755113614090899373e-11, 1.514398150887671458e-13, 1.079103198750744165e-12, 6.887698576736444572e-12, 7.700907632570031821e-12, 2.297007589524433423e-10, 9.783460606320428838e-12, 1.565116440037510605e-10, 2.046538857235074354e-11, 4.921661728086839772e-12
2.028000000000000000e+03, 4.039573345836337270e-11, 1.191327265730004097e-13, 1.077566655674374695e-12, 8.600531762938522971e-12, 7.650628552757527799e-12, 2.427520093071866826e-10, 9.905795588631325731e-12, 1.871263231314572825e-10, 1.996125238839366460e-11, 5.043766323575592485e-12
2.029000000000000000e+03, 4.124729986704535875e-11, 8.300098450849752998e-14, 1.118637434210478300e-12, 1.015222323562315423e-11, 7.657067536089033438e-12, 2.158771006598308480e-10, 9.978046796883824082e-12, 1.713843115156608470e-10, 1.915912286131621295e-11, 5.041452940203841952e-12
2.030000000000000000e+03, 4.179063119551327654e-11, 4.740395626327486094e-14, 1.054740241932829543e-12, 8.073185740550608392e-12, 7.706425085559810616e-12, 1.991602959542312210e-10, 8.110533086514009939e-12, 1.480638253456365222e-10, 1.730097471082653550e-11, 4.568101397754180699e-12
2.031000000000000000e+03, 3.750669184381299583e-11, 5.113177853136285408e-14, 2.666991473643622686e-12, 8.608625809987060286e-12, 5.697450689691396237e-12, 1.873173161006233751e-10, 7.697415831456461482e-12, 1.719340652602047402e-10, 2.097548800546982992e-11, 4.217678418025302899e-12
2.032000000000000000e+03, 3.825551213895403817e-11, 4.630661509694947563e-14, 2.730754002955248281e-12, 9.223987362122588193e-12, 5.675653663288110514e-12, 2.115244905128518028e-10, 7.627984257223349859e-12, 1.770431014208657638e-10, 2.090978317632491434e-11, 4.157060754513633482e-12
2.033000000000000000e+03, 4.149469253993524095e-11, 4.223843509927539595e-14, 2.604363041120101585e-12, 9.919127378178237195e-12, 5.679905849170568678e-12, 2.076611180959840439e-10, 7.672253237706451033e-12, 1.710244121494646691e-10, 2.097439034646502028e-11, 4.216124160455419544e-12
2.034000000000000000e+03, 4.167880273100974305e-11, 6.635966428700606739e-14, 2.468684229361175235e-12, 9.212972299533503846e-12, 5.677553495179657262e-12, 1.875196476754375075e-10, 7.703977013011025910e-12, 2.108200516260322974e-10, 2.109323129436591384e-11, 4.349290392076449603e-12
2.035000000000000000e+03, 4.057391797886061276e-11, 6.676224960067781117e-14, 2.364718053524791609e-12, 6.539264866221906564e-12, 5.713527109532560375e-12, 2.039626364879903515e-10, 6.594788198409504332e-12, 2.269137152630342588e-10, 2.103646350616318038e-11, 4.585822006574756126e-12
2.036000000000000000e+03, 3.674011763318877768e-11, 6.026468892206003304e-14, 2.239345577643702777e-12, 6.669491679980369090e-12, 9.859705910748389985e-12, 2.472876898197588737e-10, 6.592856605575719463e-12, 2.589807334795064651e-10, 1.930677803546409276e-11, 4.683502536275853308e-12
2.037000000000000000e+03, 4.323361858291894382e-11, 7.290679774619000944e-14, 2.137710162562633364e-12, 6.830548504786797828e-12, 9.999003512170344810e-12, 2.324767267178955441e-10, 6.513036427105881720e-12, 2.447794415597260698e-10, 1.983090123162728720e-11, 4.723862730558275250e-12
2.038000000000000000e+03, 4.354721872505036470e-11, 8.397026516237417206e-14, 2.273779535179111103e-12, 6.798800554381380203e-12, 1.008246966476894769e-11, 2.332238946312246104e-10, 6.418168529231717741e-12, 2.364432671560268578e-10, 1.999654071165979123e-11, 4.737750894005066062e-12
2.039000000000000000e+03, 4.542546136451568584e-11, 7.171023727859226783e-14, 2.501001594995128821e-12, 6.021213925696066217e-12, 1.028616364670674473e-11, 2.583755838904100208e-10, 6.606646670538366323e-12, 2.047027329354461745e-10, 2.018653647262724707e-11, 4.834709733947927673e-12
2.040000000000000000e+03, 4.624336034214497291e-11, 9.331969233723481097e-14, 2.571315900522181237e-12, 7.285070520745530691e-12, 1.046685590729675218e-11, 2.482566200518155415e-10, 7.535480607233538613e-12, 2.317604966012981229e-10, 2.041353190444703005e-11, 4.930865494876922912e-12
2.041000000000000000e+03, 4.323916406542284515e-11, 1.353613269201369442e-13, 2.668423581687105481e-12, 6.948005290266340873e-12, 1.098837535613831327e-11, 2.677176809562391274e-10, 7.246165632073191438e-12, 2.390219556670024537e-10, 2.879318871339264267e-11, 4.945971472363082928e-12
2.042000000000000000e+03, 3.924766730405654641e-11, 9.364455591441629661e-14, 2.556645856422475081e-12, 7.050510683398910020e-12, 1.126380700252275762e-11, 2.906078948735417379e-10, 7.066940985284948392e-12, 2.760238664154925529e-10, 2.893483071739453938e-11, 4.881962177364550281e-12
2.043000000000000000e+03, 3.839208932734481738e-11, 9.020472122213763829e-14, 2.498299129962874727e-12, 7.099316176392616216e-12, 1.150901524560152147e-11, 2.587265410960682730e-10, 7.015416695339440794e-12, 2.474806283714395946e-10, 2.929326033317544980e-11, 5.040561995083939629e-12
2.044000000000000000e+03, 3.851281866738670468e-11, 9.778252556762888505e-14, 2.447212439603509214e-12, 7.394111785911233739e-12, 1.179155752260511228e-11, 2.547996426362360253e-10, 7.427468413919229429e-12, 2.335624713229434642e-10, 2.989953786101532311e-11, 5.088754941759997243e-12
2.045000000000000000e+03, 3.751331568600650751e-11, 9.391893202166412287e-14, 2.667266433420906804e-12, 5.651284523804053864e-12, 1.208346250167162430e-11, 2.628855673612688478e-10, 6.717649666372286462e-12, 2.613525661393467191e-10, 2.994124684215071159e-11, 4.930134004847461762e-12
2.046000000000000000e+03, 3.537757453751758816e-11, 1.085716420022417464e-13, 3.022045886929141658e-12, 4.951934626382996838e-12, 1.162933390427020633e-11, 2.450961097296463588e-10, 6.364922635154092167e-12, 2.803399110217791406e-10, 2.983583023244247015e-11, 4.762716607059044017e-12
2.047000000000000000e+03, 3.436439608130467069e-11, 1.055912872627141798e-13, 3.165863363510911972e-12, 4.611799288146622788e-12, 1.161806702988135182e-11, 2.528915496713098267e-10, 6.326923970526351719e-12, 2.906232960225822019e-10, 3.125904600931161970e-11, 4.724185713280111124e-12
