year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM5-0, MIROC-ES2L, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1
2.015000000000000000e+03, 1.333138152937348941e+00, 2.364318363680919077e+00, 1.903941360668297555e+00, 1.219618935402737137e+00, 1.981018776270860204e+00, 1.782027353534492153e+00, 2.934216022860397288e+00, 1.531660156487026914e+00, 1.668280054462455864e+00, 5.532078976179157337e+00, 2.076882250359703530e+00, 3.043940551212844792e+00, 1.675619886544149617e+00, 1.317504372952307046e+00, 3.425455980122847688e+00, 1.914506542277039314e+00
2.016000000000000000e+03, 1.407801042889741394e+00, 2.482454567800536527e+00, 1.841864580966525278e+00, 1.271039262184564533e+00, 2.003497065889395579e+00, 2.164864818950862357e+00, 2.910985329224347051e+00, 1.406453234257690088e+00, 1.475867116856943939e+00, 7.237262056628519957e+00, 2.063575521567086568e+00, 2.915357007241059062e+00, 1.541859426411784861e+00, 1.304281007809013238e+00, 3.638878752139807826e+00, 2.085558023697037022e+00
2.017000000000000000e+03, 1.564387755921580636e+00, 2.767896944832269224e+00, 1.465943541600308597e+00, 1.262656459429970290e+00, 1.771487321752162947e+00, 2.112425263349924087e+00, 2.919979007322325071e+00, 1.796896556181992066e+00, 1.623157997178178658e+00, 7.766034008756490081e+00, 2.035251723903191312e+00, 2.630586180562274556e+00, 1.635016406493625674e+00, 1.183445588492329836e+00, 3.366594169827412220e+00, 2.182315899992770980e+00
2.018000000000000000e+03, 1.313983370307058696e+00, 2.688193845520969738e+00, 1.831550445356313173e+00, 1.025830695233496126e+00, 1.841365375718543085e+00, 1.966495881213466523e+00, 2.923525912924079595e+00, 1.748982076830092547e+00, 1.777668830103103614e+00, 5.146588696032567967e+00, 2.009428062201059628e+00, 3.491930224112803405e+00, 1.755106421119835058e+00, 1.098641028466025737e+00, 2.830296285746142892e+00, 2.012696270872516457e+00
2.019000000000000000e+03, 1.448217082098916419e+00, 2.483131461151070418e+00, 2.052089662318096863e+00, 1.113665547438926318e+00, 1.984929388675891193e+00, 1.932795625765515224e+00, 2.992964965423461798e+00, 1.715586336980086335e+00, 1.517607934316818508e+00, 5.235373541477733816e+00, 2.011978568160649683e+00, 3.106262278761505957e+00, 1.495917547857876118e+00, 1.283608193345026516e+00, 3.714259979712121407e+00, 2.110009434619393165e+00
2.020000000000000000e+03, 1.499379365083653548e+00, 2.336624604394874627e+00, 1.527526592513796633e+00, 1.338235465556958159e+00, 2.271966994619375235e+00, 1.754478608105219717e+00, 3.058194312144002946e+00, 1.791658894991565276e+00, 1.777425458359550570e+00, 5.055173514118026290e+00, 1.921707745843576953e+00, 3.185586880417084821e+00, 1.734245801099351336e+00, 1.310093050186752484e+00, 3.706155385886095832e+00, 1.843184483878747670e+00
2.021000000000000000e+03, 1.451416992466922018e+00, 2.691491511947492921e+00, 1.771777753739691486e+00, 1.436474531361582763e+00, 2.285758960413940333e+00, 1.705654629027846036e+00, 2.953015090434344625e+00, 1.789207910809128332e+00, 1.889793093894450271e+00, 6.668246997620000727e+00, 2.106905525157150905e+00, 2.931114862467362414e+00, 1.469170027560565917e+00, 1.136234481518695549e+00, 3.192503692476442279e+00, 1.862574947859938490e+00
2.022000000000000000e+03, 1.469727354274938058e+00, 2.711596443814326296e+00, 1.456374994632574804e+00, 1.299516388234751130e+00, 1.681988714013311403e+00, 1.714045560107798183e+00, 3.058801913211032009e+00, 1.687123865700219882e+00, 1.955145179513064102e+00, 7.030669178066624170e+00, 1.930919209378706647e+00, 3.396400972148518882e+00, 1.749158307340331620e+00, 1.144641137373877404e+00, 3.184039311352752311e+00, 2.074026226206986401e+00
2.023000000000000000e+03, 1.363604260122093015e+00, 2.639737564635137979e+00, 1.446826440206911091e+00, 1.248230722022091399e+00, 1.739624889364536298e+00, 2.104965623373724171e+00, 3.162813993975609250e+00, 1.866902969466774254e+00, 1.463455448021201644e+00, 6.479314661421687660e+00, 2.070727140083763018e+00, 3.413450284451550854e+00, 1.597376465829696279e+00, 1.190714767891330350e+00, 2.886300838779640721e+00, 1.784087640014158982e+00
2.024000000000000000e+03, 1.461757177336904023e+00, 2.820988187659699609e+00, 1.792871125776313468e+00, 1.187193030300401242e+00, 2.412204120481523439e+00, 2.434376578276449266e+00, 3.043681593397455032e+00, 1.559554087978392456e+00, 1.218358413745357582e+00, 6.664542288904061529e+00, 2.205449175468012779e+00, 3.230789115031010184e+00, 1.611668968170892002e+00, 1.154599273570842133e+00, 3.507586311769967491e+00, 1.884060882234190881e+00
