year, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5
2.025000000000000000e+03, 5.774718818138644849e+00, 1.111936167190818781e+00, 2.174915265459940183e+00, 1.020819843403254934e+00, 1.670664742530674873e+00, 4.405898704387317011e+00, 1.148279786110530942e+00, 9.193941784971800812e-01, 9.371184107764873872e-01, 7.955674889378665959e+00, 1.860055988588759646e-01, 1.191211509309044381e+01, 1.754837025014718721e+00
2.026000000000000000e+03, 5.886563186209550658e+00, 1.012123641996668821e+00, 2.183007079788446436e+00, 9.383214952324308022e-01, 1.679204478838224324e+00, 4.428341473042064713e+00, 1.152450533219539608e+00, 9.798914065819492869e-01, 8.979099971594670659e-01, 7.963993973892478095e+00, 1.964648745413147546e-01, 1.198619304503323413e+01, 1.775108911393823208e+00
2.027000000000000000e+03, 5.828910760234220945e+00, 1.035679667555911010e+00, 2.203849229630505224e+00, 9.328181914437823075e-01, 1.698239202433645900e+00, 4.445063052972545670e+00, 1.158699233634312709e+00, 9.906792728879153520e-01, 8.637974974613414902e-01, 7.958878403336646201e+00, 2.122758334246228062e-01, 1.202414319964924516e+01, 1.778933701697278380e+00
2.028000000000000000e+03, 5.724592676862675589e+00, 1.030418799945034269e+00, 2.217572596194036016e+00, 1.029909894724497121e+00, 1.651925306478206013e+00, 4.446328491273162875e+00, 1.168772285210274875e+00, 9.747012843705350482e-01, 8.826564836632914135e-01, 8.045624922511294130e+00, 1.975758357021207556e-01, 1.212053342945241852e+01, 1.783622818009321209e+00
2.029000000000000000e+03, 5.722583693552501849e+00, 1.072667694935019567e+00, 2.236281639506414010e+00, 1.022856503013077845e+00, 1.497874986588128454e+00, 4.433875728462375321e+00, 1.179518328837694252e+00, 1.020972146940349434e+00, 9.947667897275074278e-01, 8.078826258880468458e+00, 1.914859849248172763e-01, 1.215539840190912635e+01, 1.777125191614669308e+00
2.030000000000000000e+03, 5.808157815065003504e+00, 1.059772397663704124e+00, 2.284749236405835049e+00, 1.051113011460766744e+00, 1.517375067523155208e+00, 4.425939188506093913e+00, 1.177183284382317563e+00, 1.069487960230359525e+00, 1.011854103244432368e+00, 8.127223203678473951e+00, 2.040765376288714295e-01, 1.215308907347559675e+01, 1.775980516090425843e+00
2.031000000000000000e+03, 5.804193786798507837e+00, 1.104907335704670812e+00, 2.270109633423878837e+00, 9.691175606178228374e-01, 1.567959395005718015e+00, 4.428403957669035051e+00, 1.191741689662123127e+00, 1.076796723044324056e+00, 9.416222472774874452e-01, 8.121253454260926929e+00, 2.381781600381510100e-01, 1.220297841218609669e+01, 1.752398039223640680e+00
2.032000000000000000e+03, 5.905350418409339497e+00, 1.157502460585670301e+00, 2.260882244473307434e+00, 8.749244029787263122e-01, 1.536222496366615786e+00, 4.421603348377725062e+00, 1.167685578361511434e+00, 1.055111173641648303e+00, 9.690033442271184239e-01, 8.072037104334238933e+00, 2.389903920842845475e-01, 1.230436604868303085e+01, 1.743537130701838800e+00
2.033000000000000000e+03, 6.006619940735967056e+00, 1.189539850376289731e+00, 2.268556369406349749e+00, 9.317977278852608292e-01, 1.539932527302781740e+00, 4.427831356736836810e+00, 1.157266744994228880e+00, 1.059485543683069908e+00, 9.466582202847758643e-01, 8.106864453730402431e+00, 2.279257531711128548e-01, 1.233952715506869247e+01, 1.762566213340597487e+00
2.034000000000000000e+03, 6.079933097348148685e+00, 1.150547071050513459e+00, 2.294648519486664817e+00, 9.486924097776178177e-01, 1.853216976437249253e+00, 4.477289371360637205e+00, 1.178648953016677048e+00, 1.031679356198033526e+00, 9.399649036956614356e-01, 8.154576699347320101e+00, 2.216475143972009842e-01, 1.238908479772941362e+01, 1.793592552565761666e+00
