year, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.015000000000000000e+03, 6.979057790167744441e-11, 4.397364619712606546e-10, 1.663584239523870730e-10
2.016000000000000000e+03, 5.774723693710198322e-11, 4.312179258849165745e-10, 1.804228005822804763e-10
2.017000000000000000e+03, 8.052736390675842641e-11, 5.566153769769524214e-10, 1.585601195791383216e-10
2.018000000000000000e+03, 9.179612434041001949e-11, 5.225299976627250309e-10, 1.194363881313524933e-10
2.019000000000000000e+03, 5.434459373918470449e-11, 3.866161556840504900e-10, 1.792355124920163215e-10
2.020000000000000000e+03, 6.648475159509389074e-11, 3.742161042919119876e-10, 1.782511969587457284e-10
2.021000000000000000e+03, 7.552288318852948486e-11, 5.164291027611149951e-10, 1.437088479774397550e-10
2.022000000000000000e+03, 6.840740403412110999e-11, 5.552772096557853827e-10, 1.483203033821761694e-10
2.023000000000000000e+03, 7.295306996811585059e-11, 5.406071177248499094e-10, 1.222293885184058091e-10
2.024000000000000000e+03, 6.159459962254525659e-11, 4.498965895646532680e-10, 1.560726065927679431e-10
2.025000000000000000e+03, 6.245868243771109825e-11, 4.683169697005995348e-10, 1.580207945142522611e-10
2.026000000000000000e+03, 6.971275824107187625e-11, 4.819009711374161898e-10, 1.651113069575725596e-10
2.027000000000000000e+03, 6.093995349961266041e-11, 4.611545952129476207e-10, 2.083770382955070343e-10
2.028000000000000000e+03, 7.550436425718757431e-11, 4.150011314787935177e-10, 1.823110854325705741e-10
2.029000000000000000e+03, 7.996220813438246589e-11, 4.343755689094481488e-10, 1.874011875890221445e-10
2.030000000000000000e+03, 6.270778791805922859e-11, 4.288131852658235504e-10, 1.434828734409664200e-10
2.031000000000000000e+03, 5.781321044727214135e-11, 4.816330533177095202e-10, 1.324390097409832747e-10
2.032000000000000000e+03, 5.868104142627725144e-11, 4.433077299268987019e-10, 2.075069898822789091e-10
2.033000000000000000e+03, 8.234340636988960340e-11, 6.096142066217024217e-10, 2.060704953093935185e-10
2.034000000000000000e+03, 7.873599724136144163e-11, 3.894069087445787197e-10, 2.075094051592992970e-10
2.035000000000000000e+03, 6.734394103471172047e-11, 4.161514479386708789e-10, 1.695282903800462099e-10
2.036000000000000000e+03, 7.903033483416791992e-11, 5.081091297367282301e-10, 1.781512876964038228e-10
2.037000000000000000e+03, 1.009017497041840287e-10, 6.011849439969054619e-10, 1.701108336862967395e-10
2.038000000000000000e+03, 9.137173862765145131e-11, 4.949812239788336002e-10, 1.879262073439631847e-10
2.039000000000000000e+03, 1.002718100864828488e-10, 4.388896987202530325e-10, 2.179462312741882813e-10
2.040000000000000000e+03, 7.900855855797794084e-11, 5.124077940952285968e-10, 1.668416215680243461e-10
2.041000000000000000e+03, 1.116192854209153063e-10, 5.593012541944310619e-10, 1.386211052500526343e-10
2.042000000000000000e+03, 1.211181095547535163e-10, 4.954080599214772854e-10, 1.600854313629435808e-10
2.043000000000000000e+03, 1.068148470597973296e-10, 4.372241941835853903e-10, 2.043589424138152501e-10
2.044000000000000000e+03, 6.418406606946016517e-11, 4.700601115398806712e-10, 1.931636787246439747e-10
2.045000000000000000e+03, 1.073372415676499987e-10, 4.310752081145469878e-10, 1.970575144248363586e-10
2.046000000000000000e+03, 1.214086345728321099e-10, 4.816362585442965288e-10, 1.738367296365348260e-10
2.047000000000000000e+03, 1.103325050464947756e-10, 4.973274148966085664e-10, 1.728323216778578147e-10
2.048000000000000000e+03, 1.099706205808458564e-10, 6.292555169985992961e-10, 1.736436215235830171e-10
2.049000000000000000e+03, 9.004001335564403716e-11, 4.739178379765760635e-10, 1.925067922336244710e-10
2.050000000000000000e+03, 8.483835166262728487e-11, 4.664617429405961168e-10, 1.821631912476899622e-10
2.051000000000000000e+03, 8.283563346641740873e-11, 5.433695321947507003e-10, 1.838981473554938214e-10
2.052000000000000000e+03, 8.586207156497709047e-11, 4.214108480725408126e-10, 1.684989944129037858e-10
2.053000000000000000e+03, 9.249743853969283852e-11, 4.786668961620062485e-10, 1.591506107223630942e-10
2.054000000000000000e+03, 1.363764481790182374e-10, 5.979568407424530781e-10, 1.237490359266050899e-10
2.055000000000000000e+03, 1.151643792610694788e-10, 5.058273317778515321e-10, 1.873867732970845053e-10
2.056000000000000000e+03, 7.752099887354883109e-11, 4.191680626720953542e-10, 2.005660346667313132e-10
2.057000000000000000e+03, 1.082657385292324952e-10, 5.853003233734990817e-10, 1.501380206535313932e-10
2.058000000000000000e+03, 1.380429226018875966e-10, 6.532436531041338382e-10, 1.596171062303867678e-10
2.059000000000000000e+03, 1.193853973401750151e-10, 5.280303011338311253e-10, 1.689225680829134884e-10
2.060000000000000000e+03, 1.062752861880221208e-10, 5.022708490435167119e-10, 1.980294216514428428e-10
2.061000000000000000e+03, 1.397632318074375963e-10, 5.864863174264350985e-10, 2.253400542352073979e-10
2.062000000000000000e+03, 1.641406163783988715e-10, 5.657979508383368165e-10, 2.164305246659853300e-10
2.063000000000000000e+03, 1.231566969627805083e-10, 4.422691552222721919e-10, 1.429636607524752265e-10
2.064000000000000000e+03, 1.070487006176593763e-10, 4.623292833309739633e-10, 1.984820701482199238e-10
2.065000000000000000e+03, 1.170688393078992144e-10, 5.423869905059311225e-10, 1.947828543840533972e-10
2.066000000000000000e+03, 1.521715020349003308e-10, 6.265101446379751667e-10, 1.830393079405938885e-10
2.067000000000000000e+03, 9.990758678360407520e-11, 4.986981475859532818e-10, 1.626454511416946362e-10
2.068000000000000000e+03, 9.088334627420682502e-11, 5.699558038082760227e-10, 1.720003658637075881e-10
2.069000000000000000e+03, 9.086425069232143574e-11, 6.150441619734605191e-10, 1.808494266845618206e-10
2.070000000000000000e+03, 1.486020721458826487e-10, 5.384219611078063214e-10, 2.010931369155221591e-10
2.071000000000000000e+03, 1.084505692752941055e-10, 4.597456350215657192e-10, 1.868198355208407311e-10
2.072000000000000000e+03, 1.228152267687272669e-10, 4.785888700294024763e-10, 1.248818879731591430e-10
2.073000000000000000e+03, 1.409043961058938305e-10, 6.956332136952504420e-10, 1.934232619090683699e-10
2.074000000000000000e+03, 2.229285072431268097e-10, 6.389297690134827854e-10, 2.091526461858812730e-10
2.075000000000000000e+03, 1.617273121128392158e-10, 5.226442902004245690e-10, 1.847348654641834145e-10
2.076000000000000000e+03, 1.459825278596062875e-10, 5.206164428278167748e-10, 1.819801157328643125e-10
2.077000000000000000e+03, 9.818955399723381763e-11, 6.801442660258409256e-10, 1.828632098961915028e-10
2.078000000000000000e+03, 1.359729452366008589e-10, 5.569146847390708155e-10, 1.923196486825527272e-10
2.079000000000000000e+03, 1.963013910943268869e-10, 5.302583398222215521e-10, 2.001069114419242939e-10
