year, CMCC-ESM2, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, CESM2-WACCM
2.015000000000000000e+03, 1.994652498436676933e-10, 2.608511400897193648e-10, 4.216594147063613768e-10, 2.984747169620957475e-10, 1.666333566564680819e-10, 2.317120326949527451e-10, -1.703289312722871312e-10
2.016000000000000000e+03, 1.596506315319073470e-10, 9.386571283826881462e-11, 6.414190720705130379e-10, 3.404324535524003847e-10, 9.789807202719551855e-11, 1.730698528025323316e-10, 3.363306043857195184e-10
2.017000000000000000e+03, -9.952143011496231839e-11, 2.539068860260796388e-10, 4.087182602082803710e-10, 2.664761574992571808e-10, 1.885036146355951919e-10, 8.887386721244678907e-11, 4.055227812385827560e-10
2.018000000000000000e+03, 3.261272969041989136e-11, 3.706836578305785583e-10, 5.187396618860867176e-10, -3.926372785491541384e-10, -2.047426766202043350e-10, -1.208651631482540056e-11, 1.694790753017188152e-10
2.019000000000000000e+03, -1.139735780720926217e-10, -1.512770604562922929e-10, 3.257231057262406055e-10, 5.141422052269687903e-10, -2.577473179528182169e-10, 1.606108067394948810e-10, 1.201999942159595313e-10
2.020000000000000000e+03, -1.296713678674566801e-10, 3.670522672510866797e-10, 3.184843779011850062e-10, 5.480570338160854373e-10, 2.112066114788202461e-10, 3.648505628528959391e-10, -4.763927051794462872e-11
2.021000000000000000e+03, 2.627297014198533776e-11, -1.823011534168890701e-10, 3.741971913346610406e-10, 1.171285324986530557e-10, 1.030449088092814224e-10, 3.727754625445263880e-10, -1.527844689964901202e-10
2.022000000000000000e+03, -3.762683305681943327e-10, 3.052053891837156437e-10, 5.565870837890130420e-10, 1.106861516001462520e-10, -4.559310986178873868e-12, -2.065804692145916196e-10, 4.763233936043962942e-11
2.023000000000000000e+03, -1.657848905819088047e-10, 7.081740896084619843e-11, 3.612708602396048478e-10, -4.420808569956090769e-11, -3.622956323954029738e-10, -9.659416005945965211e-11, 3.943701183735669472e-10
2.024000000000000000e+03, 2.466966620773633954e-10, 6.200640550360827529e-11, 5.451981374044525380e-10, 6.187189611943334945e-11, -2.236528219738699187e-10, 5.216715832780721265e-10, 7.668092158003951395e-10
2.025000000000000000e+03, 2.349241492370347945e-10, -1.251986040365392689e-10, 5.862779315749942253e-10, 2.106658793483564008e-10, 3.551773763347036865e-10, 3.054586606799798673e-10, -3.696534794328305367e-10
2.026000000000000000e+03, 3.139352993728426115e-11, -1.546664943529733990e-10, 4.060652664138845441e-10, -1.101399377005248396e-10, 3.361243240156128014e-11, 5.053071354805392467e-10, 3.211172969024676078e-10
2.027000000000000000e+03, -2.730825632881471402e-10, 2.748322165300629932e-11, 7.246276484325704781e-10, 7.862097158211923309e-10, -3.570329754254940803e-10, 2.201039880111695712e-10, 1.152065304587091529e-10
2.028000000000000000e+03, -3.410765590062808445e-10, 1.279602405586665926e-10, 2.852938443529375208e-10, 1.227284402710202509e-10, -1.010797469286126628e-10, 2.422809760340628941e-10, 3.218666058712596399e-10
2.029000000000000000e+03, 6.228789940071343160e-12, -1.793096741404040652e-10, 4.086196318759029274e-10, 4.632959968246346874e-10, 1.472800771410363302e-10, -7.055794186800531714e-11, 2.461325752562059607e-10
2.030000000000000000e+03, -2.122422144143769620e-10, -2.376451754367065548e-10, 5.247398425694978135e-10, 1.525864707336323573e-10, 5.041961414839943524e-11, -3.871394585901659708e-10, 3.818907578143768420e-10
2.031000000000000000e+03, -2.169338477664502124e-11, 5.309469956093881607e-10, 6.287735811987155208e-10, -5.345747696590629276e-10, 8.583560188360489109e-12, -2.886325203873060446e-10, 3.698356353965406984e-10
2.032000000000000000e+03, -1.898233352879350729e-10, 8.415227823341392685e-10, 5.940036157446964270e-10, 6.546498468118052742e-10, 4.726702328803347857e-10, 2.032538495287179645e-10, 3.145311158093717524e-11
