year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.028000000000000000e+03, 6.674522667231053900e-12, 5.127622215488464383e-10, 3.703515670502743695e-12, 2.198766840747067326e-10, 8.780938622310295113e-10, 4.640476932188231952e-11, 3.723506365574892541e-12, 2.332525702777848462e-10, 1.885243820252053775e-10
2.029000000000000000e+03, 6.595526716570766617e-12, 5.610760355945015385e-10, 3.643333503691994636e-12, 1.695062557530134609e-10, 9.511417953484071493e-10, 4.980872929680332210e-11, 3.409451936918550680e-12, 2.340824533312071192e-10, 1.930110200466046305e-10
2.030000000000000000e+03, 5.895249879877856482e-12, 4.765354103478941904e-10, 3.581345913871444802e-12, 1.386681276090122259e-10, 8.884581912155025702e-10, 5.619791670910744578e-11, 3.440080953893184686e-12, 2.136222148454500659e-10, 1.899526649596304141e-10
2.031000000000000000e+03, 5.636132229922101288e-12, 4.108791913443523281e-10, 3.496945694970251040e-12, 1.598460700470656613e-10, 9.574780565114947324e-10, 4.316838797972884499e-11, 3.472178260691149124e-12, 2.000026443606849801e-10, 2.144078832219972452e-10
2.032000000000000000e+03, 5.550995450292774150e-12, 4.608734763536109721e-10, 3.427909947730477774e-12, 1.700471992179763495e-10, 1.061875424811599118e-09, 4.113899095553554468e-11, 3.396489312098404426e-12, 2.136284815366573964e-10, 2.235949670879958402e-10
2.033000000000000000e+03, 5.482196509723529714e-12, 5.278635217854130422e-10, 3.359877523176417536e-12, 1.782601245806051618e-10, 1.085228658195217026e-09, 5.158303236076766077e-11, 2.817904366760649041e-12, 2.327481748449660977e-10, 1.916857366436434065e-10
2.034000000000000000e+03, 5.030747676793994418e-12, 5.648148421944807886e-10, 3.306206868118105012e-12, 2.031297649769785690e-10, 9.111629607581273036e-10, 4.275088002455883577e-11, 2.625137217368739714e-12, 2.389380429186187067e-10, 1.937390777214830328e-10
2.035000000000000000e+03, 4.837818037865358322e-12, 5.983340176359801168e-10, 3.264822756600685394e-12, 1.752689790031760291e-10, 9.458763336567787867e-10, 7.228149529846476757e-11, 2.375090712894467952e-12, 2.476918686298836308e-10, 1.931157956087347338e-10
2.036000000000000000e+03, 4.541807036601246774e-12, 5.249333337613291211e-10, 3.232474097573799900e-12, 2.236312443506677128e-10, 1.141923344185693661e-09, 6.007268238949477050e-11, 2.382825776981676594e-12, 2.380462422366183844e-10, 2.100053432915475492e-10
2.037000000000000000e+03, 4.503452473502769947e-12, 4.505473254948662666e-10, 3.198934800047299874e-12, 2.056135886805611734e-10, 1.147055218233555568e-09, 5.543247683027311513e-11, 2.398354180561370085e-12, 2.327558842393682411e-10, 2.269785662036752479e-10
