year, CNRM-ESM2-1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM
2.015000000000000000e+03, 1.557126689218963470e-10, 9.898657985254455012e-11, 2.491172388735010888e-11, 6.543424134642736296e-11, 1.149152590293475400e-10
2.016000000000000000e+03, 1.496871995592106136e-10, 8.554835242927216095e-11, 2.632582085687491202e-11, 6.742310563256922299e-11, 1.328251426629984397e-10
2.017000000000000000e+03, 2.508521198221264423e-10, 1.096127343382552051e-10, 2.925310855150733826e-11, 6.230515092671039045e-11, 9.926106556584134025e-11
2.018000000000000000e+03, 1.781524951648565266e-10, 1.065046947982687786e-10, 3.179670352524158725e-11, 7.435398631928904833e-11, 1.027259094714799476e-10
2.019000000000000000e+03, 1.541722071045013297e-10, 9.206251581433539038e-11, 2.172671981837053961e-11, 6.432469405158755765e-11, 1.220506152121513616e-10
2.020000000000000000e+03, 1.694349764921226850e-10, 1.352639104652693732e-10, 2.501411953753835705e-11, 7.511198278467783019e-11, 1.151292064919467100e-10
2.021000000000000000e+03, 2.138955719476842213e-10, 1.470542505237995179e-10, 3.251124487038961344e-11, 6.499014294459706957e-11, 1.028069828029403894e-10
2.022000000000000000e+03, 1.679504286985608650e-10, 1.226402660243983264e-10, 2.539325220695774806e-11, 1.001365205192853482e-10, 7.892457158888682820e-11
2.023000000000000000e+03, 1.345333902788547904e-10, 1.344218070152813886e-10, 2.429224499486120623e-11, 1.190231604517238833e-10, 1.279346385033500978e-10
2.024000000000000000e+03, 1.661880957624816363e-10, 1.199510467306925851e-10, 3.079734419178770374e-11, 6.938945695379528935e-11, 1.144327862303123423e-10
2.025000000000000000e+03, 1.451129537355969285e-10, 1.013360640376363545e-10, 2.974198730057853431e-11, 7.933480736635161282e-11, 1.305015474400754240e-10
2.026000000000000000e+03, 1.904676417471185679e-10, 8.877964800828443973e-11, 2.796304456750349494e-11, 5.572553822926924378e-11, 9.011724484010061161e-11
2.027000000000000000e+03, 1.459783222481871905e-10, 9.302200663159886226e-11, 2.600792091803878425e-11, 7.644325710658495817e-11, 9.957092453418830424e-11
2.028000000000000000e+03, 2.433636719745034762e-10, 1.060747778673971129e-10, 1.971924753713240849e-11, 7.419075698806748860e-11, 8.512219580046431341e-11
2.029000000000000000e+03, 1.979404813581781266e-10, 1.580572184181931315e-10, 2.091318055334670598e-11, 7.799400623287810231e-11, 1.273466142953234104e-10
2.030000000000000000e+03, 2.082078033336815337e-10, 1.439530430712664275e-10, 2.268769014302432846e-11, 8.597608972150699124e-11, 1.160520512347146094e-10
2.031000000000000000e+03, 2.316684067246448133e-10, 9.381474581932556594e-11, 3.134954117284824917e-11, 9.276053490081050125e-11, 1.152140802856903719e-10
2.032000000000000000e+03, 1.976106154330928238e-10, 1.122983652754859459e-10, 2.511677175363820410e-11, 7.091918310917885743e-11, 1.061624143625667907e-10
2.033000000000000000e+03, 1.532367193875109608e-10, 1.390834817348316220e-10, 2.763105157881423278e-11, 7.911563167677362383e-11, 1.011214081404197063e-10
2.034000000000000000e+03, 2.019018018565954601e-10, 1.687119103147318403e-10, 2.515691921122030651e-11, 9.841510196674559223e-11, 7.968465727619728325e-11
2.035000000000000000e+03, 2.153493257337015030e-10, 1.269092015139250417e-10, 2.574025800623151999e-11, 8.958060316970493822e-11, 1.152386466133952158e-10
2.036000000000000000e+03, 1.836698427291881411e-10, 9.096489062135284123e-11, 2.004084561127702403e-11, 6.567345593872147397e-11, 1.149572368823061035e-10
2.037000000000000000e+03, 1.449987407752251783e-10, 1.095095009052013742e-10, 2.649273701486719861e-11, 8.524661205619313071e-11, 1.287999730996513154e-10
2.038000000000000000e+03, 2.129642809868368584e-10, 1.353850353955380398e-10, 2.263760010561415847e-11, 8.930240454899497377e-11, 1.193569651675054324e-10
2.039000000000000000e+03, 1.719453034276333977e-10, 1.499443134536635911e-10, 1.967308966363025945e-11, 8.834415518799879507e-11, 1.230964522332643517e-10
2.040000000000000000e+03, 1.843135786915490406e-10, 1.488626218496450263e-10, 2.408408559804509969e-11, 5.102715944655270271e-11, 9.946907927192255780e-11
2.041000000000000000e+03, 2.388039491733224789e-10, 1.273027381421025785e-10, 2.455917894695839526e-11, 7.084629040537319447e-11, 1.557667881584929261e-10
2.042000000000000000e+03, 2.232780950112397002e-10, 9.175950973205999510e-11, 3.441051541949549113e-11, 8.067872565691546801e-11, 7.983952676232561043e-11
2.043000000000000000e+03, 1.989274310803280021e-10, 1.503240338288910404e-10, 2.709723342793917669e-11, 8.193703601485558069e-11, 1.059533763876450274e-10
2.044000000000000000e+03, 2.818645952551443700e-10, 1.506990521639451837e-10, 2.091421701639056122e-11, 6.702906799224817233e-11, 1.269198913663356570e-10
2.045000000000000000e+03, 1.876725706795219782e-10, 1.380653388418163633e-10, 2.667236652506274798e-11, 7.373048016594086372e-11, 1.596898420520916401e-10
2.046000000000000000e+03, 2.300665108457657600e-10, 1.684189308723818337e-10, 3.236275488429079570e-11, 8.090066398572081590e-11, 1.245046608613394608e-10
2.047000000000000000e+03, 2.116894162745733182e-10, 1.299211793657182277e-10, 2.348494371839130110e-11, 8.747871645745886069e-11, 1.406684956025906405e-10
2.048000000000000000e+03, 1.966685488274863783e-10, 1.195719725569281515e-10, 1.870206673645924385e-11, 1.095061665054568835e-10, 1.134728729123848044e-10
2.049000000000000000e+03, 2.559256389570456335e-10, 1.449870389455214308e-10, 3.130237016060800098e-11, 1.334633302111094107e-10, 9.635398760353506954e-11
2.050000000000000000e+03, 2.435983725376749281e-10, 1.807688480614386530e-10, 3.401814855855295865e-11, 1.036067528051400141e-10, 1.103720271370116405e-10
2.051000000000000000e+03, 2.122504797080035730e-10, 1.512438055073594539e-10, 3.014737017295604187e-11, 9.476325933500063083e-11, 1.302008955848871648e-10
2.052000000000000000e+03, 1.956253882214802465e-10, 1.744783679438705120e-10, 2.494701035802551607e-11, 1.197549774628332961e-10, 1.190584786086896303e-10
2.053000000000000000e+03, 2.481746113247457191e-10, 1.728100087575856945e-10, 2.446290085116719505e-11, 6.326597652946678965e-11, 1.099600330447144634e-10
2.054000000000000000e+03, 1.686134159226881141e-10, 1.847036092343747525e-10, 2.217919157013770052e-11, 8.794251036266960763e-11, 1.135679636757035850e-10
2.055000000000000000e+03, 3.927495011801597859e-10, 1.696919189094072960e-10, 3.223885732570074667e-11, 1.021127565072239185e-10, 1.383922196156941252e-10
2.056000000000000000e+03, 2.326253851808680240e-10, 1.440617888547620093e-10, 3.115307672853285780e-11, 6.784912501198510637e-11, 1.104426343295614519e-10
2.057000000000000000e+03, 2.444107124627365540e-10, 1.401401746123729264e-10, 2.760926395356408426e-11, 8.026555236310881985e-11, 1.382995142885032985e-10
