year, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, CanESM5, CESM2-WACCM
2.015000000000000000e+03, 3.152307872740832906e+01, 5.410704820295945439e+01, 1.378619712066068637e+01, 1.594637879535212655e+01, 5.272525674365827797e+01, 9.597716713401478472e+00, 5.047195787573557624e+01, 1.961530124644546902e+01, 5.855399276293778854e+01, 3.628021569347746578e+01, 7.946621935057130770e+00, 3.758820799000340429e+01, 1.929339647836437877e+01
2.016000000000000000e+03, 3.155433603423228206e+01, 5.419193397019042635e+01, 1.379618954187604807e+01, 1.598117302368399528e+01, 5.272991462904532511e+01, 9.600739417657113250e+00, 5.044746993906792198e+01, 1.964563244260654784e+01, 5.858763934093201442e+01, 3.629714672041276202e+01, 7.931085334892776117e+00, 3.753975004934731174e+01, 1.930514184269217992e+01
2.017000000000000000e+03, 3.161906207499186650e+01, 5.428798441860649859e+01, 1.380359695932978070e+01, 1.602367024468403400e+01, 5.273550596813832669e+01, 9.601717649441402713e+00, 5.043388808789678990e+01, 1.968424970622961823e+01, 5.865322168408372505e+01, 3.631408171402362228e+01, 7.951564948381056652e+00, 3.749966532434643796e+01, 1.930869160238283655e+01
2.018000000000000000e+03, 3.171150736596878872e+01, 5.438878279709485497e+01, 1.381076612556805827e+01, 1.605447865863032320e+01, 5.275728915472203795e+01, 9.622368955540975932e+00, 5.048558586913460999e+01, 1.971959703635927852e+01, 5.867691797384063079e+01, 3.633048203404614895e+01, 7.982127185710259809e+00, 3.747224735896890024e+01, 1.933878071497053952e+01
2.019000000000000000e+03, 3.168945732564759155e+01, 5.448434760363524276e+01, 1.381641483590239794e+01, 1.608437877349722456e+01, 5.279200948207446942e+01, 9.645032523888174225e+00, 5.056842821117876241e+01, 1.976275761274492027e+01, 5.868444294316056897e+01, 3.633786978725765238e+01, 7.980109925190699727e+00, 3.744790076215887353e+01, 1.938405885324687361e+01
2.020000000000000000e+03, 3.173092397006560006e+01, 5.458513368002302713e+01, 1.382646203355044179e+01, 1.613191895558097144e+01, 5.278966866271482417e+01, 9.660149649376760905e+00, 5.056221175845183780e+01, 1.980044164338745105e+01, 5.870373641525659281e+01, 3.635524368014166186e+01, 7.965775620773357879e+00, 3.740998388832392152e+01, 1.943438545444524479e+01
2.021000000000000000e+03, 3.181219549106695510e+01, 5.468089871399568835e+01, 1.385383180603757580e+01, 1.618493210720471964e+01, 5.278600329308968497e+01, 9.677651119228871224e+00, 5.047318584977558231e+01, 1.983327378608117542e+01, 5.879133367555308354e+01, 3.636533323365021175e+01, 7.996521875477448305e+00, 3.736769324870246578e+01, 1.948131388434245892e+01
2.022000000000000000e+03, 3.188030527852494700e+01, 5.477969343803035684e+01, 1.386480963951921019e+01, 1.624383736545131285e+01, 5.279224379873732431e+01, 9.695663883599086930e+00, 5.043174663751157993e+01, 1.985974057339742416e+01, 5.885568846282024680e+01, 3.637923386072411347e+01, 8.027202713330961359e+00, 3.732912403074310248e+01, 1.950263125579992618e+01
2.023000000000000000e+03, 3.194598243938168736e+01, 5.487897637141703200e+01, 1.386599640941642342e+01, 1.628795301904902360e+01, 5.281445050270064456e+01, 9.708060704930684182e+00, 5.047251639405445900e+01, 1.988929569252725216e+01, 5.883511340687302749e+01, 3.638219016453538046e+01, 8.030377093822826495e+00, 3.730623958450140520e+01, 1.951539742355430818e+01
2.024000000000000000e+03, 3.192683646712147905e+01, 5.498070547775761696e+01, 1.386956271483579251e+01, 1.631572112583304701e+01, 5.284139068856111265e+01, 9.728811576549245999e+00, 5.052055537382059924e+01, 1.991986446721433879e+01, 5.883704009870574936e+01, 3.639098154766217874e+01, 8.043772699581618113e+00, 3.728081807317145291e+01, 1.953445904793849408e+01
2.025000000000000000e+03, 3.193586355846833413e+01, 5.507917878196409589e+01, 1.385605997291744096e+01, 1.634201397736879713e+01, 5.287323707772879544e+01, 9.737733743987970314e+00, 5.054634102238154014e+01, 1.994209233956079430e+01, 5.895491195947536767e+01, 3.642482295699526418e+01, 8.054430369796468980e+00, 3.724467351131855963e+01, 1.958566017119295211e+01
2.026000000000000000e+03, 3.195624812818531169e+01, 5.516854414615783497e+01, 1.383492512053761736e+01, 1.638718443800901881e+01, 5.288590753818736090e+01, 9.749839660501464778e+00, 5.057612267793820138e+01, 1.996514077033342005e+01, 5.903781542912430780e+01, 3.646332023266245415e+01, 8.045081574751755227e+00, 3.720544348086841069e+01, 1.963197177823105122e+01
2.027000000000000000e+03, 3.194157977881642196e+01, 5.527011451422871602e+01, 1.381255085494749757e+01, 1.643948459955116093e+01, 5.288795741118689619e+01, 9.766274357450839716e+00, 5.060323429186572497e+01, 1.998238326894365713e+01, 5.912863037616254047e+01, 3.648781433184782230e+01, 8.070862045032786369e+00, 3.718289622697741947e+01, 1.966615608607929744e+01
