year, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, NorESM2-MM, MIROC-ES2L, CanESM5, CESM2-WACCM, NorESM2-LM, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, ACCESS-ESM1-5, GFDL-ESM4, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.037000000000000000e+03, 5.094100105799796552e+00, 1.643310825604588743e+00, 1.323253062334129870e+00, 1.740458053194534838e+00, 5.055158527178611472e+00, 5.190859772909381498e+00, 1.953087906861052492e+00, 1.723672848181539319e+00, 8.698461261216522189e+00, 4.547655110305398374e+00, 1.045479559184866147e+01, 5.350927447991190355e+00, 5.456353998971087194e+00, 4.145435023090038307e+00, 2.398138104596513553e+00, 2.154594205160749620e+00
2.038000000000000000e+03, 5.223663481677633058e+00, 1.588140676768730941e+00, 1.446150827944149286e+00, 1.723723185781442124e+00, 5.047124454998937360e+00, 5.225963522522161675e+00, 2.123556997256931478e+00, 1.696630433576847619e+00, 8.741668345532506379e+00, 4.428735285236734320e+00, 1.044380530828414599e+01, 5.386939626990793428e+00, 5.518437548525274572e+00, 4.135155947867059645e+00, 2.432030503605204341e+00, 2.223429721002400772e+00
2.039000000000000000e+03, 5.301689062689145970e+00, 1.658798368518455524e+00, 1.595691581661498493e+00, 1.695545099903838837e+00, 5.045218544414248107e+00, 5.265250087262328016e+00, 2.195291248824993158e+00, 1.678997294046286504e+00, 8.660872321840972887e+00, 4.385856285383910702e+00, 1.044758488982018463e+01, 5.401255641576013566e+00, 5.487565284421138223e+00, 4.140603262679675822e+00, 2.521262259303006736e+00, 2.289584784906986137e+00
2.040000000000000000e+03, 5.220720045404701359e+00, 1.660080542643814994e+00, 1.273388043453505425e+00, 1.662215374937415557e+00, 5.066856220289356116e+00, 5.271318714215046164e+00, 2.166746948837089182e+00, 1.722135400612274436e+00, 8.623258865339408885e+00, 4.441885873598351075e+00, 1.048232889547890423e+01, 5.483476979196004741e+00, 5.427804575342693560e+00, 4.170552899476565933e+00, 2.433663141568690236e+00, 2.294019433672377595e+00
2.041000000000000000e+03, 5.316308744377022499e+00, 1.590458890142635751e+00, 1.287326139308053730e+00, 1.726430625327922241e+00, 5.142764231400289709e+00, 5.261780659112853087e+00, 2.186364808994355258e+00, 1.706957984016904240e+00, 8.592269071069981834e+00, 4.574643341123865170e+00, 1.045451799887782585e+01, 5.504734655393600740e+00, 5.405353339048015293e+00, 4.251886193764650379e+00, 2.346001221456588848e+00, 2.346435008749331974e+00
2.042000000000000000e+03, 5.340212800664995818e+00, 1.628052027151210002e+00, 1.460547426311202379e+00, 1.768592767301814694e+00, 5.242174853739349771e+00, 5.295422418518128893e+00, 2.180908212513431366e+00, 1.775195227344326554e+00, 8.647300828641652615e+00, 4.578616920068612650e+00, 1.040516296161402110e+01, 5.463336546361931667e+00, 5.417056203151648930e+00, 4.300675553348066948e+00, 2.368979705184628859e+00, 2.319582119311453638e+00
2.043000000000000000e+03, 5.370841226600950868e+00, 1.570994388972765776e+00, 1.349506382938572946e+00, 1.805505213422275768e+00, 5.331104752978760963e+00, 5.344292291001537798e+00, 2.111439640834754883e+00, 1.854147821868860069e+00, 8.743967867011559036e+00, 4.508134859335115152e+00, 1.050751061347828141e+01, 5.503663980790177490e+00, 5.403301433189935388e+00, 4.271321436390316251e+00, 2.488883587351465643e+00, 2.271243943145492494e+00
2.044000000000000000e+03, 5.403309836446198666e+00, 1.660086553759310357e+00, 1.547122398854268388e+00, 1.791464736333960861e+00, 5.377674834636019696e+00, 5.403216450121142600e+00, 2.096477826147979062e+00, 1.908281199797754457e+00, 8.804326024270356044e+00, 4.411035639498111394e+00, 1.051235731818406371e+01, 5.547104730366397618e+00, 5.405719441790556523e+00, 4.254412179547226280e+00, 2.507004511647498379e+00, 2.282265959699948610e+00
2.045000000000000000e+03, 5.387202990043428841e+00, 1.780722448102992628e+00, 1.531837861602972195e+00, 1.747399089943099337e+00, 5.472908087048491410e+00, 5.473227216859822164e+00, 2.130045872208852664e+00, 1.833142095231738544e+00, 8.859521849958456485e+00, 4.194904780369976827e+00, 1.056834475967431253e+01, 5.570233984687273932e+00, 5.402005091600822873e+00, 4.263588625650487351e+00, 2.518356215798299047e+00, 2.342453711945709838e+00
2.046000000000000000e+03, 5.494466203876206656e+00, 1.679460745477568295e+00, 1.449624364621245665e+00, 1.673831089499407954e+00, 5.622593600032350203e+00, 5.578644252581644203e+00, 2.235830961827542929e+00, 1.805662960022073937e+00, 8.897076892147765648e+00, 4.298963221556006964e+00, 1.059995280450807442e+01, 5.580552228909255952e+00, 5.446562784992505790e+00, 4.253381015778698426e+00, 2.471703697459840754e+00, 2.392646279464766046e+00
