year, EC-Earth3-Veg, NorESM2-LM, INM-CM5-0, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL
2.028000000000000000e+03, 2.000723994439639775e+00, 9.773849948814073985e-01, 1.770493935335746283e+00, 1.215866906092142541e+00, 1.150123760898999592e+00, 2.238297154745136019e+00, 5.278598295715606348e-01, 9.176799196962516225e-01, 1.689628597358411533e+00, 9.827391058488740283e-01, 1.399216816632303351e+00, 1.042200243188562636e+00, 6.414904213250838261e-01, 8.330861154108885058e-01, 6.260287548292234883e-01, 1.249546844718752325e+00
2.029000000000000000e+03, 2.173941581034558812e+00, 7.184996482188419353e-01, 1.783267417196859439e+00, 1.237783774479434218e+00, 1.132584566096471512e+00, 2.112525774756254915e+00, 5.758508305300672481e-01, 7.816825872812642739e-01, 1.636629905344549663e+00, 8.493410501612798091e-01, 1.421172298508825760e+00, 9.885939260451882538e-01, 6.791601519663353903e-01, 9.663238502920191708e-01, 5.468097331529376826e-01, 9.794692261456722226e-01
2.030000000000000000e+03, 2.054152278781357754e+00, 6.050110773406091047e-01, 1.654914710910947218e+00, 1.130505739190270642e+00, 1.331878220503401877e+00, 2.168400821020172842e+00, 5.965244322630411933e-01, 7.868143871129695821e-01, 1.294463866405173080e+00, 8.075321866333029508e-01, 1.453255102900946838e+00, 1.041792899257474980e+00, 6.078800805493785875e-01, 7.500204842654062398e-01, 4.980076959529021186e-01, 8.607601202645525085e-01
2.031000000000000000e+03, 2.119319142195282613e+00, 7.832721302486438386e-01, 1.908785682894806435e+00, 1.217958821890856136e+00, 1.318410868326177487e+00, 2.160278997710969318e+00, 4.872714855686183788e-01, 1.018068245629679236e+00, 1.350713605840468956e+00, 8.203821064104050986e-01, 1.257602176581111397e+00, 1.033773152732705203e+00, 6.718658548420975984e-01, 7.172779112837910365e-01, 5.221226376848251416e-01, 9.398233077956131831e-01
2.032000000000000000e+03, 3.207349196201968233e+00, 7.489581315942936968e-01, 1.973873232911587117e+00, 1.357858728264488724e+00, 1.266342175562185757e+00, 2.261361078318096851e+00, 5.103423793955311760e-01, 1.177441161011083093e+00, 1.868929627453015385e+00, 8.070995970822880672e-01, 1.238225445077762776e+00, 9.405710240602077610e-01, 7.712118964790768416e-01, 8.214879071233867069e-01, 5.872096616305508832e-01, 1.132701332088067891e+00
2.033000000000000000e+03, 1.925787341168946787e+00, 8.474355634787196223e-01, 1.747758419947303965e+00, 1.438176861623002845e+00, 1.244112058909351060e+00, 2.134726809622545129e+00, 5.417908700752166462e-01, 9.118405567358544017e-01, 1.826466628354126653e+00, 7.579605474517188135e-01, 1.533044138135853052e+00, 8.438230683299940971e-01, 7.209780699373313784e-01, 9.140339939776361833e-01, 6.135921297546337305e-01, 1.212014556971683588e+00
2.034000000000000000e+03, 1.820757668481048253e+00, 9.371331152488235894e-01, 1.706101674919952904e+00, 1.329538780657608887e+00, 1.388977717698107295e+00, 2.194335073377061907e+00, 5.365235744303067378e-01, 6.304952373445703584e-01, 1.773739895661748722e+00, 6.248609152653928911e-01, 1.421361935840510515e+00, 7.681168505816813319e-01, 7.613650440117605278e-01, 9.361848744430960600e-01, 5.377612631807199284e-01, 1.238255199445814636e+00
2.035000000000000000e+03, 1.982040413899378350e+00, 7.971995409551825285e-01, 1.727837127145954721e+00, 1.311320587224780176e+00, 1.468507972398193306e+00, 2.224873845981531151e+00, 5.336681002367642535e-01, 9.082759795820978255e-01, 1.527652636292646804e+00, 8.880727765770494164e-01, 1.459127475543226193e+00, 8.640431116920277432e-01, 6.835321921196427786e-01, 1.068327985848092299e+00, 6.032945909049740596e-01, 1.108801764184844441e+00
2.036000000000000000e+03, 2.934526910181249892e+00, 8.414181513034125759e-01, 2.123415345526856512e+00, 1.328334641698058149e+00, 1.170670468225853300e+00, 2.337753814218673121e+00, 6.141067603505357964e-01, 9.657460958012002994e-01, 1.672851267634380523e+00, 9.897483414062472340e-01, 1.852529030640979846e+00, 8.822381847351866702e-01, 7.166080761999904514e-01, 8.491298958020658816e-01, 6.381778968170519484e-01, 1.278165210790679351e+00
2.037000000000000000e+03, 2.431341562110096000e+00, 7.867324237162685030e-01, 1.887469885632359512e+00, 1.452886582015836758e+00, 1.324161361586627672e+00, 2.365448007511239403e+00, 5.173978806041469314e-01, 7.611013597813014453e-01, 1.620459153289255605e+00, 9.480259132147957901e-01, 1.684843089198117205e+00, 1.088393765813359781e+00, 7.106338596844217204e-01, 7.484819122091936894e-01, 5.789122140447108267e-01, 1.154823140355150768e+00
